ref id,Predicted,Actual
34079,['Society', 'Shopping', 'Sports', 'Recreation'],['Shopping']
883,['Recreation', 'Business', 'Science', 'Society'],['Recreation']
34947,['Arts', 'Society', 'Shopping', 'Computers'],['Society']
886,['Business', 'Society', 'Arts', 'Reference'],['Society']
34951,['Society', 'Shopping', 'Business', 'Arts'],['Society']
892,['Science', 'Computers', 'Society', 'Business'],['Science']
909,['Arts', 'Recreation', 'Reference', 'Society'],['Arts']
34967,['Society', 'Shopping', 'Arts', 'Business'],['Society']
34971,['Society', 'Shopping', 'Business', 'Arts'],['Society']
34975,['Society', 'Sports', 'Arts', 'Shopping'],['Society']
933,['News', 'Arts', 'Business', 'Recreation'],['News']
935,['News', 'Business', 'Recreation', 'Arts'],['News']
34994,['Society', 'Arts', 'Science', 'Business'],['Society']
944,['News', 'Arts', 'Business', 'Sports'],['News']
34998,['Society', 'Sports', 'Recreation', 'Business'],['Society']
35001,['Society', 'Computers', 'Reference', 'Recreation'],['Society']
951,['Society', 'News', 'Arts', 'Business'],['News']
35009,['Society', 'Business', 'Computers', 'Arts'],['Society']
35011,['Society', 'Science', 'Shopping', 'Business'],['Society']
35013,['Society', 'Business', 'Recreation', 'Sports'],['Society']
969,['News', 'Arts', 'Society', 'Recreation'],['News']
970,['News', 'Health', 'Sports', 'Business'],['News']
972,['Science', 'Society', 'News', 'Recreation'],['News', 'Science']
35027,['Society', 'Arts', 'Shopping', 'Science'],['Society']
979,['Business', 'Computers', 'News', 'Health'],['News']
35036,['Computers', 'Society', 'Business', 'Games'],['Society']
35037,['Society', 'Shopping', 'Arts', 'Business'],['Society']
35038,['Society', 'Business', 'Arts', 'Reference'],['Society']
35039,['Society', 'Business', 'Shopping', 'Recreation'],['Society']
35043,['Society', 'Computers', 'News', 'Science'],['Society']
991,['Sports', 'News', 'Business', 'Recreation'],['News']
35050,['Society', 'Science', 'Business', 'Sports'],['Society']
35054,['Society', 'Science', 'Arts', 'Business'],['Society']
1003,['News', 'Society', 'Business', 'Recreation'],['News']
1012,['News', 'Arts', 'Sports', 'Business'],['News']
1020,['Arts', 'News', 'Business', 'Recreation'],['News']
1025,['News', 'Arts', 'Business', 'Society'],['News']
1027,['Business', 'Recreation', 'Society', 'Computers'],['Recreation']
35080,['Society', 'Business', 'Shopping', 'Computers'],['Society']
35082,['Society', 'Shopping', 'Computers', 'Business'],['Society']
1034,['Home', 'Business', 'Recreation', 'Society'],['Home']
35089,['Society', 'Business', 'Arts', 'Computers'],['Society']
1038,['Business', 'Recreation', 'Shopping', 'Reference'],['Recreation']
1039,['Recreation', 'Business', 'Society', 'Shopping'],['Science']
1040,['Reference', 'Arts', 'Computers', 'Science'],['Reference']
35098,['Society', 'Computers', 'Science', 'Shopping'],['Society']
1049,['Recreation', 'Arts', 'Computers', 'Business'],['Recreation']
35106,['Society', 'Sports', 'Games', 'Home'],['Society']
1056,['Recreation', 'News', 'Arts', 'Business'],['News']
1059,['Society', 'News', 'Business', 'Science'],['News']
35116,['Society', 'Computers', 'Shopping', 'Recreation'],['Society']
1063,['News', 'Arts', 'Business', 'Home'],['News']
35118,['Society', 'Business', 'Shopping', 'Reference'],['Society']
35121,['Computers', 'Society', 'Shopping', 'Business'],['Society']
1089,['Business', 'News', 'Recreation', 'Society'],['News']
35146,['Society', 'Shopping', 'Arts', 'Business'],['Society']
35150,['Society', 'Health', 'Business', 'Science'],['Society']
35151,['Society', 'Adult', 'Recreation', 'Business'],['Society']
35156,['Society', 'Shopping', 'Recreation', 'Adult'],['Society']
1103,['Recreation', 'Business', 'Reference', 'Home'],['Recreation']
35158,['Society', 'Recreation', 'Business', 'Shopping'],['Society']
1119,['Recreation', 'Business', 'Society', 'Shopping'],['Recreation']
1129,['Recreation', 'Sports', 'Arts', 'Home'],['Recreation']
1130,['Recreation', 'Business', 'Society', 'Shopping'],['Recreation']
35186,['Society', 'Adult', 'Business', 'Shopping'],['Society']
1132,['Recreation', 'Home', 'Arts', 'Society'],['Recreation']
1133,['Arts', 'Business', 'Recreation', 'Shopping'],['Recreation']
35189,['Society', 'Arts', 'Recreation', 'Computers'],['Society']
1136,['Recreation', 'Arts', 'Games', 'Computers'],['Recreation']
1137,['Recreation', 'Business', 'Arts', 'Computers'],['Recreation']
1157,['Business', 'Recreation', 'Society', 'Shopping'],['Recreation']
1160,['Recreation', 'Business', 'Home', 'Sports'],['Recreation']
1164,['Business', 'Recreation', 'Science', 'Computers'],['Business', 'Recreation']
1165,['Recreation', 'Games', 'Business', 'Home'],['Recreation']
35226,['Society', 'Arts', 'Recreation', 'Shopping'],['Society']
35231,['Recreation', 'Sports', 'Society', 'Business'],['Society']
35238,['Recreation', 'Society', 'Sports', 'Shopping'],['Society']
35243,['Society', 'Arts', 'Sports', 'Shopping'],['Society']
35246,['Society', 'News', 'Business', 'Recreation'],['Society']
35249,['Arts', 'Society', 'Recreation', 'Science'],['Society']
35253,['Shopping', 'Business', 'Society', 'Recreation'],['Society']
1199,['Recreation', 'Shopping', 'Society', 'Business'],['Recreation']
1205,['Reference', 'Computers', 'Games', 'News'],['Reference']
35272,['Society', 'Computers', 'Health', 'Business'],['Society']
1219,['Arts', 'Science', 'Reference', 'Society'],['Reference']
1220,['Reference', 'Arts', 'News', 'Health'],['Reference']
35275,['Society', 'Shopping', 'Business', 'Science'],['Society']
35280,['Society', 'News', 'Shopping', 'Business'],['Society']
35286,['Society', 'Arts', 'Sports', 'Recreation'],['Society']
1232,['Business', 'Computers', 'Science', 'Arts'],['Reference', 'Computers']
1233,['Recreation', 'Arts', 'Science', 'Reference'],['Reference']
1254,['Business', 'Health', 'Science', 'Computers'],['Reference']
35309,['Society', 'Sports', 'Shopping', 'Recreation'],['Society']
1260,['Reference', 'Science', 'Computers', 'Society'],['Reference']
35319,['Society', 'News', 'Reference', 'Shopping'],['Society']
1269,['Reference', 'Business', 'Computers', 'Science'],['Reference']
1270,['Business', 'Reference', 'Computers', 'Society'],['Reference']
1271,['Reference', 'Science', 'News', 'Arts'],['Reference']
1272,['Computers', 'Reference', 'Business', 'Recreation'],['Reference']
35332,['Society', 'Shopping', 'Recreation', 'Business'],['Society']
35335,['Society', 'Shopping', 'Sports', 'Recreation'],['Society']
35338,['Society', 'Shopping', 'Arts', 'Business'],['Society']
1284,['Reference', 'Science', 'Society', 'Arts'],['Reference']
1285,['Reference', 'Science', 'News', 'Health'],['Reference']
1286,['Reference', 'Arts', 'Health', 'News'],['Reference']
35340,['Sports', 'Recreation', 'Society', 'Arts'],['Society']
1290,['Arts', 'Reference', 'Business', 'Recreation'],['Reference']
1292,['Reference', 'Science', 'Health', 'Computers'],['Reference']
35352,['Society', 'Home', 'Shopping', 'Business'],['Society']
1298,['Arts', 'Health', 'Business', 'Reference'],['Reference']
1299,['Health', 'Reference', 'Arts', 'Science'],['Reference']
35356,['Society', 'Business', 'Recreation', 'Shopping'],['Society']
1305,['Reference', 'Arts', 'Business', 'Health'],['Reference']
1310,['Reference', 'Computers', 'Arts', 'Society'],['Reference']
1316,['Science', 'Reference', 'Business', 'Computers'],['Reference']
35372,['Society', 'Shopping', 'Reference', 'News'],['Society']
1323,['Reference', 'Arts', 'Society', 'Business'],['Reference']
1324,['Computers', 'Reference', 'Science', 'Business'],['Reference']
1328,['Computers', 'Business', 'Arts', 'Home'],['Reference', 'Computers']
1333,['Reference', 'Health', 'Business', 'Arts'],['Reference']
1336,['Reference', 'Society', 'Business', 'Recreation'],['Reference']
35392,['Society', 'Sports', 'Shopping', 'Recreation'],['Society']
35401,['Society', 'Recreation', 'Shopping', 'Games'],['Society']
35403,['Society', 'Shopping', 'Business', 'Arts'],['Society']
35404,['Society', 'Computers', 'Arts', 'Business'],['Society']
1381,['Society', 'Arts', 'Reference', 'News'],['Society']
1387,['Business', 'Shopping', 'Arts', 'Recreation'],['Shopping']
35416,['Society', 'Shopping', 'Computers', 'Business'],['Society']
35417,['Society', 'Recreation', 'Shopping', 'Sports'],['Society']
1409,['Health', 'Science', 'Reference', 'Recreation'],['Science']
1437,['Science', 'Business', 'Home', 'Society'],['Science']
35448,['Society', 'Business', 'Computers', 'Science'],['Society']
35450,['Society', 'Business', 'Recreation', 'Reference'],['Society']
35458,['Business', 'Science', 'Society', 'Arts'],['Society']
35460,['Computers', 'Sports', 'Society', 'Recreation'],['Society']
35462,['Society', 'Business', 'Computers', 'Shopping'],['Society']
35464,['Business', 'Arts', 'Shopping', 'Society'],['Society']
1455,['Business', 'Arts', 'Recreation', 'Computers'],['Science']
1469,['Health', 'Business', 'Reference', 'Computers'],['Science']
35497,['Reference', 'Society', 'Arts', 'Business'],['Society']
35499,['Shopping', 'Society', 'Business', 'Recreation'],['Society']
1492,['Computers', 'Health', 'Recreation', 'Business'],['Shopping']
35506,['Society', 'Business', 'Home', 'Health'],['Society']
1500,['Shopping', 'Business', 'Computers', 'Society'],['Shopping']
1506,['Shopping', 'Health', 'Business', 'Society'],['Shopping']
1508,['Shopping', 'Computers', 'Business', 'Society'],['Shopping']
1513,['Arts', 'Recreation', 'Home', 'Science'],['Shopping']
35524,['Business', 'Computers', 'Science', 'Society'],['Society']
1517,['Business', 'Shopping', 'Home', 'Recreation'],['Shopping']
35530,['Recreation', 'Science', 'Health', 'Society'],['Society']
35554,['Society', 'Shopping', 'Arts', 'Recreation'],['Society']
1544,['Business', 'Computers', 'Shopping', 'Arts'],['Shopping']
35558,['Arts', 'Society', 'Recreation', 'Business'],['Society']
1561,['Shopping', 'Business', 'Recreation', 'Arts'],['Shopping']
35576,['Society', 'Health', 'Arts', 'Business'],['Society']
35582,['Society', 'Reference', 'Computers', 'Science'],['Society']
35595,['Society', 'Reference', 'Science', 'Arts'],['Society']
1595,['Arts', 'Business', 'Shopping', 'Home'],['Shopping']
1602,['Shopping', 'Business', 'Arts', 'Computers'],['Shopping']
35626,['Society', 'Sports', 'Health', 'Recreation'],['Society']
1616,['Business', 'Shopping', 'Society', 'Recreation'],['Shopping']
35630,['Society', 'Arts', 'Recreation', 'Shopping'],['Society']
1620,['Business', 'Home', 'Reference', 'Recreation'],['Society']
1625,['Society', 'Shopping', 'Home', 'News'],['Society']
35646,['Society', 'Arts', 'Shopping', 'Business'],['Society']
1635,['Science', 'Business', 'Recreation', 'Health'],['Society']
1637,['News', 'Business', 'Society', 'Recreation'],['Society']
35651,['Society', 'Recreation', 'Shopping', 'Sports'],['Society']
35657,['Reference', 'Society', 'Health', 'Arts'],['Society']
1647,['Health', 'Home', 'Society', 'Business'],['Society']
1656,['Society', 'Reference', 'Shopping', 'Business'],['Society']
1657,['Arts', 'Business', 'Recreation', 'Science'],['Society']
1659,['Society', 'Recreation', 'Business', 'Arts'],['Society']
1668,['News', 'Arts', 'Recreation', 'Business'],['Society']
35687,['Shopping', 'Society', 'Arts', 'Home'],['Society']
1675,['Society', 'Business', 'Arts', 'News'],['Society']
35690,['Business', 'Society', 'Shopping', 'Sports'],['Society']
1677,['News', 'Recreation', 'Business', 'Arts'],['Society']
1681,['Business', 'Science', 'News', 'Reference'],['Society']
1682,['Arts', 'Recreation', 'Business', 'Society'],['Society']
1685,['Health', 'Society', 'Business', 'Science'],['Society']
35701,['Society', 'Shopping', 'Business', 'Recreation'],['Society']
35706,['Arts', 'Society', 'Shopping', 'Sports'],['Society']
1704,['Recreation', 'Arts', 'Health', 'News'],['Society']
1710,['Recreation', 'Arts', 'Reference', 'Health'],['Society']
1715,['Arts', 'Recreation', 'Shopping', 'Business'],['Society', 'Arts']
1716,['Arts', 'Society', 'Adult', 'Business'],['Society']
1720,['Arts', 'Recreation', 'News', 'Business'],['Society']
1725,['Business', 'Sports', 'Health', 'Recreation'],['Sports']
1726,['Shopping', 'Business', 'Arts', 'Recreation'],['Sports']
35744,['Science', 'Society', 'Reference', 'Business'],['Society']
35748,['Shopping', 'Society', 'Recreation', 'Arts'],['Society']
35749,['Society', 'Recreation', 'Arts', 'Home'],['Society']
35758,['Games', 'Society', 'Science', 'Reference'],['Society']
1746,['Sports', 'Business', 'Recreation', 'Arts'],['Sports']
35763,['Business', 'Recreation', 'Sports', 'Society'],['Society']
35764,['Society', 'Science', 'Reference', 'Arts'],['Society']
35770,['Shopping', 'Home', 'Society', 'Business'],['Society']
1763,['Sports', 'Arts', 'Business', 'Recreation'],['Sports']
35787,['Society', 'Shopping', 'Arts', 'Business'],['Society']
1780,['Sports', 'Business', 'Arts', 'Computers'],['Sports']
35810,['Society', 'News', 'Recreation', 'Business'],['Society']
35826,['Society', 'Business', 'Recreation', 'Shopping'],['Society']
1813,['Sports', 'News', 'Business', 'Shopping'],['Sports']
35828,['Society', 'Health', 'Computers', 'Science'],['Society']
35833,['Society', 'Business', 'Science', 'Computers'],['Society']
1819,['Sports', 'News', 'Recreation', 'Business'],['Sports']
1838,['Recreation', 'Sports', 'Arts', 'Business'],['Sports']
35857,['Society', 'Business', 'Sports', 'Arts'],['Society']
35860,['Society', 'Business', 'Science', 'Arts'],['Society']
1846,['Sports', 'News', 'Recreation', 'Shopping'],['Sports']
1853,['Adult', 'Recreation', 'Business', 'Arts'],['Adult']
35870,['Society', 'Business', 'Health', 'Home'],['Society']
35876,['Society', 'Arts', 'Business', 'Shopping'],['Society']
1862,['Adult', 'Recreation', 'Society', 'Arts'],['Adult']
1867,['Adult', 'Arts', 'Recreation', 'Health'],['Adult']
35885,['Society', 'Shopping', 'Business', 'Recreation'],['Society']
1873,['News', 'Arts', 'Society', 'Computers'],['Adult', 'Society']
35891,['Business', 'Computers', 'Adult', 'Society'],['Society']
1881,['Recreation', 'Business', 'Computers', 'Arts'],['Adult']
35896,['Society', 'Business', 'Computers', 'News'],['Society']
35904,['Society', 'Shopping', 'Business', 'Arts'],['Society']
35907,['Society', 'Business', 'Science', 'Sports'],['Society']
35910,['Society', 'Business', 'Shopping', 'News'],['Society']
35916,['Science', 'Sports', 'Society', 'Recreation'],['Society']
1905,['Adult', 'Recreation', 'Business', 'Arts'],['Adult']
1914,['Adult', 'Recreation', 'Computers', 'Business'],['Adult']
1919,['Adult', 'Computers', 'Business', 'Arts'],['Adult']
35935,['Society', 'Business', 'Health', 'Recreation'],['Society']
