47238, predicted: Society, actual: Arts
43780, predicted: Regional, actual: Computers
43901, predicted: Games, actual: Kids
43909, predicted: Business, actual: Games
43935, predicted: Arts, actual: Games
44033, predicted: Society, actual: Health
44105, predicted: Home, actual: Regional
44106, predicted: Computers, actual: Home
44131, predicted: Shopping, actual: Home
44136, predicted: Home, actual: Society
44138, predicted: Shopping, actual: Home
44144, predicted: Home, actual: Business
44145, predicted: Computers, actual: Home
44146, predicted: Sports, actual: Home
44161, predicted: Home, actual: Regional
44173, predicted: Business, actual: Home
44175, predicted: Sports, actual: Home
44184, predicted: Arts, actual: Home
44190, predicted: Sports, actual: Kids
44203, predicted: Regional, actual: Kids
44209, predicted: Business, actual: Kids
44244, predicted: News, actual: Kids
44250, predicted: Arts, actual: News
44273, predicted: Sports, actual: News
44290, predicted: News, actual: Business
44297, predicted: Society, actual: News
44302, predicted: News, actual: Regional
44316, predicted: Regional, actual: Recreation
44318, predicted: Recreation, actual: Regional
44327, predicted: Recreation, actual: Regional
44331, predicted: Regional, actual: Recreation
44339, predicted: Computers, actual: Recreation
44340, predicted: Recreation, actual: Science
44376, predicted: Computers, actual: Recreation
44378, predicted: Arts, actual: Recreation
44399, predicted: Games, actual: Recreation
44401, predicted: Shopping, actual: Recreation
44407, predicted: Recreation, actual: Regional
44413, predicted: Regional, actual: Reference
44434, predicted: News, actual: Reference
44454, predicted: Health, actual: Reference
44455, predicted: Sports, actual: Reference
44457, predicted: Shopping, actual: Reference
44463, predicted: Reference, actual: Regional
44487, predicted: News, actual: Regional
44496, predicted: Business, actual: Regional
44499, predicted: Sports, actual: Regional
44506, predicted: Society, actual: Regional
44539, predicted: Computers, actual: Science
44553, predicted: Kids, actual: Science
44556, predicted: Kids, actual: Science
44558, predicted: Business, actual: Science
44561, predicted: Reference, actual: Science
44583, predicted: Computers, actual: Science
44591, predicted: Home, actual: Science
44598, predicted: Arts, actual: Science
44632, predicted: Sports, actual: Shopping
44639, predicted: Business, actual: Shopping
44681, predicted: Arts, actual: Society
44807, predicted: Kids, actual: Sports
44838, predicted: Society, actual: Sports
44875, predicted: Kids, actual: Adult
44934, predicted: News, actual: Adult
45148, predicted: Arts, actual: Adult
45181, predicted: Society, actual: Adult
45219, predicted: Society, actual: Adult
45222, predicted: Shopping, actual: Adult
45413, predicted: Health, actual: Adult
45528, predicted: Health, actual: Arts
45548, predicted: Sports, actual: Arts
45595, predicted: Society, actual: Arts
45605, predicted: Computers, actual: Arts
45615, predicted: Society, actual: Arts
45704, predicted: Sports, actual: Arts
45758, predicted: Health, actual: Arts
45835, predicted: Health, actual: Arts
45836, predicted: Health, actual: Arts
45896, predicted: Computers, actual: Arts
45902, predicted: Adult, actual: Arts
45977, predicted: Shopping, actual: Arts
45987, predicted: Arts, actual: Kids
45998, predicted: Recreation, actual: Arts
46032, predicted: Society, actual: Arts
46057, predicted: Society, actual: Arts
46071, predicted: Business, actual: Arts
46077, predicted: Shopping, actual: Arts
46100, predicted: Society, actual: Arts
46101, predicted: Business, actual: Arts
46127, predicted: Shopping, actual: Arts
46171, predicted: Kids, actual: Arts
46191, predicted: Computers, actual: Arts
46217, predicted: Kids, actual: Arts
46283, predicted: Computers, actual: Arts
46300, predicted: Shopping, actual: Arts
46313, predicted: Shopping, actual: Arts
46319, predicted: Adult, actual: Arts
46352, predicted: Kids, actual: Arts
46358, predicted: Games, actual: Arts
46376, predicted: Recreation, actual: Arts
46407, predicted: Computers, actual: Arts
46423, predicted: Recreation, actual: Arts
46439, predicted: Business, actual: Arts
46462, predicted: Games, actual: Arts
46463, predicted: Kids, actual: Arts
46500, predicted: Society, actual: Arts
46506, predicted: Sports, actual: Arts
46507, predicted: Health, actual: Arts
46544, predicted: Arts, actual: Games
46549, predicted: Society, actual: Arts
46587, predicted: Shopping, actual: Arts
46620, predicted: News, actual: Arts
46684, predicted: Adult, actual: Arts
46691, predicted: Kids, actual: Arts
46715, predicted: Society, actual: Arts
46725, predicted: Recreation, actual: Arts
46745, predicted: Computers, actual: Arts
46754, predicted: Sports, actual: Arts
46764, predicted: Recreation, actual: Arts
46765, predicted: Shopping, actual: Arts
46778, predicted: Society, actual: Arts
46781, predicted: Society, actual: Arts
46790, predicted: Society, actual: Arts
46815, predicted: Business, actual: Arts
46820, predicted: Reference, actual: Arts
46839, predicted: Games, actual: Arts
46847, predicted: Computers, actual: Arts
46849, predicted: Sports, actual: Arts
46894, predicted: Sports, actual: Arts
46911, predicted: Sports, actual: Arts
46934, predicted: Society, actual: Arts
46962, predicted: Business, actual: Arts
46964, predicted: Society, actual: Arts
46979, predicted: Shopping, actual: Arts
46988, predicted: Sports, actual: Arts
47047, predicted: Society, actual: Arts
47055, predicted: Science, actual: Arts
47077, predicted: Health, actual: Arts
47100, predicted: Arts, actual: Shopping
47129, predicted: Health, actual: Arts
47160, predicted: Reference, actual: Arts
47263, predicted: Adult, actual: Arts
47361, predicted: Sports, actual: Arts
47367, predicted: Games, actual: Arts
47375, predicted: Sports, actual: Arts
47385, predicted: Computers, actual: Arts
47392, predicted: Business, actual: Arts
47397, predicted: Computers, actual: Arts
47407, predicted: Home, actual: Arts
47420, predicted: Business, actual: Arts
47435, predicted: Reference, actual: Arts
47441, predicted: Computers, actual: Arts
47446, predicted: Reference, actual: Arts
47451, predicted: Computers, actual: Arts
47476, predicted: Sports, actual: Arts
47490, predicted: Arts, actual: Recreation
47502, predicted: Games, actual: Arts
47507, predicted: Business, actual: Arts
47521, predicted: Computers, actual: Arts
47523, predicted: Society, actual: Arts
47529, predicted: Reference, actual: Arts
47530, predicted: Kids, actual: Arts
47575, predicted: Business, actual: Arts
47592, predicted: Kids, actual: Arts
47618, predicted: Computers, actual: Business
47636, predicted: Society, actual: Business
47686, predicted: Business, actual: Society
47722, predicted: Shopping, actual: Business
47725, predicted: Shopping, actual: Business
47731, predicted: Society, actual: Business
47743, predicted: Shopping, actual: Business
47747, predicted: Science, actual: Business
47749, predicted: Shopping, actual: Business
47762, predicted: Shopping, actual: Business
47770, predicted: Recreation, actual: Business
47773, predicted: Society, actual: Business
47780, predicted: Computers, actual: Business
47784, predicted: Shopping, actual: Business
47786, predicted: Recreation, actual: Business
47802, predicted: Sports, actual: Business
47825, predicted: Adult, actual: Business
47860, predicted: Shopping, actual: Business
47861, predicted: Recreation, actual: Business
47885, predicted: Shopping, actual: Business
47891, predicted: Shopping, actual: Business
47893, predicted: Business, actual: Shopping
47963, predicted: Computers, actual: Business
47965, predicted: Shopping, actual: Business
47984, predicted: Society, actual: Business
48050, predicted: Business, actual: Society
48081, predicted: Society, actual: Business
48120, predicted: Arts, actual: Business
48128, predicted: Shopping, actual: Business
48248, predicted: Shopping, actual: Business
52866, predicted: Computers, actual: Business
47238, predicted: Shopping, actual: Business
47311, predicted: Computers, actual: Business
47365, predicted: Home, actual: Business
47459, predicted: Health, actual: Business
47549, predicted: Health, actual: Business
49552, predicted: Computers, actual: Business
49559, predicted: Shopping, actual: Business
49564, predicted: Computers, actual: Business
49568, predicted: Computers, actual: Business
49574, predicted: Recreation, actual: Business
49587, predicted: Business, actual: Recreation
49600, predicted: Shopping, actual: Business
49619, predicted: Kids, actual: Business
49697, predicted: Health, actual: Business
52683, predicted: Recreation, actual: Business
52729, predicted: Health, actual: Business
52789, predicted: Shopping, actual: Business
52846, predicted: Computers, actual: Business
58235, predicted: Science, actual: Business
45211, predicted: Arts, actual: Business
45409, predicted: Business, actual: Computers
45541, predicted: Arts, actual: Business
45627, predicted: Science, actual: Business
45832, predicted: Computers, actual: Business
46320, predicted: Games, actual: Business
46510, predicted: Health, actual: Business
46887, predicted: Kids, actual: Business
47118, predicted: Games, actual: Business
48141, predicted: Computers, actual: Business
48187, predicted: Computers, actual: Business
48208, predicted: Shopping, actual: Business
48330, predicted: Arts, actual: Business
48366, predicted: Arts, actual: Business
48368, predicted: Arts, actual: Business
48432, predicted: Computers, actual: Business
48440, predicted: Shopping, actual: Computers
48445, predicted: Business, actual: Computers
48473, predicted: Society, actual: Computers
48506, predicted: Arts, actual: Computers
48519, predicted: Health, actual: Computers
48522, predicted: Society, actual: Computers
48557, predicted: Sports, actual: Computers
48566, predicted: Business, actual: Computers
48589, predicted: Business, actual: Computers
48630, predicted: Arts, actual: Computers
48657, predicted: Arts, actual: Computers
48664, predicted: Sports, actual: Computers
48724, predicted: Regional, actual: Computers
48753, predicted: Business, actual: Computers
48772, predicted: Computers, actual: Science
48789, predicted: Sports, actual: Computers
48792, predicted: Reference, actual: Computers
48851, predicted: Society, actual: Computers
49021, predicted: Business, actual: Computers
49022, predicted: Society, actual: Computers
49024, predicted: Society, actual: Computers
49037, predicted: Arts, actual: Computers
49075, predicted: Arts, actual: Computers
49101, predicted: Business, actual: Recreation
49128, predicted: Society, actual: Recreation
49213, predicted: Computers, actual: Recreation
49229, predicted: Society, actual: Recreation
49230, predicted: Business, actual: Reference
49253, predicted: Computers, actual: Reference
49271, predicted: Business, actual: Regional
49346, predicted: Science, actual: Regional
49362, predicted: Home, actual: Science
49390, predicted: Business, actual: Computers
49408, predicted: Science, actual: Games
49422, predicted: Games, actual: Health
49435, predicted: Business, actual: Health
49444, predicted: Business, actual: Health
49515, predicted: Science, actual: Health
49545, predicted: Recreation, actual: Health
51590, predicted: Computers, actual: Health
51647, predicted: Computers, actual: Health
51691, predicted: Reference, actual: Home
51694, predicted: Home, actual: Society
51699, predicted: Reference, actual: Home
51743, predicted: Shopping, actual: Home
51795, predicted: Reference, actual: Home
51828, predicted: News, actual: Home
51829, predicted: Business, actual: Home
51923, predicted: Adult, actual: Home
51947, predicted: Kids, actual: Home
52060, predicted: Arts, actual: Kids
52069, predicted: Health, actual: Kids
52125, predicted: Recreation, actual: Kids
52147, predicted: Games, actual: Kids
52169, predicted: Kids, actual: Recreation
52250, predicted: Arts, actual: Kids
52280, predicted: News, actual: Kids
52334, predicted: Recreation, actual: Kids
52337, predicted: Health, actual: Sports
52374, predicted: Sports, actual: Kids
52405, predicted: Recreation, actual: Kids
52427, predicted: Society, actual: News
52449, predicted: Home, actual: News
52534, predicted: Home, actual: News
52564, predicted: Sports, actual: News
52593, predicted: Kids, actual: News
52650, predicted: Sports, actual: News
58230, predicted: Computers, actual: News
4053, predicted: Computers, actual: News
37132, predicted: News, actual: Society
37290, predicted: Health, actual: News
37301, predicted: Science, actual: News
37517, predicted: Regional, actual: News
37932, predicted: Arts, actual: News
38304, predicted: Business, actual: News
38330, predicted: Recreation, actual: News
38405, predicted: Science, actual: News
38436, predicted: Shopping, actual: News
38447, predicted: Computers, actual: News
38466, predicted: Business, actual: News
38496, predicted: Kids, actual: News
38803, predicted: Recreation, actual: News
38868, predicted: Adult, actual: News
39085, predicted: Society, actual: News
39604, predicted: Games, actual: News
39656, predicted: Computers, actual: News
39729, predicted: Health, actual: Recreation
40260, predicted: Home, actual: Recreation
40472, predicted: Shopping, actual: Recreation
40625, predicted: Business, actual: Recreation
40792, predicted: Home, actual: Recreation
41219, predicted: News, actual: Recreation
41250, predicted: Arts, actual: Recreation
41486, predicted: Business, actual: Recreation
41642, predicted: Arts, actual: Recreation
41643, predicted: Business, actual: Recreation
42022, predicted: Computers, actual: Recreation
42553, predicted: Regional, actual: Recreation
42583, predicted: Kids, actual: Recreation
42657, predicted: Reference, actual: Recreation
42811, predicted: News, actual: Recreation
42914, predicted: News, actual: Recreation
42998, predicted: Business, actual: Recreation
43142, predicted: Arts, actual: Recreation
43170, predicted: Arts, actual: Recreation
43354, predicted: Society, actual: Recreation
43533, predicted: Business, actual: Recreation
43681, predicted: Kids, actual: Recreation
43729, predicted: Business, actual: Recreation
43780, predicted: Health, actual: Recreation
43901, predicted: Arts, actual: Recreation
43935, predicted: News, actual: Recreation
44033, predicted: Computers, actual: Recreation
44138, predicted: Arts, actual: Recreation
44146, predicted: Adult, actual: Recreation
44173, predicted: Business, actual: Recreation
44184, predicted: Health, actual: Recreation
44190, predicted: Home, actual: Recreation
44203, predicted: Business, actual: Recreation
44250, predicted: Society, actual: Recreation
44273, predicted: Arts, actual: Recreation
44290, predicted: Shopping, actual: Recreation
44302, predicted: Arts, actual: Recreation
44315, predicted: Kids, actual: Recreation
44331, predicted: Science, actual: Recreation
44378, predicted: Health, actual: Recreation
44399, predicted: Reference, actual: Recreation
44413, predicted: Kids, actual: Recreation
44441, predicted: Computers, actual: Recreation
44454, predicted: Reference, actual: Recreation
44455, predicted: Shopping, actual: Recreation
44463, predicted: Computers, actual: Recreation
44487, predicted: Shopping, actual: Recreation
44496, predicted: Home, actual: Recreation
44539, predicted: Games, actual: Recreation
44553, predicted: Kids, actual: Recreation
44556, predicted: Regional, actual: Recreation
44558, predicted: Health, actual: Recreation
44561, predicted: Business, actual: Recreation
44591, predicted: Science, actual: Recreation
44632, predicted: News, actual: Recreation
44639, predicted: Society, actual: Recreation
44725, predicted: Computers, actual: Recreation
44784, predicted: Reference, actual: Recreation
44785, predicted: Reference, actual: Recreation
44807, predicted: Health, actual: Recreation
44835, predicted: Home, actual: Recreation
44838, predicted: Health, actual: Recreation
44875, predicted: Kids, actual: Recreation
44934, predicted: Games, actual: Recreation
44990, predicted: Regional, actual: Recreation
45081, predicted: Games, actual: Recreation
45181, predicted: Computers, actual: Recreation
45219, predicted: Adult, actual: Recreation
45222, predicted: Computers, actual: Recreation
45237, predicted: Society, actual: Recreation
45250, predicted: News, actual: Recreation
45351, predicted: Arts, actual: Recreation
45362, predicted: Shopping, actual: Recreation
45389, predicted: Arts, actual: Recreation
45528, predicted: Arts, actual: Recreation
45605, predicted: Recreation, actual: Society
45615, predicted: Kids, actual: Recreation
45680, predicted: Recreation, actual: Society
45704, predicted: News, actual: Recreation
45830, predicted: Business, actual: Recreation
45835, predicted: Science, actual: Recreation
45836, predicted: Business, actual: Recreation
45884, predicted: Games, actual: Recreation
45892, predicted: Shopping, actual: Recreation
45896, predicted: Games, actual: Recreation
45902, predicted: Arts, actual: Recreation
45926, predicted: Recreation, actual: Society
45935, predicted: Shopping, actual: Recreation
45977, predicted: Arts, actual: Recreation
46007, predicted: Health, actual: Recreation
46057, predicted: Arts, actual: Recreation
46073, predicted: Computers, actual: Recreation
46101, predicted: Games, actual: Recreation
46127, predicted: Regional, actual: Recreation
46171, predicted: Sports, actual: Recreation
46172, predicted: Recreation, actual: Society
46191, predicted: Arts, actual: Recreation
46203, predicted: Sports, actual: Recreation
46217, predicted: Arts, actual: Recreation
46220, predicted: Business, actual: Recreation
46283, predicted: Adult, actual: Recreation
46300, predicted: Business, actual: Recreation
46313, predicted: Shopping, actual: Recreation
46352, predicted: Arts, actual: Recreation
46358, predicted: Business, actual: Recreation
46361, predicted: Science, actual: Recreation
46376, predicted: Business, actual: Recreation
46407, predicted: Regional, actual: Recreation
46423, predicted: Business, actual: Recreation
46439, predicted: Kids, actual: Recreation
46451, predicted: Society, actual: Recreation
46462, predicted: Arts, actual: Recreation
46500, predicted: Home, actual: Recreation
46506, predicted: Health, actual: Recreation
46507, predicted: Adult, actual: Recreation
46544, predicted: Recreation, actual: Shopping
46549, predicted: Health, actual: Recreation
46566, predicted: Business, actual: Recreation
46587, predicted: Regional, actual: Recreation
46590, predicted: Science, actual: Recreation
46620, predicted: Science, actual: Recreation
46640, predicted: Arts, actual: Recreation
46684, predicted: Kids, actual: Recreation
46691, predicted: Business, actual: Recreation
46725, predicted: Computers, actual: Recreation
46754, predicted: Science, actual: Recreation
46764, predicted: Computers, actual: Recreation
46765, predicted: Sports, actual: Recreation
46790, predicted: Science, actual: Recreation
46815, predicted: Arts, actual: Recreation
46820, predicted: Arts, actual: Recreation
46847, predicted: Shopping, actual: Recreation
46877, predicted: Computers, actual: Recreation
46898, predicted: Adult, actual: Recreation
46918, predicted: Business, actual: Recreation
46962, predicted: Arts, actual: Recreation
46964, predicted: Health, actual: Recreation
46979, predicted: Arts, actual: Recreation
46988, predicted: Kids, actual: Recreation
47035, predicted: Reference, actual: Recreation
47042, predicted: Arts, actual: Recreation
47047, predicted: Reference, actual: Recreation
47055, predicted: Business, actual: Recreation
47093, predicted: Kids, actual: Recreation
47100, predicted: Health, actual: Recreation
47129, predicted: Business, actual: Recreation
47213, predicted: Business, actual: Recreation
47248, predicted: Kids, actual: Recreation
47263, predicted: Computers, actual: Recreation
47319, predicted: Arts, actual: Reference
47361, predicted: Health, actual: Reference
47375, predicted: News, actual: Reference
47385, predicted: Reference, actual: Society
47392, predicted: Society, actual: Reference
47397, predicted: Business, actual: Reference
47420, predicted: Business, actual: Reference
47441, predicted: Business, actual: Reference
47446, predicted: Arts, actual: Reference
47472, predicted: Business, actual: Reference
47474, predicted: Arts, actual: Reference
47476, predicted: Science, actual: Reference
47490, predicted: Recreation, actual: Reference
47502, predicted: News, actual: Reference
47507, predicted: Business, actual: Reference
47517, predicted: Business, actual: Reference
47529, predicted: Business, actual: Reference
47530, predicted: Business, actual: Reference
47559, predicted: Computers, actual: Reference
47575, predicted: Arts, actual: Reference
47636, predicted: Recreation, actual: Reference
47678, predicted: Business, actual: Reference
47725, predicted: News, actual: Reference
47731, predicted: Health, actual: Reference
47747, predicted: Computers, actual: Reference
47749, predicted: Computers, actual: Reference
47762, predicted: Business, actual: Reference
47770, predicted: Business, actual: Reference
47773, predicted: Arts, actual: Reference
47780, predicted: Business, actual: Reference
47784, predicted: Computers, actual: Reference
47786, predicted: Business, actual: Reference
47810, predicted: Arts, actual: Reference
47818, predicted: Home, actual: Reference
47825, predicted: Business, actual: Reference
47860, predicted: Computers, actual: Reference
47885, predicted: Recreation, actual: Reference
47891, predicted: Kids, actual: Reference
47893, predicted: Computers, actual: Reference
47916, predicted: Reference, actual: Shopping
47965, predicted: Computers, actual: Reference
47984, predicted: Computers, actual: Reference
48029, predicted: Reference, actual: Shopping
48037, predicted: Recreation, actual: Reference
48050, predicted: Kids, actual: Reference
48057, predicted: Science, actual: Reference
48081, predicted: Business, actual: Reference
48108, predicted: Society, actual: Reference
48111, predicted: Science, actual: Reference
48120, predicted: Arts, actual: Reference
48128, predicted: Society, actual: Reference
48194, predicted: Shopping, actual: Reference
48199, predicted: Business, actual: Reference
48246, predicted: Home, actual: Reference
52866, predicted: Science, actual: Reference
47238, predicted: Games, actual: Reference
47311, predicted: Recreation, actual: Reference
47365, predicted: Computers, actual: Reference
47459, predicted: Recreation, actual: Reference
47549, predicted: Health, actual: Reference
49552, predicted: News, actual: Reference
49559, predicted: Science, actual: Reference
49564, predicted: Arts, actual: Reference
49568, predicted: Science, actual: Reference
49574, predicted: Sports, actual: Regional
49587, predicted: News, actual: Regional
49600, predicted: News, actual: Regional
49619, predicted: Business, actual: Regional
49667, predicted: Business, actual: Regional
49697, predicted: News, actual: Regional
49701, predicted: Shopping, actual: Regional
49714, predicted: Arts, actual: Regional
49740, predicted: Shopping, actual: Regional
52669, predicted: Health, actual: Regional
52683, predicted: Health, actual: Regional
52707, predicted: Recreation, actual: Regional
52720, predicted: Health, actual: Regional
52729, predicted: Regional, actual: Society
52733, predicted: Recreation, actual: Regional
52780, predicted: Computers, actual: Regional
52789, predicted: Arts, actual: Regional
52830, predicted: Reference, actual: Regional
52846, predicted: Adult, actual: Regional
52858, predicted: Sports, actual: Regional
58235, predicted: Business, actual: Regional
45211, predicted: Reference, actual: Regional
45276, predicted: Shopping, actual: Regional
45409, predicted: Business, actual: Regional
45627, predicted: Computers, actual: Regional
45832, predicted: Kids, actual: Regional
46425, predicted: Shopping, actual: Science
46510, predicted: Business, actual: Science
46567, predicted: Reference, actual: Science
46887, predicted: Business, actual: Science
46930, predicted: Business, actual: Science
48141, predicted: Business, actual: Science
48168, predicted: Health, actual: Science
48187, predicted: Business, actual: Science
48208, predicted: Business, actual: Science
48234, predicted: Home, actual: Science
48252, predicted: Computers, actual: Science
48267, predicted: Business, actual: Science
48282, predicted: Arts, actual: Science
48323, predicted: News, actual: Science
48330, predicted: Arts, actual: Science
48366, predicted: Home, actual: Science
48368, predicted: Recreation, actual: Science
48473, predicted: Games, actual: Science
48506, predicted: Business, actual: Science
48507, predicted: Computers, actual: Science
48519, predicted: Business, actual: Science
48522, predicted: Kids, actual: Science
48532, predicted: Health, actual: Science
48536, predicted: Society, actual: Science
48566, predicted: Computers, actual: Science
48585, predicted: News, actual: Science
48589, predicted: Kids, actual: Science
48591, predicted: Reference, actual: Science
48613, predicted: News, actual: Science
48630, predicted: Computers, actual: Science
48724, predicted: Computers, actual: Science
48731, predicted: Kids, actual: Science
48753, predicted: Computers, actual: Science
48772, predicted: Business, actual: Science
48871, predicted: Business, actual: Science
48872, predicted: Business, actual: Science
48877, predicted: Business, actual: Science
48960, predicted: Health, actual: Science
49006, predicted: Health, actual: Science
49021, predicted: Business, actual: Science
49043, predicted: Business, actual: Science
49075, predicted: Recreation, actual: Science
49091, predicted: News, actual: Science
49128, predicted: Recreation, actual: Science
49213, predicted: News, actual: Science
49229, predicted: Business, actual: Science
49230, predicted: Business, actual: Science
49253, predicted: News, actual: Science
49260, predicted: Health, actual: Science
49271, predicted: Society, actual: Science
49346, predicted: Society, actual: Science
49358, predicted: Society, actual: Science
49368, predicted: Society, actual: Science
49390, predicted: Business, actual: Science
49408, predicted: Health, actual: Science
49422, predicted: Shopping, actual: Science
49444, predicted: Health, actual: Science
49545, predicted: Adult, actual: Science
51590, predicted: Kids, actual: Science
51614, predicted: Reference, actual: Science
51665, predicted: Business, actual: Science
51691, predicted: Health, actual: Science
51699, predicted: Business, actual: Science
51743, predicted: Reference, actual: Science
51828, predicted: Business, actual: Science
51829, predicted: Business, actual: Science
51923, predicted: Business, actual: Science
51947, predicted: Home, actual: Science
51959, predicted: Business, actual: Science
52060, predicted: Computers, actual: Science
52125, predicted: Computers, actual: Science
52147, predicted: News, actual: Science
52250, predicted: Business, actual: Science
52280, predicted: Reference, actual: Science
52334, predicted: Arts, actual: Science
52405, predicted: Recreation, actual: Science
52427, predicted: Games, actual: Science
52449, predicted: Arts, actual: Science
52457, predicted: Business, actual: Science
52580, predicted: Health, actual: Science
52593, predicted: Home, actual: Science
58230, predicted: Health, actual: Science
4053, predicted: Business, actual: Science
37132, predicted: Health, actual: Science
37290, predicted: Health, actual: Science
37517, predicted: Computers, actual: Science
37932, predicted: Health, actual: Science
38304, predicted: Arts, actual: Science
38330, predicted: Recreation, actual: Science
38405, predicted: Adult, actual: Science
38447, predicted: Recreation, actual: Science
38466, predicted: Business, actual: Science
38496, predicted: Business, actual: Science
38803, predicted: Business, actual: Science
38868, predicted: Reference, actual: Science
39085, predicted: Computers, actual: Science
39604, predicted: Recreation, actual: Science
39656, predicted: Science, actual: Society
39729, predicted: Recreation, actual: Science
40260, predicted: Recreation, actual: Science
40429, predicted: Society, actual: Science
40625, predicted: Reference, actual: Science
40732, predicted: Business, actual: Science
40765, predicted: Business, actual: Science
41219, predicted: Health, actual: Science
41486, predicted: Arts, actual: Science
41642, predicted: Arts, actual: Science
41643, predicted: Arts, actual: Science
42022, predicted: Business, actual: Science
42036, predicted: Business, actual: Science
42195, predicted: Kids, actual: Science
42553, predicted: Health, actual: Science
42583, predicted: Computers, actual: Science
42657, predicted: Business, actual: Science
42707, predicted: Computers, actual: Science
42760, predicted: Recreation, actual: Science
42811, predicted: Computers, actual: Science
42869, predicted: Computers, actual: Science
42914, predicted: Computers, actual: Science
42998, predicted: Computers, actual: Science
43122, predicted: Recreation, actual: Science
43142, predicted: Recreation, actual: Science
43170, predicted: Computers, actual: Science
43354, predicted: News, actual: Science
43400, predicted: Recreation, actual: Science
43533, predicted: Sports, actual: Science
43681, predicted: Business, actual: Science
43692, predicted: Business, actual: Science
43729, predicted: Business, actual: Science
43901, predicted: Computers, actual: Science
43935, predicted: News, actual: Science
44033, predicted: Computers, actual: Science
44037, predicted: Recreation, actual: Science
44085, predicted: Computers, actual: Science
44105, predicted: Business, actual: Science
44131, predicted: Business, actual: Science
44136, predicted: Home, actual: Science
44138, predicted: Recreation, actual: Science
44144, predicted: Recreation, actual: Science
44161, predicted: News, actual: Science
