ref id,Predicted,Actual
44778,['Health', 'Society', 'Business', 'Science'],['Society']
28756,['Computers', 'Science', 'Recreation', 'Business'],['Science']
47330,['Computers', 'Business', 'Science', 'Recreation'],['Science']
25865,['Business', 'Computers', 'Reference', 'Recreation'],['Science']
53326,['Games', 'Sports', 'Society', 'Science'],['Games']
16683,['Health', 'Society', 'Science', 'Business'],['Business']
15402,['Business', 'Computers', 'Recreation', 'Science'],['Science']
52497,['Adult', 'Business', 'Arts', 'Recreation'],['Adult']
28841,['Sports', 'Society', 'Shopping', 'Arts'],['Society']
15153,['Society', 'Recreation', 'Sports', 'Shopping'],['Games']
39619,['Sports', 'Games', 'Society', 'Shopping'],['Society']
8316,['Adult', 'Shopping', 'Computers', 'Business'],['Adult']
58567,['Games', 'Computers', 'Arts', 'Reference'],['Games']
36779,['Games', 'Adult', 'Sports', 'Society'],['Adult']
13187,['Business', 'Science', 'Shopping', 'Health'],['Business']
41514,['Business', 'Arts', 'Adult', 'Computers'],['Arts']
51002,['Science', 'Recreation', 'Society', 'Reference'],['Society']
25738,['Computers', 'Recreation', 'Science', 'Reference'],['Science']
41519,['Society', 'Arts', 'Sports', 'Reference'],['Adult']
15060,['Computers', 'Society', 'Science', 'Recreation'],['Science']
20604,['Games', 'Computers', 'Business', 'Arts'],['Adult']
28443,['Health', 'Business', 'Shopping', 'Science'],['Health']
21668,['Arts', 'Recreation', 'Health', 'Business'],['Arts']
25910,['Recreation', 'Games', 'Arts', 'Sports'],['Science']
44651,['Shopping', 'Business', 'Arts', 'Reference'],['Business']
16376,['Science', 'Recreation', 'Health', 'Computers'],['Science']
5112,['Adult', 'Arts', 'Shopping', 'Computers'],['Adult']
6935,['Science', 'Reference', 'Computers', 'Society'],['Science']
38661,['Health', 'Arts', 'Science', 'Recreation'],['Health']
12632,['Science', 'Business', 'Computers', 'Shopping'],['Science']
28954,['Arts', 'Adult', 'Reference', 'Recreation'],['Arts', 'Business']
24013,['Arts', 'Society', 'Recreation', 'Computers'],['Arts']
44736,['Business', 'Science', 'Computers', 'Health'],['Business']
15819,['Business', 'Health', 'Sports', 'Society'],['Science']
7167,['Adult', 'Society', 'Sports', 'Arts'],['Adult']
7607,['Society', 'Sports', 'Recreation', 'Games'],['Society']
29614,['Adult', 'Sports', 'Shopping', 'Recreation'],['Adult']
3510,['Business', 'Recreation', 'Society', 'Computers'],['Science']
35394,['Adult', 'Society', 'Recreation', 'Sports'],['Adult']
29348,['Society', 'Adult', 'Sports', 'Shopping'],['Adult']
25431,['Society', 'Computers', 'Science', 'Reference'],['Society']
53723,['Games', 'Sports', 'Health', 'Business'],['Games']
23655,['Health', 'Arts', 'Sports', 'Society'],['Health']
54147,['Recreation', 'Health', 'Science', 'Adult'],['Health']
4967,['Business', 'Computers', 'Arts', 'Science'],['Science']
12541,['Society', 'Sports', 'Shopping', 'Recreation'],['Society']
35836,['Shopping', 'Business', 'Arts', 'Science'],['Games']
42352,['Adult', 'Society', 'Shopping', 'Games'],['Adult']
47686,['Society', 'Adult', 'Sports', 'Shopping'],['Adult']
52399,['Adult', 'Recreation', 'Arts', 'Sports'],['Adult']
10659,['Games', 'Adult', 'Sports', 'Society'],['Games']
46506,['Sports', 'Science', 'Recreation', 'Computers'],['Games']
11248,['Business', 'Society', 'Health', 'Computers'],['Health']
47203,['Science', 'Business', 'Computers', 'Reference'],['Science']
12995,['Sports', 'Society', 'Shopping', 'Health'],['Society']
10191,['Adult', 'Shopping', 'Sports', 'Society'],['Adult']
12364,['Adult', 'Shopping', 'Sports', 'Society'],['Adult']
31996,['Shopping', 'Recreation', 'Sports', 'Science'],['Business']
7023,['Society', 'Reference', 'Recreation', 'Health'],['Society']
30861,['Games', 'Arts', 'Sports', 'Computers'],['Games']
26172,['Recreation', 'Health', 'Business', 'Reference'],['Health']
57185,['Business', 'Science', 'Health', 'Computers'],['Health']
41576,['Sports', 'Recreation', 'Science', 'Health'],['Adult']
46449,['Sports', 'Computers', 'Health', 'Games'],['Games']
44791,['Sports', 'Arts', 'Society', 'Shopping'],['Games']
54982,['Arts', 'Health', 'Games', 'Computers'],['Arts']
32536,['Society', 'Business', 'Computers', 'Shopping'],['Adult']
715,['Arts', 'Business', 'Shopping', 'Recreation'],['Arts']
52092,['Arts', 'Reference', 'Recreation', 'Science'],['Science']
50012,['Sports', 'Recreation', 'Society', 'Shopping'],['Business']
47991,['Arts', 'Health', 'Society', 'Science'],['Science']
43428,['Adult', 'Society', 'Sports', 'Shopping'],['Adult']
3185,['Science', 'Computers', 'Reference', 'Health'],['Science']
22526,['Sports', 'Arts', 'Society', 'Shopping'],['Society']
44040,['Health', 'Computers', 'Recreation', 'Business'],['Health']
9490,['Games', 'Reference', 'Recreation', 'Computers'],['Arts']
5915,['Business', 'Shopping', 'Science', 'Health'],['Business']
42326,['Business', 'Recreation', 'Computers', 'Shopping'],['Business']
45689,['Recreation', 'Arts', 'Business', 'Science'],['Science']
50337,['Business', 'Society', 'Shopping', 'Sports'],['Adult']
53735,['Adult', 'Computers', 'Recreation', 'Sports'],['Adult']
36914,['Health', 'Business', 'Sports', 'Society'],['Health']
9816,['Computers', 'Arts', 'Sports', 'Science'],['Games']
31939,['Science', 'Computers', 'Health', 'Sports'],['Science']
55168,['Health', 'Adult', 'Science', 'Recreation'],['Health']
54743,['Recreation', 'Health', 'Science', 'Games'],['Health']
13261,['Health', 'Science', 'Recreation', 'Sports'],['Science']
23675,['Society', 'Science', 'Sports', 'Recreation'],['Society']
27733,['Business', 'Shopping', 'Sports', 'Society'],['Business']
45799,['Society', 'Games', 'Arts', 'Sports'],['Games']
42271,['Health', 'Business', 'Sports', 'Society'],['Health']
29690,['Shopping', 'Society', 'Games', 'Recreation'],['Society']
39422,['Business', 'Arts', 'Reference', 'Recreation'],['Business']
10306,['Business', 'Computers', 'Health', 'Science'],['Health']
28448,['Science', 'Business', 'Reference', 'Recreation'],['Science']
12448,['Business', 'Science', 'Recreation', 'Society'],['Business']
586,['Health', 'Science', 'Recreation', 'Computers'],['Science']
49183,['Business', 'Computers', 'Sports', 'Society'],['Business']
39403,['Society', 'Health', 'Sports', 'Computers'],['Games']
8974,['Recreation', 'Business', 'Computers', 'Arts'],['Business']
37615,['Science', 'Business', 'Reference', 'Recreation'],['Business']
33632,['Sports', 'Recreation', 'Health', 'Society'],['Society']
33300,['Reference', 'Recreation', 'Games', 'Business'],['Health']
30646,['Health', 'Sports', 'Society', 'Shopping'],['Health']
152,['Computers', 'Business', 'Society', 'Health'],['Society']
36067,['Adult', 'Society', 'Sports', 'Shopping'],['Adult']
3460,['Health', 'Business', 'Science', 'Reference'],['Health']
17134,['Business', 'Science', 'Recreation', 'Games'],['Science']
34938,['Health', 'Society', 'Computers', 'Business'],['Society']
35757,['Business', 'Recreation', 'Shopping', 'Games'],['Business']
43463,['Business', 'Health', 'Shopping', 'Recreation'],['Business']
44022,['Health', 'Business', 'Reference', 'Arts'],['Health']
47670,['Adult', 'Sports', 'Society', 'Shopping'],['Adult']
34799,['Business', 'Science', 'Shopping', 'Health'],['Business']
4807,['Games', 'Arts', 'Society', 'Shopping'],['Games']
48280,['Health', 'Business', 'Science', 'Recreation'],['Health']
7852,['Society', 'Health', 'Sports', 'Reference'],['Society']
40983,['Adult', 'Society', 'Shopping', 'Computers'],['Adult']
39744,['Business', 'Science', 'Reference', 'Computers'],['Business']
6386,['Computers', 'Society', 'Shopping', 'Recreation'],['Adult']
47163,['Business', 'Shopping', 'Health', 'Recreation'],['Shopping', 'Business']
53244,['Sports', 'Society', 'Shopping', 'Health'],['Society']
9818,['Sports', 'Society', 'Health', 'Shopping'],['Society']
14591,['Shopping', 'Society', 'Health', 'Adult'],['Adult']
44620,['Games', 'Sports', 'Computers', 'Society'],['Games']
44247,['Science', 'Recreation', 'Health', 'Computers'],['Science']
30822,['Sports', 'Arts', 'Shopping', 'Business'],['Adult']
44081,['Science', 'Business', 'Health', 'Reference'],['Health']
35835,['Adult', 'Society', 'Computers', 'Arts'],['Adult']
53997,['Shopping', 'Games', 'Business', 'Arts'],['Adult']
54409,['Business', 'Science', 'Computers', 'Arts'],['Science']
10924,['Society', 'Health', 'Business', 'Sports'],['Society']
53026,['Adult', 'Society', 'Shopping', 'Business'],['Adult']
23248,['Computers', 'Recreation', 'Business', 'Adult'],['Computers']
57861,['Health', 'Science', 'Recreation', 'Sports'],['Health']
5049,['Health', 'Computers', 'Sports', 'Society'],['Health']
21614,['Shopping', 'Adult', 'Recreation', 'Sports'],['Adult']
38905,['Business', 'Science', 'Society', 'Sports'],['Business']
16253,['Society', 'Shopping', 'Adult', 'Games'],['Adult']
32858,['Games', 'Arts', 'Recreation', 'Business'],['Business']
58833,['Business', 'Computers', 'Recreation', 'Arts'],['Business']
46193,['Science', 'Computers', 'Reference', 'Recreation'],['Science']
27940,['Health', 'Games', 'Adult', 'Sports'],['Games']
43316,['Games', 'Sports', 'Shopping', 'Society'],['Games']
24871,['Shopping', 'Health', 'Sports', 'Society'],['Adult']
16115,['Science', 'Health', 'Recreation', 'Computers'],['Science']
17311,['Sports', 'Shopping', 'Science', 'Society'],['Society']
16753,['Business', 'Health', 'Computers', 'Science'],['Computers']
25662,['Science', 'Recreation', 'Computers', 'Reference'],['Science']
3876,['Shopping', 'Recreation', 'Arts', 'Science'],['Science']
15139,['Computers', 'Recreation', 'Games', 'Arts'],['Health']
49430,['Business', 'Adult', 'Society', 'Science'],['Business']
39857,['Recreation', 'Business', 'Health', 'Games'],['Business']
41080,['Health', 'Business', 'Society', 'Shopping'],['Science']
7110,['Society', 'Sports', 'Shopping', 'Science'],['Society']
50287,['Business', 'Science', 'Computers', 'Recreation'],['Health']
57402,['Health', 'Reference', 'Computers', 'Sports'],['Health']
13372,['Business', 'Society', 'Science', 'Computers'],['Business']
29452,['Society', 'Health', 'Arts', 'Sports'],['Society']
37157,['Science', 'Sports', 'Society', 'Shopping'],['Science']
53511,['Adult', 'Sports', 'Society', 'Shopping'],['Adult']
51204,['Recreation', 'Arts', 'Shopping', 'Computers'],['Health']
50382,['Society', 'Science', 'Recreation', 'Games'],['Science']
50568,['Business', 'Computers', 'Sports', 'Society'],['Business']
34250,['Games', 'Health', 'Sports', 'Society'],['Games']
58041,['Arts', 'Games', 'Recreation', 'Computers'],['Games']
28092,['Society', 'Business', 'Sports', 'Shopping'],['Society']
38520,['Society', 'Health', 'Sports', 'Shopping'],['Society']
31914,['Science', 'Sports', 'Society', 'Shopping'],['Science']
12335,['Society', 'Shopping', 'Recreation', 'Health'],['Society']
1604,['Sports', 'Shopping', 'Games', 'Computers'],['Games']
25790,['Science', 'Recreation', 'Business', 'Sports'],['Society']
10370,['Society', 'Reference', 'Computers', 'Sports'],['Society']
47028,['Society', 'Shopping', 'Sports', 'Computers'],['Society']
4377,['Shopping', 'Sports', 'Health', 'Society'],['Games']
56615,['Business', 'Sports', 'Society', 'Recreation'],['Business']
15074,['Sports', 'Society', 'Adult', 'Science'],['Games']
185,['Business', 'Reference', 'Computers', 'Science'],['Health']
11283,['Adult', 'Sports', 'Society', 'Shopping'],['Adult']
20644,['Sports', 'Society', 'Recreation', 'Computers'],['Adult']
3813,['Society', 'Business', 'Computers', 'Science'],['Business']
50732,['Shopping', 'Society', 'Computers', 'Adult'],['Adult']
53690,['Society', 'Business', 'Sports', 'Computers'],['Adult']
14110,['Games', 'Business', 'Shopping', 'Arts'],['Games']
17097,['Health', 'Science', 'Arts', 'Sports'],['Science']
11087,['Health', 'Science', 'Computers', 'Business'],['Health']
42334,['Health', 'Reference', 'Sports', 'Society'],['Health']
51438,['Science', 'Recreation', 'Games', 'Computers'],['Science']
58541,['Games', 'Business', 'Recreation', 'Computers'],['Games']
34615,['Recreation', 'Society', 'Shopping', 'Health'],['Health']
19618,['Arts', 'Society', 'Reference', 'Sports'],['Society']
25291,['Health', 'Sports', 'Society', 'Shopping'],['Health']
4158,['Sports', 'Society', 'Recreation', 'Games'],['Adult']
36313,['Health', 'Business', 'Society', 'Recreation'],['Health']
39319,['Games', 'Computers', 'Arts', 'Sports'],['Games']
23107,['Society', 'Arts', 'Recreation', 'Sports'],['Society']
42422,['Society', 'Games', 'Business', 'Science'],['Arts']
26246,['Business', 'Science', 'Computers', 'Sports'],['Science']
37376,['Business', 'Science', 'Computers', 'Shopping'],['Business']
36262,['Health', 'Science', 'Business', 'Sports'],['Health']
10414,['Society', 'Arts', 'Sports', 'Science'],['Society']
58227,['Health', 'Society', 'Business', 'Shopping'],['Health']
21970,['Society', 'Sports', 'Health', 'Business'],['Society']
17754,['Games', 'Computers', 'Business', 'Arts'],['Games']
4645,['Health', 'Business', 'Science', 'Reference'],['Health']
17476,['Health', 'Society', 'Computers', 'Business'],['Health']
52152,['Business', 'Recreation', 'Health', 'Society'],['Business']
6963,['Games', 'Recreation', 'Arts', 'Sports'],['Games']
57237,['Reference', 'Recreation', 'Business', 'Science'],['Business']
599,['Shopping', 'Society', 'Sports', 'Science'],['Society']
17264,['Science', 'Computers', 'Health', 'Business'],['Science']
11187,['Society', 'Shopping', 'Business', 'Arts'],['Society']
29076,['Health', 'Business', 'Recreation', 'Sports'],['Health']
44566,['Computers', 'Recreation', 'Games', 'Arts'],['Games']
53634,['Arts', 'Computers', 'Shopping', 'Health'],['Arts']
43016,['Reference', 'Recreation', 'Sports', 'Shopping'],['Games']
51982,['Science', 'Health', 'Reference', 'Games'],['Science']
54947,['Shopping', 'Arts', 'Sports', 'Society'],['Arts']
8022,['Science', 'Computers', 'Arts', 'Adult'],['Science']
21736,['Society', 'Business', 'Health', 'Adult'],['Society']
17291,['Society', 'Health', 'Sports', 'Science'],['Health']
23619,['Recreation', 'Sports', 'Science', 'Reference'],['Health']
26985,['Business', 'Science', 'Arts', 'Society'],['Science']
1210,['Health', 'Science', 'Reference', 'Arts'],['Health']
50814,['Arts', 'Recreation', 'Computers', 'Sports'],['Arts']
32632,['Science', 'Recreation', 'Health', 'Computers'],['Science']
32853,['Science', 'Health', 'Computers', 'Reference'],['Health', 'Reference']
24524,['Business', 'Health', 'Shopping', 'Sports'],['Health']
53443,['Computers', 'Society', 'Science', 'Business'],['Health']
3627,['Business', 'Computers', 'Science', 'Health'],['Science']
58615,['Business', 'Recreation', 'Science', 'Computers'],['Business']
54958,['Health', 'Society', 'Games', 'Arts'],['Health']
47083,['Science', 'Computers', 'Reference', 'Recreation'],['Science']
51409,['Arts', 'Business', 'Sports', 'Society'],['Arts']
45546,['Business', 'Computers', 'Shopping', 'Science'],['Business', 'Computers']
57634,['Health', 'Adult', 'Recreation', 'Society'],['Health']
27265,['Health', 'Business', 'Computers', 'Sports'],['Health']
39320,['Society', 'Arts', 'Shopping', 'Recreation'],['Arts']
43166,['Health', 'Science', 'Business', 'Sports'],['Health']
2702,['Health', 'Science', 'Reference', 'Computers'],['Health']
44324,['Science', 'Reference', 'Health', 'Computers'],['Science']
4593,['Sports', 'Shopping', 'Recreation', 'Computers'],['Arts']
49406,['Arts', 'Health', 'Sports', 'Society'],['Health']
35322,['Health', 'Recreation', 'Adult', 'Society'],['Health']
41037,['Health', 'Recreation', 'Computers', 'Science'],['Health']
34180,['Business', 'Science', 'Society', 'Reference'],['Science']
29754,['Business', 'Recreation', 'Health', 'Science'],['Business']
36455,['Business', 'Health', 'Arts', 'Science'],['Health']
11118,['Computers', 'Sports', 'Reference', 'Health'],['Science']
41841,['Business', 'Reference', 'Recreation', 'Health'],['Business']
15400,['Business', 'Science', 'Reference', 'Computers'],['Business']
32366,['Society', 'Shopping', 'Reference', 'Recreation'],['Health']
52483,['Health', 'Science', 'Reference', 'Sports'],['Science']
46305,['Science', 'Health', 'Reference', 'Recreation'],['Science']
51296,['Computers', 'Shopping', 'Business', 'Sports'],['Arts']
44913,['Health', 'Shopping', 'Recreation', 'Reference'],['Health']
6751,['Society', 'Reference', 'Health', 'Computers'],['Society']
35108,['Recreation', 'Science', 'Health', 'Games'],['Science']
34400,['Arts', 'Sports', 'Society', 'Business'],['Society']
16763,['Society', 'Science', 'Computers', 'Health'],['Health']
39657,['Recreation', 'Arts', 'Society', 'Shopping'],['Health']
17005,['Society', 'Business', 'Health', 'Reference'],['Society']
3201,['Sports', 'Health', 'Business', 'Recreation'],['Science']
33578,['Arts', 'Computers', 'Games', 'Business'],['Arts']
1944,['Science', 'Sports', 'Society', 'Shopping'],['Arts']
27084,['Reference', 'Arts', 'Computers', 'Business'],['Arts']
4011,['Business', 'Computers', 'Science', 'Reference'],['Business']
40970,['Business', 'Sports', 'Health', 'Recreation'],['Health']
51442,['Business', 'Sports', 'Society', 'Shopping'],['Science']
51577,['Society', 'Shopping', 'Sports', 'Computers'],['Health']
14546,['Business', 'Computers', 'Science', 'Recreation'],['Health']
54787,['Society', 'Health', 'Shopping', 'Recreation'],['Arts']
11827,['Arts', 'Sports', 'Society', 'Shopping'],['Arts']
32167,['Recreation', 'Shopping', 'Science', 'Reference'],['Science']
2060,['Health', 'Reference', 'Recreation', 'Business'],['Health']
53127,['Recreation', 'Arts', 'Science', 'Adult'],['Health']
4457,['Arts', 'Society', 'Shopping', 'Computers'],['Science']
45722,['Computers', 'Business', 'Sports', 'Science'],['Science']
47291,['Sports', 'Society', 'Shopping', 'Reference'],['Society']
11964,['Society', 'Health', 'Sports', 'Reference'],['Society']
41947,['Society', 'Science', 'Health', 'Business'],['Society']
45860,['Shopping', 'Computers', 'Sports', 'Society'],['Science']
1921,['Arts', 'Games', 'Sports', 'Society'],['Arts']
7088,['Health', 'Society', 'Business', 'Sports'],['Health']
9451,['Arts', 'Business', 'Sports', 'Society'],['Health']
11810,['Arts', 'Games', 'Sports', 'Society'],['Arts']
528,['Business', 'Sports', 'Society', 'Shopping'],['Society']
14371,['Business', 'Health', 'Computers', 'Sports'],['Business']
37242,['Computers', 'Science', 'Health', 'Business'],['Science']
3777,['Business', 'Computers', 'Sports', 'Society'],['Science', 'Business']
43530,['Society', 'Arts', 'Sports', 'Health'],['Society']
4572,['Computers', 'Society', 'Games', 'Arts'],['Health']
10807,['Business', 'Recreation', 'Computers', 'Arts'],['Business']
38813,['Society', 'Health', 'Science', 'Reference'],['Society']
6168,['Society', 'Arts', 'Shopping', 'Science'],['Business']
349,['Shopping', 'Society', 'Health', 'Computers'],['Health']
16119,['Business', 'Health', 'Recreation', 'Computers'],['Health']
36837,['Computers', 'Health', 'Business', 'Society'],['Science']
8372,['Society', 'Computers', 'Sports', 'Science'],['Society']
1745,['Health', 'Recreation', 'Business', 'Sports'],['Health']
29650,['Shopping', 'Sports', 'Society', 'Reference'],['Society']
45307,['Recreation', 'Sports', 'Games', 'Arts'],['Society']
51077,['Business', 'Shopping', 'Society', 'Games'],['Society']
13287,['Health', 'Business', 'Recreation', 'Games'],['Health']
11369,['Business', 'Science', 'Computers', 'Sports'],['Reference']
46914,['Business', 'Science', 'Shopping', 'Computers'],['Business']
58803,['Arts', 'Sports', 'Society', 'Shopping'],['Arts']
2227,['Business', 'Shopping', 'Arts', 'Sports'],['Health']
24697,['Computers', 'Sports', 'Shopping', 'Recreation'],['Business']
46323,['Arts', 'Sports', 'Society', 'Shopping'],['Arts']
32629,['Business', 'Society', 'Reference', 'Health'],['Business']
12208,['Arts', 'Health', 'Sports', 'Society'],['Arts']
1324,['Arts', 'Sports', 'Society', 'Shopping'],['Arts']
14498,['Society', 'Shopping', 'Recreation', 'Health'],['Health']
45680,['Health', 'Business', 'Arts', 'Sports'],['Health']
12569,['Recreation', 'Computers', 'Science', 'Health'],['Science']
29423,['Health', 'Recreation', 'Business', 'Sports'],['Health']
41826,['Business', 'Health', 'Society', 'Recreation'],['Health']
5393,['Recreation', 'Sports', 'Society', 'Games'],['Health']
47479,['Recreation', 'Health', 'Reference', 'Business'],['Health']
37549,['Business', 'Science', 'Recreation', 'Reference'],['Business']
57274,['Society', 'Health', 'Adult', 'Sports'],['Society']
35057,['Arts', 'Shopping', 'Sports', 'Society'],['Arts']
36744,['Business', 'Shopping', 'Science', 'Health'],['Business']
31511,['Society', 'Arts', 'Shopping', 'Games'],['Society']
6888,['Arts', 'Sports', 'Society', 'Shopping'],['Arts']
52666,['Science', 'Reference', 'Computers', 'Arts'],['Science']
53165,['Arts', 'Recreation', 'Sports', 'Society'],['Recreation']
21031,['Shopping', 'Society', 'Sports', 'Arts'],['Society']
14086,['Arts', 'Business', 'Society', 'Shopping'],['Arts']
10549,['Society', 'Computers', 'Arts', 'Sports'],['Science']
40109,['Business', 'Science', 'Health', 'Reference'],['Science', 'Society']
47470,['Society', 'Computers', 'Business', 'Adult'],['Society']
17122,['Health', 'Business', 'Recreation', 'Science'],['Health']
48681,['Health', 'Business', 'Society', 'Computers'],['Health']
37215,['Computers', 'Business', 'Arts', 'Society'],['Recreation']
43615,['Arts', 'Reference', 'Sports', 'Society'],['Arts']
51504,['Arts', 'Recreation', 'Shopping', 'Science'],['Recreation']
28579,['Health', 'Society', 'Business', 'Arts'],['Health']
1880,['Society', 'Shopping', 'Science', 'Reference'],['Health']
26036,['Health', 'Arts', 'Reference', 'Business'],['Society']
15340,['Business', 'Reference', 'Society', 'Recreation'],['Recreation']
24714,['Sports', 'Reference', 'Health', 'Games'],['Society']
32557,['Society', 'Shopping', 'Sports', 'Business'],['Society']
41912,['Health', 'Sports', 'Society', 'Shopping'],['Health']
21618,['Recreation', 'Business', 'Science', 'Computers'],['Science']
54709,['Health', 'Recreation', 'Shopping', 'Computers'],['Health']
43061,['Recreation', 'Business', 'Shopping', 'Science'],['Recreation']
39507,['Health', 'Science', 'Reference', 'Business'],['Health']
31398,['Arts', 'Sports', 'Society', 'Shopping'],['Arts']
14649,['Business', 'Health', 'Science', 'Reference'],['Health']
29645,['Science', 'Recreation', 'Computers', 'Society'],['Recreation']
43319,['Arts', 'Society', 'Games', 'Adult'],['Arts']
25801,['Business', 'Science', 'Recreation', 'Health'],['Recreation']
46152,['Health', 'Recreation', 'Science', 'Business'],['Health']
39679,['Health', 'Recreation', 'Science', 'Games'],['Health']
47797,['Sports', 'Society', 'Business', 'Shopping'],['Society']
10494,['Sports', 'Society', 'Shopping', 'Science'],['Shopping']
42622,['Recreation', 'Reference', 'Arts', 'Science'],['Arts']
42081,['Health', 'Sports', 'Society', 'Shopping'],['Health']
20312,['Arts', 'Society', 'Sports', 'Adult'],['Arts']
2990,['Recreation', 'Computers', 'Business', 'Arts'],['Recreation']
11877,['Business', 'Health', 'Sports', 'Society'],['Business']
37642,['Health', 'Science', 'Business', 'Sports'],['Science']
26422,['Health', 'Arts', 'Science', 'Business'],['Health']
51052,['Society', 'Adult', 'Sports', 'Shopping'],['Society']
40385,['Arts', 'Society', 'Sports', 'Shopping'],['Arts']
54679,['Arts', 'Shopping', 'Society', 'Sports'],['Arts']
14077,['Health', 'Science', 'Reference', 'Business'],['Health']
45911,['Arts', 'Society', 'Sports', 'Shopping'],['Arts']
36926,['Shopping', 'Sports', 'Business', 'Society'],['Society']
40975,['Society', 'Health', 'Sports', 'Shopping'],['Society']
43584,['Games', 'Computers', 'Reference', 'Recreation'],['Science']
4064,['Arts', 'Shopping', 'Sports', 'Society'],['Arts']
33527,['Computers', 'Business', 'Arts', 'Recreation'],['Recreation']
17280,['Sports', 'Health', 'Society', 'Shopping'],['Science']
4662,['Business', 'Science', 'Recreation', 'Health'],['Business']
20599,['Adult', 'Society', 'Shopping', 'Computers'],['Society']
47047,['Arts', 'Society', 'Recreation', 'Games'],['Arts']
47948,['Health', 'Society', 'Sports', 'Business'],['Health']
14181,['Society', 'Arts', 'Sports', 'Science'],['Society']
17181,['Health', 'Science', 'Society', 'Shopping'],['Health']
58587,['Business', 'Recreation', 'Shopping', 'Science'],['Business']
2155,['Business', 'Shopping', 'Computers', 'Arts'],['Recreation']
38381,['Health', 'Society', 'Sports', 'Shopping'],['Health']
17828,['Computers', 'Science', 'Recreation', 'Games'],['Health']
13626,['Science', 'Business', 'Games', 'Arts'],['Business']
53458,['Recreation', 'Science', 'Health', 'Business'],['Health']
41070,['Computers', 'Reference', 'Games', 'Arts'],['Science']
28361,['Shopping', 'Arts', 'Business', 'Sports'],['Arts']
37307,['Sports', 'Society', 'Health', 'Shopping'],['Society']
55469,['Health', 'Adult', 'Sports', 'Shopping'],['Arts']
58393,['Business', 'Science', 'Reference', 'Recreation'],['Business']
6049,['Health', 'Recreation', 'Business', 'Science'],['Health']
11380,['Reference', 'Science', 'Business', 'Recreation'],['Health']
34351,['Science', 'Computers', 'Recreation', 'Health'],['Science']
37140,['Business', 'Science', 'Health', 'Arts'],['Health']
44362,['Health', 'Reference', 'Computers', 'Recreation'],['Health']
