ref id,Predicted,Actual
44778,['Society', 'Business', 'Health', 'Arts'],['Society']
3510,['Business', 'Shopping', 'Science', 'Computers'],['Science']
35394,['Adult', 'Shopping', 'Business', 'Society'],['Adult']
29348,['Adult', 'Shopping', 'Sports', 'Arts'],['Adult']
25431,['Shopping', 'Business', 'Science', 'Society'],['Society']
53723,['Games', 'Sports', 'Shopping', 'Computers'],['Games']
23655,['Health', 'Business', 'Arts', 'Recreation'],['Health']
54147,['Health', 'Science', 'Business', 'Recreation'],['Health']
4967,['Business', 'Science', 'Recreation', 'Arts'],['Science']
12541,['Society', 'Business', 'Health', 'Shopping'],['Society']
35836,['Business', 'Sports', 'Shopping', 'Arts'],['Games']
42352,['Adult', 'Shopping', 'Society', 'Business'],['Adult']
47686,['Shopping', 'Sports', 'Business', 'Computers'],['Adult']
52399,['Adult', 'Society', 'Sports', 'Recreation'],['Adult']
10659,['Games', 'Health', 'Sports', 'Business'],['Games']
46506,['Games', 'Computers', 'Sports', 'Society'],['Games']
11248,['Health', 'Business', 'Computers', 'Science'],['Health']
47203,['Sports', 'Computers', 'Arts', 'Science'],['Science']
12995,['Society', 'Arts', 'Business', 'Sports'],['Society']
10191,['Shopping', 'Business', 'Adult', 'Recreation'],['Adult']
12364,['Adult', 'Shopping', 'Arts', 'Recreation'],['Adult']
31996,['Business', 'Arts', 'Society', 'Science'],['Business']
7023,['Society', 'Shopping', 'Business', 'Computers'],['Society']
30861,['Games', 'Shopping', 'Business', 'Computers'],['Games']
26172,['Health', 'Shopping', 'Recreation', 'Business'],['Health']
57185,['Health', 'Business', 'Science', 'Computers'],['Health']
41576,['Shopping', 'Sports', 'Recreation', 'Business'],['Adult']
46449,['Recreation', 'Business', 'Shopping', 'Computers'],['Games']
44791,['Games', 'Computers', 'Shopping', 'Society'],['Games']
54982,['Computers', 'Business', 'Recreation', 'Games'],['Arts']
32536,['Computers', 'Shopping', 'Arts', 'Business'],['Adult']
715,['Arts', 'Business', 'Recreation', 'Computers'],['Arts']
52092,['Arts', 'Recreation', 'Science', 'Computers'],['Science']
50012,['Business', 'Shopping', 'Society', 'Science'],['Business']
47991,['Science', 'Health', 'Recreation', 'Society'],['Science']
43428,['Adult', 'Shopping', 'Business', 'Computers'],['Adult']
3185,['Science', 'Computers', 'Reference', 'Recreation'],['Science']
22526,['Arts', 'Sports', 'Shopping', 'Recreation'],['Society']
44040,['Health', 'Recreation', 'Business', 'Games'],['Health']
9490,['Arts', 'Business', 'Recreation', 'Society'],['Arts']
5915,['Shopping', 'Business', 'Science', 'Arts'],['Business']
42326,['Business', 'Shopping', 'Recreation', 'Arts'],['Business']
45689,['Recreation', 'Arts', 'Computers', 'Business'],['Science']
50337,['Business', 'Society', 'Shopping', 'Arts'],['Adult']
53735,['Adult', 'Business', 'Society', 'Shopping'],['Adult']
36914,['Health', 'Business', 'Recreation', 'Computers'],['Health']
9816,['Shopping', 'Games', 'Business', 'Computers'],['Games']
31939,['Science', 'Computers', 'Recreation', 'Reference'],['Science']
55168,['Health', 'Recreation', 'Business', 'Games'],['Health']
54743,['Recreation', 'Arts', 'Business', 'Science'],['Health']
13261,['Health', 'Computers', 'Science', 'Society'],['Science']
23675,['Arts', 'Society', 'Sports', 'Business'],['Society']
27733,['Business', 'Computers', 'Shopping', 'Recreation'],['Business']
45799,['Arts', 'Shopping', 'Business', 'Society'],['Games']
42271,['Health', 'Business', 'Recreation', 'Science'],['Health']
29690,['Health', 'Society', 'Business', 'Shopping'],['Society']
39422,['Business', 'Recreation', 'Health', 'Computers'],['Business']
10306,['Business', 'Health', 'Arts', 'Computers'],['Health']
28448,['Science', 'Reference', 'Society', 'Computers'],['Science']
12448,['Business', 'Science', 'Recreation', 'Computers'],['Business']
586,['Science', 'Health', 'Computers', 'Society'],['Science']
49183,['Business', 'Computers', 'Science', 'Reference'],['Business']
39403,['Arts', 'Society', 'Recreation', 'Sports'],['Games']
8974,['Business', 'Arts', 'Recreation', 'Computers'],['Business']
37615,['Business', 'Computers', 'Recreation', 'Reference'],['Business']
33632,['Society', 'Business', 'Sports', 'Arts'],['Society']
33300,['Health', 'Business', 'Recreation', 'Computers'],['Health']
30646,['Business', 'Health', 'Science', 'Arts'],['Health']
152,['Business', 'Society', 'Computers', 'Shopping'],['Society']
36067,['Adult', 'Business', 'Recreation', 'Sports'],['Adult']
3460,['Business', 'Computers', 'Health', 'Recreation'],['Health']
17134,['Science', 'Business', 'Society', 'Reference'],['Science']
34938,['Society', 'Health', 'Business', 'Arts'],['Society']
35757,['Shopping', 'Arts', 'Business', 'Recreation'],['Business']
43463,['Business', 'Shopping', 'Recreation', 'Arts'],['Business']
44022,['Health', 'Business', 'Recreation', 'Arts'],['Health']
47670,['Adult', 'Shopping', 'Business', 'Recreation'],['Adult']
34799,['Business', 'Health', 'Society', 'Arts'],['Business']
4807,['Arts', 'Games', 'Computers', 'Society'],['Games']
48280,['Health', 'Business', 'Computers', 'Reference'],['Health']
7852,['Society', 'Business', 'Science', 'Reference'],['Society']
40983,['Business', 'Shopping', 'Recreation', 'Computers'],['Adult']
39744,['Business', 'Computers', 'Science', 'Recreation'],['Business']
6386,['Business', 'Adult', 'Computers', 'Shopping'],['Adult']
47163,['Business', 'Shopping', 'Computers', 'Arts'],['Shopping', 'Business']
53244,['Business', 'Society', 'Computers', 'Arts'],['Society']
9818,['Sports', 'Recreation', 'Business', 'Arts'],['Society']
14591,['Shopping', 'Business', 'Society', 'Arts'],['Adult']
44620,['Games', 'Sports', 'Shopping', 'Business'],['Games']
44247,['Science', 'Recreation', 'Health', 'Reference'],['Science']
30822,['Shopping', 'Business', 'Arts', 'Society'],['Adult']
44081,['Health', 'Business', 'Recreation', 'Computers'],['Health']
35835,['Adult', 'Society', 'Shopping', 'Business'],['Adult']
53997,['Shopping', 'Adult', 'Business', 'Arts'],['Adult']
54409,['Computers', 'Business', 'Science', 'Health'],['Science']
10924,['Society', 'Health', 'Business', 'Arts'],['Society']
53026,['Adult', 'Shopping', 'Business', 'Society'],['Adult']
23248,['Shopping', 'Business', 'Recreation', 'Computers'],['Computers']
57861,['Health', 'Science', 'Arts', 'Reference'],['Health']
5049,['Health', 'Arts', 'Science', 'Business'],['Health']
21614,['Adult', 'Shopping', 'Business', 'Arts'],['Adult']
38905,['Business', 'Science', 'Computers', 'Shopping'],['Business']
16253,['Society', 'Business', 'Sports', 'Shopping'],['Adult']
32858,['Recreation', 'Business', 'Games', 'Computers'],['Business']
58833,['Business', 'Computers', 'Reference', 'Society'],['Business']
46193,['Science', 'Computers', 'Recreation', 'Business'],['Science']
27940,['Games', 'Health', 'Sports', 'Business'],['Games']
43316,['Games', 'Sports', 'Shopping', 'Business'],['Games']
24871,['Shopping', 'Business', 'Arts', 'Society'],['Adult']
16115,['Science', 'Recreation', 'Computers', 'Business'],['Science']
17311,['Business', 'Shopping', 'Society', 'Recreation'],['Society']
16753,['Computers', 'Business', 'Reference', 'Science'],['Computers']
25662,['Science', 'Society', 'Business', 'Computers'],['Science']
3876,['Shopping', 'Business', 'Arts', 'Recreation'],['Science']
15139,['Health', 'Business', 'Recreation', 'Computers'],['Health']
49430,['Business', 'Reference', 'Science', 'Recreation'],['Business']
39857,['Business', 'Recreation', 'Arts', 'Computers'],['Business']
41080,['Science', 'Computers', 'Reference', 'Society'],['Science']
7110,['Society', 'Business', 'Computers', 'Arts'],['Society']
50287,['Health', 'Business', 'Recreation', 'Society'],['Health']
57402,['Health', 'Business', 'Recreation', 'Arts'],['Health']
13372,['Business', 'Computers', 'Science', 'Reference'],['Business']
29452,['Society', 'Business', 'Shopping', 'Arts'],['Society']
37157,['Science', 'Reference', 'Business', 'Arts'],['Science']
53511,['Adult', 'Shopping', 'Society', 'Business'],['Adult']
51204,['Business', 'Recreation', 'Arts', 'Reference'],['Health']
50382,['Science', 'Business', 'Society', 'Arts'],['Science']
50568,['Business', 'Computers', 'Society', 'Science'],['Business']
34250,['Shopping', 'Business', 'Sports', 'Society'],['Games']
58041,['Games', 'Arts', 'Business', 'Recreation'],['Games']
28092,['Society', 'Shopping', 'Business', 'Recreation'],['Society']
38520,['Society', 'Health', 'Business', 'Sports'],['Society']
31914,['Science', 'Reference', 'Business', 'Arts'],['Science']
12335,['Society', 'Business', 'Computers', 'Shopping'],['Society']
1604,['Arts', 'Sports', 'Recreation', 'Computers'],['Games']
25790,['Society', 'Reference', 'Science', 'Computers'],['Society']
10370,['Society', 'Science', 'Shopping', 'Reference'],['Society']
47028,['Society', 'Arts', 'Computers', 'Reference'],['Society']
4377,['Sports', 'Shopping', 'Business', 'Society'],['Games']
56615,['Business', 'Health', 'Reference', 'Arts'],['Business']
15074,['Games', 'Shopping', 'Business', 'Society'],['Games']
185,['Business', 'Health', 'Recreation', 'Society'],['Health']
11283,['Adult', 'Business', 'Shopping', 'Society'],['Adult']
20644,['Sports', 'Shopping', 'Business', 'Arts'],['Adult']
3813,['Business', 'Society', 'Health', 'Science'],['Business']
50732,['Adult', 'Shopping', 'Business', 'Society'],['Adult']
53690,['Adult', 'Shopping', 'Business', 'Society'],['Adult']
14110,['Games', 'Arts', 'Computers', 'Business'],['Games']
17097,['Health', 'Business', 'Science', 'Computers'],['Science']
11087,['Health', 'Science', 'Computers', 'Reference'],['Health']
42334,['Health', 'Business', 'Society', 'Recreation'],['Health']
51438,['Science', 'Business', 'Arts', 'Computers'],['Science']
58541,['Games', 'Computers', 'Business', 'Arts'],['Games']
34615,['Recreation', 'Business', 'Arts', 'Science'],['Health']
19618,['Society', 'Arts', 'Sports', 'Recreation'],['Society']
25291,['Health', 'Society', 'Business', 'Arts'],['Health']
4158,['Society', 'Recreation', 'Arts', 'Science'],['Adult']
36313,['Health', 'Society', 'Business', 'Shopping'],['Health']
39319,['Games', 'Arts', 'Computers', 'Shopping'],['Games']
23107,['Society', 'Recreation', 'Shopping', 'Business'],['Society']
42422,['Arts', 'Games', 'Computers', 'Recreation'],['Arts']
26246,['Business', 'Science', 'Recreation', 'Computers'],['Science']
37376,['Business', 'Computers', 'Science', 'Reference'],['Business']
36262,['Health', 'Science', 'Business', 'Recreation'],['Health']
10414,['Computers', 'Society', 'Sports', 'Games'],['Society']
58227,['Health', 'Society', 'Business', 'Shopping'],['Health']
21970,['Society', 'Business', 'Sports', 'Shopping'],['Society']
17754,['Games', 'Computers', 'Recreation', 'Arts'],['Games']
4645,['Health', 'Society', 'Recreation', 'Business'],['Health']
17476,['Health', 'Business', 'Society', 'Shopping'],['Health']
52152,['Business', 'Health', 'Computers', 'Science'],['Business']
6963,['Arts', 'Games', 'Recreation', 'Computers'],['Games']
57237,['Business', 'Health', 'Recreation', 'Computers'],['Business']
599,['Shopping', 'Business', 'Computers', 'Society'],['Society']
17264,['Science', 'Health', 'Reference', 'Business'],['Science']
11187,['Society', 'Business', 'Recreation', 'Shopping'],['Society']
29076,['Health', 'Business', 'Recreation', 'Science'],['Health']
44566,['Arts', 'Games', 'Computers', 'Recreation'],['Games']
53634,['Arts', 'Computers', 'Games', 'Reference'],['Arts']
43016,['Games', 'Computers', 'Shopping', 'Business'],['Games']
51982,['Science', 'Reference', 'Health', 'Computers'],['Science']
54947,['Shopping', 'Arts', 'Business', 'Recreation'],['Arts']
8022,['Science', 'Computers', 'Business', 'Arts'],['Science']
21736,['Society', 'Business', 'Shopping', 'Computers'],['Society']
17291,['Society', 'Health', 'Recreation', 'Business'],['Health']
23619,['Shopping', 'Business', 'Recreation', 'Society'],['Health']
26985,['Science', 'Business', 'Computers', 'Reference'],['Science']
1210,['Health', 'Business', 'Science', 'Arts'],['Health']
50814,['Arts', 'Society', 'Computers', 'Business'],['Arts']
32632,['Science', 'Business', 'Recreation', 'Computers'],['Science']
32853,['Reference', 'Science', 'Computers', 'Health'],['Health', 'Reference']
24524,['Business', 'Health', 'Computers', 'Recreation'],['Health']
53443,['Shopping', 'Business', 'Computers', 'Society'],['Health']
3627,['Business', 'Science', 'Computers', 'Reference'],['Science']
58615,['Business', 'Reference', 'Computers', 'Arts'],['Business']
54958,['Health', 'Society', 'Science', 'Reference'],['Health']
47083,['Computers', 'Recreation', 'Business', 'Games'],['Science']
51409,['Recreation', 'Computers', 'Arts', 'Games'],['Arts']
45546,['Business', 'Computers', 'Shopping', 'Recreation'],['Business', 'Computers']
57634,['Health', 'Arts', 'Business', 'Society'],['Health']
27265,['Health', 'Business', 'Computers', 'Recreation'],['Health']
39320,['Arts', 'Society', 'Shopping', 'Business'],['Arts']
43166,['Health', 'Science', 'Society', 'Reference'],['Health']
2702,['Health', 'Society', 'Business', 'Recreation'],['Health']
44324,['Science', 'Health', 'Society', 'Computers'],['Science']
4593,['Arts', 'Sports', 'Business', 'Society'],['Arts']
49406,['Health', 'Arts', 'Recreation', 'Business'],['Health']
35322,['Health', 'Arts', 'Recreation', 'Business'],['Health']
41037,['Health', 'Society', 'Arts', 'Business'],['Health']
34180,['Business', 'Science', 'Computers', 'Health'],['Science']
29754,['Reference', 'Health', 'Computers', 'Business'],['Business']
36455,['Health', 'Business', 'Society', 'Science'],['Health']
11118,['Reference', 'Science', 'Computers', 'Recreation'],['Science']
41841,['Business', 'Computers', 'Health', 'Recreation'],['Business']
15400,['Business', 'Computers', 'Recreation', 'Science'],['Business']
32366,['Health', 'Shopping', 'Business', 'Society'],['Health']
52483,['Science', 'Business', 'Reference', 'Computers'],['Science']
46305,['Science', 'Computers', 'Arts', 'Health'],['Science']
51296,['Business', 'Shopping', 'Computers', 'Recreation'],['Arts']
44913,['Shopping', 'Health', 'Business', 'Society'],['Health']
6751,['Society', 'Computers', 'Business', 'Science'],['Society']
35108,['Science', 'Business', 'Recreation', 'Computers'],['Science']
34400,['Arts', 'Business', 'Society', 'Science'],['Society']
16763,['Health', 'Business', 'Computers', 'Arts'],['Health']
39657,['Health', 'Business', 'Society', 'Recreation'],['Health']
17005,['Society', 'Business', 'Computers', 'Shopping'],['Society']
3201,['Business', 'Science', 'Computers', 'Recreation'],['Science']
33578,['Arts', 'Computers', 'Science', 'Society'],['Arts']
1944,['Computers', 'Society', 'Business', 'Recreation'],['Arts']
27084,['Science', 'Reference', 'Arts', 'Society'],['Arts']
4011,['Business', 'Computers', 'Recreation', 'Arts'],['Business']
40970,['Business', 'Recreation', 'Shopping', 'Computers'],['Health']
51442,['Science', 'Business', 'Health', 'Computers'],['Science']
51577,['Shopping', 'Arts', 'Business', 'Society'],['Health']
14546,['Business', 'Health', 'Computers', 'Science'],['Health']
54787,['Arts', 'Business', 'Society', 'Sports'],['Arts']
11827,['Sports', 'Recreation', 'Arts', 'Business'],['Arts']
32167,['Health', 'Recreation', 'Arts', 'Science'],['Science']
2060,['Health', 'Business', 'Society', 'Recreation'],['Health']
53127,['Shopping', 'Business', 'Society', 'Sports'],['Health']
4457,['Computers', 'Science', 'Business', 'Recreation'],['Science']
45722,['Science', 'Computers', 'Business', 'Recreation'],['Science']
47291,['Society', 'Business', 'Arts', 'Science'],['Society']
11964,['Society', 'Business', 'Computers', 'Science'],['Society']
41947,['Society', 'Computers', 'Business', 'Science'],['Society']
45860,['Health', 'Arts', 'Society', 'Computers'],['Science']
1921,['Arts', 'Computers', 'Science', 'Reference'],['Arts']
7088,['Health', 'Shopping', 'Business', 'Society'],['Health']
9451,['Science', 'Arts', 'Computers', 'Society'],['Health']
11810,['Arts', 'Shopping', 'Society', 'Reference'],['Arts']
528,['Society', 'Computers', 'Arts', 'Recreation'],['Society']
14371,['Business', 'Recreation', 'Science', 'Arts'],['Business']
37242,['Business', 'Science', 'Computers', 'Recreation'],['Science']
3777,['Business', 'Science', 'Recreation', 'Computers'],['Science', 'Business']
43530,['Society', 'Computers', 'Games', 'Arts'],['Society']
4572,['Shopping', 'Business', 'Society', 'Computers'],['Health']
10807,['Business', 'Science', 'Computers', 'Recreation'],['Business']
38813,['Society', 'Arts', 'Business', 'Recreation'],['Society']
6168,['Business', 'Shopping', 'Arts', 'Computers'],['Business']
349,['Shopping', 'Health', 'Business', 'Society'],['Health']
16119,['Health', 'Arts', 'Business', 'Recreation'],['Health']
36837,['Science', 'Business', 'Computers', 'Recreation'],['Science']
8372,['Society', 'Business', 'Shopping', 'Recreation'],['Society']
1745,['Health', 'Business', 'Society', 'Arts'],['Health']
29650,['Society', 'Shopping', 'Arts', 'Recreation'],['Society']
45307,['Games', 'Computers', 'Arts', 'Shopping'],['Society']
51077,['Adult', 'Shopping', 'Society', 'Business'],['Society']
13287,['Health', 'Business', 'Society', 'Arts'],['Health']
11369,['Computers', 'Business', 'Recreation', 'Science'],['Reference']
46914,['Business', 'Science', 'Computers', 'Health'],['Business']
58803,['Arts', 'Reference', 'Society', 'Computers'],['Arts']
2227,['Shopping', 'Business', 'Society', 'Arts'],['Health']
24697,['Business', 'Shopping', 'Recreation', 'Computers'],['Business']
46323,['Arts', 'Reference', 'Computers', 'Science'],['Arts']
32629,['Business', 'Computers', 'Reference', 'Science'],['Business']
12208,['Arts', 'Computers', 'Science', 'Recreation'],['Arts']
1324,['Arts', 'Computers', 'Reference', 'Recreation'],['Arts']
14498,['Shopping', 'Business', 'Computers', 'Sports'],['Health']
45680,['Health', 'Business', 'Recreation', 'Arts'],['Health']
12569,['Recreation', 'Computers', 'Business', 'Arts'],['Science']
29423,['Health', 'Business', 'Society', 'Recreation'],['Health']
41826,['Health', 'Business', 'Computers', 'Recreation'],['Health']
5393,['Business', 'Society', 'Games', 'Shopping'],['Health']
47479,['Health', 'Business', 'Recreation', 'Arts'],['Health']
37549,['Recreation', 'Health', 'Science', 'Computers'],['Business']
57274,['Society', 'Health', 'Business', 'Arts'],['Society']
35057,['Arts', 'Reference', 'Recreation', 'Computers'],['Arts']
36744,['Business', 'Computers', 'Arts', 'Health'],['Business']
31511,['Society', 'Shopping', 'Business', 'Recreation'],['Society']
6888,['Arts', 'Reference', 'Computers', 'Society'],['Arts']
52666,['Computers', 'Science', 'Business', 'Reference'],['Science']
53165,['Arts', 'Shopping', 'Society', 'Recreation'],['Recreation']
21031,['Society', 'Shopping', 'Recreation', 'Business'],['Society']
14086,['Shopping', 'Arts', 'Business', 'Recreation'],['Arts']
10549,['Recreation', 'Games', 'Computers', 'Sports'],['Science']
40109,['Reference', 'Science', 'Business', 'Arts'],['Science', 'Society']
47470,['Society', 'Business', 'Adult', 'Computers'],['Society']
17122,['Business', 'Health', 'Recreation', 'Computers'],['Health']
48681,['Health', 'Business', 'Society', 'Shopping'],['Health']
37215,['Business', 'Computers', 'Recreation', 'Arts'],['Recreation']
43615,['Arts', 'Reference', 'Society', 'Shopping'],['Arts']
51504,['Arts', 'Business', 'Recreation', 'Computers'],['Recreation']
28579,['Health', 'Society', 'Business', 'Arts'],['Health']
1880,['Health', 'Society', 'Computers', 'Business'],['Health']
26036,['Society', 'Arts', 'Recreation', 'Business'],['Society']
15340,['Business', 'Recreation', 'Computers', 'Arts'],['Recreation']
24714,['Shopping', 'Society', 'Business', 'Arts'],['Society']
32557,['Society', 'Business', 'Shopping', 'Recreation'],['Society']
41912,['Health', 'Society', 'Business', 'Shopping'],['Health']
21618,['Business', 'Computers', 'Recreation', 'Science'],['Science']
54709,['Health', 'Business', 'Society', 'Shopping'],['Health']
43061,['Business', 'Shopping', 'Recreation', 'Arts'],['Recreation']
39507,['Health', 'Business', 'Arts', 'Recreation'],['Health']
31398,['Arts', 'Reference', 'Computers', 'Society'],['Arts']
14649,['Health', 'Business', 'Recreation', 'Reference'],['Health']
29645,['Recreation', 'Arts', 'Business', 'Health'],['Recreation']
43319,['Society', 'Arts', 'Shopping', 'Business'],['Arts']
25801,['Computers', 'Arts', 'Recreation', 'Health'],['Recreation']
46152,['Health', 'Society', 'Recreation', 'Business'],['Health']
39679,['Health', 'Business', 'Shopping', 'Society'],['Health']
47797,['Society', 'Shopping', 'Business', 'Arts'],['Society']
10494,['Shopping', 'Business', 'Recreation', 'Computers'],['Shopping']
42622,['Arts', 'Recreation', 'Computers', 'Business'],['Arts']
42081,['Health', 'Business', 'Recreation', 'Shopping'],['Health']
20312,['Arts', 'Computers', 'Recreation', 'Society'],['Arts']
2990,['Recreation', 'Business', 'Arts', 'Games'],['Recreation']
11877,['Business', 'Science', 'Computers', 'Recreation'],['Business']
37642,['Recreation', 'Arts', 'Science', 'Business'],['Science']
26422,['Health', 'Science', 'Business', 'Computers'],['Health']
51052,['Society', 'Business', 'Computers', 'Shopping'],['Society']
40385,['Arts', 'Shopping', 'Business', 'Computers'],['Arts']
54679,['Shopping', 'Arts', 'Business', 'Computers'],['Arts']
14077,['Reference', 'Health', 'Science', 'Computers'],['Health']
45911,['Arts', 'Shopping', 'Sports', 'Recreation'],['Arts']
36926,['Shopping', 'Society', 'Sports', 'Arts'],['Society']
40975,['Society', 'Arts', 'Business', 'Health'],['Society']
43584,['Computers', 'Arts', 'Business', 'Recreation'],['Science']
4064,['Arts', 'Shopping', 'Business', 'Society'],['Arts']
33527,['Recreation', 'Business', 'Shopping', 'Society'],['Recreation']
17280,['Society', 'Science', 'Recreation', 'Computers'],['Science']
4662,['Business', 'Science', 'Recreation', 'Reference'],['Business']
20599,['Society', 'Shopping', 'Business', 'Recreation'],['Society']
47047,['Arts', 'Shopping', 'Computers', 'Business'],['Arts']
47948,['Health', 'Society', 'Business', 'Shopping'],['Health']
14181,['Arts', 'Society', 'Sports', 'Computers'],['Society']
17181,['Shopping', 'Business', 'Computers', 'Society'],['Health']
58587,['Business', 'Health', 'Recreation', 'Arts'],['Business']
2155,['Business', 'Recreation', 'Shopping', 'Computers'],['Recreation']
38381,['Health', 'Business', 'Shopping', 'Arts'],['Health']
17828,['Computers', 'Business', 'Recreation', 'Health'],['Health']
13626,['Science', 'Business', 'Health', 'Computers'],['Business']
53458,['Recreation', 'Arts', 'Health', 'Science'],['Health']
41070,['Computers', 'Business', 'Science', 'Recreation'],['Science']
28361,['Shopping', 'Arts', 'Business', 'Society'],['Arts']
37307,['Society', 'Shopping', 'Sports', 'Business'],['Society']
55469,['Shopping', 'Health', 'Arts', 'Business'],['Arts']
58393,['Business', 'Society', 'Recreation', 'Computers'],['Business']
6049,['Health', 'Business', 'Science', 'Shopping'],['Health']
11380,['Health', 'Recreation', 'Science', 'Business'],['Health']
34351,['Computers', 'Business', 'Science', 'Recreation'],['Science']
37140,['Health', 'Business', 'Arts', 'Recreation'],['Health']
44362,['Arts', 'Health', 'Business', 'Recreation'],['Health']
