ref id,Predicted,Actual
57141,['Sports', 'Society', 'Business', 'Health'],['Adult']
5177,['Recreation', 'Computers', 'Science', 'Reference'],['Health']
2522,['Sports', 'Society', 'Shopping', 'Business'],['Society']
49286,['Games', 'Sports', 'Shopping', 'Science'],['Society']
50996,['Society', 'Sports', 'Shopping', 'Recreation'],['Society']
38235,['Arts', 'Recreation', 'Sports', 'Society'],['Games']
29211,['Reference', 'Health', 'Computers', 'Business'],['Health']
49894,['Sports', 'Shopping', 'Recreation', 'Society'],['Games']
10094,['Arts', 'Games', 'Adult', 'Society'],['Society']
50184,['Sports', 'Society', 'Business', 'Recreation'],['Society']
10763,['Sports', 'Society', 'Shopping', 'Science'],['Adult']
29512,['Games', 'Arts', 'Sports', 'Society'],['Games']
21664,['Science', 'Recreation', 'Health', 'Business'],['Science']
27808,['Sports', 'Shopping', 'Arts', 'Society'],['Society']
46526,['Arts', 'Health', 'Sports', 'Business'],['Adult']
10407,['Business', 'Science', 'Reference', 'Recreation'],['Health']
57164,['Business', 'Arts', 'Sports', 'Shopping'],['Arts']
43734,['Society', 'Recreation', 'Science', 'Games'],['Games']
15569,['Health', 'Sports', 'Society', 'Reference'],['Games']
9936,['Arts', 'Science', 'Computers', 'Business'],['Arts']
33559,['Business', 'Computers', 'Recreation', 'Science'],['Business']
21841,['Business', 'Recreation', 'Shopping', 'Sports'],['Science']
1053,['Recreation', 'Games', 'Adult', 'Science'],['Games']
40071,['Sports', 'Reference', 'Recreation', 'Adult'],['Society']
2019,['Business', 'Computers', 'Arts', 'Sports'],['Science']
40968,['Computers', 'Society', 'Shopping', 'Recreation'],['Adult']
36492,['Arts', 'Computers', 'Adult', 'Science'],['Arts']
15089,['Arts', 'Health', 'Business', 'Science'],['Arts']
27223,['Sports', 'Shopping', 'Society', 'Science'],['Games']
47414,['Adult', 'Arts', 'Recreation', 'Sports'],['Adult']
8054,['Health', 'Society', 'Science', 'Recreation'],['Society', 'Health']
22530,['Health', 'Shopping', 'Business', 'Sports'],['Health']
32830,['Business', 'Computers', 'Health', 'Society'],['Business']
50043,['Recreation', 'Games', 'Arts', 'Sports'],['Games']
1282,['Business', 'Computers', 'Reference', 'Health'],['Health']
50078,['Arts', 'Business', 'Sports', 'Computers'],['Arts']
50931,['Games', 'Recreation', 'Shopping', 'Computers'],['Business']
49854,['Adult', 'Shopping', 'Recreation', 'Business'],['Adult']
42229,['Business', 'Sports', 'Shopping', 'Health'],['Business']
16755,['Sports', 'Recreation', 'Shopping', 'Computers'],['Adult']
5677,['Adult', 'Business', 'Recreation', 'Health'],['Health']
45419,['Science', 'Arts', 'Reference', 'Sports'],['Science']
54657,['Computers', 'Society', 'Health', 'Arts'],['Science']
58391,['Sports', 'Business', 'Society', 'Shopping'],['Games']
31682,['Recreation', 'Arts', 'Health', 'Games'],['Games']
53759,['Business', 'Society', 'Sports', 'Recreation'],['Health']
11098,['Shopping', 'Recreation', 'Business', 'Arts'],['Games', 'Arts']
31008,['Recreation', 'Games', 'Computers', 'Business'],['Business']
32295,['Sports', 'Arts', 'Computers', 'Business'],['Games']
3554,['Business', 'Arts', 'Science', 'Recreation'],['Health']
36845,['Health', 'Sports', 'Science', 'Computers'],['Science']
29082,['Recreation', 'Arts', 'Business', 'Science'],['Science']
27066,['Recreation', 'Reference', 'Computers', 'Science'],['Business']
46984,['Recreation', 'Sports', 'Shopping', 'Business'],['Adult']
33932,['Shopping', 'Arts', 'Games', 'Computers'],['Games']
44691,['Society', 'Shopping', 'Recreation', 'Business'],['Society']
26604,['Arts', 'Computers', 'Sports', 'Adult'],['Games']
23605,['Arts', 'Society', 'Shopping', 'Health'],['Business']
32833,['Science', 'Recreation', 'Health', 'Computers'],['Health']
40973,['Computers', 'Sports', 'Health', 'Business'],['Business']
24636,['Business', 'Recreation', 'Health', 'Sports'],['Business']
25488,['Arts', 'Science', 'Reference', 'Games'],['Business']
3806,['Sports', 'Business', 'Shopping', 'Science'],['Health']
24179,['Computers', 'Science', 'Business', 'Recreation'],['Business']
34046,['Arts', 'Society', 'Recreation', 'Sports'],['Science']
58557,['Recreation', 'Health', 'Adult', 'Reference'],['Health']
5058,['Health', 'Adult', 'Recreation', 'Sports'],['Health']
38959,['Society', 'Shopping', 'Business', 'Arts'],['Society']
58541,['Sports', 'Adult', 'Business', 'Shopping'],['Adult']
3737,['Shopping', 'Society', 'Arts', 'Sports'],['Society']
16397,['Business', 'Recreation', 'Shopping', 'Computers'],['Computers', 'Business']
46206,['Arts', 'Computers', 'Shopping', 'Society'],['Society']
4428,['Business', 'Computers', 'Society', 'Health'],['Business']
35666,['Recreation', 'Computers', 'Arts', 'Science'],['Health']
17497,['Arts', 'Recreation', 'Sports', 'Computers'],['Society']
40679,['Arts', 'Society', 'Business', 'Recreation'],['Science']
3789,['Recreation', 'Computers', 'Games', 'Arts'],['Society']
121,['Computers', 'Business', 'Recreation', 'Society'],['Games']
34882,['Recreation', 'Reference', 'Computers', 'Business'],['Science']
41785,['Shopping', 'Computers', 'Arts', 'Business'],['Business']
31506,['Health', 'Business', 'Shopping', 'Arts'],['Health']
5076,['Shopping', 'Recreation', 'Health', 'Business'],['Science']
39609,['Arts', 'Society', 'Health', 'Business'],['Games']
17476,['Business', 'Computers', 'Health', 'Sports'],['Business']
4508,['Arts', 'Adult', 'Games', 'Sports'],['Adult']
23653,['Sports', 'Shopping', 'Adult', 'Computers'],['Adult']
507,['Health', 'Business', 'Science', 'Recreation'],['Health']
46188,['Business', 'Shopping', 'Health', 'Society'],['Science']
52689,['Business', 'Computers', 'Sports', 'Society'],['Business']
33419,['Arts', 'Computers', 'Society', 'Recreation'],['Games']
7018,['Arts', 'Health', 'Computers', 'Recreation'],['Health']
26350,['Science', 'Business', 'Recreation', 'Health'],['Science']
49637,['Sports', 'Society', 'Shopping', 'Business'],['Adult']
14972,['Recreation', 'Reference', 'Arts', 'Health'],['Health']
26127,['Games', 'Recreation', 'Society', 'Science'],['Games']
40334,['Sports', 'Recreation', 'Society', 'Science'],['Games']
54663,['Business', 'Sports', 'Shopping', 'Recreation'],['Business']
5274,['Recreation', 'Games', 'Adult', 'Society'],['Society']
11853,['Arts', 'Shopping', 'Business', 'Computers'],['Games']
37256,['Shopping', 'Arts', 'Adult', 'Society'],['Adult']
21893,['Society', 'Health', 'Business', 'Science'],['Science']
54095,['Business', 'Computers', 'Health', 'Sports'],['Business']
40945,['Business', 'Shopping', 'Science', 'Health'],['Health']
50332,['Business', 'Arts', 'Sports', 'Recreation'],['Science']
3728,['Business', 'Computers', 'Recreation', 'Reference'],['Computers']
46811,['Arts', 'Computers', 'Sports', 'Health'],['Adult']
37455,['Arts', 'Society', 'Shopping', 'Recreation'],['Adult']
45150,['Society', 'Sports', 'Science', 'Recreation'],['Society']
6790,['Society', 'Health', 'Sports', 'Shopping'],['Society']
39114,['Games', 'Recreation', 'Society', 'Sports'],['Games']
9063,['Recreation', 'Business', 'Computers', 'Shopping'],['Computers']
8907,['Business', 'Computers', 'Sports', 'Society'],['Business']
10933,['Computers', 'Science', 'Reference', 'Society'],['Science']
55460,['Business', 'Sports', 'Computers', 'Society'],['Computers']
26538,['Business', 'Arts', 'Games', 'Sports'],['Business']
37038,['Recreation', 'Health', 'Science', 'Business'],['Science']
3144,['Computers', 'Society', 'Adult', 'Health'],['Adult']
29067,['Games', 'Sports', 'Society', 'Shopping'],['Games']
52555,['Games', 'Recreation', 'Adult', 'Society'],['Games']
25167,['Recreation', 'Reference', 'Health', 'Games'],['Health']
14428,['Recreation', 'Sports', 'Arts', 'Shopping'],['Business']
23142,['Games', 'Recreation', 'Society', 'Science'],['Games']
42478,['Recreation', 'Sports', 'Health', 'Business'],['Society']
30047,['Computers', 'Business', 'Science', 'Sports'],['Business']
41443,['Recreation', 'Games', 'Society', 'Reference'],['Games']
22227,['Shopping', 'Arts', 'Health', 'Games'],['Science']
16266,['Business', 'Recreation', 'Computers', 'Society'],['Health']
51689,['Games', 'Science', 'Recreation', 'Society'],['Games']
8559,['Society', 'Recreation', 'Sports', 'Health'],['Science']
55218,['Arts', 'Recreation', 'Sports', 'Business'],['Society']
53353,['Shopping', 'Society', 'Computers', 'Sports'],['Computers']
25328,['Arts', 'Adult', 'Sports', 'Society'],['Adult']
6399,['Recreation', 'Business', 'Reference', 'Health'],['Science']
8457,['Business', 'Computers', 'Health', 'Sports'],['Computers']
22295,['Games', 'Recreation', 'Society', 'Sports'],['Games']
7645,['Arts', 'Adult', 'Shopping', 'Recreation'],['Society']
16375,['Sports', 'Society', 'Business', 'Arts'],['Business']
50191,['Health', 'Business', 'Society', 'Computers'],['Health']
53220,['Health', 'Society', 'Business', 'Computers'],['Society']
31327,['Science', 'Reference', 'Computers', 'Health'],['Science']
31004,['Reference', 'Health', 'Recreation', 'Computers'],['Health']
46742,['Recreation', 'Business', 'Shopping', 'Arts'],['Business']
22872,['Society', 'Health', 'Arts', 'Sports'],['Science']
34655,['Arts', 'Sports', 'Health', 'Society'],['Adult', 'Society']
40908,['Arts', 'Society', 'Computers', 'Adult'],['Adult']
48510,['Arts', 'Games', 'Computers', 'Adult'],['Games']
21605,['Sports', 'Recreation', 'Shopping', 'Science'],['Adult']
11388,['Arts', 'Recreation', 'Games', 'Business'],['Games']
16070,['Sports', 'Games', 'Society', 'Shopping'],['Games']
12760,['Health', 'Games', 'Arts', 'Adult'],['Games']
57015,['Business', 'Computers', 'Arts', 'Shopping'],['Society']
3044,['Recreation', 'Arts', 'Games', 'Business'],['Games']
23860,['Sports', 'Recreation', 'Arts', 'Society'],['Adult']
14815,['Society', 'Arts', 'Business', 'Computers'],['Adult']
12797,['Society', 'Shopping', 'Science', 'Reference'],['Society']
31809,['Science', 'Reference', 'Health', 'Recreation'],['Health']
26199,['Business', 'Health', 'Computers', 'Arts'],['Health']
32748,['Science', 'Health', 'Recreation', 'Business'],['Science']
26522,['Sports', 'Arts', 'Society', 'Business'],['Society']
1714,['Sports', 'Shopping', 'Business', 'Adult'],['Adult']
32583,['Business', 'Recreation', 'Health', 'Society'],['Health']
46174,['Business', 'Computers', 'Recreation', 'Arts'],['Health']
33084,['Arts', 'Society', 'Business', 'Recreation'],['Games']
6393,['Society', 'Recreation', 'Computers', 'Business'],['Games']
46282,['Sports', 'Arts', 'Health', 'Society'],['Games']
26035,['Business', 'Society', 'Science', 'Health'],['Business']
3706,['Sports', 'Recreation', 'Games', 'Society'],['Games']
39889,['Computers', 'Business', 'Sports', 'Society'],['Science']
14540,['Adult', 'Sports', 'Recreation', 'Society'],['Adult']
30774,['Games', 'Business', 'Recreation', 'Computers'],['Adult']
7643,['Reference', 'Health', 'Science', 'Sports'],['Business']
24250,['Science', 'Sports', 'Recreation', 'Computers'],['Science']
19581,['Science', 'Reference', 'Health', 'Computers'],['Science']
4117,['Arts', 'Recreation', 'Society', 'Computers'],['Society']
47899,['Recreation', 'Sports', 'Society', 'Health'],['Society']
21891,['Business', 'Arts', 'Society', 'Science'],['Science']
32771,['Computers', 'Business', 'Arts', 'Recreation'],['Science']
3396,['Shopping', 'Society', 'Sports', 'Reference'],['Health']
41755,['Science', 'Reference', 'Recreation', 'Health'],['Health']
45309,['Recreation', 'Health', 'Arts', 'Games'],['Science']
50755,['Arts', 'Shopping', 'Business', 'Health'],['Health']
10277,['Business', 'Arts', 'Sports', 'Recreation'],['Society']
25768,['Business', 'Computers', 'Society', 'Health'],['Business']
15075,['Health', 'Shopping', 'Reference', 'Business'],['Health']
52305,['Computers', 'Business', 'Science', 'Recreation'],['Business']
12186,['Society', 'Recreation', 'Science', 'Games'],['Arts']
45145,['Recreation', 'Business', 'Games', 'Computers'],['Games']
38715,['Recreation', 'Health', 'Arts', 'Society'],['Health']
26049,['Computers', 'Business', 'Society', 'Sports'],['Arts']
42825,['Society', 'Recreation', 'Sports', 'Health'],['Health']
3266,['Arts', 'Society', 'Sports', 'Business'],['Health']
37147,['Recreation', 'Arts', 'Reference', 'Health'],['Health']
16253,['Society', 'Recreation', 'Sports', 'Health'],['Health']
59132,['Games', 'Business', 'Arts', 'Computers'],['Games']
11075,['Health', 'Science', 'Arts', 'Recreation'],['Health']
17460,['Business', 'Computers', 'Arts', 'Science'],['Health']
8018,['Games', 'Science', 'Recreation', 'Health'],['Games']
31931,['Society', 'Computers', 'Business', 'Sports'],['Society']
21650,['Reference', 'Arts', 'Science', 'Recreation'],['Science']
21508,['Business', 'Computers', 'Health', 'Science'],['Business']
51911,['Sports', 'Society', 'Arts', 'Science'],['Arts']
54570,['Recreation', 'Science', 'Arts', 'Adult'],['Science']
36317,['Society', 'Computers', 'Sports', 'Shopping'],['Society']
4995,['Health', 'Reference', 'Recreation', 'Games'],['Health']
46778,['Society', 'Computers', 'Science', 'Reference'],['Society']
55204,['Health', 'Business', 'Arts', 'Society'],['Health']
47651,['Recreation', 'Health', 'Business', 'Computers'],['Health']
49734,['Business', 'Recreation', 'Computers', 'Shopping'],['Business']
2484,['Recreation', 'Society', 'Computers', 'Science'],['Business']
29504,['Business', 'Arts', 'Shopping', 'Health'],['Health']
50379,['Health', 'Adult', 'Recreation', 'Computers'],['Health']
26167,['Sports', 'Health', 'Arts', 'Society'],['Health']
34096,['Arts', 'Adult', 'Society', 'Recreation'],['Society']
24140,['Health', 'Science', 'Recreation', 'Society'],['Health']
1101,['Recreation', 'Business', 'Science', 'Reference'],['Business']
28702,['Health', 'Sports', 'Society', 'Shopping'],['Health']
4848,['Health', 'Computers', 'Recreation', 'Sports'],['Health']
22175,['Arts', 'Recreation', 'Health', 'Games'],['Health']
11312,['Computers', 'Business', 'Sports', 'Shopping'],['Business']
10937,['Health', 'Recreation', 'Society', 'Sports'],['Health']
16317,['Science', 'Computers', 'Arts', 'Recreation'],['Science']
41970,['Recreation', 'Games', 'Arts', 'Business'],['Society']
27149,['Science', 'Recreation', 'Reference', 'Health'],['Science']
58549,['Business', 'Shopping', 'Sports', 'Society'],['Health']
41410,['Business', 'Health', 'Shopping', 'Recreation'],['Health']
30683,['Business', 'Sports', 'Health', 'Recreation'],['Business']
16743,['Business', 'Sports', 'Society', 'Computers'],['Science']
559,['Arts', 'Science', 'Computers', 'Health'],['Arts']
47231,['Business', 'Arts', 'Sports', 'Shopping'],['Science']
44405,['Society', 'Computers', 'Business', 'Shopping'],['Society']
6818,['Society', 'Sports', 'Shopping', 'Computers'],['Health']
45115,['Recreation', 'Arts', 'Sports', 'Society'],['Society']
5548,['Society', 'Recreation', 'Health', 'Games'],['Health']
52966,['Shopping', 'Business', 'Arts', 'Sports'],['Business']
11699,['Business', 'Shopping', 'Health', 'Computers'],['Health']
4560,['Shopping', 'Sports', 'Arts', 'Recreation'],['Society']
53832,['Business', 'Society', 'Arts', 'Sports'],['Society']
50843,['Business', 'Sports', 'Arts', 'Shopping'],['Business']
4456,['Business', 'Computers', 'Arts', 'Science'],['Business']
22624,['Health', 'Business', 'Society', 'Science'],['Science']
35852,['Shopping', 'Society', 'Business', 'Recreation'],['Arts']
49138,['Science', 'Computers', 'Reference', 'Games'],['Science']
58017,['Arts', 'Computers', 'Recreation', 'Adult'],['Business']
39506,['Health', 'Sports', 'Society', 'Shopping'],['Health']
6994,['Business', 'Society', 'Computers', 'Science'],['Arts']
42526,['Recreation', 'Business', 'Arts', 'Games'],['Business']
51042,['Sports', 'Computers', 'Health', 'Society'],['Arts']
47488,['Business', 'Health', 'Sports', 'Games'],['Health']
13487,['Business', 'Health', 'Science', 'Society'],['Health']
34732,['Business', 'Health', 'Computers', 'Society'],['Business']
22506,['Computers', 'Recreation', 'Arts', 'Adult'],['Science']
53533,['Recreation', 'Arts', 'Society', 'Business'],['Arts']
27022,['Business', 'Society', 'Reference', 'Health'],['Health']
23081,['Business', 'Health', 'Society', 'Recreation'],['Health']
44935,['Business', 'Computers', 'Sports', 'Shopping'],['Science']
35012,['Arts', 'Recreation', 'Science', 'Games'],['Science']
52366,['Health', 'Business', 'Sports', 'Arts'],['Arts']
5922,['Recreation', 'Science', 'Business', 'Health'],['Science']
32258,['Business', 'Sports', 'Shopping', 'Science'],['Health']
48388,['Recreation', 'Science', 'Computers', 'Health'],['Health']
13503,['Business', 'Sports', 'Society', 'Arts'],['Society']
9046,['Arts', 'Computers', 'Business', 'Sports'],['Society']
26247,['Games', 'Science', 'Recreation', 'Computers'],['Health']
23859,['Reference', 'Health', 'Arts', 'Science'],['Health']
24035,['Science', 'Computers', 'Health', 'Reference'],['Health']
5487,['Recreation', 'Arts', 'Society', 'Shopping'],['Business']
15474,['Business', 'Health', 'Society', 'Reference'],['Health']
31437,['Business', 'Science', 'Computers', 'Reference'],['Science']
12096,['Science', 'Computers', 'Reference', 'Health'],['Health']
13866,['Recreation', 'Computers', 'Society', 'Science'],['Health']
34055,['Society', 'Health', 'Recreation', 'Sports'],['Arts']
21577,['Shopping', 'Health', 'Society', 'Games'],['Health']
24128,['Business', 'Science', 'Shopping', 'Health'],['Science', 'Business']
51676,['Society', 'Recreation', 'Arts', 'Reference'],['Health']
49112,['Sports', 'Society', 'Recreation', 'Computers'],['Health']
30022,['Business', 'Computers', 'Shopping', 'Health'],['Business']
51812,['Science', 'Business', 'Arts', 'Adult'],['Society']
20275,['Business', 'Sports', 'Games', 'Society'],['Business']
4595,['Health', 'Sports', 'Business', 'Arts'],['Health']
10947,['Arts', 'Sports', 'Society', 'Shopping'],['Arts']
16756,['Business', 'Science', 'Games', 'Health'],['Health']
20647,['Arts', 'Shopping', 'Sports', 'Society'],['Reference']
28840,['Health', 'Business', 'Sports', 'Society'],['Health']
52467,['Shopping', 'Society', 'Reference', 'Health'],['Health']
5770,['Society', 'Science', 'Sports', 'Shopping'],['Reference']
35118,['Arts', 'Sports', 'Society', 'Shopping'],['Arts']
16313,['Business', 'Society', 'Shopping', 'Recreation'],['Health']
28323,['Games', 'Computers', 'Sports', 'Society'],['Society']
24902,['Society', 'Shopping', 'Business', 'Sports'],['Society']
6835,['Arts', 'Sports', 'Recreation', 'Health'],['Health']
40135,['Health', 'Business', 'Recreation', 'Science'],['Health']
50879,['Society', 'Recreation', 'Science', 'Games'],['Health']
54970,['Business', 'Sports', 'Society', 'Recreation'],['Sports']
48129,['Arts', 'Sports', 'Society', 'Shopping'],['Arts']
13754,['Sports', 'Society', 'Shopping', 'Science'],['Health']
43817,['Health', 'Society', 'Shopping', 'Science'],['Health']
53404,['Arts', 'Business', 'Sports', 'Science'],['Health']
48649,['Computers', 'Arts', 'Recreation', 'Business'],['Health']
40858,['Arts', 'Sports', 'Society', 'Shopping'],['Arts']
36515,['Arts', 'Sports', 'Society', 'Shopping'],['Arts']
30040,['Science', 'Health', 'Business', 'Reference'],['Reference', 'Science']
48286,['Society', 'Recreation', 'Sports', 'Arts'],['Health']
11041,['Science', 'Arts', 'Computers', 'Reference'],['Science']
37161,['Shopping', 'Computers', 'Arts', 'Sports'],['Health']
57538,['Arts', 'Sports', 'Society', 'Shopping'],['Arts']
32597,['Business', 'Society', 'Arts', 'Sports'],['Health']
6207,['Sports', 'Arts', 'Recreation', 'Health'],['Health']
48637,['Health', 'Arts', 'Reference', 'Computers'],['Arts']
31074,['Sports', 'Computers', 'Games', 'Society'],['Business']
25007,['Arts', 'Business', 'Recreation', 'Computers'],['Business']
32692,['Science', 'Reference', 'Health', 'Arts'],['Health']
15138,['Health', 'Sports', 'Society', 'Shopping'],['Health']
37327,['Arts', 'Business', 'Science', 'Reference'],['Health']
31345,['Recreation', 'Health', 'Business', 'Arts'],['Business']
7829,['Arts', 'Sports', 'Science', 'Health'],['Health']
10161,['Arts', 'Sports', 'Society', 'Shopping'],['Arts']
33694,['Health', 'Society', 'Sports', 'Science'],['Health']
1722,['Society', 'Recreation', 'Business', 'Sports'],['Science']
47916,['Health', 'Science', 'Recreation', 'Arts'],['Reference']
6520,['Society', 'Shopping', 'Sports', 'Science'],['Recreation']
24492,['Society', 'Arts', 'Sports', 'Science'],['Health']
22794,['Science', 'Sports', 'Recreation', 'Games'],['Science']
8781,['Shopping', 'Arts', 'Science', 'Recreation'],['Society']
8834,['Sports', 'Arts', 'Society', 'Recreation'],['Sports']
10173,['Shopping', 'Business', 'Society', 'Sports'],['Health']
57925,['Sports', 'Society', 'Shopping', 'Science'],['Society']
54984,['Arts', 'Science', 'Recreation', 'Reference'],['Society', 'Arts']
41854,['Business', 'Science', 'Recreation', 'Computers'],['Science']
6255,['Society', 'Arts', 'Recreation', 'Games'],['Society']
31172,['Business', 'Society', 'Sports', 'Shopping'],['Society']
45033,['Health', 'Sports', 'Society', 'Shopping'],['Health']
53197,['Health', 'Science', 'Games', 'Computers'],['Health']
12704,['Arts', 'Computers', 'Business', 'Sports'],['Recreation']
45406,['Shopping', 'Recreation', 'Business', 'Arts'],['Recreation']
10754,['Sports', 'Society', 'Shopping', 'Science'],['Health']
36024,['Arts', 'Sports', 'Society', 'Shopping'],['Arts']
10835,['Society', 'Arts', 'Shopping', 'Health'],['Society']
59176,['Society', 'Computers', 'Business', 'Recreation'],['Recreation']
42596,['Recreation', 'Society', 'Health', 'Business'],['Recreation']
15766,['Health', 'Business', 'Adult', 'Recreation'],['Health']
5175,['Health', 'Business', 'Reference', 'Arts'],['Health']
11935,['Sports', 'Society', 'Computers', 'Business'],['Business']
13564,['Sports', 'Health', 'Shopping', 'Society'],['Shopping']
26580,['Health', 'Computers', 'Business', 'Arts'],['Health']
39339,['Science', 'Recreation', 'Society', 'Reference'],['Science']
32476,['Arts', 'Shopping', 'Health', 'Society'],['Shopping', 'Arts']
17201,['Adult', 'Health', 'Sports', 'Society'],['Health']
41045,['Science', 'Health', 'Shopping', 'Business'],['Business']
49638,['Business', 'Shopping', 'Recreation', 'Society'],['Science']
50428,['Shopping', 'Recreation', 'Business', 'Society'],['Recreation']
1767,['Business', 'Recreation', 'Sports', 'Computers'],['Business']
34264,['Science', 'Computers', 'Business', 'Shopping'],['Science']
13738,['Business', 'Sports', 'Society', 'Shopping'],['Business']
51643,['Recreation', 'Computers', 'Business', 'Arts'],['Society']
13323,['Business', 'Health', 'Computers', 'Society'],['Health']
49905,['Computers', 'Business', 'Arts', 'Society'],['Recreation']
48253,['Society', 'Health', 'Recreation', 'Sports'],['Health']
50681,['Society', 'Reference', 'Shopping', 'Recreation'],['Science']
52195,['Business', 'Arts', 'Games', 'Shopping'],['Business']
49543,['Society', 'Recreation', 'Health', 'Games'],['Health']
33098,['Business', 'Recreation', 'Health', 'Computers'],['Recreation']
17797,['Business', 'Sports', 'Recreation', 'Society'],['Society']
55173,['Arts', 'Society', 'Recreation', 'Business'],['Society']
10234,['Business', 'Sports', 'Recreation', 'Computers'],['Recreation']
49191,['Arts', 'Society', 'Recreation', 'Reference'],['Recreation']
38752,['Reference', 'Science', 'Health', 'Society'],['Health']
50042,['Sports', 'Arts', 'Society', 'Recreation'],['Society']
50601,['Sports', 'Society', 'Health', 'Computers'],['Health']
33671,['Business', 'Society', 'Science', 'Health'],['Health']
52807,['Shopping', 'Health', 'Arts', 'Sports'],['Society']
14558,['Arts', 'Science', 'Recreation', 'Computers'],['Science']
34578,['Arts', 'Computers', 'Sports', 'Games'],['Arts']
31877,['Society', 'Games', 'Health', 'Computers'],['Society']
55036,['Health', 'Business', 'Shopping', 'Adult'],['Health']
47133,['Health', 'Reference', 'Society', 'Arts'],['Health']
38509,['Sports', 'Society', 'Recreation', 'Health'],['Health']
10049,['Shopping', 'Business', 'Computers', 'Society'],['Society']
26372,['Recreation', 'Business', 'Arts', 'Health'],['Health']
32849,['Arts', 'Sports', 'Society', 'Recreation'],['Society']
53493,['Arts', 'Computers', 'Health', 'Adult'],['Society']
41070,['Recreation', 'Business', 'Shopping', 'Reference'],['Recreation']
4857,['Recreation', 'Computers', 'Reference', 'Science'],['Science']
31079,['Society', 'Recreation', 'Arts', 'Sports'],['Society']
4581,['Health', 'Sports', 'Society', 'Games'],['Health']
1095,['Health', 'Sports', 'Arts', 'Business'],['Health']
14839,['Health', 'Reference', 'Arts', 'Science'],['Health']
