ref id,Predicted,Actual
57141,['Adult', 'Shopping', 'Society', 'Recreation'],['Adult']
51640,['Shopping', 'Computers', 'Recreation', 'Business'],['Adult']
25477,['Computers', 'Recreation', 'Business', 'Shopping'],['Business']
16333,['Adult', 'Society', 'Shopping', 'Arts'],['Adult']
5177,['Health', 'Science', 'Business', 'Recreation'],['Health']
2522,['Society', 'Shopping', 'Business', 'Computers'],['Society']
49286,['Society', 'Shopping', 'Sports', 'Business'],['Society']
50996,['Society', 'Health', 'Sports', 'Shopping'],['Society']
38235,['Games', 'Computers', 'Society', 'Business'],['Games']
29211,['Health', 'Business', 'Science', 'Computers'],['Health']
49894,['Computers', 'Society', 'Recreation', 'Games'],['Games']
10094,['Arts', 'Shopping', 'Sports', 'Business'],['Society']
50184,['Business', 'Society', 'Arts', 'Sports'],['Society']
10763,['Shopping', 'Computers', 'Sports', 'Business'],['Adult']
29512,['Games', 'Sports', 'Computers', 'Recreation'],['Games']
21664,['Science', 'Society', 'Health', 'Recreation'],['Science']
27808,['Society', 'Shopping', 'Recreation', 'Computers'],['Society']
46526,['Adult', 'Shopping', 'Computers', 'Recreation'],['Adult']
10407,['Health', 'Arts', 'Business', 'Recreation'],['Health']
57164,['Arts', 'Recreation', 'Business', 'Shopping'],['Arts']
43734,['Society', 'Computers', 'Recreation', 'Arts'],['Games']
15569,['Games', 'Computers', 'Science', 'Society'],['Games']
9936,['Arts', 'Society', 'Recreation', 'Business'],['Arts']
33559,['Business', 'Health', 'Computers', 'Recreation'],['Business']
21841,['Science', 'Business', 'Shopping', 'Reference'],['Science']
1053,['Shopping', 'Games', 'Society', 'Recreation'],['Games']
40071,['Society', 'Recreation', 'Shopping', 'Health'],['Society']
2019,['Science', 'Business', 'Society', 'Computers'],['Science']
40968,['Adult', 'Shopping', 'Recreation', 'Arts'],['Adult']
36492,['Arts', 'Recreation', 'Computers', 'Business'],['Arts']
15089,['Arts', 'Business', 'Society', 'Recreation'],['Arts']
27223,['Shopping', 'Society', 'Recreation', 'Business'],['Games']
47414,['Adult', 'Shopping', 'Sports', 'Society'],['Adult']
8054,['Health', 'Science', 'Recreation', 'Business'],['Society', 'Health']
22530,['Health', 'Business', 'Recreation', 'Computers'],['Health']
32830,['Computers', 'Business', 'Recreation', 'Games'],['Business']
50043,['Society', 'Shopping', 'Business', 'Games'],['Games']
1282,['Health', 'Business', 'Computers', 'Science'],['Health']
50078,['Arts', 'Society', 'Science', 'Computers'],['Arts']
50931,['Business', 'Recreation', 'Computers', 'Arts'],['Business']
49854,['Adult', 'Shopping', 'Recreation', 'Sports'],['Adult']
42229,['Business', 'Recreation', 'Society', 'Computers'],['Business']
16755,['Adult', 'Society', 'Shopping', 'Recreation'],['Adult']
5677,['Business', 'Computers', 'Recreation', 'Health'],['Health']
45419,['Science', 'Reference', 'Recreation', 'Computers'],['Science']
54657,['Science', 'Computers', 'Reference', 'Society'],['Science']
58391,['Games', 'Shopping', 'Computers', 'Business'],['Games']
31682,['Games', 'Shopping', 'Computers', 'Society'],['Games']
53759,['Business', 'Health', 'Science', 'Computers'],['Health']
11098,['Games', 'Arts', 'Recreation', 'Computers'],['Games', 'Arts']
31008,['Business', 'Computers', 'Reference', 'Science'],['Business']
32295,['Games', 'Shopping', 'Recreation', 'Society'],['Games']
3554,['Health', 'Business', 'Recreation', 'Science'],['Health']
36845,['Science', 'Health', 'Computers', 'Reference'],['Science']
29082,['Health', 'Science', 'Recreation', 'Computers'],['Science']
27066,['Computers', 'Business', 'Recreation', 'Health'],['Business']
46984,['Shopping', 'Arts', 'Recreation', 'Society'],['Adult']
33932,['Games', 'Shopping', 'Society', 'Computers'],['Games']
44691,['Arts', 'Computers', 'Sports', 'Shopping'],['Society']
26604,['Shopping', 'Recreation', 'Business', 'Computers'],['Games']
23605,['Business', 'Arts', 'Society', 'Recreation'],['Business']
32833,['Health', 'Recreation', 'Business', 'Computers'],['Health']
40973,['Business', 'Computers', 'Health', 'Science'],['Business']
24636,['Business', 'Computers', 'Recreation', 'Shopping'],['Business']
25488,['Business', 'Computers', 'Science', 'Recreation'],['Business']
3806,['Recreation', 'Business', 'Computers', 'Science'],['Health']
24179,['Business', 'Computers', 'Science', 'Reference'],['Business']
34046,['Science', 'Health', 'Computers', 'Recreation'],['Science']
58557,['Health', 'Recreation', 'Computers', 'Business'],['Health']
5058,['Health', 'Recreation', 'Games', 'Business'],['Health']
38959,['Arts', 'Health', 'Shopping', 'Society'],['Society']
58541,['Adult', 'Shopping', 'Society', 'Business'],['Adult']
3737,['Arts', 'Society', 'Health', 'Sports'],['Society']
16397,['Computers', 'Business', 'Shopping', 'Society'],['Computers', 'Business']
46206,['Society', 'Arts', 'Recreation', 'Computers'],['Society']
4428,['Business', 'Science', 'Recreation', 'Society'],['Business']
35666,['Computers', 'Science', 'Reference', 'Recreation'],['Health']
17497,['Society', 'Recreation', 'Adult', 'Arts'],['Society']
40679,['Computers', 'Health', 'Business', 'Science'],['Science']
3789,['Games', 'Computers', 'Shopping', 'Arts'],['Society']
121,['Games', 'Sports', 'Shopping', 'Society'],['Games']
34882,['Health', 'Business', 'Recreation', 'Reference'],['Science']
41785,['Business', 'Computers', 'Shopping', 'Recreation'],['Business']
31506,['Health', 'Business', 'Recreation', 'Reference'],['Health']
5076,['Recreation', 'Science', 'Arts', 'Computers'],['Science']
39609,['Games', 'Arts', 'Society', 'Sports'],['Games']
17476,['Business', 'Computers', 'Recreation', 'Shopping'],['Business']
4508,['Adult', 'Shopping', 'Society', 'Recreation'],['Adult']
23653,['Adult', 'Shopping', 'Sports', 'Society'],['Adult']
507,['Health', 'Business', 'Recreation', 'Science'],['Health']
46188,['Science', 'Health', 'Business', 'Society'],['Science']
52689,['Business', 'Reference', 'Society', 'Shopping'],['Business']
33419,['Recreation', 'Sports', 'Society', 'Business'],['Games']
7018,['Health', 'Business', 'Arts', 'Computers'],['Health']
26350,['Science', 'Health', 'Society', 'Arts'],['Science']
49637,['Shopping', 'Adult', 'Recreation', 'Society'],['Adult']
14972,['Health', 'Recreation', 'Business', 'Arts'],['Health']
26127,['Shopping', 'Business', 'Society', 'Recreation'],['Games']
40334,['Games', 'Sports', 'Recreation', 'Society'],['Games']
54663,['Computers', 'Business', 'Science', 'Shopping'],['Business']
5274,['Recreation', 'Shopping', 'Society', 'Business'],['Society']
11853,['Recreation', 'Shopping', 'Business', 'Arts'],['Games']
37256,['Adult', 'Shopping', 'Business', 'Society'],['Adult']
21893,['Health', 'Recreation', 'Science', 'Society'],['Science']
54095,['Business', 'Science', 'Shopping', 'Recreation'],['Business']
40945,['Health', 'Business', 'Science', 'Computers'],['Health']
50332,['Arts', 'Recreation', 'Business', 'Science'],['Science']
3728,['Business', 'Computers', 'Arts', 'Reference'],['Computers']
46811,['Health', 'Adult', 'Shopping', 'Arts'],['Adult']
37455,['Adult', 'Shopping', 'Computers', 'Arts'],['Adult']
45150,['Society', 'Science', 'Recreation', 'Arts'],['Society']
6790,['Society', 'Health', 'Science', 'Arts'],['Society']
39114,['Sports', 'Shopping', 'Recreation', 'Games'],['Games']
9063,['Business', 'Computers', 'Recreation', 'Health'],['Computers']
8907,['Business', 'Reference', 'Computers', 'Shopping'],['Business']
10933,['Computers', 'Science', 'Reference', 'Recreation'],['Science']
55460,['Computers', 'Business', 'Science', 'Arts'],['Computers']
26538,['Business', 'Computers', 'Recreation', 'Health'],['Business']
37038,['Science', 'Business', 'Reference', 'Health'],['Science']
3144,['Adult', 'Shopping', 'Society', 'Computers'],['Adult']
29067,['Games', 'Shopping', 'Arts', 'Computers'],['Games']
52555,['Shopping', 'Recreation', 'Sports', 'Business'],['Games']
25167,['Recreation', 'Reference', 'Science', 'Society'],['Health']
14428,['Business', 'Arts', 'Recreation', 'Games'],['Business']
23142,['Recreation', 'Sports', 'Shopping', 'Society'],['Games']
42478,['Recreation', 'Business', 'Arts', 'Society'],['Society']
30047,['Business', 'Computers', 'Science', 'Reference'],['Business']
41443,['Computers', 'Shopping', 'Business', 'Recreation'],['Games']
22227,['Science', 'Computers', 'Society', 'Health'],['Science']
16266,['Health', 'Business', 'Recreation', 'Computers'],['Health']
51689,['Shopping', 'Computers', 'Business', 'Recreation'],['Games']
8559,['Society', 'Science', 'Reference', 'Arts'],['Science']
55218,['Society', 'Business', 'Science', 'Health'],['Society']
53353,['Business', 'Computers', 'Science', 'Society'],['Computers']
25328,['Adult', 'Society', 'Computers', 'Recreation'],['Adult']
6399,['Science', 'Business', 'Recreation', 'Health'],['Science']
8457,['Computers', 'Business', 'Shopping', 'Society'],['Computers']
22295,['Sports', 'Shopping', 'Recreation', 'Society'],['Games']
7645,['Society', 'Business', 'Shopping', 'Arts'],['Society']
16375,['Games', 'Business', 'Recreation', 'Arts'],['Business']
50191,['Health', 'Reference', 'Science', 'Business'],['Health']
53220,['Society', 'Health', 'Science', 'Computers'],['Society']
31327,['Science', 'Reference', 'Health', 'Recreation'],['Science']
31004,['Reference', 'Health', 'Society', 'Business'],['Health']
46742,['Business', 'Recreation', 'Shopping', 'Science'],['Business']
22872,['Health', 'Science', 'Society', 'Recreation'],['Science']
34655,['Society', 'Computers', 'Reference', 'Recreation'],['Adult', 'Society']
40908,['Adult', 'Society', 'Shopping', 'Recreation'],['Adult']
48510,['Games', 'Recreation', 'Business', 'Arts'],['Games']
21605,['Society', 'Shopping', 'Recreation', 'Business'],['Adult']
11388,['Games', 'Arts', 'Recreation', 'Business'],['Games']
16070,['Games', 'Shopping', 'Sports', 'Computers'],['Games']
12760,['Games', 'Health', 'Computers', 'Recreation'],['Games']
57015,['Society', 'Sports', 'Business', 'Computers'],['Society']
3044,['Games', 'Computers', 'Recreation', 'Business'],['Games']
23860,['Recreation', 'Shopping', 'Society', 'Business'],['Adult']
14815,['Adult', 'Society', 'Arts', 'Shopping'],['Adult']
12797,['Society', 'Shopping', 'Reference', 'Science'],['Society']
31809,['Health', 'Science', 'Reference', 'Recreation'],['Health']
26199,['Business', 'Arts', 'Society', 'Computers'],['Health']
32748,['Science', 'Arts', 'Health', 'Recreation'],['Science']
26522,['Shopping', 'Computers', 'Society', 'Sports'],['Society']
1714,['Adult', 'Shopping', 'Sports', 'Society'],['Adult']
32583,['Health', 'Business', 'Science', 'Arts'],['Health']
46174,['Business', 'Science', 'Health', 'Recreation'],['Health']
33084,['Sports', 'Games', 'Arts', 'Recreation'],['Games']
6393,['Computers', 'Arts', 'Games', 'Society'],['Games']
46282,['Games', 'Sports', 'Computers', 'Arts'],['Games']
26035,['Business', 'Society', 'Science', 'Health'],['Business']
3706,['Sports', 'Recreation', 'Society', 'Shopping'],['Games']
39889,['Business', 'Science', 'Society', 'Arts'],['Science']
14540,['Adult', 'Society', 'Shopping', 'Recreation'],['Adult']
30774,['Shopping', 'Business', 'Society', 'Recreation'],['Adult']
7643,['Reference', 'Business', 'Computers', 'Science'],['Business']
24250,['Science', 'Business', 'Computers', 'Health'],['Science']
19581,['Science', 'Arts', 'Health', 'Computers'],['Science']
4117,['Society', 'Arts', 'Shopping', 'Computers'],['Society']
47899,['Computers', 'Society', 'Recreation', 'Science'],['Society']
21891,['Arts', 'Business', 'Society', 'Shopping'],['Science']
32771,['Computers', 'Recreation', 'Science', 'Business'],['Science']
3396,['Society', 'Shopping', 'Recreation', 'Business'],['Health']
41755,['Health', 'Science', 'Business', 'Reference'],['Health']
45309,['Science', 'Computers', 'Games', 'Recreation'],['Science']
50755,['Health', 'Business', 'Shopping', 'Recreation'],['Health']
10277,['Computers', 'Shopping', 'Arts', 'Business'],['Society']
25768,['Business', 'Computers', 'Science', 'Reference'],['Business']
15075,['Health', 'Society', 'Business', 'Recreation'],['Health']
52305,['Business', 'Computers', 'Recreation', 'Science'],['Business']
12186,['Arts', 'Society', 'Computers', 'Sports'],['Arts']
45145,['Arts', 'Business', 'Computers', 'Recreation'],['Games']
38715,['Health', 'Science', 'Arts', 'Reference'],['Health']
26049,['Sports', 'Business', 'Shopping', 'Games'],['Arts']
42825,['Health', 'Society', 'Business', 'Arts'],['Health']
3266,['Health', 'Arts', 'Society', 'Computers'],['Health']
37147,['Health', 'Arts', 'Business', 'Recreation'],['Health']
16253,['Health', 'Society', 'Recreation', 'Business'],['Health']
59132,['Games', 'Computers', 'Business', 'Arts'],['Games']
11075,['Health', 'Science', 'Reference', 'Arts'],['Health']
17460,['Business', 'Health', 'Recreation', 'Science'],['Health']
8018,['Games', 'Computers', 'Arts', 'Science'],['Games']
31931,['Society', 'Shopping', 'Reference', 'Computers'],['Society']
21650,['Science', 'Health', 'Reference', 'Computers'],['Science']
21508,['Business', 'Recreation', 'Reference', 'Shopping'],['Business']
51911,['Arts', 'Sports', 'Society', 'Games'],['Arts']
54570,['Science', 'Computers', 'Health', 'Business'],['Science']
36317,['Society', 'Shopping', 'Sports', 'Reference'],['Society']
4995,['Recreation', 'Arts', 'Health', 'Computers'],['Health']
46778,['Society', 'Science', 'Computers', 'Arts'],['Society']
55204,['Health', 'Business', 'Society', 'Shopping'],['Health']
47651,['Health', 'Arts', 'Computers', 'Business'],['Health']
49734,['Business', 'Computers', 'Science', 'Recreation'],['Business']
2484,['Health', 'Business', 'Science', 'Arts'],['Business']
29504,['Business', 'Health', 'Science', 'Recreation'],['Health']
50379,['Health', 'Society', 'Shopping', 'Business'],['Health']
26167,['Health', 'Arts', 'Recreation', 'Business'],['Health']
34096,['Society', 'Business', 'Shopping', 'Arts'],['Society']
24140,['Health', 'Recreation', 'Business', 'Science'],['Health']
1101,['Business', 'Computers', 'Recreation', 'Reference'],['Business']
28702,['Health', 'Business', 'Shopping', 'Society'],['Health']
4848,['Health', 'Business', 'Recreation', 'Computers'],['Health']
22175,['Health', 'Business', 'Shopping', 'Society'],['Health']
11312,['Business', 'Society', 'Arts', 'Recreation'],['Business']
10937,['Health', 'Society', 'Arts', 'Recreation'],['Health']
16317,['Science', 'Business', 'Computers', 'Health'],['Science']
41970,['Society', 'Shopping', 'Reference', 'Business'],['Society']
27149,['Reference', 'Science', 'Computers', 'Recreation'],['Science']
58549,['Health', 'Shopping', 'Business', 'Society'],['Health']
41410,['Health', 'Business', 'Recreation', 'Society'],['Health']
30683,['Business', 'Recreation', 'Arts', 'Computers'],['Business']
16743,['Science', 'Reference', 'Business', 'Health'],['Science']
559,['Arts', 'Society', 'Computers', 'Science'],['Arts']
47231,['Society', 'Recreation', 'Computers', 'Business'],['Science']
44405,['Society', 'Business', 'Science', 'Computers'],['Society']
6818,['Health', 'Society', 'Shopping', 'Business'],['Health']
45115,['Society', 'Computers', 'Business', 'Arts'],['Society']
5548,['Health', 'Business', 'Shopping', 'Sports'],['Health']
52966,['Business', 'Computers', 'Shopping', 'Society'],['Business']
11699,['Business', 'Health', 'Recreation', 'Shopping'],['Health']
4560,['Society', 'Shopping', 'Sports', 'Health'],['Society']
53832,['Society', 'Business', 'Shopping', 'Science'],['Society']
50843,['Business', 'Arts', 'Society', 'Computers'],['Business']
4456,['Business', 'Computers', 'Science', 'Recreation'],['Business']
22624,['Science', 'Business', 'Recreation', 'Computers'],['Science']
35852,['Society', 'Arts', 'Shopping', 'Business'],['Arts']
49138,['Computers', 'Science', 'Recreation', 'Business'],['Science']
58017,['Business', 'Recreation', 'Computers', 'Arts'],['Business']
39506,['Health', 'Business', 'Shopping', 'Recreation'],['Health']
6994,['Arts', 'Science', 'Reference', 'Business'],['Arts']
42526,['Business', 'Recreation', 'Arts', 'Computers'],['Business']
51042,['Arts', 'Business', 'Society', 'Computers'],['Arts']
47488,['Business', 'Health', 'Society', 'Computers'],['Health']
13487,['Health', 'Business', 'Science', 'Recreation'],['Health']
34732,['Business', 'Reference', 'Science', 'Computers'],['Business']
22506,['Computers', 'Science', 'Business', 'Recreation'],['Science']
53533,['Society', 'Arts', 'Science', 'Games'],['Arts']
27022,['Health', 'Science', 'Computers', 'Society'],['Health']
23081,['Health', 'Business', 'Arts', 'Recreation'],['Health']
44935,['Science', 'Business', 'Society', 'Computers'],['Science']
35012,['Health', 'Science', 'Recreation', 'Computers'],['Science']
52366,['Health', 'Arts', 'Business', 'Society'],['Arts']
5922,['Business', 'Recreation', 'Reference', 'Computers'],['Science']
32258,['Health', 'Business', 'Recreation', 'Shopping'],['Health']
48388,['Health', 'Recreation', 'Computers', 'Science'],['Health']
13503,['Society', 'Arts', 'Recreation', 'Sports'],['Society']
9046,['Business', 'Society', 'Arts', 'Sports'],['Society']
26247,['Business', 'Recreation', 'Shopping', 'Health'],['Health']
23859,['Health', 'Science', 'Computers', 'Business'],['Health']
24035,['Health', 'Reference', 'Science', 'Business'],['Health']
5487,['Business', 'Science', 'Computers', 'Recreation'],['Business']
15474,['Health', 'Business', 'Science', 'Reference'],['Health']
31437,['Business', 'Science', 'Computers', 'Recreation'],['Science']
12096,['Health', 'Reference', 'Science', 'Arts'],['Health']
13866,['Health', 'Computers', 'Recreation', 'Science'],['Health']
34055,['Arts', 'Shopping', 'Society', 'Reference'],['Arts']
21577,['Shopping', 'Society', 'Recreation', 'Health'],['Health']
24128,['Business', 'Science', 'Recreation', 'Computers'],['Science', 'Business']
51676,['Health', 'Business', 'Computers', 'Science'],['Health']
49112,['Health', 'Sports', 'Business', 'Arts'],['Health']
30022,['Business', 'Computers', 'Science', 'Recreation'],['Business']
51812,['Society', 'Science', 'Arts', 'Business'],['Society']
20275,['Business', 'Recreation', 'Society', 'Science'],['Business']
4595,['Health', 'Science', 'Business', 'Recreation'],['Health']
10947,['Arts', 'Computers', 'Society', 'Science'],['Arts']
16756,['Sports', 'Games', 'Business', 'Health'],['Health']
20647,['Reference', 'Recreation', 'Computers', 'Science'],['Reference']
28840,['Health', 'Business', 'Society', 'Shopping'],['Health']
52467,['Health', 'Shopping', 'Business', 'Society'],['Health']
5770,['Science', 'Reference', 'Recreation', 'Society'],['Reference']
35118,['Arts', 'Society', 'Computers', 'Recreation'],['Arts']
16313,['Health', 'Business', 'Arts', 'Society'],['Health']
28323,['Games', 'Sports', 'Shopping', 'Computers'],['Society']
24902,['Society', 'Shopping', 'Sports', 'Business'],['Society']
6835,['Arts', 'Society', 'Shopping', 'Business'],['Health']
40135,['Health', 'Business', 'Computers', 'Recreation'],['Health']
50879,['Health', 'Society', 'Computers', 'Business'],['Health']
54970,['Recreation', 'Sports', 'Business', 'Arts'],['Sports']
48129,['Arts', 'Science', 'Computers', 'Recreation'],['Arts']
13754,['Shopping', 'Recreation', 'Society', 'Computers'],['Health']
43817,['Health', 'Shopping', 'Society', 'Business'],['Health']
53404,['Shopping', 'Business', 'Recreation', 'Society'],['Health']
48649,['Shopping', 'Business', 'Computers', 'Society'],['Health']
40858,['Arts', 'Reference', 'Computers', 'Recreation'],['Arts']
36515,['Arts', 'Computers', 'Reference', 'Shopping'],['Arts']
30040,['Science', 'Arts', 'Recreation', 'Computers'],['Reference', 'Science']
48286,['Shopping', 'Business', 'Computers', 'Recreation'],['Health']
11041,['Science', 'Games', 'Business', 'Reference'],['Science']
37161,['Shopping', 'Health', 'Business', 'Computers'],['Health']
57538,['Arts', 'Reference', 'Computers', 'Recreation'],['Arts']
32597,['Health', 'Arts', 'Business', 'Recreation'],['Health']
6207,['Shopping', 'Computers', 'Recreation', 'Society'],['Health']
48637,['Arts', 'Reference', 'Business', 'Recreation'],['Arts']
31074,['Shopping', 'Recreation', 'Society', 'Business'],['Business']
25007,['Business', 'Recreation', 'Shopping', 'Society'],['Business']
32692,['Health', 'Arts', 'Business', 'Recreation'],['Health']
15138,['Health', 'Business', 'Society', 'Recreation'],['Health']
37327,['Society', 'Arts', 'Shopping', 'Business'],['Health']
31345,['Business', 'Computers', 'Recreation', 'Health'],['Business']
7829,['Health', 'Shopping', 'Society', 'Business'],['Health']
10161,['Arts', 'Reference', 'Computers', 'Science'],['Arts']
33694,['Health', 'Business', 'Science', 'Society'],['Health']
1722,['Science', 'Reference', 'Arts', 'Health'],['Science']
47916,['Arts', 'Reference', 'Health', 'Computers'],['Reference']
6520,['Arts', 'Recreation', 'Shopping', 'Business'],['Recreation']
24492,['Health', 'Society', 'Science', 'Computers'],['Health']
22794,['Science', 'Arts', 'Computers', 'Reference'],['Science']
8781,['Society', 'Business', 'Shopping', 'Computers'],['Society']
8834,['Sports', 'Recreation', 'Reference', 'Computers'],['Sports']
10173,['Health', 'Business', 'Society', 'Recreation'],['Health']
57925,['Shopping', 'Recreation', 'Society', 'Computers'],['Society']
54984,['Arts', 'Recreation', 'Business', 'Science'],['Society', 'Arts']
41854,['Business', 'Recreation', 'Society', 'Computers'],['Science']
6255,['Society', 'Adult', 'Arts', 'Shopping'],['Society']
31172,['Shopping', 'Society', 'Arts', 'Recreation'],['Society']
45033,['Health', 'Society', 'Science', 'Shopping'],['Health']
53197,['Health', 'Computers', 'Recreation', 'Business'],['Health']
12704,['Computers', 'Recreation', 'Business', 'Science'],['Recreation']
45406,['Business', 'Shopping', 'Recreation', 'Computers'],['Recreation']
10754,['Recreation', 'Shopping', 'Business', 'Computers'],['Health']
36024,['Arts', 'Computers', 'Recreation', 'Science'],['Arts']
10835,['Society', 'Shopping', 'Arts', 'Recreation'],['Society']
59176,['Society', 'Business', 'Recreation', 'Computers'],['Recreation']
42596,['Recreation', 'Health', 'Arts', 'Business'],['Recreation']
15766,['Health', 'Business', 'Computers', 'Society'],['Health']
5175,['Health', 'Society', 'Business', 'Shopping'],['Health']
11935,['Sports', 'Business', 'Society', 'Science'],['Business']
13564,['Shopping', 'Computers', 'Recreation', 'Business'],['Shopping']
26580,['Business', 'Health', 'Society', 'Computers'],['Health']
39339,['Arts', 'Recreation', 'Computers', 'Business'],['Science']
32476,['Arts', 'Shopping', 'Business', 'Recreation'],['Shopping', 'Arts']
17201,['Health', 'Society', 'Shopping', 'Business'],['Health']
41045,['Business', 'Science', 'Health', 'Recreation'],['Business']
49638,['Business', 'Arts', 'Society', 'Computers'],['Science']
50428,['Recreation', 'Business', 'Society', 'Shopping'],['Recreation']
1767,['Business', 'Science', 'Computers', 'Recreation'],['Business']
34264,['Science', 'Business', 'Computers', 'Society'],['Science']
13738,['Business', 'Science', 'Computers', 'Recreation'],['Business']
51643,['Society', 'Shopping', 'Business', 'Computers'],['Society']
13323,['Health', 'Science', 'Society', 'Business'],['Health']
49905,['Business', 'Recreation', 'Shopping', 'Computers'],['Recreation']
48253,['Health', 'Shopping', 'Recreation', 'Society'],['Health']
50681,['Science', 'Business', 'Recreation', 'Computers'],['Science']
52195,['Business', 'Recreation', 'Computers', 'Shopping'],['Business']
49543,['Health', 'Business', 'Recreation', 'Society'],['Health']
33098,['Recreation', 'Business', 'Arts', 'Shopping'],['Recreation']
17797,['Society', 'Recreation', 'Shopping', 'Business'],['Society']
55173,['Society', 'Arts', 'Recreation', 'Shopping'],['Society']
10234,['Recreation', 'Games', 'Business', 'Shopping'],['Recreation']
49191,['Recreation', 'Arts', 'Games', 'Business'],['Recreation']
38752,['Health', 'Reference', 'Society', 'Business'],['Health']
50042,['Arts', 'Computers', 'Society', 'Shopping'],['Society']
50601,['Health', 'Business', 'Society', 'Science'],['Health']
33671,['Health', 'Business', 'Society', 'Computers'],['Health']
52807,['Shopping', 'Health', 'Society', 'Business'],['Society']
14558,['Computers', 'Science', 'Business', 'Recreation'],['Science']
34578,['Arts', 'Shopping', 'Business', 'Recreation'],['Arts']
31877,['Society', 'Shopping', 'Sports', 'Computers'],['Society']
55036,['Health', 'Business', 'Recreation', 'Arts'],['Health']
47133,['Health', 'Business', 'Reference', 'Shopping'],['Health']
38509,['Health', 'Society', 'Recreation', 'Business'],['Health']
10049,['Society', 'Health', 'Shopping', 'Business'],['Society']
26372,['Health', 'Business', 'Recreation', 'Shopping'],['Health']
32849,['Society', 'Arts', 'Shopping', 'Business'],['Society']
53493,['Society', 'Arts', 'Shopping', 'Recreation'],['Society']
41070,['Recreation', 'Reference', 'Business', 'Shopping'],['Recreation']
4857,['Science', 'Computers', 'Business', 'Recreation'],['Science']
31079,['Society', 'Computers', 'Shopping', 'Business'],['Society']
4581,['Health', 'Computers', 'Business', 'Shopping'],['Health']
1095,['Health', 'Business', 'Computers', 'Sports'],['Health']
14839,['Health', 'Business', 'Sports', 'Society'],['Health']
