ref id,Predicted,Actual
0,['Business', 'Sports', 'Society', 'Shopping'],['Adult']
34324,['Shopping', 'Society', 'News', 'Arts'],['Society']
245,['Recreation', 'Games', 'Arts', 'Society'],['Arts']
34330,['Computers', 'Arts', 'Society', 'Science'],['Society']
34332,['Arts', 'Recreation', 'Games', 'Shopping'],['Society']
34334,['Sports', 'Shopping', 'Science', 'Recreation'],['Society']
262,['Arts', 'Home', 'Society', 'Computers'],['Business', 'Home']
268,['Business', 'Shopping', 'Health', 'Adult'],['Business']
34359,['Society', 'Sports', 'Computers', 'Arts'],['Society']
34367,['Business', 'Sports', 'Society', 'Recreation'],['Society']
287,['Arts', 'Society', 'Shopping', 'Computers'],['Business']
288,['Business', 'News', 'Arts', 'Sports'],['Business', 'Home']
34370,['Society', 'Sports', 'Science', 'Health'],['Society']
295,['Business', 'Arts', 'Sports', 'Society'],['Business', 'News', 'Home']
296,['Business', 'Home', 'Society', 'Science'],['Business', 'Computers']
34385,['Computers', 'Recreation', 'Shopping', 'Business'],['Society']
307,['Computers', 'Arts', 'Recreation', 'Business'],['Business']
310,['Business', 'Recreation', 'Computers', 'Sports'],['Business', 'Home']
34393,['Sports', 'Society', 'Recreation', 'Shopping'],['Society']
34396,['Society', 'Sports', 'Science', 'Computers'],['Society']
316,['News', 'Arts', 'Science', 'Sports'],['Business', 'News']
34401,['Sports', 'Shopping', 'Society', 'Recreation'],['Society']
34402,['Adult', 'Society', 'Shopping', 'Computers'],['Society']
321,['Business', 'Computers', 'News', 'Society'],['Business']
34405,['Shopping', 'News', 'Business', 'Arts'],['Society']
34408,['Sports', 'Society', 'Shopping', 'Reference'],['Society']
328,['Computers', 'Business', 'Shopping', 'Sports'],['Business']
34411,['Sports', 'Recreation', 'Computers', 'Shopping'],['Society']
334,['Sports', 'Home', 'Society', 'Science'],['Business', 'Sports']
340,['Business', 'Science', 'News', 'Games'],['Business']
341,['Adult', 'Business', 'Computers', 'Shopping'],['Business']
34432,['Arts', 'Recreation', 'Computers', 'Business'],['Society']
351,['Business', 'Shopping', 'Recreation', 'Computers'],['Business']
34433,['Society', 'Sports', 'Health', 'Science'],['Society']
34436,['Business', 'Recreation', 'Computers', 'Arts'],['Society']
34438,['Computers', 'Society', 'Recreation', 'Home'],['Society']
362,['Shopping', 'Arts', 'Society', 'Recreation'],['Computers']
366,['Society', 'Arts', 'Sports', 'Shopping'],['Reference', 'Computers']
34450,['Arts', 'Shopping', 'Society', 'Health'],['Society']
34465,['Society', 'Science', 'Health', 'Sports'],['Society']
384,['Arts', 'Sports', 'Society', 'Recreation'],['Computers']
34484,['Shopping', 'Recreation', 'Adult', 'Computers'],['Society']
403,['Computers', 'Arts', 'Games', 'Business'],['Computers']
34485,['Sports', 'Society', 'Shopping', 'Games'],['Society']
34491,['Society', 'Reference', 'Sports', 'Science'],['Society']
410,['Games', 'Society', 'Shopping', 'Business'],['Computers']
34493,['Society', 'Shopping', 'Computers', 'Arts'],['Society']
34494,['Health', 'Science', 'Recreation', 'Sports'],['Society']
429,['Shopping', 'Business', 'Sports', 'Computers'],['Computers']
34514,['Society', 'Shopping', 'Business', 'Arts'],['Society']
34518,['Health', 'Computers', 'Sports', 'Science'],['Society']
34520,['Society', 'Arts', 'Shopping', 'Recreation'],['Society']
445,['Computers', 'Recreation', 'Games', 'Society'],['Games']
34546,['Society', 'Sports', 'Shopping', 'Science'],['Society']
465,['Shopping', 'Business', 'Arts', 'Society'],['Games']
468,['Business', 'Sports', 'Recreation', 'Arts'],['Games']
472,['Games', 'Recreation', 'Business', 'Adult'],['Games']
476,['Games', 'Reference', 'Recreation', 'Home'],['Games']
477,['Shopping', 'Business', 'Arts', 'Reference'],['Games']
480,['News', 'Recreation', 'Arts', 'Computers'],['Arts', 'Games']
34569,['Society', 'Sports', 'Shopping', 'Science'],['Society']
34572,['Sports', 'Arts', 'Society', 'Shopping'],['Society']
34576,['Computers', 'Arts', 'Sports', 'Business'],['Society']
34580,['Society', 'Sports', 'Shopping', 'Science'],['Society']
34581,['Society', 'Sports', 'Shopping', 'Science'],['Society']
34584,['Shopping', 'Business', 'Arts', 'Society'],['Society']
506,['Arts', 'Recreation', 'Home', 'Games'],['Games']
34596,['Sports', 'Society', 'Shopping', 'News'],['Society']
34609,['Health', 'Arts', 'Society', 'Recreation'],['Society']
527,['Games', 'Computers', 'Sports', 'Society'],['Games']
34611,['Society', 'Sports', 'Shopping', 'Science'],['Society']
534,['Sports', 'Arts', 'Games', 'Computers'],['Games']
34626,['Society', 'Sports', 'Health', 'Science'],['Society']
34631,['Society', 'Shopping', 'Sports', 'Recreation'],['Society']
550,['Sports', 'Arts', 'Health', 'Games'],['Health']
34633,['Shopping', 'Recreation', 'Society', 'Games'],['Society']
34634,['Sports', 'Society', 'Recreation', 'Shopping'],['Society']
34640,['Arts', 'Sports', 'Computers', 'Society'],['Society']
559,['Business', 'Sports', 'Society', 'Shopping'],['Health']
34644,['Computers', 'Society', 'Shopping', 'Recreation'],['Society']
566,['Business', 'Arts', 'Shopping', 'Sports'],['Health']
567,['Recreation', 'Shopping', 'Health', 'Society'],['Health']
34652,['Sports', 'Recreation', 'Business', 'Society'],['Society']
572,['Shopping', 'Science', 'Health', 'Society'],['Health']
34659,['Society', 'Sports', 'Shopping', 'Recreation'],['Society']
579,['Shopping', 'Sports', 'Computers', 'Adult'],['Health']
34672,['Arts', 'Sports', 'Business', 'Society'],['Society']
34675,['Arts', 'Recreation', 'Sports', 'Society'],['Society']
34678,['Computers', 'Sports', 'Recreation', 'Arts'],['Society']
34681,['Society', 'Computers', 'Arts', 'Health'],['Society']
601,['Health', 'Society', 'Science', 'Reference'],['Health']
34685,['Shopping', 'Recreation', 'Sports', 'Business'],['Society']
34687,['Society', 'Health', 'Recreation', 'Arts'],['Society']
611,['Science', 'News', 'Society', 'Reference'],['Health']
616,['Recreation', 'Health', 'Business', 'Sports'],['Health']
34715,['Health', 'Society', 'Computers', 'Business'],['Society']
636,['Health', 'Science', 'Recreation', 'Computers'],['Health']
34722,['Arts', 'Sports', 'Health', 'Society'],['Society']
643,['Business', 'Society', 'Shopping', 'Science'],['Health']
34726,['Society', 'Business', 'Shopping', 'Sports'],['Society']
34731,['Health', 'Society', 'Business', 'Arts'],['Society']
34736,['Arts', 'Recreation', 'Games', 'Computers'],['Society']
34737,['Computers', 'Sports', 'Society', 'Adult'],['Society']
657,['Health', 'Science', 'Business', 'Recreation'],['Health']
34740,['Computers', 'Arts', 'Business', 'Science'],['Society']
667,['Business', 'Science', 'Shopping', 'Health'],['Health']
672,['Science', 'Reference', 'Health', 'Business'],['Health']
34760,['Business', 'Recreation', 'Arts', 'Shopping'],['Society']
678,['Shopping', 'Health', 'Business', 'Society'],['Health']
683,['Business', 'Arts', 'Society', 'Recreation'],['Home']
34768,['Science', 'Computers', 'Society', 'Arts'],['Society']
34769,['Society', 'Recreation', 'Sports', 'Shopping'],['Society']
689,['Adult', 'Computers', 'Recreation', 'Business'],['Home']
34778,['Arts', 'Society', 'Health', 'Computers'],['Society']
34786,['Society', 'Shopping', 'Business', 'Recreation'],['Society']
707,['Shopping', 'Business', 'Society', 'Arts'],['Home']
710,['Home', 'Society', 'Recreation', 'Computers'],['Home']
34800,['Games', 'Arts', 'Health', 'Recreation'],['Society']
34801,['Shopping', 'Games', 'Health', 'Arts'],['Society']
34805,['Society', 'Health', 'Arts', 'Computers'],['Society']
732,['Business', 'Society', 'Home', 'Science'],['Society', 'Home']
746,['Health', 'Business', 'News', 'Arts'],['Home']
749,['Computers', 'Science', 'Business', 'Arts'],['Home']
770,['Arts', 'Society', 'Business', 'Recreation'],['Home']
34855,['Arts', 'Recreation', 'Computers', 'Sports'],['Society']
773,['Home', 'Games', 'Arts', 'Society'],['Home']
774,['Recreation', 'Business', 'Science', 'Sports'],['Home']
775,['Shopping', 'Recreation', 'Sports', 'News'],['Recreation', 'Home']
34863,['Society', 'Reference', 'Recreation', 'Business'],['Society']
34867,['Sports', 'Shopping', 'Society', 'Science'],['Society']
34876,['Recreation', 'Games', 'Computers', 'Arts'],['Society']
34893,['Business', 'Sports', 'Society', 'Shopping'],['Society']
810,['Computers', 'Arts', 'Reference', 'Recreation'],['Recreation', 'Home']
34895,['Shopping', 'Sports', 'Society', 'Reference'],['Society']
34898,['Health', 'Science', 'Business', 'Shopping'],['Society']
817,['Business', 'Sports', 'Shopping', 'Health'],['Recreation']
34909,['Sports', 'Arts', 'Society', 'Computers'],['Society']
835,['Arts', 'Society', 'News', 'Computers'],['Science']
836,['Society', 'Business', 'Health', 'Arts'],['Sports']
846,['Business', 'Sports', 'Society', 'News'],['Sports']
848,['Science', 'Recreation', 'Computers', 'Business'],['Science', 'Reference']
34923,['Shopping', 'Society', 'Science', 'Games'],['Society']
851,['Games', 'Arts', 'Society', 'Shopping'],['Science']
34929,['Society', 'Sports', 'Computers', 'Recreation'],['Society']
34937,['Business', 'Recreation', 'Sports', 'Games'],['Society']
879,['Arts', 'Recreation', 'Sports', 'Society'],['Arts']
34951,['Society', 'Reference', 'Sports', 'Computers'],['Society']
34954,['Health', 'Society', 'Arts', 'Computers'],['Society']
903,['Science', 'Recreation', 'Business', 'Arts'],['Society', 'Science']
34960,['Sports', 'Society', 'Shopping', 'Science'],['Society']
34964,['Sports', 'Reference', 'Society', 'Science'],['Society']
34967,['Sports', 'Society', 'News', 'Shopping'],['Society']
931,['News', 'Arts', 'Society', 'Sports'],['News']
935,['Business', 'Computers', 'Arts', 'News'],['News']
34989,['Society', 'Sports', 'Science', 'Recreation'],['Society']
34991,['Sports', 'Society', 'Adult', 'Shopping'],['Society']
941,['News', 'Sports', 'Arts', 'Business'],['News']
954,['Business', 'Sports', 'Society', 'Shopping'],['News']
35008,['Arts', 'Computers', 'Recreation', 'Business'],['Society']
962,['Arts', 'Recreation', 'Games', 'Computers'],['News']
35018,['Arts', 'Computers', 'Recreation', 'Health'],['Society']
35025,['Arts', 'Business', 'Sports', 'Society'],['Society']
975,['Shopping', 'Sports', 'Health', 'Business'],['News']
976,['Arts', 'Computers', 'Society', 'Science'],['News']
35032,['Sports', 'Recreation', 'Games', 'Arts'],['Society']
35034,['Computers', 'Arts', 'Business', 'Recreation'],['Society']
984,['News', 'Science', 'Arts', 'Sports'],['Science', 'News']
985,['Recreation', 'Arts', 'News', 'Science'],['News']
995,['Arts', 'Sports', 'Society', 'Shopping'],['News']
35049,['Society', 'Arts', 'Recreation', 'Sports'],['Society']
1001,['Sports', 'News', 'Society', 'Reference'],['News']
35062,['Recreation', 'Society', 'Business', 'Arts'],['Society']
1010,['Science', 'Recreation', 'Reference', 'Health'],['Society', 'Science', 'Business', 'News', 'Computers']
1013,['News', 'Sports', 'Society', 'Shopping'],['News']
1019,['Arts', 'Society', 'Shopping', 'News'],['News']
1023,['Business', 'Science', 'Reference', 'Games'],['News']
1029,['Computers', 'Shopping', 'Arts', 'Sports'],['Computers']
35087,['Society', 'Arts', 'Adult', 'Recreation'],['Society']
35095,['Arts', 'Computers', 'Sports', 'Society'],['Society']
35096,['Society', 'Sports', 'Health', 'Shopping'],['Society']
35101,['Arts', 'Recreation', 'Society', 'Science'],['Society']
35105,['Sports', 'Games', 'Society', 'Recreation'],['Society']
1051,['Recreation', 'Games', 'Arts', 'Reference'],['Recreation']
35108,['Society', 'Computers', 'Arts', 'Shopping'],['Society']
1055,['Sports', 'Society', 'Business', 'Shopping'],['Shopping']
35117,['Arts', 'Sports', 'Society', 'Recreation'],['Society']
1063,['Sports', 'Shopping', 'Business', 'Arts'],['News']
35118,['Society', 'Health', 'Business', 'Reference'],['Society']
35122,['Society', 'Science', 'Health', 'Computers'],['Society']
1072,['Business', 'Arts', 'Shopping', 'Recreation'],['News']
35140,['Business', 'Arts', 'Sports', 'Shopping'],['Society']
1090,['Recreation', 'Sports', 'Society', 'Business'],['News']
1094,['Recreation', 'Business', 'Health', 'Sports'],['Recreation']
35149,['Shopping', 'Recreation', 'Sports', 'Games'],['Society']
1099,['Business', 'Computers', 'Shopping', 'Recreation'],['Recreation']
35155,['Society', 'Adult', 'Shopping', 'Recreation'],['Society']
1107,['Arts', 'Recreation', 'Games', 'Adult'],['Recreation']
35162,['Arts', 'Recreation', 'Business', 'Sports'],['Society']
1112,['Business', 'Computers', 'Society', 'Recreation'],['Recreation']
1114,['Recreation', 'Business', 'Health', 'Arts'],['Recreation']
35169,['Arts', 'Sports', 'Society', 'Shopping'],['Society']
35173,['Adult', 'Society', 'News', 'Computers'],['Society']
1122,['Business', 'Health', 'Computers', 'Science'],['Recreation']
1133,['Society', 'Business', 'Shopping', 'Home'],['Recreation']
35192,['Recreation', 'Business', 'Sports', 'Society'],['Society']
35196,['Society', 'Health', 'Sports', 'Science'],['Society']
35202,['Shopping', 'Business', 'Sports', 'Science'],['Society']
1163,['Sports', 'Business', 'Society', 'Home'],['Recreation']
1164,['Recreation', 'Business', 'Computers', 'Home'],['Business', 'Recreation']
35220,['Society', 'Arts', 'Recreation', 'Sports'],['Society']
1168,['Recreation', 'Health', 'Computers', 'Business'],['Recreation']
35223,['Recreation', 'Society', 'Home', 'Computers'],['Society']
35225,['Arts', 'Business', 'Sports', 'Shopping'],['Society']
1172,['Recreation', 'Computers', 'Home', 'Health'],['Recreation']
1173,['Arts', 'Shopping', 'Society', 'News'],['Recreation']
35227,['Arts', 'Sports', 'Recreation', 'Business'],['Society']
1175,['Recreation', 'Science', 'Reference', 'Games'],['Recreation']
35230,['Society', 'Reference', 'Arts', 'Science'],['Society']
35233,['Society', 'Sports', 'Recreation', 'Health'],['Society']
1180,['Business', 'Shopping', 'Computers', 'Society'],['Recreation']
1186,['Computers', 'Arts', 'Reference', 'Recreation'],['Recreation']
1190,['Arts', 'Business', 'Society', 'Shopping'],['Recreation']
1194,['Business', 'Health', 'Recreation', 'Adult'],['Recreation']
1198,['Recreation', 'Business', 'Arts', 'Society'],['Recreation']
1202,['Arts', 'Shopping', 'Computers', 'Society'],['Reference']
35261,['Sports', 'Society', 'Arts', 'Shopping'],['Society']
35267,['Sports', 'Recreation', 'Shopping', 'Business'],['Society']
1216,['Reference', 'Arts', 'Health', 'Computers'],['Reference']
1217,['Arts', 'Sports', 'Games', 'Shopping'],['Reference']
1218,['Reference', 'Health', 'Arts', 'Society'],['Reference']
35275,['Recreation', 'Computers', 'Health', 'Adult'],['Society']
1222,['Reference', 'Science', 'Health', 'Computers'],['Reference']
35279,['Society', 'Shopping', 'Sports', 'Recreation'],['Society']
1232,['Business', 'Shopping', 'Home', 'Computers'],['Reference', 'Computers']
1234,['Computers', 'Science', 'Health', 'Society'],['Reference']
35290,['Society', 'Sports', 'Science', 'Computers'],['Society']
35294,['Society', 'Shopping', 'Reference', 'Recreation'],['Society']
35297,['Shopping', 'Business', 'Science', 'Health'],['Society']
1246,['Computers', 'Arts', 'News', 'Society'],['Reference', 'Computers']
35304,['Arts', 'Society', 'Sports', 'Shopping'],['Society']
1250,['Reference', 'Arts', 'Health', 'Science'],['Reference']
35305,['Sports', 'Shopping', 'Business', 'Computers'],['Society']
1256,['Arts', 'Business', 'Sports', 'Society'],['Reference']
1258,['Science', 'Reference', 'Computers', 'Society'],['Reference']
35313,['Society', 'Reference', 'Recreation', 'Arts'],['Society']
35314,['Shopping', 'Arts', 'Sports', 'Recreation'],['Society']
35347,['Arts', 'Recreation', 'Adult', 'Sports'],['Society']
35348,['Shopping', 'Society', 'Sports', 'Reference'],['Society']
1294,['Reference', 'Science', 'Health', 'Business'],['Reference']
35350,['Sports', 'Shopping', 'Games', 'Computers'],['Society']
1298,['Health', 'Science', 'Reference', 'Home'],['Reference']
1302,['Science', 'Health', 'Reference', 'Computers'],['Reference']
35357,['Reference', 'Society', 'Sports', 'Recreation'],['Society']
35365,['Business', 'Shopping', 'Games', 'Adult'],['Society']
35369,['Sports', 'Society', 'Games', 'Recreation'],['Society']
1315,['Business', 'Sports', 'Society', 'Health'],['Reference']
35375,['Society', 'Shopping', 'Business', 'Home'],['Society']
1322,['Business', 'Sports', 'Society', 'Reference'],['Reference']
1330,['Reference', 'Health', 'Arts', 'Society'],['Reference']
35392,['Sports', 'Recreation', 'Games', 'Society'],['Society']
1341,['Business', 'Society', 'Recreation', 'Home'],['Reference']
35397,['Computers', 'Business', 'Society', 'Shopping'],['Society']
35401,['Sports', 'Society', 'Shopping', 'Science'],['Society']
1351,['Shopping', 'Arts', 'Society', 'News'],['Shopping']
35406,['Society', 'Games', 'Shopping', 'Recreation'],['Society']
35407,['Arts', 'Shopping', 'Recreation', 'Health'],['Society']
35415,['Computers', 'Society', 'Recreation', 'News'],['Society']
35417,['Sports', 'Shopping', 'Arts', 'Society'],['Society']
35418,['Computers', 'Games', 'Sports', 'Society'],['Society']
1415,['Sports', 'Health', 'Computers', 'Society'],['Science']
1416,['Shopping', 'Business', 'Sports', 'Science'],['Science']
1424,['Health', 'Society', 'Science', 'Reference'],['Science']
1428,['Computers', 'Business', 'Health', 'Society'],['Science']
1433,['Society', 'Games', 'Arts', 'Recreation'],['Science']
1438,['Reference', 'Arts', 'Health', 'Society'],['Science', 'Reference']
1450,['Science', 'Recreation', 'Health', 'Business'],['Science']
35467,['Business', 'Sports', 'Shopping', 'Science'],['Society']
1464,['Society', 'Sports', 'Shopping', 'Home'],['Science']
35475,['Arts', 'Shopping', 'Computers', 'Society'],['Society']
1480,['Science', 'Reference', 'Business', 'Computers'],['Science']
35492,['Shopping', 'Adult', 'Society', 'Sports'],['Society']
1483,['Shopping', 'Computers', 'Society', 'Recreation'],['Science']
1488,['Computers', 'Business', 'Arts', 'Science'],['Science']
1493,['Shopping', 'Society', 'Sports', 'Reference'],['Shopping']
1497,['Business', 'Computers', 'Home', 'Arts'],['Shopping']
35509,['Computers', 'Arts', 'Recreation', 'Adult'],['Society']
35511,['Science', 'Society', 'Reference', 'Games'],['Society']
35518,['Sports', 'Science', 'Arts', 'Society'],['Society']
35522,['Computers', 'Sports', 'Arts', 'Shopping'],['Society']
1520,['Shopping', 'Business', 'Health', 'Society'],['Shopping']
35533,['Shopping', 'Business', 'Health', 'Society'],['Society']
35534,['Recreation', 'Games', 'Shopping', 'Computers'],['Society']
35535,['Science', 'Reference', 'Recreation', 'Health'],['Society']
1525,['News', 'Arts', 'Society', 'Shopping'],['Shopping']
1526,['Recreation', 'Business', 'Shopping', 'Sports'],['Shopping']
1527,['Shopping', 'Arts', 'Society', 'Business'],['Shopping']
35540,['Shopping', 'Science', 'Business', 'Sports'],['Society']
1531,['Shopping', 'Science', 'Business', 'Sports'],['Shopping']
35544,['Business', 'Adult', 'Society', 'Health'],['Society']
1535,['Shopping', 'Business', 'Arts', 'Sports'],['Shopping']
35547,['Computers', 'Health', 'Science', 'Shopping'],['Society']
35559,['Recreation', 'Society', 'Sports', 'Shopping'],['Society']
35571,['Shopping', 'Arts', 'Health', 'Sports'],['Society']
1565,['Home', 'Shopping', 'Society', 'Science'],['Shopping']
35580,['Society', 'Health', 'Home', 'Computers'],['Society']
1570,['Computers', 'Business', 'Arts', 'Adult'],['Shopping']
35582,['Computers', 'Science', 'Society', 'Arts'],['Society']
35594,['Recreation', 'Arts', 'Sports', 'Health'],['Society']
35597,['Society', 'News', 'Arts', 'Business'],['Society']
35602,['Shopping', 'Society', 'Science', 'Games'],['Society']
1593,['Shopping', 'Business', 'Society', 'Recreation'],['Shopping']
1599,['Shopping', 'Business', 'News', 'Computers'],['Shopping']
1600,['Business', 'Computers', 'Recreation', 'Adult'],['Shopping']
1601,['Recreation', 'Business', 'Sports', 'Shopping'],['Business', 'Shopping']
35612,['Shopping', 'Science', 'Sports', 'Recreation'],['Society']
35618,['Society', 'Arts', 'Sports', 'Science'],['Society']
35625,['Arts', 'Games', 'Sports', 'Shopping'],['Society']
35630,['Games', 'Sports', 'Recreation', 'Arts'],['Society']
35636,['Sports', 'Shopping', 'Recreation', 'Society'],['Society']
1629,['Computers', 'Science', 'Reference', 'News'],['Society', 'Computers']
35649,['Games', 'Arts', 'Recreation', 'Health'],['Society']
1641,['Society', 'Health', 'Sports', 'Shopping'],['Society']
1643,['Business', 'Arts', 'Sports', 'Recreation'],['Society']
35660,['Sports', 'Business', 'Society', 'Science'],['Society']
1648,['Arts', 'News', 'Society', 'Home'],['Society']
35665,['Sports', 'Recreation', 'Business', 'Society'],['Society']
1658,['Sports', 'Society', 'Shopping', 'Science'],['Society']
1659,['Society', 'Health', 'Science', 'Business'],['Society']
35673,['Business', 'Arts', 'Recreation', 'Society'],['Society']
35685,['Sports', 'Recreation', 'Society', 'Shopping'],['Society']
35694,['Society', 'Shopping', 'Recreation', 'Games'],['Society']
1681,['Business', 'Science', 'Society', 'Recreation'],['Society']
35695,['Sports', 'Shopping', 'Home', 'Business'],['Society']
35701,['Sports', 'Shopping', 'Society', 'Science'],['Society']
35702,['Society', 'Computers', 'Health', 'Sports'],['Society']
1693,['Society', 'Adult', 'Recreation', 'Computers'],['Society']
1695,['Reference', 'News', 'Games', 'Computers'],['Society']
35717,['Society', 'Arts', 'Reference', 'Recreation'],['Society']
1707,['Arts', 'Society', 'Recreation', 'News'],['Society']
35725,['Shopping', 'Business', 'Arts', 'Recreation'],['Society']
35728,['Society', 'Adult', 'Business', 'Sports'],['Society']
1716,['Recreation', 'Society', 'Health', 'News'],['Society']
35735,['Health', 'Business', 'Sports', 'Shopping'],['Society']
1723,['Science', 'Recreation', 'Health', 'News'],['Society']
35742,['Sports', 'Business', 'Health', 'Games'],['Society']
35747,['Recreation', 'Health', 'Sports', 'Society'],['Society']
1738,['Sports', 'Games', 'Shopping', 'Computers'],['Sports']
1739,['Sports', 'News', 'Games', 'Society'],['Sports']
1741,['Sports', 'Shopping', 'Recreation', 'Games'],['Sports']
35759,['Society', 'Reference', 'Computers', 'Arts'],['Society']
1745,['Sports', 'Arts', 'Science', 'Recreation'],['Sports']
1757,['Business', 'Society', 'News', 'Health'],['Sports']
35772,['Sports', 'Recreation', 'Society', 'Shopping'],['Society']
1759,['Arts', 'Society', 'Recreation', 'Shopping'],['Sports']
35777,['Shopping', 'Business', 'Sports', 'Society'],['Society']
35789,['Sports', 'Society', 'Shopping', 'Science'],['Society']
1781,['Shopping', 'Recreation', 'Arts', 'Sports'],['Sports']
1785,['Sports', 'News', 'Shopping', 'Recreation'],['Sports']
35802,['Society', 'Sports', 'Science', 'Recreation'],['Society']
1788,['Sports', 'News', 'Arts', 'Recreation'],['Sports']
1804,['Recreation', 'Sports', 'Adult', 'Science'],['Sports']
1805,['Sports', 'Games', 'Shopping', 'Computers'],['Sports']
35819,['Arts', 'Computers', 'Business', 'Society'],['Society']
1808,['Sports', 'Shopping', 'Recreation', 'Business'],['Sports']
1812,['Sports', 'Society', 'Shopping', 'Science'],['Sports']
35838,['Arts', 'Society', 'Computers', 'Business'],['Society']
1828,['Sports', 'Business', 'Society', 'Shopping'],['Sports']
1834,['Sports', 'Recreation', 'Science', 'Computers'],['Sports']
1837,['Health', 'News', 'Arts', 'Sports'],['Sports']
35853,['Society', 'Health', 'News', 'Sports'],['Society']
1840,['Arts', 'Recreation', 'Sports', 'Society'],['Sports', 'News']
35855,['Adult', 'Society', 'Arts', 'Sports'],['Society']
35859,['Business', 'Society', 'Health', 'Computers'],['Society']
1856,['Arts', 'Recreation', 'Society', 'Science'],['Adult']
1857,['Games', 'Adult', 'Sports', 'Society'],['Adult']
1861,['Recreation', 'Arts', 'Society', 'Sports'],['Adult']
35884,['Society', 'Business', 'Computers', 'Sports'],['Society']
35891,['News', 'Society', 'Business', 'Arts'],['Society']
35896,['Health', 'Business', 'Society', 'Arts'],['Society']
1882,['Recreation', 'Adult', 'News', 'Arts'],['Adult']
1886,['Adult', 'Society', 'Business', 'Sports'],['Adult']
35908,['Society', 'Sports', 'Health', 'Computers'],['Society']
1899,['Adult', 'Recreation', 'Business', 'Shopping'],['Adult']
1903,['Society', 'Shopping', 'Recreation', 'Arts'],['Adult']
35918,['Business', 'Science', 'Recreation', 'Health'],['Society']
35925,['Business', 'Recreation', 'Computers', 'Science'],['Society']
1917,['Adult', 'Science', 'Health', 'Sports'],['Adult']
1923,['Arts', 'Reference', 'Recreation', 'Business'],['Adult']
35941,['Society', 'Business', 'Science', 'Reference'],['Society']
35945,['Society', 'Sports', 'Science', 'Business'],['Society']
1937,['Arts', 'Shopping', 'Business', 'Society'],['Adult']
35952,['Computers', 'Shopping', 'Science', 'Home'],['Society']
