ref id,Predicted,Actual
0,['Adult', 'Society', 'Recreation', 'Computers'],['Adult']
341,['Computers', 'Business', 'Arts', 'Adult'],['Business']
34432,['Society', 'Arts', 'News', 'Recreation'],['Society']
351,['Business', 'Computers', 'Science', 'Shopping'],['Business']
34433,['Society', 'Health', 'Arts', 'Recreation'],['Society']
34436,['Society', 'Shopping', 'Arts', 'Recreation'],['Society']
34438,['Society', 'Recreation', 'Arts', 'Shopping'],['Society']
362,['Reference', 'Science', 'Recreation', 'News'],['Computers']
366,['Society', 'Computers', 'Arts', 'Shopping'],['Reference', 'Computers']
34450,['Society', 'Recreation', 'Shopping', 'Computers'],['Society']
34465,['Society', 'Home', 'Health', 'Business'],['Society']
384,['Computers', 'Recreation', 'Business', 'Society'],['Computers']
34484,['Society', 'Shopping', 'Arts', 'Adult'],['Society']
403,['Computers', 'Business', 'Recreation', 'Science'],['Computers']
34485,['Society', 'News', 'Arts', 'Computers'],['Society']
34491,['Society', 'Business', 'Shopping', 'Computers'],['Society']
410,['Science', 'Computers', 'Reference', 'Business'],['Computers']
34493,['Society', 'Business', 'Shopping', 'Computers'],['Society']
34494,['Society', 'Recreation', 'Arts', 'Home'],['Society']
429,['Computers', 'Home', 'Recreation', 'Business'],['Computers']
34514,['Society', 'Computers', 'Shopping', 'Recreation'],['Society']
34518,['Science', 'Business', 'Society', 'Computers'],['Society']
34520,['Society', 'Shopping', 'Recreation', 'Business'],['Society']
445,['Games', 'Recreation', 'Arts', 'Computers'],['Games']
34546,['Society', 'Shopping', 'Recreation', 'Business'],['Society']
465,['Games', 'Shopping', 'Business', 'Arts'],['Games']
468,['Sports', 'Games', 'Shopping', 'Recreation'],['Games']
472,['Games', 'Business', 'Computers', 'Recreation'],['Games']
476,['Games', 'Computers', 'Arts', 'Business'],['Games']
477,['Games', 'Shopping', 'Arts', 'Computers'],['Games']
480,['Games', 'Recreation', 'Arts', 'Computers'],['Arts', 'Games']
34569,['Society', 'Shopping', 'Business', 'Computers'],['Society']
34572,['Society', 'Shopping', 'Recreation', 'Computers'],['Society']
34576,['Shopping', 'Science', 'Business', 'Computers'],['Society']
34580,['Society', 'Health', 'Shopping', 'Reference'],['Society']
34581,['Society', 'Shopping', 'Arts', 'Recreation'],['Society']
34584,['Shopping', 'Business', 'Society', 'Computers'],['Society']
506,['Games', 'Business', 'Computers', 'Recreation'],['Games']
34596,['Shopping', 'Recreation', 'Society', 'Computers'],['Society']
34609,['Society', 'Shopping', 'Business', 'Recreation'],['Society']
527,['Games', 'Computers', 'Arts', 'Recreation'],['Games']
34611,['Society', 'Business', 'Shopping', 'Computers'],['Society']
534,['Games', 'Computers', 'Shopping', 'Business'],['Games']
34626,['Society', 'Reference', 'Recreation', 'Arts'],['Society']
34631,['Society', 'Shopping', 'Recreation', 'Business'],['Society']
550,['Health', 'Business', 'Home', 'Society'],['Health']
34633,['Society', 'Shopping', 'Business', 'Recreation'],['Society']
34634,['Society', 'Shopping', 'Business', 'Recreation'],['Society']
34640,['Society', 'Arts', 'Shopping', 'Recreation'],['Society']
559,['Health', 'Business', 'Recreation', 'Shopping'],['Health']
34644,['Computers', 'Business', 'Society', 'Shopping'],['Society']
566,['Business', 'Health', 'Recreation', 'Science'],['Health']
567,['Health', 'Shopping', 'Recreation', 'Society'],['Health']
34652,['Society', 'Shopping', 'Health', 'Recreation'],['Society']
572,['Health', 'Society', 'Business', 'Shopping'],['Health']
34659,['Society', 'Shopping', 'Business', 'Recreation'],['Society']
579,['Business', 'Science', 'Home', 'Recreation'],['Health']
34672,['Arts', 'Recreation', 'Society', 'Business'],['Society']
34675,['Society', 'Health', 'Recreation', 'Science'],['Society']
34678,['Society', 'Computers', 'Science', 'Health'],['Society']
34681,['Society', 'Computers', 'Business', 'Science'],['Society']
601,['Health', 'Science', 'Recreation', 'Society'],['Health']
34685,['Business', 'Sports', 'Society', 'Shopping'],['Society']
34687,['Society', 'Health', 'Recreation', 'Shopping'],['Society']
611,['Health', 'Home', 'Society', 'Reference'],['Health']
616,['Health', 'Society', 'Recreation', 'Business'],['Health']
34715,['Society', 'Health', 'Business', 'Computers'],['Society']
636,['Health', 'Recreation', 'Business', 'Shopping'],['Health']
34722,['Arts', 'Society', 'Recreation', 'News'],['Society']
643,['Health', 'Business', 'Science', 'Recreation'],['Health']
34726,['Society', 'Computers', 'Health', 'Business'],['Society']
34731,['Society', 'Recreation', 'Health', 'Sports'],['Society']
34736,['Health', 'Society', 'Shopping', 'Computers'],['Society']
34737,['Society', 'Computers', 'Health', 'Shopping'],['Society']
657,['Health', 'Adult', 'Home', 'Recreation'],['Health']
34740,['Society', 'Shopping', 'Recreation', 'Business'],['Society']
667,['Health', 'Business', 'Society', 'Science'],['Health']
672,['Health', 'Reference', 'Science', 'Computers'],['Health']
34760,['Business', 'Shopping', 'Recreation', 'Arts'],['Society']
678,['Health', 'Business', 'Shopping', 'Home'],['Health']
683,['Computers', 'Arts', 'Recreation', 'Science'],['Home']
34768,['Society', 'Health', 'Computers', 'Science'],['Society']
34769,['Sports', 'Recreation', 'Shopping', 'Society'],['Society']
689,['Computers', 'Home', 'Shopping', 'Recreation'],['Home']
34778,['Society', 'Computers', 'Business', 'Science'],['Society']
34786,['Society', 'Recreation', 'Shopping', 'News'],['Society']
707,['Home', 'Shopping', 'Health', 'Business'],['Home']
710,['Home', 'Shopping', 'Arts', 'Recreation'],['Home']
34800,['Arts', 'Shopping', 'Society', 'Recreation'],['Society']
34801,['Society', 'Sports', 'Recreation', 'Arts'],['Society']
34805,['Health', 'Society', 'Reference', 'Science'],['Society']
732,['Business', 'Science', 'Home', 'Health'],['Society', 'Home']
746,['Home', 'Arts', 'Society', 'Business'],['Home']
749,['Business', 'Computers', 'Recreation', 'Science'],['Home']
770,['Business', 'Home', 'Arts', 'Computers'],['Home']
34855,['Society', 'Arts', 'Recreation', 'News'],['Society']
773,['Home', 'Arts', 'Recreation', 'Computers'],['Home']
774,['Home', 'Reference', 'Recreation', 'Science'],['Home']
775,['Shopping', 'Business', 'Recreation', 'Society'],['Recreation', 'Home']
34863,['Shopping', 'Society', 'Arts', 'Recreation'],['Society']
34867,['Shopping', 'Recreation', 'Sports', 'Computers'],['Society']
34876,['Arts', 'Society', 'Shopping', 'Recreation'],['Society']
34893,['Society', 'Shopping', 'Computers', 'Recreation'],['Society']
810,['Recreation', 'Home', 'News', 'Business'],['Recreation', 'Home']
34895,['Society', 'Business', 'Recreation', 'Shopping'],['Society']
34898,['Shopping', 'Computers', 'Recreation', 'Society'],['Society']
817,['Computers', 'Science', 'Business', 'Shopping'],['Recreation']
34909,['Society', 'Shopping', 'Arts', 'Recreation'],['Society']
835,['Computers', 'Science', 'Society', 'Recreation'],['Science']
836,['Sports', 'Games', 'Society', 'Science'],['Sports']
846,['Sports', 'Recreation', 'Business', 'News'],['Sports']
848,['Science', 'Recreation', 'Computers', 'Arts'],['Science', 'Reference']
34923,['Society', 'Shopping', 'Arts', 'Recreation'],['Society']
851,['Games', 'Science', 'Home', 'Shopping'],['Science']
34929,['Society', 'Business', 'Computers', 'Arts'],['Society']
34937,['Society', 'Shopping', 'Computers', 'Recreation'],['Society']
879,['Arts', 'Recreation', 'Shopping', 'Science'],['Arts']
34951,['Society', 'Shopping', 'Arts', 'Recreation'],['Society']
34954,['Society', 'Shopping', 'Recreation', 'Computers'],['Society']
903,['Society', 'News', 'Recreation', 'Health'],['Society', 'Science']
34960,['Shopping', 'Recreation', 'Computers', 'Society'],['Society']
34964,['Society', 'Arts', 'Shopping', 'Computers'],['Society']
34967,['Society', 'Shopping', 'Arts', 'Recreation'],['Society']
931,['News', 'Arts', 'Society', 'Computers'],['News']
935,['News', 'Arts', 'Recreation', 'Science'],['News']
34989,['Society', 'Science', 'Computers', 'Business'],['Society']
34991,['Society', 'Sports', 'Computers', 'Recreation'],['Society']
941,['News', 'Sports', 'Society', 'Business'],['News']
954,['Arts', 'Adult', 'News', 'Home'],['News']
35008,['Computers', 'Business', 'Recreation', 'Arts'],['Society']
962,['Arts', 'Games', 'Recreation', 'Computers'],['News']
35018,['Computers', 'Recreation', 'Society', 'Games'],['Society']
35025,['Society', 'Health', 'Shopping', 'News'],['Society']
975,['Business', 'Society', 'Recreation', 'Shopping'],['News']
976,['News', 'Recreation', 'Business', 'Arts'],['News']
35032,['Society', 'Recreation', 'Shopping', 'Computers'],['Society']
35034,['Science', 'Computers', 'Society', 'Business'],['Society']
984,['News', 'Science', 'Reference', 'Recreation'],['Science', 'News']
985,['Arts', 'News', 'Recreation', 'Society'],['News']
995,['Recreation', 'News', 'Arts', 'Business'],['News']
35049,['Computers', 'Society', 'Arts', 'Shopping'],['Society']
1001,['News', 'Sports', 'Business', 'Home'],['News']
35062,['Society', 'Shopping', 'Computers', 'Business'],['Society']
1010,['Reference', 'Society', 'Business', 'Home'],['Society', 'Science', 'Business', 'News', 'Computers']
1013,['News', 'Sports', 'Arts', 'Recreation'],['News']
1019,['News', 'Arts', 'Business', 'Recreation'],['News']
1023,['Business', 'News', 'Reference', 'Computers'],['News']
1029,['Computers', 'Business', 'Shopping', 'Arts'],['Computers']
35087,['Society', 'Business', 'Shopping', 'Computers'],['Society']
35095,['Society', 'Computers', 'Shopping', 'Business'],['Society']
35096,['Society', 'Computers', 'Shopping', 'Science'],['Society']
35101,['Computers', 'Science', 'Society', 'Business'],['Society']
35105,['Sports', 'Society', 'Games', 'Recreation'],['Society']
1051,['Recreation', 'Games', 'Arts', 'Health'],['Recreation']
35108,['Society', 'Computers', 'News', 'Science'],['Society']
1055,['Shopping', 'Recreation', 'Computers', 'Society'],['Shopping']
35117,['Society', 'Computers', 'Shopping', 'Science'],['Society']
1063,['Business', 'Arts', 'News', 'Home'],['News']
35118,['Society', 'Computers', 'Science', 'Reference'],['Society']
35122,['Society', 'Computers', 'Sports', 'Recreation'],['Society']
1072,['Arts', 'Business', 'Recreation', 'News'],['News']
35140,['Society', 'Arts', 'Computers', 'Shopping'],['Society']
1090,['Business', 'Recreation', 'Society', 'Arts'],['News']
1094,['Recreation', 'Reference', 'Society', 'Arts'],['Recreation']
35149,['Society', 'Health', 'Shopping', 'Recreation'],['Society']
1099,['Business', 'Recreation', 'Health', 'Computers'],['Recreation']
35155,['Society', 'Adult', 'Shopping', 'Recreation'],['Society']
1107,['Arts', 'Recreation', 'News', 'Adult'],['Recreation']
35162,['Arts', 'Games', 'Society', 'Computers'],['Society']
1112,['Arts', 'Business', 'Recreation', 'Computers'],['Recreation']
1114,['Recreation', 'Arts', 'Business', 'Science'],['Recreation']
35169,['Society', 'Adult', 'Arts', 'Computers'],['Society']
35173,['Society', 'Computers', 'Shopping', 'Business'],['Society']
1122,['Business', 'Science', 'Recreation', 'Computers'],['Recreation']
1133,['Arts', 'Recreation', 'Shopping', 'News'],['Recreation']
35192,['Society', 'Arts', 'Shopping', 'Business'],['Society']
35196,['Society', 'Computers', 'Business', 'Home'],['Society']
35202,['Sports', 'Recreation', 'Society', 'Arts'],['Society']
1163,['Recreation', 'Business', 'Computers', 'Arts'],['Recreation']
1164,['Business', 'Recreation', 'Computers', 'Science'],['Business', 'Recreation']
35220,['Society', 'Arts', 'Sports', 'Business'],['Society']
1168,['Recreation', 'Computers', 'Arts', 'Home'],['Recreation']
35223,['Recreation', 'Shopping', 'Society', 'Business'],['Society']
35225,['Society', 'Recreation', 'Shopping', 'Computers'],['Society']
1172,['Recreation', 'Arts', 'Home', 'Games'],['Recreation']
1173,['Recreation', 'Arts', 'Business', 'Society'],['Recreation']
35227,['Arts', 'Society', 'Recreation', 'News'],['Society']
1175,['Recreation', 'Health', 'Computers', 'Business'],['Recreation']
35230,['Society', 'News', 'Reference', 'Health'],['Society']
35233,['Society', 'Arts', 'Business', 'Recreation'],['Society']
1180,['Business', 'Computers', 'Health', 'Recreation'],['Recreation']
1186,['Recreation', 'Reference', 'Business', 'Computers'],['Recreation']
1190,['Business', 'Recreation', 'Shopping', 'Home'],['Recreation']
1194,['Recreation', 'Business', 'Reference', 'Computers'],['Recreation']
1198,['Recreation', 'Home', 'Business', 'Shopping'],['Recreation']
1202,['Arts', 'Home', 'Shopping', 'Reference'],['Reference']
35261,['Society', 'Arts', 'Shopping', 'Sports'],['Society']
35267,['Arts', 'Society', 'Sports', 'Recreation'],['Society']
1216,['Reference', 'Science', 'Computers', 'Health'],['Reference']
1217,['Computers', 'Science', 'Business', 'Recreation'],['Reference']
1218,['Reference', 'Science', 'Society', 'Health'],['Reference']
35275,['Society', 'Shopping', 'Business', 'Recreation'],['Society']
1222,['Reference', 'Business', 'Science', 'Arts'],['Reference']
35279,['Shopping', 'Business', 'Recreation', 'Society'],['Society']
1232,['Business', 'Computers', 'Science', 'Arts'],['Reference', 'Computers']
1234,['Reference', 'News', 'Computers', 'Science'],['Reference']
35290,['Society', 'News', 'Recreation', 'Arts'],['Society']
35294,['Society', 'Shopping', 'Arts', 'Home'],['Society']
35297,['Society', 'Shopping', 'Business', 'Science'],['Society']
1246,['Science', 'Computers', 'Arts', 'Health'],['Reference', 'Computers']
35304,['Society', 'Shopping', 'Business', 'Reference'],['Society']
1250,['Reference', 'Arts', 'Health', 'News'],['Reference']
35305,['Shopping', 'Society', 'Computers', 'Business'],['Society']
1256,['Business', 'Recreation', 'Arts', 'Shopping'],['Reference']
1258,['Science', 'Reference', 'Arts', 'Computers'],['Reference']
35313,['Society', 'Shopping', 'Sports', 'Recreation'],['Society']
35314,['Society', 'Shopping', 'Recreation', 'Business'],['Society']
35347,['Society', 'Shopping', 'Business', 'Recreation'],['Society']
35348,['Society', 'Recreation', 'Computers', 'Home'],['Society']
1294,['Reference', 'Science', 'Health', 'Arts'],['Reference']
35350,['Society', 'Home', 'Business', 'Shopping'],['Society']
1298,['Arts', 'Business', 'Health', 'Science'],['Reference']
1302,['Health', 'News', 'Science', 'Reference'],['Reference']
35357,['Society', 'Reference', 'Recreation', 'Arts'],['Society']
35365,['Society', 'Business', 'Shopping', 'Reference'],['Society']
35369,['Society', 'Shopping', 'Sports', 'Computers'],['Society']
1315,['Reference', 'News', 'Health', 'Science'],['Reference']
35375,['Society', 'Shopping', 'Business', 'Recreation'],['Society']
1322,['Arts', 'Science', 'Business', 'Reference'],['Reference']
1330,['Reference', 'Society', 'Arts', 'Health'],['Reference']
35392,['Society', 'Arts', 'Shopping', 'Recreation'],['Society']
1341,['Business', 'Reference', 'Health', 'Home'],['Reference']
35397,['Computers', 'Society', 'Science', 'Shopping'],['Society']
35401,['Society', 'Recreation', 'Shopping', 'Sports'],['Society']
1351,['Shopping', 'Business', 'Home', 'Recreation'],['Shopping']
35406,['Computers', 'Society', 'Business', 'Arts'],['Society']
35407,['Shopping', 'Society', 'Recreation', 'Computers'],['Society']
35415,['Computers', 'Society', 'Business', 'Science'],['Society']
35417,['Recreation', 'Shopping', 'Society', 'Arts'],['Society']
35418,['Society', 'Computers', 'Games', 'Shopping'],['Society']
1415,['Sports', 'Recreation', 'Computers', 'Shopping'],['Science']
1416,['Science', 'Arts', 'Recreation', 'Society'],['Science']
1424,['Science', 'Health', 'Reference', 'Recreation'],['Science']
1428,['Business', 'Science', 'Computers', 'Reference'],['Science']
1433,['Science', 'Recreation', 'Computers', 'Business'],['Science']
1438,['Reference', 'Science', 'Arts', 'Computers'],['Science', 'Reference']
1450,['Science', 'Health', 'Business', 'Recreation'],['Science']
35467,['Science', 'Business', 'Shopping', 'Arts'],['Society']
1464,['Science', 'Society', 'Shopping', 'Recreation'],['Science']
35475,['Society', 'Business', 'Science', 'Computers'],['Society']
1480,['Science', 'Recreation', 'Business', 'Computers'],['Science']
35492,['Society', 'Home', 'Arts', 'Adult'],['Society']
1483,['Science', 'Recreation', 'Shopping', 'Reference'],['Science']
1488,['Computers', 'Business', 'Science', 'Recreation'],['Science']
1493,['Shopping', 'Business', 'Home', 'Arts'],['Shopping']
1497,['Business', 'Shopping', 'Home', 'Recreation'],['Shopping']
35509,['Computers', 'Recreation', 'Business', 'Society'],['Society']
35511,['Society', 'Business', 'Science', 'Arts'],['Society']
35518,['Sports', 'Society', 'Science', 'Business'],['Society']
35522,['Society', 'Business', 'Sports', 'Science'],['Society']
1520,['Shopping', 'Health', 'Business', 'Arts'],['Shopping']
35533,['Society', 'Business', 'Science', 'Computers'],['Society']
35534,['Society', 'Business', 'Shopping', 'Arts'],['Society']
35535,['Society', 'Business', 'News', 'Computers'],['Society']
1525,['Shopping', 'Business', 'Arts', 'Recreation'],['Shopping']
1526,['Reference', 'Recreation', 'Business', 'Science'],['Shopping']
1527,['Shopping', 'Society', 'Business', 'Computers'],['Shopping']
35540,['Games', 'Shopping', 'Business', 'Recreation'],['Society']
1531,['Shopping', 'Business', 'Arts', 'Recreation'],['Shopping']
35544,['Society', 'Recreation', 'Science', 'Business'],['Society']
1535,['Business', 'Shopping', 'Recreation', 'Computers'],['Shopping']
35547,['Society', 'Recreation', 'Computers', 'Home'],['Society']
35559,['Society', 'Recreation', 'Arts', 'Computers'],['Society']
35571,['Society', 'Recreation', 'Shopping', 'Computers'],['Society']
1565,['Shopping', 'Recreation', 'Business', 'Home'],['Shopping']
35580,['Society', 'Arts', 'Shopping', 'Computers'],['Society']
1570,['Shopping', 'Recreation', 'Business', 'Computers'],['Shopping']
35582,['Society', 'Reference', 'Computers', 'Arts'],['Society']
35594,['Society', 'Computers', 'Shopping', 'Arts'],['Society']
35597,['Society', 'Business', 'Reference', 'Shopping'],['Society']
35602,['Society', 'Science', 'Recreation', 'Business'],['Society']
1593,['Business', 'Shopping', 'Recreation', 'Arts'],['Shopping']
1599,['Shopping', 'Arts', 'Recreation', 'Society'],['Shopping']
1600,['Business', 'Shopping', 'Recreation', 'Computers'],['Shopping']
1601,['Business', 'Shopping', 'Recreation', 'Arts'],['Business', 'Shopping']
35612,['Computers', 'Recreation', 'Business', 'Arts'],['Society']
35618,['Society', 'Arts', 'Recreation', 'Shopping'],['Society']
35625,['Recreation', 'Shopping', 'Society', 'Computers'],['Society']
35630,['Society', 'Arts', 'Recreation', 'Shopping'],['Society']
35636,['Shopping', 'Recreation', 'Society', 'Computers'],['Society']
1629,['Computers', 'News', 'Science', 'Business'],['Society', 'Computers']
35649,['Society', 'Arts', 'Games', 'Shopping'],['Society']
1641,['Society', 'Reference', 'Recreation', 'Arts'],['Society']
1643,['News', 'Computers', 'Arts', 'Business'],['Society']
35660,['Business', 'Reference', 'Recreation', 'Sports'],['Society']
1648,['Arts', 'Recreation', 'News', 'Computers'],['Society']
35665,['Society', 'Arts', 'Shopping', 'Business'],['Society']
1658,['Society', 'Arts', 'Home', 'Science'],['Society']
1659,['Recreation', 'Society', 'Business', 'Arts'],['Society']
35673,['Society', 'Arts', 'Shopping', 'Computers'],['Society']
35685,['Sports', 'Shopping', 'Arts', 'Society'],['Society']
35694,['Games', 'Shopping', 'Society', 'Arts'],['Society']
1681,['Business', 'News', 'Science', 'Society'],['Society']
35695,['Society', 'Arts', 'Shopping', 'Recreation'],['Society']
35701,['Shopping', 'Recreation', 'Computers', 'Society'],['Society']
35702,['Society', 'Recreation', 'Shopping', 'Sports'],['Society']
1693,['Adult', 'Business', 'Health', 'Recreation'],['Society']
1695,['Reference', 'Society', 'Business', 'Arts'],['Society']
35717,['Society', 'Arts', 'Sports', 'Shopping'],['Society']
1707,['Society', 'Arts', 'Recreation', 'News'],['Society']
35725,['Society', 'Arts', 'Recreation', 'Shopping'],['Society']
35728,['Society', 'Recreation', 'Shopping', 'Computers'],['Society']
1716,['Adult', 'Society', 'Arts', 'Recreation'],['Society']
35735,['Society', 'Shopping', 'Home', 'Recreation'],['Society']
1723,['Society', 'Reference', 'Science', 'Recreation'],['Society']
35742,['Business', 'Shopping', 'Society', 'Recreation'],['Society']
35747,['Society', 'Arts', 'Business', 'Recreation'],['Society']
1738,['Sports', 'Games', 'Shopping', 'Recreation'],['Sports']
1739,['Sports', 'Business', 'Games', 'Recreation'],['Sports']
1741,['Sports', 'Games', 'Arts', 'Business'],['Sports']
35759,['Society', 'Shopping', 'Arts', 'Computers'],['Society']
1745,['Sports', 'Arts', 'Recreation', 'Computers'],['Sports']
1757,['Sports', 'Recreation', 'Games', 'News'],['Sports']
35772,['Arts', 'Games', 'Society', 'Recreation'],['Society']
1759,['Sports', 'Games', 'Recreation', 'Shopping'],['Sports']
35777,['Society', 'Sports', 'Arts', 'Business'],['Society']
35789,['Society', 'Recreation', 'Shopping', 'Arts'],['Society']
1781,['Recreation', 'Home', 'Business', 'Computers'],['Sports']
1785,['Sports', 'Business', 'News', 'Computers'],['Sports']
35802,['Society', 'Health', 'Recreation', 'Arts'],['Society']
1788,['Sports', 'News', 'Arts', 'Recreation'],['Sports']
1804,['Sports', 'Recreation', 'Computers', 'News'],['Sports']
1805,['Sports', 'Games', 'Shopping', 'Recreation'],['Sports']
35819,['Society', 'News', 'Arts', 'Shopping'],['Society']
1808,['Sports', 'Games', 'Business', 'Shopping'],['Sports']
1812,['Sports', 'Adult', 'Recreation', 'Business'],['Sports']
35838,['Home', 'Shopping', 'Recreation', 'Arts'],['Society']
1828,['Sports', 'Games', 'Recreation', 'Arts'],['Sports']
1834,['Sports', 'News', 'Business', 'Recreation'],['Sports']
1837,['Arts', 'News', 'Recreation', 'Games'],['Sports']
35853,['Society', 'Health', 'News', 'Computers'],['Society']
1840,['Arts', 'News', 'Recreation', 'Business'],['Sports', 'News']
35855,['Society', 'Shopping', 'News', 'Recreation'],['Society']
35859,['Society', 'Home', 'Science', 'Recreation'],['Society']
1856,['Business', 'Recreation', 'Society', 'Arts'],['Adult']
1857,['Adult', 'Games', 'Computers', 'Recreation'],['Adult']
1861,['Adult', 'Arts', 'Recreation', 'Society'],['Adult']
35884,['Society', 'Business', 'Arts', 'Reference'],['Society']
35891,['Business', 'Computers', 'Society', 'Shopping'],['Society']
35896,['Society', 'Health', 'Computers', 'Business'],['Society']
1882,['Adult', 'News', 'Recreation', 'Games'],['Adult']
1886,['Adult', 'Society', 'Recreation', 'News'],['Adult']
35908,['Business', 'Computers', 'Society', 'Shopping'],['Society']
1899,['Adult', 'Recreation', 'Arts', 'Games'],['Adult']
1903,['Sports', 'Shopping', 'Adult', 'Arts'],['Adult']
35918,['Society', 'Business', 'News', 'Recreation'],['Society']
35925,['Business', 'Society', 'Shopping', 'Arts'],['Society']
1917,['Adult', 'Recreation', 'Arts', 'Computers'],['Adult']
1923,['Adult', 'Arts', 'Recreation', 'Shopping'],['Adult']
35941,['Society', 'Health', 'Business', 'Science'],['Society']
35945,['Society', 'Business', 'Health', 'Science'],['Society']
