ref id,Predicted,Actual
57141,['Shopping', 'Business', 'Games', 'Arts'],['Adult']
11098,['Recreation', 'Health', 'Business', 'Society'],['Games', 'Arts']
31008,['Adult', 'Society', 'Business', 'Science'],['Business']
32295,['Business', 'Society', 'Arts', 'Games'],['Games']
3554,['Business', 'Computers', 'Recreation', 'Science'],['Health']
36845,['Science', 'Recreation', 'Computers', 'Business'],['Science']
29082,['Business', 'Computers', 'Reference', 'Science'],['Science']
27066,['Computers', 'Reference', 'Recreation', 'Business'],['Business']
46984,['Shopping', 'Business', 'Computers', 'Health'],['Adult']
33932,['Computers', 'Science', 'Business', 'Games'],['Games']
44691,['Business', 'Computers', 'Recreation', 'Adult'],['Society']
26604,['Business', 'Recreation', 'Health', 'Society'],['Games']
23605,['Business', 'Computers', 'Adult', 'Recreation'],['Business']
32833,['Science', 'Computers', 'Society', 'Recreation'],['Health']
40973,['Business', 'Adult', 'Computers', 'Reference'],['Business']
24636,['Computers', 'Business', 'Science', 'Recreation'],['Business']
25488,['Recreation', 'Computers', 'Reference', 'Business'],['Business']
3806,['Shopping', 'Sports', 'Business', 'Health'],['Health']
24179,['Science', 'Health', 'Recreation', 'Computers'],['Business']
34046,['Computers', 'Business', 'Recreation', 'Science'],['Science']
58557,['Adult', 'Business', 'Science', 'Society'],['Health']
5058,['Games', 'Science', 'Business', 'Adult'],['Health']
38959,['Business', 'Computers', 'Recreation', 'Science'],['Society']
58541,['Business', 'Recreation', 'Computers', 'Games'],['Adult']
3737,['Business', 'Arts', 'Recreation', 'Computers'],['Society']
16397,['Computers', 'Science', 'Recreation', 'Business'],['Computers', 'Business']
46206,['Business', 'Games', 'Science', 'Recreation'],['Society']
4428,['Reference', 'Business', 'Computers', 'Arts'],['Business']
35666,['Reference', 'Computers', 'Science', 'Recreation'],['Health']
17497,['Business', 'Recreation', 'Computers', 'Science'],['Society']
40679,['Business', 'Computers', 'Recreation', 'Science'],['Science']
3789,['Games', 'Business', 'Shopping', 'Society'],['Society']
121,['Shopping', 'Society', 'Business', 'Computers'],['Games']
34882,['Recreation', 'Health', 'Science', 'Adult'],['Science']
41785,['Business', 'Computers', 'Adult', 'Recreation'],['Business']
31506,['Shopping', 'Adult', 'Arts', 'Health'],['Health']
5076,['Computers', 'Recreation', 'Adult', 'Games'],['Science']
39609,['Science', 'Business', 'Computers', 'Recreation'],['Games']
17476,['Business', 'Recreation', 'Computers', 'Science'],['Business']
4508,['Business', 'Recreation', 'Computers', 'Society'],['Adult']
23653,['Business', 'Shopping', 'Adult', 'Society'],['Adult']
507,['Society', 'Business', 'Recreation', 'Science'],['Health']
46188,['Business', 'Society', 'Health', 'Computers'],['Science']
52689,['Business', 'Computers', 'Recreation', 'Science'],['Business']
33419,['Business', 'Recreation', 'Computers', 'Sports'],['Games']
7018,['Science', 'Health', 'Games', 'Shopping'],['Health']
26350,['Science', 'Reference', 'Business', 'Health'],['Science']
49637,['Business', 'Shopping', 'Games', 'Society'],['Adult']
14972,['Recreation', 'Science', 'Adult', 'Reference'],['Health']
26127,['Business', 'Recreation', 'Shopping', 'Health'],['Games']
40334,['Science', 'Sports', 'Adult', 'Recreation'],['Games']
54663,['Science', 'Recreation', 'Computers', 'Business'],['Business']
5274,['Business', 'Shopping', 'Health', 'Sports'],['Society']
11853,['Computers', 'Recreation', 'Adult', 'Business'],['Games']
37256,['Business', 'Adult', 'Shopping', 'Society'],['Adult']
21893,['Health', 'Reference', 'Society', 'Shopping'],['Science']
54095,['Business', 'Arts', 'Reference', 'Computers'],['Business']
40945,['Business', 'Health', 'Society', 'Arts'],['Health']
50332,['Business', 'Society', 'Computers', 'Recreation'],['Science']
3728,['Games', 'Business', 'Adult', 'Society'],['Computers']
46811,['Business', 'Computers', 'Games', 'Reference'],['Adult']
37455,['Shopping', 'Computers', 'Arts', 'Business'],['Adult']
45150,['Computers', 'Business', 'Arts', 'Recreation'],['Society']
6790,['Business', 'Society', 'Arts', 'Adult'],['Society']
39114,['Business', 'Recreation', 'Health', 'Adult'],['Games']
9063,['Business', 'Adult', 'Reference', 'Computers'],['Computers']
8907,['Adult', 'Recreation', 'Computers', 'Reference'],['Business']
10933,['Business', 'Computers', 'Reference', 'Recreation'],['Science']
55460,['Business', 'Computers', 'Recreation', 'Science'],['Computers']
26538,['Business', 'Recreation', 'Computers', 'Adult'],['Business']
37038,['Business', 'Computers', 'Society', 'Reference'],['Science']
3144,['Computers', 'Society', 'Business', 'Recreation'],['Adult']
29067,['Shopping', 'Arts', 'Computers', 'Games'],['Games']
52555,['Business', 'Recreation', 'Health', 'Shopping'],['Games']
25167,['Society', 'Computers', 'Health', 'Business'],['Health']
14428,['Business', 'Computers', 'Recreation', 'Games'],['Business']
23142,['Business', 'Recreation', 'Adult', 'Health'],['Games']
42478,['Reference', 'Society', 'Business', 'Health'],['Society']
30047,['Business', 'Games', 'Science', 'Society'],['Business']
41443,['Business', 'Computers', 'Recreation', 'Adult'],['Games']
22227,['Computers', 'Games', 'Recreation', 'Business'],['Science']
16266,['Business', 'Computers', 'Recreation', 'Science'],['Health']
51689,['Business', 'Shopping', 'Adult', 'Health'],['Games']
8559,['Computers', 'Business', 'Arts', 'Games'],['Science']
55218,['Computers', 'Business', 'Adult', 'Recreation'],['Society']
53353,['Shopping', 'Computers', 'Arts', 'Reference'],['Computers']
25328,['Computers', 'Arts', 'Recreation', 'Adult'],['Adult']
6399,['Computers', 'Reference', 'Society', 'Recreation'],['Science']
8457,['Computers', 'Business', 'Science', 'Recreation'],['Computers']
22295,['Business', 'Recreation', 'Health', 'Computers'],['Games']
7645,['Business', 'Recreation', 'Computers', 'Society'],['Society']
16375,['Business', 'Computers', 'Recreation', 'Science'],['Business']
50191,['Society', 'Health', 'Science', 'Computers'],['Health']
53220,['Society', 'Business', 'Shopping', 'Computers'],['Society']
31327,['Computers', 'Business', 'Reference', 'Society'],['Science']
31004,['Business', 'Computers', 'Society', 'Recreation'],['Health']
46742,['Computers', 'Recreation', 'Science', 'Health'],['Business']
22872,['Business', 'Computers', 'Arts', 'Shopping'],['Science']
34655,['Recreation', 'Computers', 'Business', 'Arts'],['Adult', 'Society']
40908,['Computers', 'Business', 'Recreation', 'Society'],['Adult']
48510,['Business', 'Computers', 'Recreation', 'Games'],['Games']
21605,['Business', 'Shopping', 'Adult', 'Health'],['Adult']
11388,['Business', 'Computers', 'Recreation', 'Science'],['Games']
16070,['Shopping', 'Games', 'Sports', 'Business'],['Games']
12760,['Computers', 'Business', 'Recreation', 'Adult'],['Games']
57015,['Business', 'Computers', 'Recreation', 'Arts'],['Society']
3044,['Business', 'Computers', 'Recreation', 'Arts'],['Games']
23860,['Recreation', 'Business', 'Society', 'Health'],['Adult']
14815,['Business', 'Computers', 'Adult', 'Science'],['Adult']
12797,['Society', 'Shopping', 'Computers', 'Arts'],['Society']
31809,['Business', 'Computers', 'Science', 'Health'],['Health']
26199,['Business', 'Computers', 'Recreation', 'Science'],['Health']
32748,['Reference', 'Computers', 'Business', 'Recreation'],['Science']
26522,['Business', 'Shopping', 'Arts', 'Society'],['Society']
1714,['Recreation', 'Arts', 'Business', 'Science'],['Adult']
32583,['Reference', 'Society', 'Business', 'Health'],['Health']
46174,['Science', 'Health', 'Reference', 'Business'],['Health']
33084,['Computers', 'Business', 'Recreation', 'Adult'],['Games']
6393,['Recreation', 'Arts', 'Reference', 'Computers'],['Games']
46282,['Business', 'Computers', 'Recreation', 'Science'],['Games']
26035,['Business', 'Reference', 'Computers', 'Society'],['Business']
3706,['Business', 'Games', 'Society', 'Shopping'],['Games']
39889,['Recreation', 'Health', 'Arts', 'Business'],['Science']
14540,['Business', 'Adult', 'Shopping', 'Society'],['Adult']
30774,['Business', 'Adult', 'Shopping', 'Games'],['Adult']
7643,['Business', 'Science', 'Reference', 'Society'],['Business']
24250,['Reference', 'Health', 'Business', 'Arts'],['Science']
19581,['Business', 'Computers', 'Arts', 'Science'],['Science']
4117,['Business', 'Recreation', 'Computers', 'Adult'],['Society']
47899,['Adult', 'Sports', 'Science', 'Shopping'],['Society']
21891,['Reference', 'Business', 'Society', 'Games'],['Science']
32771,['Computers', 'Business', 'Recreation', 'Adult'],['Science']
3396,['Games', 'Society', 'Shopping', 'Reference'],['Health']
41755,['Health', 'Computers', 'Reference', 'Recreation'],['Health']
45309,['Recreation', 'Science', 'Games', 'Computers'],['Science']
50755,['Business', 'Computers', 'Recreation', 'Adult'],['Health']
10277,['Business', 'Recreation', 'Computers', 'Arts'],['Society']
25768,['Business', 'Health', 'Society', 'Science'],['Business']
15075,['Health', 'Recreation', 'Business', 'Society'],['Health']
52305,['Business', 'Computers', 'Recreation', 'Science'],['Business']
12186,['Recreation', 'Arts', 'Business', 'Computers'],['Arts']
45145,['Business', 'Computers', 'Reference', 'Adult'],['Games']
38715,['Society', 'Reference', 'Business', 'Recreation'],['Health']
26049,['Shopping', 'Business', 'Recreation', 'Computers'],['Arts']
42825,['Business', 'Society', 'Recreation', 'Shopping'],['Health']
3266,['Computers', 'Recreation', 'Business', 'Adult'],['Health']
37147,['Computers', 'Reference', 'Society', 'Business'],['Health']
16253,['Recreation', 'Computers', 'Adult', 'Business'],['Health']
59132,['Business', 'Computers', 'Recreation', 'Reference'],['Games']
11075,['Health', 'Business', 'Science', 'Computers'],['Health']
17460,['Business', 'Computers', 'Recreation', 'Science'],['Health']
8018,['Computers', 'Arts', 'Business', 'Shopping'],['Games']
31931,['Business', 'Computers', 'Recreation', 'Society'],['Society']
21650,['Science', 'Reference', 'Computers', 'Health'],['Science']
21508,['Business', 'Computers', 'Recreation', 'Science'],['Business']
51911,['Business', 'Computers', 'Recreation', 'Reference'],['Arts']
54570,['Business', 'Computers', 'Recreation', 'Society'],['Science']
36317,['Health', 'Recreation', 'Society', 'Shopping'],['Society']
4995,['Business', 'Recreation', 'Computers', 'Society'],['Health']
46778,['Business', 'Society', 'Reference', 'Computers'],['Society']
55204,['Business', 'Computers', 'Recreation', 'Adult'],['Health']
47651,['Recreation', 'Health', 'Business', 'Adult'],['Health']
49734,['Business', 'Reference', 'Adult', 'Computers'],['Business']
2484,['Computers', 'Business', 'Reference', 'Adult'],['Business']
29504,['Recreation', 'Business', 'Computers', 'Arts'],['Health']
50379,['Business', 'Health', 'Adult', 'Shopping'],['Health']
26167,['Computers', 'Business', 'Science', 'Recreation'],['Health']
34096,['Health', 'Recreation', 'Shopping', 'Society'],['Society']
24140,['Society', 'Reference', 'Arts', 'Business'],['Health']
1101,['Science', 'Recreation', 'Society', 'Adult'],['Business']
28702,['Business', 'Recreation', 'Computers', 'Adult'],['Health']
4848,['Society', 'Reference', 'Recreation', 'Business'],['Health']
22175,['Shopping', 'Business', 'Health', 'Adult'],['Health']
11312,['Business', 'Computers', 'Reference', 'Science'],['Business']
10937,['Computers', 'Business', 'Shopping', 'Arts'],['Health']
16317,['Business', 'Recreation', 'Computers', 'Arts'],['Science']
41970,['Recreation', 'Society', 'Business', 'Games'],['Society']
27149,['Society', 'Recreation', 'Computers', 'Reference'],['Science']
58549,['Computers', 'Business', 'Science', 'Recreation'],['Health']
41410,['Business', 'Recreation', 'Science', 'Society'],['Health']
30683,['Business', 'Computers', 'Recreation', 'Society'],['Business']
16743,['Computers', 'Business', 'Recreation', 'Science'],['Science']
559,['Society', 'Business', 'Games', 'Reference'],['Arts']
47231,['Business', 'Recreation', 'Computers', 'Arts'],['Science']
44405,['Computers', 'Recreation', 'Shopping', 'Society'],['Society']
6818,['Computers', 'Business', 'Society', 'Recreation'],['Health']
45115,['Business', 'Recreation', 'Computers', 'Adult'],['Society']
5548,['Shopping', 'Computers', 'Arts', 'Business'],['Health']
52966,['Science', 'Recreation', 'Computers', 'Society'],['Business']
11699,['Business', 'Computers', 'Recreation', 'Science'],['Health']
4560,['Business', 'Computers', 'Recreation', 'Science'],['Society']
53832,['Society', 'Health', 'Computers', 'Games'],['Society']
50843,['Business', 'Computers', 'Recreation', 'Science'],['Business']
4456,['Recreation', 'Science', 'Games', 'Adult'],['Business']
22624,['Reference', 'Health', 'Arts', 'Business'],['Science']
35852,['Recreation', 'Computers', 'Society', 'Arts'],['Arts']
49138,['Computers', 'Recreation', 'Games', 'Science'],['Science']
58017,['Business', 'Recreation', 'Adult', 'Computers'],['Business']
39506,['Business', 'Recreation', 'Computers', 'Science'],['Health']
6994,['Computers', 'Business', 'Society', 'Recreation'],['Arts']
42526,['Business', 'Computers', 'Reference', 'Science'],['Business']
51042,['Business', 'Computers', 'Recreation', 'Society'],['Arts']
47488,['Health', 'Shopping', 'Sports', 'Science'],['Health']
13487,['Health', 'Science', 'Reference', 'Shopping'],['Health']
34732,['Science', 'Reference', 'Business', 'Health'],['Business']
22506,['Science', 'Computers', 'Games', 'Arts'],['Science']
53533,['Shopping', 'Science', 'Recreation', 'Computers'],['Arts']
27022,['Adult', 'Reference', 'Health', 'Computers'],['Health']
23081,['Business', 'Computers', 'Recreation', 'Science'],['Health']
44935,['Business', 'Science', 'Recreation', 'Computers'],['Science']
35012,['Computers', 'Recreation', 'Reference', 'Health'],['Science']
52366,['Health', 'Games', 'Sports', 'Business'],['Arts']
5922,['Society', 'Business', 'Shopping', 'Reference'],['Science']
32258,['Computers', 'Science', 'Recreation', 'Business'],['Health']
48388,['Computers', 'Science', 'Recreation', 'Adult'],['Health']
13503,['Computers', 'Business', 'Science', 'Recreation'],['Society']
9046,['Business', 'Computers', 'Recreation', 'Science'],['Society']
26247,['Business', 'Recreation', 'Society', 'Computers'],['Health']
23859,['Business', 'Computers', 'Science', 'Recreation'],['Health']
24035,['Business', 'Computers', 'Reference', 'Society'],['Health']
5487,['Business', 'Recreation', 'Computers', 'Arts'],['Business']
15474,['Reference', 'Business', 'Computers', 'Health'],['Health']
31437,['Computers', 'Science', 'Shopping', 'Recreation'],['Science']
12096,['Business', 'Computers', 'Reference', 'Science'],['Health']
13866,['Computers', 'Business', 'Reference', 'Recreation'],['Health']
34055,['Business', 'Computers', 'Recreation', 'Adult'],['Arts']
21577,['Computers', 'Recreation', 'Business', 'Shopping'],['Health']
24128,['Business', 'Society', 'Health', 'Arts'],['Science', 'Business']
51676,['Reference', 'Society', 'Adult', 'Business'],['Health']
49112,['Recreation', 'Business', 'Computers', 'Reference'],['Health']
30022,['Business', 'Computers', 'Recreation', 'Reference'],['Business']
51812,['Recreation', 'Business', 'Arts', 'Reference'],['Society']
20275,['Business', 'Adult', 'Recreation', 'Society'],['Business']
4595,['Reference', 'Arts', 'Business', 'Health'],['Health']
10947,['Arts', 'Computers', 'Recreation', 'Reference'],['Arts']
16756,['Business', 'Health', 'Society', 'Arts'],['Health']
20647,['Computers', 'Business', 'Science', 'Recreation'],['Reference']
28840,['Health', 'Reference', 'Science', 'Business'],['Health']
52467,['Business', 'Recreation', 'Science', 'Shopping'],['Health']
5770,['Arts', 'Shopping', 'Society', 'Business'],['Reference']
35118,['Computers', 'Arts', 'Society', 'Recreation'],['Arts']
16313,['Business', 'Computers', 'Recreation', 'Science'],['Health']
28323,['Computers', 'Recreation', 'Society', 'Games'],['Society']
24902,['Business', 'Recreation', 'Computers', 'Science'],['Society']
6835,['Business', 'Computers', 'Recreation', 'Science'],['Health']
40135,['Business', 'Computers', 'Adult', 'Reference'],['Health']
50879,['Recreation', 'Arts', 'Computers', 'Business'],['Health']
54970,['Reference', 'Recreation', 'Science', 'Business'],['Sports']
48129,['Computers', 'Arts', 'Society', 'Adult'],['Arts']
13754,['Games', 'Shopping', 'Arts', 'Business'],['Health']
43817,['Business', 'Arts', 'Shopping', 'Computers'],['Health']
53404,['Business', 'Recreation', 'Computers', 'Adult'],['Health']
48649,['Shopping', 'Business', 'Society', 'Health'],['Health']
40858,['Computers', 'Arts', 'Games', 'Reference'],['Arts']
36515,['Arts', 'Computers', 'Reference', 'Games'],['Arts']
30040,['Science', 'Games', 'Society', 'Computers'],['Reference', 'Science']
48286,['Business', 'Recreation', 'Computers', 'Adult'],['Health']
11041,['Science', 'Business', 'Society', 'Computers'],['Science']
37161,['Business', 'Shopping', 'Health', 'Science'],['Health']
57538,['Computers', 'Arts', 'Society', 'Games'],['Arts']
32597,['Business', 'Computers', 'Science', 'Recreation'],['Health']
6207,['Business', 'Shopping', 'Society', 'Adult'],['Health']
48637,['Business', 'Computers', 'Arts', 'Reference'],['Arts']
31074,['Business', 'Adult', 'Health', 'Shopping'],['Business']
25007,['Business', 'Recreation', 'Society', 'Health'],['Business']
32692,['Recreation', 'Business', 'Science', 'Computers'],['Health']
15138,['Business', 'Reference', 'Health', 'Society'],['Health']
37327,['Business', 'Computers', 'Adult', 'Recreation'],['Health']
31345,['Recreation', 'Computers', 'Science', 'Society'],['Business']
7829,['Business', 'Society', 'Arts', 'Recreation'],['Health']
10161,['Computers', 'Arts', 'Society', 'Games'],['Arts']
33694,['Reference', 'Society', 'Business', 'Health'],['Health']
1722,['Recreation', 'Computers', 'Business', 'Reference'],['Science']
47916,['Computers', 'Recreation', 'Science', 'Business'],['Reference']
6520,['Business', 'Recreation', 'Computers', 'Shopping'],['Recreation']
24492,['Computers', 'Business', 'Recreation', 'Adult'],['Health']
22794,['Recreation', 'Health', 'Computers', 'Business'],['Science']
8781,['Computers', 'Shopping', 'Business', 'Recreation'],['Society']
8834,['Computers', 'Business', 'Reference', 'Games'],['Sports']
10173,['Computers', 'Science', 'Recreation', 'Business'],['Health']
57925,['Shopping', 'Games', 'Arts', 'Business'],['Society']
54984,['Computers', 'Recreation', 'Business', 'Society'],['Society', 'Arts']
41854,['Business', 'Recreation', 'Computers', 'Society'],['Science']
6255,['Adult', 'Health', 'Society', 'Arts'],['Society']
31172,['Business', 'Recreation', 'Computers', 'Science'],['Society']
45033,['Arts', 'Society', 'Recreation', 'Business'],['Health']
53197,['Recreation', 'Business', 'Computers', 'Adult'],['Health']
12704,['Business', 'Computers', 'Recreation', 'Adult'],['Recreation']
45406,['Business', 'Recreation', 'Computers', 'Adult'],['Recreation']
10754,['Shopping', 'Games', 'Arts', 'Business'],['Health']
36024,['Computers', 'Arts', 'Society', 'Recreation'],['Arts']
10835,['Computers', 'Recreation', 'Business', 'Science'],['Society']
59176,['Science', 'Arts', 'Adult', 'Reference'],['Recreation']
42596,['Society', 'Reference', 'Adult', 'Computers'],['Recreation']
15766,['Society', 'Health', 'Reference', 'Adult'],['Health']
5175,['Business', 'Recreation', 'Computers', 'Science'],['Health']
11935,['Society', 'Computers', 'Recreation', 'Business'],['Business']
13564,['Shopping', 'Games', 'Arts', 'Business'],['Shopping']
26580,['Recreation', 'Computers', 'Shopping', 'Business'],['Health']
39339,['Computers', 'Business', 'Arts', 'Reference'],['Science']
32476,['Computers', 'Business', 'Adult', 'Recreation'],['Shopping', 'Arts']
17201,['Health', 'Shopping', 'Business', 'Society'],['Health']
41045,['Business', 'Reference', 'Computers', 'Shopping'],['Business']
49638,['Business', 'Recreation', 'Computers', 'Science'],['Science']
50428,['Business', 'Recreation', 'Computers', 'Adult'],['Recreation']
1767,['Business', 'Recreation', 'Arts', 'Computers'],['Business']
34264,['Games', 'Science', 'Reference', 'Society'],['Science']
13738,['Science', 'Business', 'Health', 'Games'],['Business']
51643,['Business', 'Shopping', 'Health', 'Adult'],['Society']
13323,['Reference', 'Health', 'Business', 'Society'],['Health']
49905,['Computers', 'Shopping', 'Adult', 'Arts'],['Recreation']
48253,['Computers', 'Business', 'Recreation', 'Adult'],['Health']
50681,['Computers', 'Health', 'Science', 'Arts'],['Science']
52195,['Business', 'Society', 'Recreation', 'Adult'],['Business']
49543,['Recreation', 'Computers', 'Business', 'Arts'],['Health']
33098,['Recreation', 'Computers', 'Business', 'Adult'],['Recreation']
17797,['Business', 'Computers', 'Recreation', 'Science'],['Society']
55173,['Business', 'Computers', 'Recreation', 'Science'],['Society']
10234,['Society', 'Business', 'Recreation', 'Shopping'],['Recreation']
49191,['Recreation', 'Business', 'Computers', 'Arts'],['Recreation']
38752,['Computers', 'Recreation', 'Business', 'Reference'],['Health']
50042,['Recreation', 'Society', 'Arts', 'Sports'],['Society']
50601,['Business', 'Adult', 'Reference', 'Arts'],['Health']
33671,['Science', 'Business', 'Adult', 'Reference'],['Health']
52807,['Business', 'Computers', 'Recreation', 'Science'],['Society']
14558,['Recreation', 'Computers', 'Science', 'Reference'],['Science']
34578,['Shopping', 'Business', 'Health', 'Computers'],['Arts']
31877,['Recreation', 'Sports', 'Business', 'Shopping'],['Society']
55036,['Business', 'Adult', 'Recreation', 'Health'],['Health']
47133,['Business', 'Computers', 'Health', 'Recreation'],['Health']
38509,['Recreation', 'Computers', 'Arts', 'Adult'],['Health']
10049,['Business', 'Computers', 'Arts', 'Science'],['Society']
26372,['Shopping', 'Adult', 'Health', 'Business'],['Health']
32849,['Business', 'Recreation', 'Adult', 'Computers'],['Society']
53493,['Business', 'Recreation', 'Computers', 'Society'],['Society']
41070,['Business', 'Recreation', 'Reference', 'Society'],['Recreation']
4857,['Games', 'Adult', 'Science', 'Recreation'],['Science']
31079,['Arts', 'Recreation', 'Computers', 'Adult'],['Society']
4581,['Business', 'Computers', 'Health', 'Sports'],['Health']
1095,['Business', 'Computers', 'Science', 'Society'],['Health']
