ref id,Predicted,Actual
57141,['Adult', 'Society', 'Arts', 'Reference'],['Adult']
32830,['Computers', 'Business', 'Science', 'Reference'],['Business']
50043,['Society', 'Science', 'Games', 'Business'],['Games']
1282,['Health', 'Business', 'Science', 'Reference'],['Health']
50078,['Arts', 'Games', 'Society', 'Adult'],['Arts']
50931,['Business', 'Recreation', 'Science', 'Computers'],['Business']
49854,['Adult', 'Sports', 'Recreation', 'Society'],['Adult']
42229,['Business', 'Health', 'Recreation', 'Reference'],['Business']
16755,['Adult', 'Sports', 'Society', 'Shopping'],['Adult']
5677,['Health', 'Business', 'Science', 'Computers'],['Health']
45419,['Science', 'Arts', 'Society', 'Reference'],['Science']
54657,['Science', 'Reference', 'Computers', 'Society'],['Science']
58391,['Games', 'Recreation', 'Computers', 'Society'],['Games']
31682,['Games', 'Computers', 'Shopping', 'Society'],['Games']
53759,['Health', 'Business', 'Science', 'Society'],['Health']
11098,['Games', 'Recreation', 'Arts', 'Science'],['Games', 'Arts']
31008,['Business', 'Computers', 'Science', 'Reference'],['Business']
32295,['Games', 'Reference', 'Society', 'Science'],['Games']
3554,['Health', 'Science', 'Business', 'Reference'],['Health']
36845,['Science', 'Society', 'Reference', 'Sports'],['Science']
29082,['Science', 'Health', 'Reference', 'Games'],['Science']
27066,['Health', 'Computers', 'Recreation', 'Science'],['Business']
46984,['Shopping', 'Sports', 'Arts', 'Adult'],['Adult']
33932,['Games', 'Sports', 'Society', 'Shopping'],['Games']
44691,['Arts', 'Society', 'Computers', 'Sports'],['Society']
26604,['Sports', 'Games', 'Reference', 'Computers'],['Games']
23605,['Arts', 'Business', 'Society', 'Computers'],['Business']
32833,['Health', 'Science', 'Business', 'Reference'],['Health']
40973,['Arts', 'Computers', 'Business', 'Reference'],['Business']
24636,['Business', 'Computers', 'Recreation', 'Science'],['Business']
25488,['Business', 'Computers', 'Science', 'Reference'],['Business']
3806,['Health', 'Science', 'Reference', 'Recreation'],['Health']
24179,['Business', 'Science', 'Computers', 'Recreation'],['Business']
34046,['Science', 'Health', 'Arts', 'Reference'],['Science']
58557,['Health', 'Science', 'Business', 'Recreation'],['Health']
5058,['Health', 'Science', 'Recreation', 'Reference'],['Health']
38959,['Arts', 'Society', 'Adult', 'Recreation'],['Society']
58541,['Adult', 'Sports', 'Society', 'Shopping'],['Adult']
3737,['Arts', 'Society', 'Computers', 'Health'],['Society']
16397,['Computers', 'Business', 'Society', 'Reference'],['Computers', 'Business']
46206,['Arts', 'Society', 'Sports', 'Games'],['Society']
4428,['Science', 'Business', 'Health', 'Reference'],['Business']
35666,['Computers', 'Science', 'Reference', 'Health'],['Health']
17497,['Society', 'Arts', 'Sports', 'Recreation'],['Society']
40679,['Computers', 'Science', 'Health', 'Reference'],['Science']
3789,['Games', 'Adult', 'Arts', 'Computers'],['Society']
121,['Games', 'Sports', 'Arts', 'Society'],['Games']
34882,['Health', 'Science', 'Reference', 'Recreation'],['Science']
41785,['Business', 'Computers', 'Science', 'Recreation'],['Business']
31506,['Health', 'Business', 'Recreation', 'Reference'],['Health']
5076,['Recreation', 'Arts', 'Science', 'Computers'],['Science']
39609,['Games', 'Arts', 'Society', 'Sports'],['Games']
17476,['Business', 'Computers', 'Science', 'Reference'],['Business']
4508,['Adult', 'Society', 'Recreation', 'Games'],['Adult']
23653,['Adult', 'Society', 'Sports', 'Games'],['Adult']
507,['Health', 'Business', 'Science', 'Reference'],['Health']
46188,['Science', 'Health', 'Business', 'Reference'],['Science']
52689,['Business', 'Society', 'Reference', 'Computers'],['Business']
33419,['Recreation', 'Society', 'Sports', 'Reference'],['Games']
7018,['Health', 'Business', 'Science', 'Reference'],['Health']
26350,['Health', 'Science', 'Reference', 'Society'],['Science']
49637,['Adult', 'Recreation', 'Society', 'Sports'],['Adult']
14972,['Health', 'Science', 'Reference', 'Recreation'],['Health']
26127,['Games', 'Computers', 'Adult', 'Society'],['Games']
40334,['Games', 'Sports', 'Society', 'Recreation'],['Games']
54663,['Business', 'Computers', 'Science', 'Recreation'],['Business']
5274,['Society', 'Recreation', 'Sports', 'Health'],['Society']
11853,['Adult', 'Sports', 'Recreation', 'Games'],['Games']
37256,['Adult', 'Shopping', 'Society', 'Recreation'],['Adult']
21893,['Health', 'Science', 'Business', 'Recreation'],['Science']
54095,['Business', 'Science', 'Computers', 'Recreation'],['Business']
40945,['Health', 'Business', 'Science', 'Computers'],['Health']
50332,['Recreation', 'Arts', 'Reference', 'Society'],['Science']
3728,['Computers', 'Business', 'Science', 'Reference'],['Computers']
46811,['Adult', 'Shopping', 'Games', 'Society'],['Adult']
37455,['Adult', 'Shopping', 'Arts', 'Society'],['Adult']
45150,['Society', 'Recreation', 'Reference', 'Science'],['Society']
6790,['Society', 'Health', 'Science', 'Reference'],['Society']
39114,['Games', 'Sports', 'Recreation', 'Society'],['Games']
9063,['Computers', 'Business', 'Reference', 'Science'],['Computers']
8907,['Business', 'Reference', 'Computers', 'Society'],['Business']
10933,['Science', 'Reference', 'Computers', 'Health'],['Science']
55460,['Computers', 'Business', 'Reference', 'Science'],['Computers']
26538,['Business', 'Computers', 'Recreation', 'Games'],['Business']
37038,['Science', 'Reference', 'Health', 'Computers'],['Science']
3144,['Adult', 'Shopping', 'Business', 'Society'],['Adult']
29067,['Games', 'Shopping', 'Arts', 'Business'],['Games']
52555,['Arts', 'Games', 'Computers', 'Society'],['Games']
25167,['Reference', 'Health', 'Science', 'Recreation'],['Health']
14428,['Business', 'Computers', 'Recreation', 'Reference'],['Business']
23142,['Games', 'Recreation', 'Society', 'Computers'],['Games']
42478,['Reference', 'Recreation', 'Society', 'Arts'],['Society']
30047,['Business', 'Computers', 'Science', 'Reference'],['Business']
41443,['Computers', 'Games', 'Business', 'Arts'],['Games']
22227,['Science', 'Sports', 'Society', 'Shopping'],['Science']
16266,['Computers', 'Health', 'Business', 'Science'],['Health']
51689,['Computers', 'Arts', 'Games', 'Business'],['Games']
8559,['Science', 'Society', 'Reference', 'Health'],['Science']
55218,['Society', 'Health', 'Science', 'Reference'],['Society']
53353,['Business', 'Computers', 'Science', 'Reference'],['Computers']
25328,['Arts', 'Adult', 'Sports', 'Society'],['Adult']
6399,['Science', 'Health', 'Reference', 'Computers'],['Science']
8457,['Computers', 'Business', 'Science', 'Society'],['Computers']
22295,['Games', 'Sports', 'Recreation', 'Reference'],['Games']
7645,['Society', 'Business', 'Arts', 'Health'],['Society']
16375,['Games', 'Recreation', 'Society', 'Business'],['Business']
50191,['Health', 'Science', 'Reference', 'Business'],['Health']
53220,['Society', 'Health', 'Business', 'Reference'],['Society']
31327,['Science', 'Reference', 'Health', 'Computers'],['Science']
31004,['Reference', 'Health', 'Science', 'Society'],['Health']
46742,['Recreation', 'Business', 'Computers', 'Science'],['Business']
22872,['Health', 'Science', 'Reference', 'Society'],['Science']
34655,['Society', 'Health', 'Adult', 'Science'],['Adult', 'Society']
40908,['Adult', 'Society', 'Games', 'Computers'],['Adult']
48510,['Games', 'Arts', 'Recreation', 'Reference'],['Games']
21605,['Society', 'Adult', 'Games', 'Arts'],['Adult']
11388,['Games', 'Arts', 'Recreation', 'Reference'],['Games']
16070,['Games', 'Shopping', 'Sports', 'Arts'],['Games']
12760,['Games', 'Sports', 'Society', 'Computers'],['Games']
57015,['Society', 'Business', 'Arts', 'Science'],['Society']
3044,['Games', 'Computers', 'Arts', 'Recreation'],['Games']
23860,['Recreation', 'Adult', 'Society', 'Arts'],['Adult']
14815,['Adult', 'Society', 'Health', 'Arts'],['Adult']
12797,['Society', 'Reference', 'Science', 'Arts'],['Society']
31809,['Health', 'Science', 'Business', 'Recreation'],['Health']
26199,['Health', 'Business', 'Reference', 'Society'],['Health']
32748,['Science', 'Reference', 'Health', 'Recreation'],['Science']
26522,['Reference', 'Arts', 'Society', 'Science'],['Society']
1714,['Adult', 'Sports', 'Society', 'Recreation'],['Adult']
32583,['Health', 'Science', 'Business', 'Society'],['Health']
46174,['Business', 'Science', 'Health', 'Reference'],['Health']
33084,['Games', 'Sports', 'Society', 'Arts'],['Games']
6393,['Games', 'Arts', 'Computers', 'Recreation'],['Games']
46282,['Games', 'Sports', 'Society', 'Recreation'],['Games']
26035,['Business', 'Sports', 'Society', 'Shopping'],['Business']
3706,['Games', 'Sports', 'Recreation', 'Society'],['Games']
39889,['Science', 'Business', 'Society', 'Arts'],['Science']
14540,['Adult', 'Health', 'Society', 'Arts'],['Adult']
30774,['Adult', 'Society', 'Sports', 'Arts'],['Adult']
7643,['Reference', 'Science', 'Health', 'Computers'],['Business']
24250,['Science', 'Reference', 'Health', 'Computers'],['Science']
19581,['Science', 'Reference', 'Health', 'Computers'],['Science']
4117,['Society', 'Arts', 'Reference', 'Computers'],['Society']
47899,['Computers', 'Society', 'Games', 'Science'],['Society']
21891,['Recreation', 'Reference', 'Arts', 'Business'],['Science']
32771,['Computers', 'Recreation', 'Science', 'Reference'],['Science']
3396,['Society', 'Health', 'Science', 'Business'],['Health']
41755,['Health', 'Science', 'Reference', 'Business'],['Health']
45309,['Science', 'Games', 'Computers', 'Recreation'],['Science']
50755,['Health', 'Arts', 'Society', 'Science'],['Health']
10277,['Sports', 'Arts', 'Science', 'Computers'],['Society']
25768,['Business', 'Computers', 'Science', 'Health'],['Business']
15075,['Health', 'Society', 'Reference', 'Recreation'],['Health']
52305,['Business', 'Computers', 'Science', 'Reference'],['Business']
12186,['Games', 'Society', 'Sports', 'Arts'],['Arts']
45145,['Recreation', 'Games', 'Computers', 'Business'],['Games']
38715,['Health', 'Reference', 'Science', 'Computers'],['Health']
26049,['Games', 'Sports', 'Business', 'Recreation'],['Arts']
42825,['Health', 'Society', 'Reference', 'Business'],['Health']
3266,['Health', 'Society', 'Arts', 'Adult'],['Health']
37147,['Health', 'Science', 'Reference', 'Business'],['Health']
16253,['Health', 'Society', 'Reference', 'Science'],['Health']
59132,['Games', 'Computers', 'Business', 'Reference'],['Games']
11075,['Reference', 'Health', 'Science', 'Society'],['Health']
17460,['Recreation', 'Health', 'Science', 'Reference'],['Health']
8018,['Games', 'Computers', 'Arts', 'Recreation'],['Games']
31931,['Reference', 'Society', 'Science', 'Computers'],['Society']
21650,['Science', 'Reference', 'Health', 'Sports'],['Science']
21508,['Business', 'Science', 'Computers', 'Health'],['Business']
51911,['Society', 'Arts', 'Sports', 'Games'],['Arts']
54570,['Science', 'Reference', 'Health', 'Computers'],['Science']
36317,['Society', 'Reference', 'Science', 'Health'],['Society']
4995,['Recreation', 'Games', 'Adult', 'Arts'],['Health']
46778,['Reference', 'Society', 'Health', 'Science'],['Society']
55204,['Health', 'Society', 'Business', 'Science'],['Health']
47651,['Health', 'Science', 'Recreation', 'Computers'],['Health']
49734,['Business', 'Science', 'Computers', 'Health'],['Business']
2484,['Health', 'Science', 'Reference', 'Recreation'],['Business']
29504,['Health', 'Business', 'Science', 'Computers'],['Health']
50379,['Health', 'Society', 'Business', 'Science'],['Health']
26167,['Health', 'Games', 'Recreation', 'Science'],['Health']
34096,['Society', 'Business', 'Arts', 'Science'],['Society']
24140,['Health', 'Science', 'Society', 'Business'],['Health']
1101,['Business', 'Computers', 'Science', 'Reference'],['Business']
28702,['Health', 'Sports', 'Society', 'Shopping'],['Health']
4848,['Health', 'Science', 'Business', 'Reference'],['Health']
22175,['Health', 'Business', 'Society', 'Science'],['Health']
11312,['Business', 'Society', 'Science', 'Reference'],['Business']
10937,['Health', 'Society', 'Reference', 'Recreation'],['Health']
16317,['Science', 'Health', 'Reference', 'Computers'],['Science']
41970,['Society', 'Reference', 'Science', 'Business'],['Society']
27149,['Reference', 'Science', 'Computers', 'Recreation'],['Science']
58549,['Health', 'Society', 'Business', 'Shopping'],['Health']
41410,['Health', 'Science', 'Society', 'Reference'],['Health']
30683,['Business', 'Computers', 'Recreation', 'Health'],['Business']
16743,['Science', 'Reference', 'Computers', 'Business'],['Science']
559,['Reference', 'Science', 'Sports', 'Society'],['Arts']
47231,['Science', 'Health', 'Society', 'Computers'],['Science']
44405,['Society', 'Science', 'Business', 'Reference'],['Society']
6818,['Health', 'Society', 'Computers', 'Business'],['Health']
45115,['Society', 'Computers', 'Business', 'Science'],['Society']
5548,['Health', 'Society', 'Science', 'Business'],['Health']
52966,['Arts', 'Computers', 'Business', 'Sports'],['Business']
11699,['Business', 'Recreation', 'Health', 'Sports'],['Health']
4560,['Society', 'Business', 'Computers', 'Health'],['Society']
53832,['Society', 'Business', 'Reference', 'Science'],['Society']
50843,['Arts', 'Business', 'Society', 'Reference'],['Business']
4456,['Business', 'Computers', 'Science', 'Reference'],['Business']
22624,['Science', 'Business', 'Health', 'Computers'],['Science']
35852,['Society', 'Reference', 'Arts', 'Recreation'],['Arts']
49138,['Computers', 'Science', 'Games', 'Reference'],['Science']
58017,['Business', 'Health', 'Reference', 'Science'],['Business']
39506,['Health', 'Sports', 'Society', 'Shopping'],['Health']
6994,['Reference', 'Science', 'Business', 'Society'],['Arts']
42526,['Computers', 'Recreation', 'Business', 'Science'],['Business']
51042,['Society', 'Business', 'Reference', 'Arts'],['Arts']
47488,['Health', 'Business', 'Society', 'Science'],['Health']
13487,['Health', 'Business', 'Science', 'Reference'],['Health']
34732,['Health', 'Science', 'Reference', 'Business'],['Business']
22506,['Computers', 'Science', 'Games', 'Recreation'],['Science']
53533,['Society', 'Health', 'Science', 'Reference'],['Arts']
27022,['Health', 'Science', 'Business', 'Society'],['Health']
23081,['Health', 'Business', 'Society', 'Science'],['Health']
44935,['Science', 'Business', 'Computers', 'Health'],['Science']
35012,['Science', 'Reference', 'Health', 'Recreation'],['Science']
52366,['Health', 'Science', 'Business', 'Society'],['Arts']
5922,['Reference', 'Business', 'Recreation', 'Science'],['Science']
32258,['Health', 'Science', 'Business', 'Society'],['Health']
48388,['Health', 'Reference', 'Recreation', 'Science'],['Health']
13503,['Society', 'Arts', 'Recreation', 'Games'],['Society']
9046,['Society', 'Sports', 'Arts', 'Computers'],['Society']
26247,['Recreation', 'Health', 'Science', 'Business'],['Health']
23859,['Health', 'Science', 'Sports', 'Society'],['Health']
24035,['Health', 'Reference', 'Science', 'Computers'],['Health']
5487,['Business', 'Science', 'Computers', 'Health'],['Business']
15474,['Health', 'Science', 'Business', 'Reference'],['Health']
31437,['Science', 'Business', 'Computers', 'Health'],['Science']
12096,['Reference', 'Science', 'Health', 'Computers'],['Health']
13866,['Health', 'Reference', 'Science', 'Recreation'],['Health']
34055,['Arts', 'Society', 'Reference', 'Recreation'],['Arts']
21577,['Health', 'Society', 'Shopping', 'Sports'],['Health']
24128,['Business', 'Science', 'Computers', 'Reference'],['Science', 'Business']
51676,['Health', 'Science', 'Reference', 'Computers'],['Health']
49112,['Health', 'Business', 'Sports', 'Society'],['Health']
30022,['Business', 'Science', 'Computers', 'Reference'],['Business']
51812,['Society', 'Science', 'Reference', 'Health'],['Society']
20275,['Business', 'Science', 'Society', 'Recreation'],['Business']
4595,['Science', 'Health', 'Reference', 'Society'],['Health']
10947,['Arts', 'Sports', 'Society', 'Shopping'],['Arts']
16756,['Health', 'Business', 'Sports', 'Games'],['Health']
20647,['Reference', 'Games', 'Computers', 'Society'],['Reference']
28840,['Health', 'Business', 'Society', 'Science'],['Health']
52467,['Shopping', 'Business', 'Arts', 'Health'],['Health']
5770,['Recreation', 'Science', 'Reference', 'Games'],['Reference']
35118,['Arts', 'Sports', 'Society', 'Shopping'],['Arts']
16313,['Health', 'Business', 'Science', 'Society'],['Health']
28323,['Games', 'Sports', 'Recreation', 'Adult'],['Society']
24902,['Society', 'Sports', 'Shopping', 'Recreation'],['Society']
6835,['Society', 'Arts', 'Shopping', 'Business'],['Health']
40135,['Health', 'Business', 'Science', 'Reference'],['Health']
50879,['Health', 'Society', 'Business', 'Science'],['Health']
54970,['Business', 'Recreation', 'Sports', 'Games'],['Sports']
48129,['Arts', 'Sports', 'Society', 'Shopping'],['Arts']
13754,['Recreation', 'Computers', 'Society', 'Arts'],['Health']
43817,['Health', 'Shopping', 'Society', 'Business'],['Health']
53404,['Society', 'Recreation', 'Sports', 'Business'],['Health']
48649,['Recreation', 'Society', 'Business', 'Health'],['Health']
40858,['Arts', 'Sports', 'Society', 'Shopping'],['Arts']
36515,['Arts', 'Sports', 'Society', 'Shopping'],['Arts']
30040,['Science', 'Computers', 'Reference', 'Business'],['Reference', 'Science']
48286,['Computers', 'Business', 'Adult', 'Games'],['Health']
11041,['Science', 'Reference', 'Computers', 'Games'],['Science']
37161,['Shopping', 'Business', 'Health', 'Society'],['Health']
57538,['Arts', 'Sports', 'Society', 'Shopping'],['Arts']
32597,['Arts', 'Society', 'Business', 'Health'],['Health']
6207,['Health', 'Society', 'Business', 'Computers'],['Health']
48637,['Arts', 'Recreation', 'Science', 'Reference'],['Arts']
31074,['Sports', 'Recreation', 'Society', 'Business'],['Business']
25007,['Recreation', 'Business', 'Health', 'Science'],['Business']
32692,['Health', 'Reference', 'Science', 'Recreation'],['Health']
15138,['Health', 'Society', 'Reference', 'Business'],['Health']
37327,['Society', 'Arts', 'Business', 'Computers'],['Health']
31345,['Science', 'Health', 'Reference', 'Business'],['Business']
7829,['Health', 'Shopping', 'Society', 'Business'],['Health']
10161,['Arts', 'Sports', 'Society', 'Shopping'],['Arts']
33694,['Health', 'Science', 'Society', 'Business'],['Health']
1722,['Science', 'Reference', 'Health', 'Arts'],['Science']
47916,['Reference', 'Games', 'Arts', 'Recreation'],['Reference']
6520,['Shopping', 'Recreation', 'Arts', 'Games'],['Recreation']
24492,['Health', 'Society', 'Science', 'Recreation'],['Health']
22794,['Arts', 'Reference', 'Science', 'Recreation'],['Science']
8781,['Society', 'Business', 'Computers', 'Reference'],['Society']
8834,['Sports', 'Recreation', 'Games', 'Reference'],['Sports']
10173,['Health', 'Business', 'Reference', 'Science'],['Health']
57925,['Business', 'Computers', 'Health', 'Society'],['Society']
54984,['Arts', 'Recreation', 'Health', 'Reference'],['Society', 'Arts']
41854,['Society', 'Business', 'Science', 'Computers'],['Science']
6255,['Society', 'Computers', 'Shopping', 'Adult'],['Society']
31172,['Shopping', 'Society', 'Recreation', 'Business'],['Society']
45033,['Health', 'Science', 'Reference', 'Society'],['Health']
53197,['Health', 'Science', 'Recreation', 'Computers'],['Health']
12704,['Recreation', 'Business', 'Computers', 'Science'],['Recreation']
45406,['Recreation', 'Business', 'Shopping', 'Science'],['Recreation']
10754,['Science', 'Business', 'Recreation', 'Health'],['Health']
36024,['Arts', 'Sports', 'Society', 'Shopping'],['Arts']
10835,['Shopping', 'Society', 'Arts', 'Recreation'],['Society']
59176,['Society', 'Reference', 'Business', 'Recreation'],['Recreation']
42596,['Recreation', 'Reference', 'Games', 'Health'],['Recreation']
15766,['Health', 'Business', 'Computers', 'Society'],['Health']
5175,['Health', 'Business', 'Reference', 'Society'],['Health']
11935,['Sports', 'Society', 'Shopping', 'Science'],['Business']
13564,['Arts', 'Computers', 'Business', 'Society'],['Shopping']
26580,['Health', 'Business', 'Reference', 'Computers'],['Health']
39339,['Arts', 'Recreation', 'Science', 'Society'],['Science']
32476,['Arts', 'Shopping', 'Recreation', 'Adult'],['Shopping', 'Arts']
17201,['Health', 'Society', 'Business', 'Science'],['Health']
41045,['Health', 'Business', 'Society', 'Science'],['Business']
49638,['Arts', 'Science', 'Computers', 'Society'],['Science']
50428,['Recreation', 'Business', 'Reference', 'Sports'],['Recreation']
1767,['Business', 'Science', 'Computers', 'Recreation'],['Business']
34264,['Computers', 'Business', 'Science', 'Recreation'],['Science']
13738,['Business', 'Science', 'Computers', 'Health'],['Business']
51643,['Society', 'Games', 'Reference', 'Health'],['Society']
13323,['Health', 'Science', 'Society', 'Business'],['Health']
49905,['Recreation', 'Business', 'Shopping', 'Science'],['Recreation']
48253,['Health', 'Society', 'Arts', 'Business'],['Health']
50681,['Science', 'Computers', 'Business', 'Recreation'],['Science']
52195,['Business', 'Recreation', 'Shopping', 'Science'],['Business']
49543,['Health', 'Society', 'Recreation', 'Science'],['Health']
33098,['Recreation', 'Society', 'Games', 'Arts'],['Recreation']
17797,['Society', 'Arts', 'Reference', 'Recreation'],['Society']
55173,['Society', 'Arts', 'Reference', 'Sports'],['Society']
10234,['Recreation', 'Games', 'Business', 'Arts'],['Recreation']
49191,['Recreation', 'Games', 'Arts', 'Science'],['Recreation']
38752,['Reference', 'Health', 'Science', 'Society'],['Health']
50042,['Computers', 'Society', 'Arts', 'Games'],['Society']
50601,['Health', 'Business', 'Society', 'Science'],['Health']
33671,['Health', 'Business', 'Society', 'Science'],['Health']
52807,['Shopping', 'Society', 'Health', 'Adult'],['Society']
14558,['Computers', 'Science', 'Business', 'Recreation'],['Science']
34578,['Arts', 'Games', 'Business', 'Society'],['Arts']
31877,['Society', 'Arts', 'Sports', 'Computers'],['Society']
55036,['Health', 'Business', 'Recreation', 'Science'],['Health']
47133,['Health', 'Sports', 'Society', 'Shopping'],['Health']
38509,['Health', 'Society', 'Science', 'Business'],['Health']
10049,['Society', 'Health', 'Shopping', 'Business'],['Society']
26372,['Health', 'Business', 'Science', 'Recreation'],['Health']
32849,['Society', 'Arts', 'Health', 'Reference'],['Society']
53493,['Society', 'Arts', 'Recreation', 'Computers'],['Society']
41070,['Recreation', 'Reference', 'Business', 'Science'],['Recreation']
4857,['Computers', 'Science', 'Business', 'Reference'],['Science']
31079,['Society', 'Reference', 'Arts', 'Computers'],['Society']
4581,['Health', 'Business', 'Computers', 'Society'],['Health']
1095,['Health', 'Sports', 'Society', 'Shopping'],['Health']
14839,['Health', 'Reference', 'Society', 'Science'],['Health']
42733,['Arts', 'Society', 'Games', 'Sports'],['Society']
25374,['Society', 'Arts', 'Reference', 'Health'],['Society']
45413,['Health', 'Business', 'Society', 'Reference'],['Health']
23048,['Health', 'Science', 'Recreation', 'Business'],['Health']
10746,['Society', 'Science', 'Reference', 'Health'],['Society']
8288,['Business', 'Health', 'Computers', 'Science'],['Health']
1466,['Health', 'Business', 'Reference', 'Science'],['Health']
22812,['Reference', 'Sports', 'Society', 'Shopping'],['Society']
10394,['Society', 'Arts', 'Health', 'Reference'],['Society']
58593,['Society', 'Arts', 'Reference', 'Recreation'],['Arts']
