ref id,Predicted,Actual
57141,['Adult', 'Arts', 'Business', 'Sports'],['Adult']
13202,['Business', 'Science', 'Computers', 'Recreation'],['Science']
23286,['Adult', 'Recreation', 'Society', 'Science'],['Adult']
9337,['Recreation', 'Arts', 'Reference', 'Games'],['Adult']
43319,['Society', 'Health', 'Shopping', 'Recreation'],['Society']
1977,['Computers', 'Business', 'Recreation', 'Society'],['Business']
44629,['Health', 'Business', 'Science', 'Arts'],['Science']
51640,['Arts', 'Health', 'Adult', 'Sports'],['Adult']
25477,['Computers', 'Science', 'Business', 'Recreation'],['Business']
16333,['Adult', 'Sports', 'Science', 'Computers'],['Adult']
5177,['Health', 'Business', 'Society', 'Shopping'],['Health']
2522,['Society', 'Health', 'Business', 'Sports'],['Society']
49286,['Society', 'Sports', 'Games', 'Recreation'],['Society']
50996,['Society', 'Sports', 'Business', 'Shopping'],['Society']
38235,['Society', 'Games', 'Reference', 'Recreation'],['Games']
29211,['Science', 'Health', 'Business', 'Society'],['Health']
49894,['Games', 'Society', 'Computers', 'Shopping'],['Games']
10094,['Sports', 'Society', 'Shopping', 'Recreation'],['Society']
50184,['Society', 'Sports', 'Business', 'Health'],['Society']
10763,['Games', 'Shopping', 'Arts', 'Sports'],['Adult']
29512,['Sports', 'Computers', 'Society', 'Games'],['Games']
21664,['Business', 'Science', 'Reference', 'Computers'],['Science']
27808,['Society', 'Shopping', 'Sports', 'Health'],['Society']
46526,['Adult', 'Shopping', 'Health', 'Business'],['Adult']
10407,['Health', 'Science', 'Reference', 'Computers'],['Health']
57164,['Arts', 'Reference', 'Games', 'Society'],['Arts']
43734,['Society', 'Sports', 'Computers', 'Shopping'],['Games']
15569,['Society', 'Games', 'Arts', 'Shopping'],['Games']
9936,['Arts', 'Society', 'Shopping', 'Science'],['Arts']
33559,['Recreation', 'Computers', 'Arts', 'Reference'],['Business']
21841,['Business', 'Reference', 'Recreation', 'Science'],['Science']
1053,['Shopping', 'Sports', 'Society', 'Science'],['Games']
40071,['Society', 'Shopping', 'Recreation', 'Sports'],['Society']
2019,['Computers', 'Business', 'Recreation', 'Science'],['Science']
40968,['Adult', 'Arts', 'Recreation', 'Sports'],['Adult']
36492,['Arts', 'Business', 'Society', 'Computers'],['Arts']
15089,['Arts', 'Business', 'Sports', 'Society'],['Arts']
27223,['Shopping', 'Arts', 'Sports', 'Society'],['Games']
47414,['Adult', 'Health', 'Society', 'Science'],['Adult']
8054,['Business', 'Health', 'Society', 'Science'],['Society', 'Health']
22530,['Health', 'Science', 'Games', 'Computers'],['Health']
32830,['Computers', 'Health', 'Business', 'Arts'],['Business']
50043,['Shopping', 'Society', 'Recreation', 'Computers'],['Games']
1282,['Health', 'Business', 'Reference', 'Recreation'],['Health']
50078,['Games', 'Science', 'Recreation', 'Health'],['Arts']
50931,['Business', 'Games', 'Society', 'Reference'],['Business']
49854,['Adult', 'Society', 'Recreation', 'Computers'],['Adult']
42229,['Business', 'Arts', 'Reference', 'Health'],['Business']
16755,['Shopping', 'Society', 'Arts', 'Health'],['Adult']
5677,['Health', 'Business', 'Recreation', 'Sports'],['Health']
45419,['Science', 'Reference', 'Games', 'Sports'],['Science']
54657,['Science', 'Health', 'Computers', 'Sports'],['Science']
58391,['Sports', 'Recreation', 'Games', 'Society'],['Games']
31682,['Games', 'Society', 'Shopping', 'Reference'],['Games']
53759,['Health', 'Business', 'Computers', 'Sports'],['Health']
11098,['Games', 'Arts', 'Society', 'Recreation'],['Games', 'Arts']
31008,['Business', 'Recreation', 'Reference', 'Adult'],['Business']
32295,['Games', 'Computers', 'Sports', 'Science'],['Games']
3554,['Health', 'Science', 'Shopping', 'Reference'],['Health']
36845,['Science', 'Health', 'Adult', 'Sports'],['Science']
29082,['Recreation', 'Health', 'Science', 'Computers'],['Science']
27066,['Business', 'Recreation', 'Sports', 'Science'],['Business']
46984,['Shopping', 'Sports', 'Recreation', 'Arts'],['Adult']
33932,['Society', 'Business', 'Sports', 'Shopping'],['Games']
44691,['Sports', 'Society', 'Shopping', 'Recreation'],['Society']
26604,['Recreation', 'Games', 'Society', 'Computers'],['Games']
23605,['Science', 'Computers', 'Business', 'Reference'],['Business']
32833,['Health', 'Business', 'Recreation', 'Games'],['Health']
40973,['Computers', 'Arts', 'Recreation', 'Health'],['Business']
24636,['Business', 'Computers', 'Sports', 'Arts'],['Business']
25488,['Business', 'Society', 'Recreation', 'Health'],['Business']
3806,['Computers', 'Arts', 'Recreation', 'Business'],['Health']
24179,['Business', 'Society', 'Shopping', 'Health'],['Business']
34046,['Science', 'Health', 'Recreation', 'Computers'],['Science']
58557,['Health', 'Science', 'Recreation', 'Arts'],['Health']
5058,['Health', 'Business', 'Sports', 'Society'],['Health']
38959,['Society', 'Arts', 'Recreation', 'Games'],['Society']
58541,['Adult', 'Recreation', 'Sports', 'Health'],['Adult']
3737,['Health', 'Arts', 'Sports', 'Society'],['Society']
16397,['Computers', 'Business', 'Arts', 'Science'],['Computers', 'Business']
46206,['Science', 'Reference', 'Recreation', 'Arts'],['Society']
4428,['Science', 'Business', 'Reference', 'Recreation'],['Business']
35666,['Health', 'Computers', 'Recreation', 'Shopping'],['Health']
17497,['Society', 'Business', 'Sports', 'Recreation'],['Society']
40679,['Business', 'Recreation', 'Computers', 'Arts'],['Science']
3789,['Games', 'Shopping', 'Sports', 'Society'],['Society']
121,['Games', 'Society', 'Computers', 'Business'],['Games']
34882,['Health', 'Shopping', 'Science', 'Computers'],['Science']
41785,['Computers', 'Business', 'Shopping', 'Recreation'],['Business']
31506,['Recreation', 'Games', 'Business', 'Science'],['Health']
5076,['Science', 'Computers', 'Arts', 'Shopping'],['Science']
39609,['Society', 'Computers', 'Adult', 'Sports'],['Games']
17476,['Business', 'Computers', 'Recreation', 'Sports'],['Business']
4508,['Adult', 'Recreation', 'Computers', 'Business'],['Adult']
23653,['Adult', 'Society', 'Sports', 'Recreation'],['Adult']
507,['Health', 'Business', 'Society', 'Arts'],['Health']
46188,['Science', 'Health', 'Business', 'Computers'],['Science']
52689,['Business', 'Society', 'Reference', 'Games'],['Business']
33419,['Sports', 'Recreation', 'Health', 'Reference'],['Games']
7018,['Business', 'Arts', 'Reference', 'Recreation'],['Health']
26350,['Science', 'Business', 'Reference', 'Health'],['Science']
49637,['Society', 'Sports', 'Adult', 'Shopping'],['Adult']
14972,['Health', 'Business', 'Science', 'Sports'],['Health']
26127,['Games', 'Adult', 'Sports', 'Recreation'],['Games']
40334,['Sports', 'Games', 'Society', 'Shopping'],['Games']
54663,['Business', 'Computers', 'Health', 'Games'],['Business']
5274,['Society', 'Sports', 'Recreation', 'Health'],['Society']
11853,['Arts', 'Sports', 'Society', 'Reference'],['Games']
37256,['Adult', 'Shopping', 'Business', 'Society'],['Adult']
21893,['Science', 'Reference', 'Health', 'Computers'],['Science']
54095,['Business', 'Science', 'Computers', 'Sports'],['Business']
40945,['Science', 'Health', 'Business', 'Shopping'],['Health']
50332,['Arts', 'Science', 'Games', 'Society'],['Science']
3728,['Business', 'Health', 'Recreation', 'Games'],['Computers']
46811,['Shopping', 'Adult', 'Recreation', 'Health'],['Adult']
37455,['Shopping', 'Arts', 'Business', 'Recreation'],['Adult']
45150,['Society', 'Sports', 'Business', 'Recreation'],['Society']
6790,['Society', 'Health', 'Sports', 'Shopping'],['Society']
39114,['Games', 'Sports', 'Recreation', 'Computers'],['Games']
9063,['Business', 'Computers', 'Shopping', 'Recreation'],['Computers']
8907,['Business', 'Computers', 'Science', 'Arts'],['Business']
10933,['Science', 'Computers', 'Shopping', 'Games'],['Science']
55460,['Computers', 'Business', 'Reference', 'Recreation'],['Computers']
26538,['Business', 'Computers', 'Science', 'Arts'],['Business']
37038,['Health', 'Science', 'Recreation', 'Games'],['Science']
3144,['Shopping', 'Society', 'Health', 'Business'],['Adult']
29067,['Shopping', 'Sports', 'Society', 'Games'],['Games']
52555,['Games', 'Recreation', 'Society', 'Arts'],['Games']
25167,['Reference', 'Recreation', 'Health', 'Business'],['Health']
14428,['Business', 'Recreation', 'Health', 'Computers'],['Business']
23142,['Sports', 'Recreation', 'Society', 'Shopping'],['Games']
42478,['Science', 'Reference', 'Games', 'Sports'],['Society']
30047,['Business', 'Science', 'Sports', 'Society'],['Business']
41443,['Games', 'Computers', 'Sports', 'Society'],['Games']
22227,['Science', 'Reference', 'Health', 'Recreation'],['Science']
16266,['Computers', 'Arts', 'Business', 'Reference'],['Health']
51689,['Games', 'Recreation', 'Business', 'Sports'],['Games']
8559,['Science', 'Business', 'Shopping', 'Health'],['Science']
55218,['Society', 'Health', 'Recreation', 'Business'],['Society']
53353,['Business', 'Science', 'Computers', 'Sports'],['Computers']
25328,['Arts', 'Shopping', 'Society', 'Health'],['Adult']
6399,['Recreation', 'Science', 'Society', 'Reference'],['Science']
8457,['Computers', 'Society', 'Science', 'Recreation'],['Computers']
22295,['Sports', 'Recreation', 'Computers', 'Games'],['Games']
7645,['Society', 'Business', 'Science', 'Recreation'],['Society']
16375,['Recreation', 'Health', 'Sports', 'Games'],['Business']
50191,['Health', 'Science', 'Reference', 'Recreation'],['Health']
53220,['Society', 'Business', 'Shopping', 'Health'],['Society']
31327,['Science', 'Reference', 'Recreation', 'Health'],['Science']
31004,['Science', 'Business', 'Society', 'Reference'],['Health']
46742,['Business', 'Computers', 'Recreation', 'Health'],['Business']
22872,['Health', 'Science', 'Computers', 'Sports'],['Science']
34655,['Society', 'Arts', 'Shopping', 'Adult'],['Adult', 'Society']
40908,['Society', 'Adult', 'Business', 'Shopping'],['Adult']
48510,['Games', 'Sports', 'Society', 'Computers'],['Games']
21605,['Society', 'Sports', 'Adult', 'Computers'],['Adult']
11388,['Games', 'Recreation', 'Computers', 'Science'],['Games']
16070,['Games', 'Computers', 'Society', 'Science'],['Games']
12760,['Games', 'Shopping', 'Health', 'Sports'],['Games']
57015,['Health', 'Business', 'Sports', 'Society'],['Society']
3044,['Games', 'Arts', 'Recreation', 'Computers'],['Games']
23860,['Sports', 'Society', 'Science', 'Health'],['Adult']
14815,['Society', 'Adult', 'Sports', 'Recreation'],['Adult']
12797,['Society', 'Computers', 'Sports', 'Games'],['Society']
31809,['Recreation', 'Business', 'Reference', 'Health'],['Health']
26199,['Games', 'Computers', 'Health', 'Business'],['Health']
32748,['Science', 'Reference', 'Health', 'Arts'],['Science']
26522,['Society', 'Sports', 'Science', 'Recreation'],['Society']
1714,['Arts', 'Society', 'Adult', 'Sports'],['Adult']
32583,['Health', 'Society', 'Computers', 'Business'],['Health']
46174,['Business', 'Sports', 'Society', 'Science'],['Health']
33084,['Sports', 'Arts', 'Society', 'Shopping'],['Games']
6393,['Recreation', 'Business', 'Arts', 'Sports'],['Games']
46282,['Sports', 'Health', 'Recreation', 'Games'],['Games']
26035,['Business', 'Shopping', 'Health', 'Games'],['Business']
3706,['Sports', 'Recreation', 'Health', 'Computers'],['Games']
39889,['Science', 'Health', 'Business', 'Recreation'],['Science']
14540,['Adult', 'Shopping', 'Society', 'Games'],['Adult']
30774,['Recreation', 'Sports', 'Society', 'Shopping'],['Adult']
7643,['Health', 'Recreation', 'Business', 'Arts'],['Business']
24250,['Science', 'Reference', 'Computers', 'Recreation'],['Science']
19581,['Science', 'Health', 'Arts', 'Recreation'],['Science']
4117,['Society', 'Sports', 'Computers', 'Science'],['Society']
47899,['Society', 'Shopping', 'Games', 'Computers'],['Society']
21891,['Arts', 'Society', 'Recreation', 'Reference'],['Science']
32771,['Arts', 'Science', 'Reference', 'Recreation'],['Science']
3396,['Sports', 'Society', 'Arts', 'Shopping'],['Health']
41755,['Health', 'Science', 'Reference', 'Society'],['Health']
45309,['Health', 'Arts', 'Science', 'Reference'],['Science']
50755,['Society', 'Arts', 'Sports', 'Reference'],['Health']
10277,['Arts', 'Sports', 'Society', 'Shopping'],['Society']
25768,['Society', 'Business', 'Sports', 'Shopping'],['Business']
15075,['Society', 'Sports', 'Health', 'Recreation'],['Health']
52305,['Business', 'Shopping', 'Reference', 'Sports'],['Business']
12186,['Computers', 'Arts', 'Sports', 'Society'],['Arts']
45145,['Recreation', 'Computers', 'Business', 'Arts'],['Games']
38715,['Computers', 'Health', 'Science', 'Reference'],['Health']
26049,['Sports', 'Society', 'Shopping', 'Games'],['Arts']
42825,['Health', 'Business', 'Society', 'Computers'],['Health']
3266,['Health', 'Arts', 'Sports', 'Society'],['Health']
37147,['Health', 'Science', 'Games', 'Business'],['Health']
16253,['Society', 'Recreation', 'Health', 'Business'],['Health']
59132,['Games', 'Arts', 'Sports', 'Recreation'],['Games']
11075,['Health', 'Business', 'Reference', 'Science'],['Health']
17460,['Computers', 'Business', 'Recreation', 'Society'],['Health']
8018,['Science', 'Games', 'Sports', 'Society'],['Games']
31931,['Society', 'Sports', 'Science', 'Recreation'],['Society']
21650,['Science', 'Computers', 'Reference', 'Business'],['Science']
21508,['Business', 'Science', 'Computers', 'Arts'],['Business']
51911,['Arts', 'Sports', 'Society', 'Shopping'],['Arts']
54570,['Science', 'Computers', 'Health', 'Games'],['Science']
36317,['Society', 'Arts', 'Shopping', 'Recreation'],['Society']
4995,['Recreation', 'Arts', 'Society', 'Shopping'],['Health']
46778,['Society', 'Health', 'Business', 'Science'],['Society']
55204,['Health', 'Society', 'Science', 'Business'],['Health']
47651,['Science', 'Health', 'Computers', 'Arts'],['Health']
49734,['Business', 'Science', 'Recreation', 'Health'],['Business']
2484,['Games', 'Business', 'Arts', 'Shopping'],['Business']
29504,['Business', 'Computers', 'Shopping', 'Health'],['Health']
50379,['Health', 'Society', 'Business', 'Sports'],['Health']
26167,['Health', 'Recreation', 'Reference', 'Arts'],['Health']
34096,['Sports', 'Shopping', 'Business', 'Science'],['Society']
24140,['Health', 'Reference', 'Recreation', 'Business'],['Health']
1101,['Business', 'Health', 'Games', 'Computers'],['Business']
28702,['Health', 'Sports', 'Society', 'Shopping'],['Health']
4848,['Health', 'Society', 'Reference', 'Business'],['Health']
22175,['Health', 'Sports', 'Adult', 'Society'],['Health']
11312,['Business', 'Computers', 'Science', 'Reference'],['Business']
10937,['Health', 'Games', 'Arts', 'Reference'],['Health']
16317,['Society', 'Health', 'Business', 'Science'],['Science']
41970,['Society', 'Sports', 'Arts', 'Shopping'],['Society']
27149,['Science', 'Business', 'Computers', 'Sports'],['Science']
58549,['Health', 'Society', 'Sports', 'Arts'],['Health']
41410,['Business', 'Health', 'Shopping', 'Science'],['Health']
30683,['Business', 'Computers', 'Recreation', 'Health'],['Business']
16743,['Science', 'Computers', 'Business', 'Reference'],['Science']
559,['Arts', 'Health', 'Society', 'Science'],['Arts']
47231,['Business', 'Health', 'Arts', 'Science'],['Science']
44405,['Business', 'Society', 'Sports', 'Computers'],['Society']
6818,['Health', 'Society', 'Reference', 'Business'],['Health']
45115,['Society', 'Computers', 'Shopping', 'Science'],['Society']
5548,['Health', 'Society', 'Shopping', 'Business'],['Health']
52966,['Recreation', 'Computers', 'Business', 'Sports'],['Business']
11699,['Business', 'Shopping', 'Recreation', 'Computers'],['Health']
4560,['Society', 'Computers', 'Health', 'Games'],['Society']
53832,['Society', 'Business', 'Sports', 'Shopping'],['Society']
50843,['Business', 'Shopping', 'Arts', 'Sports'],['Business']
4456,['Business', 'Computers', 'Science', 'Games'],['Business']
22624,['Health', 'Society', 'Shopping', 'Reference'],['Science']
35852,['Arts', 'Society', 'Shopping', 'Computers'],['Arts']
49138,['Computers', 'Science', 'Reference', 'Business'],['Science']
58017,['Business', 'Sports', 'Society', 'Arts'],['Business']
39506,['Health', 'Sports', 'Society', 'Shopping'],['Health']
6994,['Health', 'Society', 'Computers', 'Business'],['Arts']
42526,['Business', 'Reference', 'Science', 'Recreation'],['Business']
51042,['Business', 'Society', 'Sports', 'Reference'],['Arts']
47488,['Health', 'Sports', 'Business', 'Computers'],['Health']
13487,['Health', 'Computers', 'Arts', 'Sports'],['Health']
34732,['Business', 'Arts', 'Society', 'Recreation'],['Business']
22506,['Computers', 'Recreation', 'Science', 'Games'],['Science']
53533,['Society', 'Shopping', 'Business', 'Sports'],['Arts']
27022,['Health', 'Society', 'Shopping', 'Games'],['Health']
23081,['Health', 'Society', 'Science', 'Recreation'],['Health']
44935,['Business', 'Shopping', 'Science', 'Recreation'],['Science']
35012,['Recreation', 'Science', 'Reference', 'Computers'],['Science']
52366,['Society', 'Shopping', 'Health', 'Computers'],['Arts']
5922,['Shopping', 'Science', 'Recreation', 'Business'],['Science']
32258,['Health', 'Games', 'Sports', 'Society'],['Health']
48388,['Health', 'Recreation', 'Computers', 'Games'],['Health']
13503,['Society', 'Arts', 'Sports', 'Shopping'],['Society']
9046,['Sports', 'Business', 'Arts', 'Science'],['Society']
26247,['Recreation', 'Business', 'Science', 'Games'],['Health']
23859,['Society', 'Health', 'Arts', 'Sports'],['Health']
24035,['Health', 'Science', 'Business', 'Sports'],['Health']
5487,['Business', 'Arts', 'Society', 'Science'],['Business']
15474,['Health', 'Science', 'Reference', 'Adult'],['Health']
31437,['Health', 'Recreation', 'Shopping', 'Games'],['Science']
12096,['Business', 'Science', 'Reference', 'Health'],['Health']
13866,['Reference', 'Recreation', 'Health', 'Science'],['Health']
34055,['Society', 'Games', 'Arts', 'Shopping'],['Arts']
21577,['Health', 'Sports', 'Shopping', 'Adult'],['Health']
24128,['Business', 'Computers', 'Science', 'Reference'],['Science', 'Business']
51676,['Health', 'Business', 'Recreation', 'Computers'],['Health']
49112,['Health', 'Recreation', 'Business', 'Society'],['Health']
30022,['Business', 'Society', 'Recreation', 'Arts'],['Business']
51812,['Society', 'Sports', 'Recreation', 'Health'],['Society']
20275,['Sports', 'Society', 'Shopping', 'Science'],['Business']
4595,['Science', 'Reference', 'Health', 'Computers'],['Health']
10947,['Arts', 'Sports', 'Society', 'Shopping'],['Arts']
16756,['Business', 'Sports', 'Science', 'Health'],['Health']
20647,['Recreation', 'Health', 'Games', 'Computers'],['Reference']
28840,['Health', 'Business', 'Sports', 'Society'],['Health']
52467,['Shopping', 'Sports', 'Business', 'Arts'],['Health']
5770,['Recreation', 'Reference', 'Science', 'Health'],['Reference']
35118,['Arts', 'Society', 'Sports', 'Shopping'],['Arts']
16313,['Health', 'Business', 'Recreation', 'Society'],['Health']
28323,['Society', 'Sports', 'Recreation', 'Health'],['Society']
24902,['Sports', 'Arts', 'Society', 'Shopping'],['Society']
6835,['Society', 'Shopping', 'Recreation', 'Arts'],['Health']
40135,['Health', 'Business', 'Recreation', 'Science'],['Health']
50879,['Health', 'Shopping', 'Society', 'Science'],['Health']
54970,['Shopping', 'Recreation', 'Business', 'Sports'],['Sports']
48129,['Arts', 'Sports', 'Society', 'Shopping'],['Arts']
13754,['Sports', 'Games', 'Society', 'Computers'],['Health']
43817,['Society', 'Shopping', 'Business', 'Sports'],['Health']
53404,['Shopping', 'Society', 'Recreation', 'Games'],['Health']
48649,['Health', 'Society', 'Science', 'Recreation'],['Health']
40858,['Arts', 'Business', 'Sports', 'Society'],['Arts']
36515,['Arts', 'Sports', 'Society', 'Shopping'],['Arts']
30040,['Computers', 'Business', 'Science', 'Recreation'],['Reference', 'Science']
48286,['Reference', 'Health', 'Sports', 'Business'],['Health']
11041,['Recreation', 'Business', 'Reference', 'Computers'],['Science']
37161,['Business', 'Science', 'Sports', 'Shopping'],['Health']
57538,['Arts', 'Society', 'Recreation', 'Business'],['Arts']
32597,['Health', 'Recreation', 'Science', 'Arts'],['Health']
6207,['Recreation', 'Society', 'Shopping', 'Health'],['Health']
48637,['Computers', 'Business', 'Arts', 'Society'],['Arts']
31074,['Computers', 'Sports', 'Shopping', 'Business'],['Business']
25007,['Business', 'Society', 'Shopping', 'Games'],['Business']
32692,['Business', 'Health', 'Science', 'Recreation'],['Health']
15138,['Health', 'Business', 'Reference', 'Society'],['Health']
37327,['Sports', 'Society', 'Shopping', 'Computers'],['Health']
31345,['Business', 'Recreation', 'Computers', 'Science'],['Business']
7829,['Health', 'Society', 'Arts', 'Business'],['Health']
10161,['Arts', 'Sports', 'Society', 'Shopping'],['Arts']
33694,['Health', 'Society', 'Sports', 'Arts'],['Health']
1722,['Business', 'Society', 'Science', 'Health'],['Science']
47916,['Computers', 'Arts', 'Science', 'Recreation'],['Reference']
6520,['Recreation', 'Shopping', 'Arts', 'Science'],['Recreation']
24492,['Society', 'Health', 'Computers', 'Shopping'],['Health']
22794,['Arts', 'Business', 'Society', 'Science'],['Science']
8781,['Society', 'Sports', 'Business', 'Health'],['Society']
8834,['Recreation', 'Sports', 'Shopping', 'Reference'],['Sports']
10173,['Health', 'Business', 'Society', 'Sports'],['Health']
57925,['Sports', 'Society', 'Shopping', 'Science'],['Society']
54984,['Computers', 'Business', 'Recreation', 'Arts'],['Society', 'Arts']
41854,['Recreation', 'Society', 'Sports', 'Shopping'],['Science']
6255,['Society', 'Sports', 'Reference', 'Recreation'],['Society']
31172,['Society', 'Shopping', 'Science', 'Games'],['Society']
45033,['Health', 'Sports', 'Society', 'Shopping'],['Health']
53197,['Health', 'Recreation', 'Business', 'Reference'],['Health']
12704,['Society', 'Games', 'Business', 'Science'],['Recreation']
45406,['Business', 'Recreation', 'Shopping', 'Arts'],['Recreation']
10754,['Society', 'Health', 'Computers', 'Sports'],['Health']
36024,['Arts', 'Sports', 'Society', 'Shopping'],['Arts']
10835,['Society', 'Shopping', 'Computers', 'Arts'],['Society']
59176,['Business', 'Recreation', 'Shopping', 'Science'],['Recreation']
42596,['Recreation', 'Arts', 'Computers', 'Sports'],['Recreation']
15766,['Health', 'Sports', 'Society', 'Shopping'],['Health']
5175,['Health', 'Recreation', 'Business', 'Sports'],['Health']
11935,['Sports', 'Games', 'Computers', 'Shopping'],['Business']
13564,['Shopping', 'Health', 'Sports', 'Adult'],['Shopping']
26580,['Health', 'Science', 'Computers', 'Business'],['Health']
39339,['Arts', 'Recreation', 'Science', 'Reference'],['Science']
32476,['Arts', 'Health', 'Business', 'Sports'],['Shopping', 'Arts']
17201,['Health', 'Society', 'Sports', 'Shopping'],['Health']
41045,['Business', 'Science', 'Arts', 'Health'],['Business']
49638,['Science', 'Arts', 'Business', 'Recreation'],['Science']
50428,['Recreation', 'Reference', 'Business', 'Health'],['Recreation']
1767,['Computers', 'Business', 'Health', 'Shopping'],['Business']
34264,['Science', 'Computers', 'Business', 'Health'],['Science']
13738,['Business', 'Reference', 'Computers', 'Arts'],['Business']
51643,['Society', 'Sports', 'Science', 'Health'],['Society']
13323,['Health', 'Society', 'Sports', 'Science'],['Health']
49905,['Recreation', 'Business', 'Adult', 'Science'],['Recreation']
48253,['Health', 'Society', 'Shopping', 'Science'],['Health']
50681,['Computers', 'Business', 'Arts', 'Recreation'],['Science']
52195,['Recreation', 'Business', 'Science', 'Health'],['Business']
49543,['Health', 'Science', 'Recreation', 'Computers'],['Health']
33098,['Arts', 'Recreation', 'Health', 'Games'],['Recreation']
17797,['Shopping', 'Society', 'Recreation', 'Health'],['Society']
55173,['Society', 'Science', 'Reference', 'Recreation'],['Society']
10234,['Recreation', 'Arts', 'Shopping', 'Reference'],['Recreation']
49191,['Recreation', 'Arts', 'Adult', 'Sports'],['Recreation']
38752,['Health', 'Recreation', 'Sports', 'Society'],['Health']
50042,['Computers', 'Sports', 'Shopping', 'Health'],['Society']
50601,['Health', 'Society', 'Games', 'Business'],['Health']
33671,['Health', 'Business', 'Sports', 'Society'],['Health']
52807,['Shopping', 'Society', 'Business', 'Sports'],['Society']
14558,['Recreation', 'Health', 'Computers', 'Shopping'],['Science']
34578,['Arts', 'Sports', 'Shopping', 'Health'],['Arts']
31877,['Sports', 'Computers', 'Shopping', 'Arts'],['Society']
55036,['Health', 'Science', 'Recreation', 'Business'],['Health']
47133,['Health', 'Science', 'Reference', 'Arts'],['Health']
38509,['Health', 'Society', 'Science', 'Reference'],['Health']
10049,['Society', 'Health', 'Sports', 'Shopping'],['Society']
26372,['Health', 'Business', 'Society', 'Science'],['Health']
32849,['Arts', 'Society', 'Shopping', 'Reference'],['Society']
53493,['Society', 'Shopping', 'Computers', 'Arts'],['Society']
41070,['Business', 'Arts', 'Recreation', 'Shopping'],['Recreation']
4857,['Computers', 'Business', 'Society', 'Reference'],['Science']
31079,['Society', 'Games', 'Computers', 'Shopping'],['Society']
4581,['Health', 'Business', 'Computers', 'Arts'],['Health']
1095,['Health', 'Sports', 'Computers', 'Business'],['Health']
14839,['Health', 'Sports', 'Shopping', 'Science'],['Health']
42733,['Society', 'Shopping', 'Sports', 'Reference'],['Society']
25374,['Shopping', 'Sports', 'Arts', 'Society'],['Society']
45413,['Society', 'Health', 'Computers', 'Business'],['Health']
