ref id,Predicted,Actual
0,['Adult', 'Science', 'Arts', 'Sports'],['Adult']
233,['Recreation', 'Arts', 'Society', 'Reference'],['Arts']
234,['Arts', 'Recreation', 'Computers', 'News'],['Arts']
34317,['Society', 'Shopping', 'Science', 'Reference'],['Society']
34319,['Arts', 'Society', 'Computers', 'Recreation'],['Society']
240,['Arts', 'Recreation', 'Business', 'Sports'],['Arts']
34324,['Society', 'Adult', 'Arts', 'Health'],['Society']
245,['Business', 'Health', 'Sports', 'Recreation'],['Arts']
34330,['Society', 'Arts', 'Health', 'Computers'],['Society']
34332,['Society', 'Arts', 'Sports', 'Science'],['Society']
34334,['Society', 'Sports', 'Business', 'Recreation'],['Society']
262,['Arts', 'Business', 'News', 'Recreation'],['Business', 'Home']
268,['Business', 'Health', 'Shopping', 'Reference'],['Business']
34359,['Computers', 'Arts', 'Sports', 'Society'],['Society']
34367,['Society', 'Computers', 'Reference', 'Recreation'],['Society']
287,['Computers', 'Reference', 'Business', 'Recreation'],['Business']
288,['News', 'Shopping', 'Business', 'Adult'],['Business', 'Home']
34370,['Society', 'Computers', 'Health', 'Business'],['Society']
295,['Business', 'Science', 'Reference', 'News'],['Business', 'News', 'Home']
296,['Business', 'Science', 'Recreation', 'Sports'],['Business', 'Computers']
34385,['Society', 'Computers', 'Recreation', 'Home'],['Society']
307,['Recreation', 'Arts', 'Sports', 'Society'],['Business']
310,['Business', 'Computers', 'Science', 'News'],['Business', 'Home']
34393,['Society', 'Arts', 'Sports', 'Shopping'],['Society']
34396,['Society', 'Health', 'Sports', 'Science'],['Society']
316,['Business', 'Sports', 'Shopping', 'Reference'],['Business', 'News']
34401,['Society', 'Business', 'Sports', 'Shopping'],['Society']
34402,['Society', 'Health', 'Recreation', 'News'],['Society']
321,['Computers', 'Business', 'Society', 'Shopping'],['Business']
34405,['Sports', 'Society', 'Shopping', 'Science'],['Society']
34408,['Society', 'Science', 'Recreation', 'Computers'],['Society']
328,['Business', 'Sports', 'Society', 'News'],['Business']
34411,['Society', 'Health', 'Computers', 'Sports'],['Society']
334,['Sports', 'Business', 'Arts', 'Recreation'],['Business', 'Sports']
340,['Business', 'Shopping', 'Science', 'Health'],['Business']
341,['Science', 'Computers', 'Business', 'Society'],['Business']
34432,['Society', 'Sports', 'News', 'Arts'],['Society']
351,['Business', 'Sports', 'Science', 'Computers'],['Business']
34433,['Society', 'Arts', 'Science', 'Business'],['Society']
34436,['Society', 'Sports', 'Shopping', 'Home'],['Society']
34438,['Sports', 'Society', 'Recreation', 'Arts'],['Society']
362,['Computers', 'Adult', 'Society', 'Shopping'],['Computers']
366,['Arts', 'Science', 'Recreation', 'Shopping'],['Reference', 'Computers']
34450,['Society', 'Sports', 'Shopping', 'Recreation'],['Society']
34465,['Society', 'Sports', 'Shopping', 'News'],['Society']
384,['Society', 'Computers', 'Business', 'Sports'],['Computers']
34484,['Society', 'Shopping', 'Recreation', 'Games'],['Society']
403,['Computers', 'Business', 'Society', 'Reference'],['Computers']
34485,['Health', 'Sports', 'Society', 'Shopping'],['Society']
34491,['Society', 'Computers', 'Business', 'Sports'],['Society']
410,['Computers', 'Science', 'Reference', 'Recreation'],['Computers']
34493,['Business', 'Society', 'Computers', 'Science'],['Society']
34494,['Society', 'Sports', 'Computers', 'Shopping'],['Society']
429,['Computers', 'News', 'Society', 'Reference'],['Computers']
34514,['Society', 'Computers', 'Sports', 'Shopping'],['Society']
34518,['Society', 'Sports', 'Shopping', 'News'],['Society']
34520,['Sports', 'Society', 'Arts', 'Recreation'],['Society']
445,['Recreation', 'News', 'Home', 'Games'],['Games']
34546,['Society', 'Sports', 'Shopping', 'Health'],['Society']
465,['Games', 'Shopping', 'Business', 'Sports'],['Games']
468,['Sports', 'Recreation', 'Computers', 'Business'],['Games']
472,['Games', 'Reference', 'Home', 'Health'],['Games']
476,['Games', 'Recreation', 'Sports', 'Home'],['Games']
477,['Arts', 'Recreation', 'Society', 'News'],['Games']
480,['Recreation', 'Arts', 'Science', 'Reference'],['Arts', 'Games']
34569,['Society', 'Home', 'Arts', 'Sports'],['Society']
34572,['Society', 'Health', 'Computers', 'Arts'],['Society']
34576,['Business', 'Shopping', 'Computers', 'Sports'],['Society']
34580,['Society', 'Sports', 'Arts', 'Shopping'],['Society']
34581,['Society', 'Arts', 'Business', 'Sports'],['Society']
34584,['Business', 'Shopping', 'Science', 'News'],['Society']
506,['Games', 'Business', 'News', 'Health'],['Games']
34596,['Shopping', 'Recreation', 'Sports', 'Society'],['Society']
34609,['Society', 'Sports', 'Business', 'Shopping'],['Society']
527,['Games', 'Recreation', 'News', 'Health'],['Games']
34611,['Society', 'Business', 'Reference', 'Home'],['Society']
534,['Recreation', 'Games', 'Science', 'News'],['Games']
34626,['Society', 'Health', 'Shopping', 'Sports'],['Society']
34631,['Society', 'Shopping', 'Sports', 'Science'],['Society']
550,['Computers', 'Recreation', 'Business', 'Shopping'],['Health']
34633,['Society', 'Business', 'Shopping', 'Health'],['Society']
34634,['Shopping', 'Sports', 'Games', 'Business'],['Society']
34640,['Shopping', 'Health', 'Society', 'Science'],['Society']
559,['Health', 'Sports', 'Business', 'Society'],['Health']
34644,['Computers', 'Shopping', 'Health', 'Business'],['Society']
566,['Health', 'Recreation', 'Business', 'Arts'],['Health']
567,['Health', 'Home', 'Shopping', 'Business'],['Health']
34652,['Society', 'Health', 'Computers', 'Arts'],['Society']
572,['Health', 'Shopping', 'Reference', 'Home'],['Health']
34659,['Society', 'Sports', 'Shopping', 'Business'],['Society']
579,['Health', 'Recreation', 'Sports', 'Society'],['Health']
34672,['Sports', 'Computers', 'Society', 'Shopping'],['Society']
34675,['Society', 'Sports', 'Science', 'Health'],['Society']
34678,['Society', 'Computers', 'Business', 'Home'],['Society']
34681,['Society', 'Science', 'Sports', 'News'],['Society']
601,['Science', 'Health', 'Recreation', 'Business'],['Health']
34685,['Business', 'Shopping', 'Reference', 'Home'],['Society']
34687,['Society', 'Business', 'Shopping', 'Home'],['Society']
611,['Health', 'Business', 'Recreation', 'News'],['Health']
616,['Health', 'Arts', 'Recreation', 'Business'],['Health']
34715,['Society', 'Computers', 'Sports', 'Science'],['Society']
636,['Health', 'Science', 'Reference', 'Recreation'],['Health']
34722,['Arts', 'Sports', 'Society', 'Shopping'],['Society']
643,['Health', 'Business', 'Reference', 'Computers'],['Health']
34726,['Society', 'Health', 'Shopping', 'Computers'],['Society']
34731,['Society', 'Business', 'Sports', 'Reference'],['Society']
34736,['Arts', 'Sports', 'Reference', 'Society'],['Society']
34737,['Computers', 'Society', 'Shopping', 'Health'],['Society']
657,['Health', 'Recreation', 'Reference', 'Business'],['Health']
34740,['Society', 'Shopping', 'Business', 'Recreation'],['Society']
667,['Health', 'Science', 'Reference', 'Games'],['Health']
672,['Health', 'Reference', 'Recreation', 'News'],['Health']
34760,['Sports', 'Shopping', 'Science', 'Recreation'],['Society']
678,['Health', 'Reference', 'Recreation', 'Sports'],['Health']
683,['News', 'Science', 'Computers', 'Reference'],['Home']
34768,['Society', 'Sports', 'Business', 'Shopping'],['Society']
34769,['Sports', 'Society', 'Games', 'Arts'],['Society']
689,['Games', 'Arts', 'Recreation', 'Reference'],['Home']
34778,['Society', 'Business', 'Science', 'Recreation'],['Society']
34786,['Society', 'Sports', 'Arts', 'Adult'],['Society']
707,['Health', 'Business', 'Society', 'Shopping'],['Home']
710,['Home', 'Recreation', 'Society', 'Shopping'],['Home']
34800,['Shopping', 'Arts', 'Society', 'Reference'],['Society']
34801,['Health', 'Society', 'Arts', 'Sports'],['Society']
34805,['Society', 'Health', 'Sports', 'Home'],['Society']
732,['Science', 'Reference', 'Computers', 'Society'],['Society', 'Home']
746,['Recreation', 'Reference', 'Society', 'News'],['Home']
749,['Recreation', 'Sports', 'Society', 'Science'],['Home']
770,['Recreation', 'Computers', 'Business', 'Arts'],['Home']
34855,['Sports', 'Society', 'Shopping', 'Home'],['Society']
773,['Adult', 'Recreation', 'Computers', 'Arts'],['Home']
774,['Recreation', 'Games', 'Science', 'Reference'],['Home']
775,['Home', 'Shopping', 'Reference', 'Health'],['Recreation', 'Home']
34863,['Society', 'Sports', 'Shopping', 'Recreation'],['Society']
34867,['Shopping', 'Home', 'Business', 'Adult'],['Society']
34876,['Sports', 'Society', 'Science', 'Recreation'],['Society']
34893,['Society', 'Sports', 'Reference', 'Recreation'],['Society']
810,['Health', 'Business', 'Recreation', 'News'],['Recreation', 'Home']
34895,['Society', 'Business', 'Arts', 'Shopping'],['Society']
34898,['Games', 'Health', 'Business', 'Home'],['Society']
817,['Business', 'Shopping', 'Adult', 'Science'],['Recreation']
34909,['Society', 'Arts', 'Sports', 'Shopping'],['Society']
835,['Recreation', 'Computers', 'Arts', 'Science'],['Science']
836,['Recreation', 'Games', 'Sports', 'Science'],['Sports']
846,['Sports', 'Computers', 'Business', 'Arts'],['Sports']
848,['Science', 'Business', 'Sports', 'Recreation'],['Science', 'Reference']
34923,['Shopping', 'Sports', 'Recreation', 'Games'],['Society']
851,['Science', 'Recreation', 'Games', 'Home'],['Science']
34929,['Sports', 'Society', 'Shopping', 'Arts'],['Society']
34937,['Health', 'Society', 'Computers', 'Reference'],['Society']
879,['Recreation', 'Science', 'News', 'Shopping'],['Arts']
34951,['Society', 'Sports', 'Shopping', 'Home'],['Society']
34954,['Society', 'Sports', 'Reference', 'Health'],['Society']
903,['Computers', 'Arts', 'Science', 'Reference'],['Society', 'Science']
34960,['Society', 'Sports', 'Shopping', 'Science'],['Society']
34964,['Games', 'Sports', 'Computers', 'Arts'],['Society']
34967,['Society', 'Arts', 'Games', 'Sports'],['Society']
931,['News', 'Recreation', 'Arts', 'Society'],['News']
935,['Home', 'Business', 'Science', 'Reference'],['News']
34989,['Computers', 'Society', 'Recreation', 'Business'],['Society']
34991,['Sports', 'Health', 'Science', 'Games'],['Society']
941,['News', 'Arts', 'Recreation', 'Society'],['News']
954,['News', 'Recreation', 'Business', 'Health'],['News']
35008,['Business', 'Computers', 'Arts', 'News'],['Society']
962,['Games', 'Science', 'Reference', 'Health'],['News']
35018,['Arts', 'Sports', 'Computers', 'Shopping'],['Society']
35025,['Health', 'Society', 'Sports', 'Science'],['Society']
975,['Society', 'Arts', 'Sports', 'Shopping'],['News']
976,['Sports', 'News', 'Health', 'Business'],['News']
35032,['Adult', 'Society', 'Science', 'Recreation'],['Society']
35034,['Science', 'Health', 'Arts', 'Society'],['Society']
984,['Science', 'Arts', 'Reference', 'Recreation'],['Science', 'News']
985,['Recreation', 'Shopping', 'Reference', 'News'],['News']
995,['Recreation', 'Business', 'Shopping', 'Home'],['News']
35049,['Sports', 'Home', 'Computers', 'Business'],['Society']
1001,['News', 'Business', 'Arts', 'Sports'],['News']
35062,['Society', 'Arts', 'Shopping', 'Health'],['Society']
1010,['Computers', 'Business', 'Society', 'Reference'],['Society', 'Science', 'Business', 'News', 'Computers']
1013,['News', 'Sports', 'Science', 'Computers'],['News']
1019,['News', 'Arts', 'Computers', 'Society'],['News']
1023,['News', 'Computers', 'Business', 'Home'],['News']
1029,['Computers', 'Business', 'Reference', 'Recreation'],['Computers']
35087,['Society', 'Health', 'Computers', 'Arts'],['Society']
35095,['Society', 'Sports', 'Reference', 'Home'],['Society']
35096,['Society', 'Health', 'Science', 'Business'],['Society']
35101,['Society', 'Business', 'Health', 'Arts'],['Society']
35105,['Society', 'Sports', 'Recreation', 'Health'],['Society']
1051,['Recreation', 'Health', 'Arts', 'Computers'],['Recreation']
35108,['Health', 'Society', 'Sports', 'Recreation'],['Society']
1055,['Sports', 'Society', 'Shopping', 'Science'],['Shopping']
35117,['Society', 'Science', 'Business', 'Reference'],['Society']
1063,['Sports', 'News', 'Home', 'Business'],['News']
35118,['Society', 'Business', 'Arts', 'Shopping'],['Society']
35122,['Sports', 'Society', 'Computers', 'Shopping'],['Society']
1072,['Arts', 'News', 'Society', 'Science'],['News']
35140,['Arts', 'Adult', 'Society', 'News'],['Society']
1090,['Sports', 'Society', 'Recreation', 'Business'],['News']
1094,['Business', 'Arts', 'Recreation', 'Society'],['Recreation']
35149,['Society', 'Games', 'Shopping', 'Health'],['Society']
1099,['Recreation', 'Shopping', 'Science', 'Reference'],['Recreation']
35155,['Health', 'Society', 'Shopping', 'Sports'],['Society']
1107,['Arts', 'Recreation', 'Reference', 'Health'],['Recreation']
35162,['Society', 'Sports', 'Games', 'Computers'],['Society']
1112,['Business', 'Arts', 'Sports', 'Society'],['Recreation']
1114,['Recreation', 'Health', 'Arts', 'Reference'],['Recreation']
35169,['Society', 'Sports', 'Shopping', 'Health'],['Society']
35173,['Computers', 'Business', 'Sports', 'Society'],['Society']
1122,['Business', 'Recreation', 'News', 'Home'],['Recreation']
1133,['Arts', 'Recreation', 'Sports', 'Society'],['Recreation']
35192,['Society', 'Health', 'Computers', 'Sports'],['Society']
35196,['Society', 'Shopping', 'Science', 'Health'],['Society']
35202,['Sports', 'Society', 'Shopping', 'News'],['Society']
1163,['Business', 'Reference', 'Computers', 'Home'],['Recreation']
1164,['Business', 'Shopping', 'Recreation', 'Health'],['Business', 'Recreation']
35220,['Society', 'Business', 'Science', 'Home'],['Society']
1168,['Recreation', 'Games', 'Sports', 'News'],['Recreation']
35223,['Sports', 'Society', 'Reference', 'Recreation'],['Society']
35225,['Shopping', 'Sports', 'Society', 'Recreation'],['Society']
1172,['Recreation', 'Business', 'Arts', 'News'],['Recreation']
1173,['Recreation', 'Computers', 'Business', 'News'],['Recreation']
35227,['Society', 'Sports', 'Games', 'Arts'],['Society']
1175,['Shopping', 'Recreation', 'Computers', 'Business'],['Recreation']
35230,['Society', 'Sports', 'Health', 'Business'],['Society']
35233,['Society', 'Arts', 'Games', 'Sports'],['Society']
1180,['Recreation', 'Computers', 'Science', 'Reference'],['Recreation']
1186,['Recreation', 'Reference', 'Health', 'Games'],['Recreation']
1190,['Recreation', 'Arts', 'Computers', 'Home'],['Recreation']
1194,['Business', 'Arts', 'Computers', 'Recreation'],['Recreation']
1198,['Recreation', 'Reference', 'Business', 'Health'],['Recreation']
1202,['Games', 'Arts', 'Society', 'Health'],['Reference']
35261,['Arts', 'Society', 'Recreation', 'Sports'],['Society']
35267,['Society', 'Computers', 'Sports', 'Business'],['Society']
1216,['Reference', 'Home', 'Arts', 'Science'],['Reference']
1217,['Recreation', 'Games', 'News', 'Science'],['Reference']
1218,['Reference', 'Arts', 'Sports', 'Science'],['Reference']
35275,['Society', 'Arts', 'Games', 'Sports'],['Society']
1222,['Reference', 'Science', 'Business', 'Sports'],['Reference']
35279,['Sports', 'Society', 'Business', 'Shopping'],['Society']
1232,['Business', 'Computers', 'Science', 'Home'],['Reference', 'Computers']
1234,['Home', 'Computers', 'Sports', 'Society'],['Reference']
35290,['Society', 'Sports', 'Computers', 'Health'],['Society']
35294,['Society', 'Recreation', 'Games', 'Health'],['Society']
35297,['Society', 'Sports', 'Arts', 'News'],['Society']
1246,['Computers', 'Business', 'Health', 'Sports'],['Reference', 'Computers']
35304,['Society', 'Sports', 'Recreation', 'Business'],['Society']
1250,['Health', 'Society', 'Recreation', 'Computers'],['Reference']
35305,['Society', 'Recreation', 'Home', 'Sports'],['Society']
1256,['Business', 'Recreation', 'Reference', 'Health'],['Reference']
1258,['Arts', 'Science', 'Recreation', 'Reference'],['Reference']
35313,['Arts', 'Society', 'Computers', 'Sports'],['Society']
35314,['Society', 'Home', 'Computers', 'Business'],['Society']
35347,['Shopping', 'Sports', 'Society', 'Business'],['Society']
35348,['Society', 'Shopping', 'News', 'Business'],['Society']
1294,['Reference', 'Business', 'Science', 'Recreation'],['Reference']
35350,['Home', 'Society', 'Computers', 'Games'],['Society']
1298,['Health', 'Arts', 'Reference', 'Home'],['Reference']
1302,['Science', 'Health', 'Home', 'Computers'],['Reference']
35357,['Society', 'Sports', 'Science', 'Reference'],['Society']
35365,['Society', 'Science', 'Business', 'Computers'],['Society']
35369,['Society', 'Shopping', 'Science', 'Recreation'],['Society']
1315,['Health', 'Reference', 'Science', 'Recreation'],['Reference']
35375,['Society', 'Shopping', 'Computers', 'Recreation'],['Society']
1322,['Business', 'Health', 'Society', 'Science'],['Reference']
1330,['Reference', 'Society', 'Games', 'Business'],['Reference']
35392,['Society', 'Games', 'Health', 'Business'],['Society']
1341,['Recreation', 'Computers', 'Business', 'Science'],['Reference']
35397,['Society', 'Computers', 'Arts', 'Shopping'],['Society']
35401,['Society', 'Health', 'Arts', 'Recreation'],['Society']
1351,['Sports', 'Shopping', 'Society', 'Science'],['Shopping']
35406,['Computers', 'Shopping', 'Reference', 'Business'],['Society']
35407,['Computers', 'Society', 'Shopping', 'Recreation'],['Society']
35415,['Society', 'Computers', 'Business', 'Adult'],['Society']
35417,['Recreation', 'Arts', 'Computers', 'Sports'],['Society']
35418,['Society', 'Computers', 'Recreation', 'Business'],['Society']
1415,['Computers', 'Sports', 'Games', 'Adult'],['Science']
1416,['Recreation', 'Business', 'Shopping', 'Science'],['Science']
1424,['Science', 'Health', 'Reference', 'Sports'],['Science']
1428,['Recreation', 'Health', 'Business', 'Society'],['Science']
1433,['Recreation', 'Science', 'Home', 'Society'],['Science']
1438,['Reference', 'Health', 'Society', 'Recreation'],['Science', 'Reference']
1450,['Health', 'Science', 'Reference', 'News'],['Science']
35467,['Recreation', 'Health', 'Sports', 'Shopping'],['Society']
1464,['Computers', 'Sports', 'Games', 'Society'],['Science']
35475,['Business', 'Computers', 'Sports', 'Society'],['Society']
1480,['Recreation', 'Sports', 'Science', 'Reference'],['Science']
35492,['Business', 'Sports', 'Society', 'Shopping'],['Society']
1483,['Recreation', 'Games', 'Shopping', 'Science'],['Science']
1488,['Health', 'Computers', 'Business', 'Science'],['Science']
1493,['Shopping', 'Arts', 'Business', 'Recreation'],['Shopping']
1497,['Business', 'Shopping', 'Home', 'Society'],['Shopping']
35509,['Society', 'Computers', 'Sports', 'Science'],['Society']
35511,['Society', 'Sports', 'Shopping', 'Computers'],['Society']
35518,['Society', 'Computers', 'Arts', 'Sports'],['Society']
35522,['Sports', 'Society', 'Science', 'Games'],['Society']
1520,['Shopping', 'Business', 'Recreation', 'Computers'],['Shopping']
35533,['Business', 'Society', 'Shopping', 'News'],['Society']
35534,['Business', 'Sports', 'Shopping', 'Society'],['Society']
35535,['Society', 'Recreation', 'Home', 'Health'],['Society']
1525,['Shopping', 'Society', 'Science', 'Home'],['Shopping']
1526,['Recreation', 'Health', 'News', 'Business'],['Shopping']
1527,['Recreation', 'Computers', 'Business', 'Arts'],['Shopping']
35540,['Society', 'Health', 'Shopping', 'Science'],['Society']
1531,['Shopping', 'Computers', 'Business', 'Reference'],['Shopping']
35544,['Society', 'Business', 'Science', 'News'],['Society']
1535,['Shopping', 'Business', 'Recreation', 'Games'],['Shopping']
35547,['Sports', 'Science', 'Business', 'Society'],['Society']
35559,['Sports', 'Society', 'Recreation', 'Shopping'],['Society']
35571,['Shopping', 'Society', 'Sports', 'Reference'],['Society']
1565,['Arts', 'Business', 'Society', 'Shopping'],['Shopping']
35580,['Reference', 'Sports', 'Society', 'Recreation'],['Society']
1570,['Shopping', 'Sports', 'Business', 'Science'],['Shopping']
35582,['Society', 'Health', 'Reference', 'Recreation'],['Society']
35594,['Society', 'Shopping', 'Science', 'Recreation'],['Society']
35597,['Society', 'Sports', 'Shopping', 'Reference'],['Society']
35602,['Society', 'Business', 'Sports', 'Computers'],['Society']
1593,['Shopping', 'Recreation', 'Home', 'Computers'],['Shopping']
1599,['Recreation', 'Health', 'Business', 'Shopping'],['Shopping']
1600,['Business', 'Home', 'Shopping', 'Sports'],['Shopping']
1601,['Business', 'Shopping', 'Home', 'Sports'],['Business', 'Shopping']
35612,['Arts', 'Games', 'Computers', 'Business'],['Society']
35618,['Society', 'Shopping', 'Adult', 'Recreation'],['Society']
35625,['Sports', 'Arts', 'Shopping', 'Science'],['Society']
35630,['Society', 'Sports', 'Computers', 'Arts'],['Society']
35636,['Sports', 'Computers', 'Arts', 'Society'],['Society']
1629,['Computers', 'Recreation', 'News', 'Science'],['Society', 'Computers']
35649,['Shopping', 'Computers', 'Society', 'Home'],['Society']
1641,['Reference', 'Business', 'Shopping', 'Recreation'],['Society']
1643,['Reference', 'Computers', 'Recreation', 'News'],['Society']
35660,['Business', 'Shopping', 'Computers', 'Recreation'],['Society']
1648,['Recreation', 'Sports', 'Shopping', 'Home'],['Society']
35665,['Business', 'Recreation', 'Arts', 'Adult'],['Society']
1658,['Recreation', 'Health', 'Computers', 'Society'],['Society']
1659,['Recreation', 'Society', 'Shopping', 'Arts'],['Society']
35673,['Arts', 'Shopping', 'Society', 'Health'],['Society']
35685,['Society', 'Recreation', 'Arts', 'Sports'],['Society']
35694,['Games', 'Arts', 'Society', 'Shopping'],['Society']
1681,['Business', 'Computers', 'Science', 'Reference'],['Society']
35695,['Home', 'Society', 'Shopping', 'Recreation'],['Society']
35701,['Sports', 'Shopping', 'Society', 'Science'],['Society']
35702,['Society', 'Sports', 'Shopping', 'Computers'],['Society']
1693,['Recreation', 'Arts', 'Adult', 'Society'],['Society']
1695,['Health', 'Computers', 'Society', 'Reference'],['Society']
35717,['Sports', 'Society', 'Business', 'Shopping'],['Society']
1707,['Adult', 'Business', 'Arts', 'Science'],['Society']
35725,['Society', 'Shopping', 'Arts', 'Adult'],['Society']
35728,['Sports', 'Arts', 'Society', 'Science'],['Society']
1716,['Arts', 'Business', 'Recreation', 'News'],['Society']
35735,['Sports', 'Recreation', 'Arts', 'Home'],['Society']
1723,['Arts', 'Science', 'Recreation', 'News'],['Society']
35742,['Shopping', 'Sports', 'Society', 'Computers'],['Society']
35747,['Sports', 'Health', 'Shopping', 'Science'],['Society']
1738,['Sports', 'Games', 'Recreation', 'Computers'],['Sports']
1739,['Sports', 'Recreation', 'Society', 'Shopping'],['Sports']
1741,['Sports', 'Recreation', 'Games', 'Science'],['Sports']
35759,['Sports', 'Business', 'Adult', 'Shopping'],['Society']
1745,['Games', 'Business', 'Arts', 'Recreation'],['Sports']
1757,['Sports', 'Games', 'News', 'Business'],['Sports']
35772,['Sports', 'Games', 'Society', 'Shopping'],['Society']
1759,['Sports', 'News', 'Home', 'Recreation'],['Sports']
35777,['Society', 'Health', 'Sports', 'Arts'],['Society']
35789,['Sports', 'Shopping', 'Society', 'Arts'],['Society']
1781,['Recreation', 'Sports', 'Home', 'Reference'],['Sports']
1785,['Sports', 'Games', 'News', 'Computers'],['Sports']
35802,['Society', 'Sports', 'Recreation', 'Adult'],['Society']
1788,['News', 'Business', 'Sports', 'Society'],['Sports']
1804,['Recreation', 'Arts', 'Games', 'Computers'],['Sports']
1805,['Sports', 'Games', 'Home', 'Business'],['Sports']
35819,['Society', 'Home', 'Business', 'Shopping'],['Society']
1808,['Sports', 'Science', 'Health', 'Society'],['Sports']
1812,['Sports', 'Business', 'Games', 'Science'],['Sports']
35838,['Society', 'Shopping', 'Arts', 'Sports'],['Society']
1828,['Sports', 'Computers', 'Society', 'Reference'],['Sports']
1834,['Arts', 'Sports', 'Science', 'Recreation'],['Sports']
1837,['Recreation', 'Arts', 'Science', 'Reference'],['Sports']
35853,['Society', 'Reference', 'Recreation', 'Health'],['Society']
1840,['Recreation', 'Business', 'Sports', 'Society'],['Sports', 'News']
35855,['Society', 'Sports', 'Shopping', 'Recreation'],['Society']
35859,['Society', 'Sports', 'Shopping', 'Recreation'],['Society']
1856,['Business', 'Games', 'Society', 'Science'],['Adult']
1857,['Adult', 'Games', 'Computers', 'Sports'],['Adult']
1861,['Adult', 'Recreation', 'News', 'Health'],['Adult']
35884,['Society', 'Shopping', 'Sports', 'Reference'],['Society']
35891,['Shopping', 'Society', 'Computers', 'Business'],['Society']
35896,['Society', 'Business', 'Sports', 'Arts'],['Society']
1882,['Adult', 'Recreation', 'Games', 'Society'],['Adult']
1886,['Adult', 'Sports', 'Home', 'Games'],['Adult']
35908,['Computers', 'Business', 'Society', 'Reference'],['Society']
1899,['Adult', 'Recreation', 'Business', 'Arts'],['Adult']
1903,['Society', 'Shopping', 'Sports', 'Science'],['Adult']
35918,['Business', 'Shopping', 'Sports', 'Health'],['Society']
35925,['Business', 'Society', 'Shopping', 'Home'],['Society']
1917,['Adult', 'Recreation', 'Arts', 'Sports'],['Adult']
1923,['Recreation', 'Games', 'Adult', 'Shopping'],['Adult']
35941,['Society', 'Health', 'Business', 'Sports'],['Society']
35945,['Society', 'Business', 'Sports', 'News'],['Society']
1937,['Arts', 'Games', 'Computers', 'Science'],['Adult']
35952,['Society', 'Arts', 'Shopping', 'Science'],['Society']
35956,['Society', 'Shopping', 'Recreation', 'Health'],['Society']
1942,['Adult', 'Computers', 'Sports', 'Society'],['Adult']
1943,['Adult', 'Recreation', 'Sports', 'Society'],['Adult']
1946,['Adult', 'Society', 'News', 'Health'],['Adult']
