ref id,Predicted,Actual
0,['Business', 'Society', 'Arts', 'Sports'],['Adult']
35096,['Society', 'Arts', 'Health', 'Computers'],['Society']
35101,['Society', 'Computers', 'Health', 'Science'],['Society']
35105,['Sports', 'Society', 'Games', 'Recreation'],['Society']
1051,['Recreation', 'Games', 'Arts', 'Science'],['Recreation']
35108,['Society', 'Computers', 'News', 'Science'],['Society']
1055,['Sports', 'Computers', 'Recreation', 'Arts'],['Shopping']
35117,['Society', 'Computers', 'Science', 'Health'],['Society']
1063,['Sports', 'Shopping', 'Business', 'Arts'],['News']
35118,['Society', 'Reference', 'Health', 'Science'],['Society']
35122,['Society', 'Computers', 'Sports', 'Health'],['Society']
1072,['Shopping', 'Business', 'Science', 'Arts'],['News']
35140,['Society', 'Arts', 'Adult', 'News'],['Society']
1090,['Business', 'Recreation', 'Sports', 'Society'],['News']
1094,['Shopping', 'Business', 'Recreation', 'Arts'],['Recreation']
35149,['Society', 'Health', 'Shopping', 'Recreation'],['Society']
1099,['Business', 'Shopping', 'Recreation', 'Home'],['Recreation']
35155,['Society', 'Adult', 'Health', 'Home'],['Society']
1107,['Arts', 'Adult', 'News', 'Recreation'],['Recreation']
35162,['Arts', 'Games', 'Society', 'Recreation'],['Society']
1112,['Business', 'Arts', 'Shopping', 'Science'],['Recreation']
1114,['Recreation', 'Business', 'Arts', 'Reference'],['Recreation']
35169,['Society', 'Adult', 'Arts', 'Computers'],['Society']
35173,['Society', 'Computers', 'Business', 'Shopping'],['Society']
1122,['Business', 'Science', 'News', 'Recreation'],['Recreation']
1133,['Arts', 'News', 'Society', 'Recreation'],['Recreation']
35192,['Society', 'Arts', 'Shopping', 'News'],['Society']
35196,['Society', 'Health', 'Home', 'Reference'],['Society']
35202,['Shopping', 'Business', 'Science', 'Arts'],['Society']
1163,['Recreation', 'Business', 'Science', 'Computers'],['Recreation']
1164,['Business', 'Science', 'Home', 'Computers'],['Business', 'Recreation']
35220,['Society', 'Health', 'Arts', 'Home'],['Society']
1168,['Recreation', 'Games', 'Computers', 'Health'],['Recreation']
35223,['Shopping', 'Recreation', 'Business', 'Science'],['Society']
35225,['Society', 'Sports', 'Recreation', 'Arts'],['Society']
1172,['Recreation', 'Home', 'Games', 'Arts'],['Recreation']
1173,['Recreation', 'Arts', 'Computers', 'Society'],['Recreation']
35227,['Arts', 'Society', 'Home', 'News'],['Society']
1175,['Recreation', 'Computers', 'Health', 'Science'],['Recreation']
35230,['Reference', 'Society', 'Health', 'Science'],['Society']
35233,['Society', 'Health', 'Arts', 'Business'],['Society']
1180,['Business', 'Arts', 'Computers', 'Science'],['Recreation']
1186,['Recreation', 'Reference', 'Computers', 'Business'],['Recreation']
1190,['Recreation', 'Business', 'Home', 'Shopping'],['Recreation']
1194,['Recreation', 'Business', 'Reference', 'Science'],['Recreation']
1198,['Business', 'Shopping', 'Recreation', 'Arts'],['Recreation']
1202,['Arts', 'Shopping', 'Home', 'Adult'],['Reference']
35261,['Society', 'Arts', 'Shopping', 'Sports'],['Society']
35267,['Arts', 'Sports', 'Society', 'Games'],['Society']
1216,['Reference', 'Society', 'Science', 'Health'],['Reference']
1217,['Computers', 'Games', 'Science', 'Business'],['Reference']
1218,['Reference', 'News', 'Society', 'Science'],['Reference']
35275,['Society', 'Sports', 'Shopping', 'Business'],['Society']
1222,['Reference', 'News', 'Science', 'Health'],['Reference']
35279,['Shopping', 'Recreation', 'Society', 'Business'],['Society']
1232,['Business', 'Computers', 'Science', 'Reference'],['Reference', 'Computers']
1234,['Reference', 'News', 'Science', 'Computers'],['Reference']
35290,['Society', 'News', 'Health', 'Arts'],['Society']
35294,['Society', 'Shopping', 'Home', 'Arts'],['Society']
35297,['Shopping', 'Society', 'Business', 'Science'],['Society']
1246,['Computers', 'Science', 'Arts', 'News'],['Reference', 'Computers']
35304,['Society', 'Shopping', 'Business', 'Reference'],['Society']
1250,['Reference', 'Health', 'Arts', 'News'],['Reference']
35305,['Shopping', 'Society', 'Home', 'Arts'],['Society']
1256,['Business', 'Arts', 'Recreation', 'Computers'],['Reference']
1258,['Reference', 'Science', 'Arts', 'Computers'],['Reference']
35313,['Society', 'Sports', 'Shopping', 'Recreation'],['Society']
35314,['Shopping', 'Society', 'Business', 'Recreation'],['Society']
35347,['Society', 'Shopping', 'Business', 'Recreation'],['Society']
35348,['Shopping', 'Society', 'Recreation', 'Arts'],['Society']
1294,['Reference', 'Science', 'News', 'Health'],['Reference']
35350,['Society', 'Shopping', 'Home', 'Health'],['Society']
1298,['Reference', 'Science', 'Arts', 'News'],['Reference']
1302,['News', 'Science', 'Reference', 'Health'],['Reference']
35357,['Society', 'Shopping', 'Business', 'Science'],['Society']
35365,['Society', 'Reference', 'Business', 'Shopping'],['Society']
35369,['Society', 'Sports', 'Computers', 'Arts'],['Society']
1315,['Reference', 'News', 'Business', 'Health'],['Reference']
35375,['Shopping', 'Business', 'Society', 'Health'],['Society']
1322,['Science', 'Reference', 'Business', 'Society'],['Reference']
1330,['Reference', 'Society', 'Health', 'Business'],['Reference']
35392,['Society', 'Sports', 'Arts', 'Recreation'],['Society']
1341,['Business', 'Home', 'Computers', 'Health'],['Reference']
35397,['Computers', 'Society', 'Reference', 'Shopping'],['Society']
35401,['Society', 'Recreation', 'Sports', 'Shopping'],['Society']
1351,['Shopping', 'Business', 'Home', 'Arts'],['Shopping']
35406,['Computers', 'Society', 'Business', 'Arts'],['Society']
35407,['Shopping', 'Society', 'Recreation', 'Arts'],['Society']
35415,['Computers', 'Society', 'Science', 'Reference'],['Society']
35417,['Sports', 'Society', 'Recreation', 'Arts'],['Society']
35418,['Society', 'Computers', 'Games', 'Sports'],['Society']
1415,['Sports', 'Recreation', 'Computers', 'Arts'],['Science']
1416,['Science', 'News', 'Arts', 'Society'],['Science']
1424,['Science', 'Reference', 'Society', 'News'],['Science']
1428,['Computers', 'Business', 'Science', 'Reference'],['Science']
1433,['Science', 'Recreation', 'Computers', 'Home'],['Science']
1438,['Reference', 'Society', 'Science', 'Health'],['Science', 'Reference']
1450,['Science', 'Health', 'Reference', 'Business'],['Science']
35467,['Business', 'Shopping', 'Science', 'Recreation'],['Society']
1464,['Shopping', 'Business', 'Science', 'Arts'],['Science']
35475,['Society', 'Business', 'Science', 'Computers'],['Society']
1480,['Science', 'Recreation', 'Computers', 'Business'],['Science']
35492,['Shopping', 'Business', 'Science', 'Arts'],['Society']
1483,['Shopping', 'Business', 'Science', 'Arts'],['Science']
1488,['Computers', 'Business', 'Science', 'News'],['Science']
1493,['Shopping', 'Business', 'Home', 'Arts'],['Shopping']
1497,['Business', 'Home', 'Shopping', 'Science'],['Shopping']
35509,['Sports', 'Computers', 'Arts', 'Society'],['Society']
35511,['Business', 'Society', 'Science', 'Health'],['Society']
35518,['Shopping', 'Business', 'Science', 'Arts'],['Society']
35522,['Society', 'Sports', 'Arts', 'Computers'],['Society']
1520,['Shopping', 'Business', 'Science', 'Arts'],['Shopping']
35533,['Business', 'Society', 'Science', 'Health'],['Society']
35534,['Society', 'Business', 'Computers', 'Arts'],['Society']
35535,['Society', 'Business', 'Health', 'Science'],['Society']
1525,['Shopping', 'Business', 'Science', 'Arts'],['Shopping']
1526,['Recreation', 'Shopping', 'Reference', 'Business'],['Shopping']
1527,['Shopping', 'Arts', 'Home', 'Business'],['Shopping']
35540,['Sports', 'Recreation', 'Business', 'Arts'],['Society']
1531,['Business', 'Shopping', 'Science', 'Health'],['Shopping']
35544,['Society', 'Sports', 'Recreation', 'Arts'],['Society']
1535,['Business', 'Shopping', 'Recreation', 'Computers'],['Shopping']
35547,['Society', 'Recreation', 'Science', 'Health'],['Society']
35559,['Society', 'Arts', 'Recreation', 'Sports'],['Society']
35571,['Recreation', 'Society', 'Shopping', 'Arts'],['Society']
1565,['Shopping', 'Business', 'Recreation', 'Home'],['Shopping']
35580,['Arts', 'Society', 'Home', 'Recreation'],['Society']
1570,['Shopping', 'Business', 'Computers', 'Recreation'],['Shopping']
35582,['Society', 'Reference', 'Science', 'Arts'],['Society']
35594,['Society', 'Computers', 'Arts', 'Science'],['Society']
35597,['Society', 'Reference', 'Arts', 'News'],['Society']
35602,['Society', 'Science', 'Business', 'Shopping'],['Society']
1593,['Shopping', 'Business', 'Arts', 'Science'],['Shopping']
1599,['Shopping', 'Business', 'Science', 'Arts'],['Shopping']
1600,['Business', 'Shopping', 'Computers', 'Recreation'],['Shopping']
1601,['Business', 'Shopping', 'Home', 'Recreation'],['Business', 'Shopping']
35612,['Reference', 'Computers', 'Science', 'Society'],['Society']
35618,['Society', 'Arts', 'Business', 'Shopping'],['Society']
35625,['Sports', 'Recreation', 'Society', 'Arts'],['Society']
35630,['Society', 'Arts', 'Sports', 'Recreation'],['Society']
35636,['Sports', 'Recreation', 'Computers', 'Society'],['Society']
1629,['Computers', 'News', 'Science', 'Business'],['Society', 'Computers']
35649,['Society', 'Arts', 'Games', 'Shopping'],['Society']
1641,['Shopping', 'Business', 'Science', 'Arts'],['Society']
1643,['News', 'Arts', 'Business', 'Recreation'],['Society']
35660,['Business', 'Recreation', 'Society', 'Shopping'],['Society']
1648,['Arts', 'News', 'Recreation', 'Adult'],['Society']
35665,['Business', 'Society', 'Arts', 'Recreation'],['Society']
1658,['Shopping', 'Business', 'Science', 'Arts'],['Society']
1659,['Society', 'Recreation', 'Computers', 'Arts'],['Society']
35673,['Arts', 'Shopping', 'Business', 'Society'],['Society']
35685,['Sports', 'Arts', 'Society', 'Recreation'],['Society']
35694,['Games', 'Shopping', 'Home', 'Society'],['Society']
1681,['Business', 'Shopping', 'Science', 'Health'],['Society']
35695,['Society', 'Arts', 'Sports', 'Shopping'],['Society']
35701,['Sports', 'Recreation', 'Computers', 'Arts'],['Society']
35702,['Society', 'Reference', 'Health', 'Sports'],['Society']
1693,['Adult', 'Recreation', 'Home', 'Health'],['Society']
1695,['Business', 'News', 'Reference', 'Health'],['Society']
35717,['Shopping', 'Society', 'Business', 'Arts'],['Society']
1707,['News', 'Arts', 'Adult', 'Home'],['Society']
35725,['Shopping', 'Business', 'Science', 'Arts'],['Society']
35728,['Society', 'Recreation', 'Arts', 'Sports'],['Society']
1716,['Adult', 'News', 'Arts', 'Society'],['Society']
35735,['Shopping', 'Sports', 'Society', 'Arts'],['Society']
1723,['Science', 'Reference', 'Business', 'News'],['Society']
35742,['Sports', 'Shopping', 'Society', 'Business'],['Society']
35747,['Health', 'Society', 'Sports', 'Recreation'],['Society']
1738,['Shopping', 'Business', 'Science', 'Arts'],['Sports']
1739,['Sports', 'News', 'Recreation', 'Games'],['Sports']
1741,['Shopping', 'Business', 'Science', 'Arts'],['Sports']
35759,['Society', 'Sports', 'Games', 'Arts'],['Society']
1745,['News', 'Arts', 'Sports', 'Games'],['Sports']
1757,['Sports', 'News', 'Games', 'Recreation'],['Sports']
35772,['Arts', 'Society', 'Games', 'Reference'],['Society']
1759,['Shopping', 'Business', 'Arts', 'Science'],['Sports']
35777,['Society', 'Sports', 'Arts', 'Business'],['Society']
35789,['Society', 'Recreation', 'Sports', 'Shopping'],['Society']
1781,['Shopping', 'Business', 'Science', 'Arts'],['Sports']
1785,['Sports', 'Shopping', 'Business', 'Arts'],['Sports']
35802,['Society', 'Health', 'Recreation', 'Arts'],['Society']
1788,['Sports', 'News', 'Arts', 'Recreation'],['Sports']
1804,['Recreation', 'Sports', 'News', 'Arts'],['Sports']
1805,['Shopping', 'Business', 'Sports', 'Science'],['Sports']
35819,['Society', 'News', 'Arts', 'Home'],['Society']
1808,['Sports', 'Shopping', 'Business', 'Arts'],['Sports']
1812,['Sports', 'Health', 'News', 'Recreation'],['Sports']
35838,['Home', 'Shopping', 'Society', 'Arts'],['Society']
1828,['Shopping', 'Business', 'Science', 'Arts'],['Sports']
1834,['News', 'Games', 'Sports', 'Arts'],['Sports']
1837,['News', 'Arts', 'Recreation', 'Games'],['Sports']
35853,['Society', 'News', 'Health', 'Home'],['Society']
1840,['News', 'Arts', 'Business', 'Society'],['Sports', 'News']
35855,['Society', 'News', 'Sports', 'Arts'],['Society']
35859,['Society', 'Science', 'Business', 'Home'],['Society']
1856,['Recreation', 'Business', 'Arts', 'Society'],['Adult']
1857,['Adult', 'Games', 'News', 'Home'],['Adult']
1861,['Adult', 'News', 'Home', 'Society'],['Adult']
35884,['Society', 'Reference', 'Business', 'Sports'],['Society']
35891,['Shopping', 'Business', 'Science', 'Arts'],['Society']
35896,['Society', 'Health', 'News', 'Business'],['Society']
1882,['Adult', 'News', 'Arts', 'Recreation'],['Adult']
1886,['Adult', 'News', 'Society', 'Recreation'],['Adult']
35908,['Business', 'Computers', 'Society', 'Science'],['Society']
1899,['Adult', 'Home', 'News', 'Games'],['Adult']
1903,['Adult', 'Shopping', 'Society', 'Sports'],['Adult']
35918,['Shopping', 'Business', 'Science', 'Arts'],['Society']
35925,['Society', 'Business', 'Sports', 'Recreation'],['Society']
1917,['Adult', 'News', 'Home', 'Reference'],['Adult']
1923,['Adult', 'News', 'Arts', 'Society'],['Adult']
35941,['Society', 'Science', 'Health', 'Business'],['Society']
35945,['Society', 'Health', 'Home', 'Business'],['Society']
1937,['Arts', 'Science', 'News', 'Recreation'],['Adult']
35952,['Shopping', 'Computers', 'Society', 'Business'],['Society']
35956,['Society', 'Reference', 'Science', 'Computers'],['Society']
1942,['Adult', 'Health', 'Computers', 'Reference'],['Adult']
1943,['Adult', 'Recreation', 'Games', 'Arts'],['Adult']
1946,['Adult', 'Home', 'News', 'Reference'],['Adult']
1952,['Shopping', 'Business', 'Science', 'Arts'],['Adult']
1956,['Adult', 'Recreation', 'Reference', 'Arts'],['Adult']
35976,['Society', 'Recreation', 'Sports', 'Arts'],['Society']
1963,['Adult', 'News', 'Arts', 'Business'],['Adult']
