ref id,Predicted,Actual
34079,['Society', 'Shopping', 'Recreation', 'Sports'],['Shopping']
34257,['Society', 'Computers', 'Business', 'Health'],['Society']
176,['Arts', 'Business', 'Computers', 'Recreation'],['Arts']
34260,['Society', 'Arts', 'Business', 'Computers'],['Society']
184,['Games', 'Arts', 'Computers', 'Recreation'],['Arts']
194,['Arts', 'Computers', 'Recreation', 'Reference'],['Computers', 'Arts']
200,['Arts', 'Society', 'Home', 'Sports'],['Arts']
34283,['Society', 'Health', 'Business', 'Computers'],['Society']
204,['Arts', 'Business', 'Recreation', 'Computers'],['Arts']
206,['Arts', 'Recreation', 'Business', 'Reference'],['Arts']
34292,['Shopping', 'Society', 'Business', 'Computers'],['Society']
34300,['Society', 'Computers', 'Business', 'Shopping'],['Society']
221,['Arts', 'News', 'Recreation', 'Business'],['Arts']
34303,['Adult', 'Shopping', 'Sports', 'Business'],['Society']
228,['Arts', 'Recreation', 'Reference', 'Computers'],['Arts']
230,['Arts', 'Recreation', 'Computers', 'Business'],['Arts']
34313,['Society', 'Health', 'Sports', 'Shopping'],['Society']
34317,['Reference', 'Society', 'Shopping', 'Business'],['Society']
239,['Games', 'Arts', 'Shopping', 'Society'],['Society', 'Arts']
34322,['Society', 'Home', 'Arts', 'Business'],['Society']
34323,['Health', 'Society', 'Recreation', 'Arts'],['Society']
242,['Arts', 'Recreation', 'News', 'Science'],['Arts']
249,['Arts', 'Computers', 'Business', 'News'],['News', 'Business']
34334,['Sports', 'Society', 'Business', 'Recreation'],['Society']
34335,['Society', 'Arts', 'Recreation', 'Health'],['Society']
257,['Business', 'Computers', 'Shopping', 'Arts'],['Business']
272,['Computers', 'Business', 'Arts', 'Recreation'],['Business', 'Computers']
274,['Business', 'Arts', 'Recreation', 'Computers'],['Business']
277,['Recreation', 'Business', 'Computers', 'Shopping'],['Games', 'Shopping']
34361,['Society', 'Home', 'Shopping', 'Recreation'],['Society']
34367,['Computers', 'Shopping', 'Business', 'Society'],['Society']
34375,['Society', 'Games', 'Recreation', 'Computers'],['Society']
34383,['Society', 'Business', 'Recreation', 'Shopping'],['Society']
303,['Computers', 'Business', 'News', 'Home'],['Business', 'Computers']
312,['Business', 'Shopping', 'News', 'Computers'],['Business']
34395,['Society', 'Business', 'Arts', 'Computers'],['Society']
34397,['Society', 'Home', 'Recreation', 'Shopping'],['Society']
34399,['Society', 'Reference', 'Business', 'Computers'],['Society']
318,['Business', 'News', 'Computers', 'Recreation'],['Business']
34400,['Society', 'Business', 'Sports', 'Recreation'],['Society']
322,['Games', 'Computers', 'Business', 'Reference'],['Business']
34406,['Society', 'Business', 'Health', 'Sports'],['Society']
34408,['Business', 'Shopping', 'Recreation', 'Sports'],['Society']
331,['Business', 'Home', 'Society', 'News'],['Business']
34417,['Society', 'Computers', 'Business', 'Shopping'],['Society']
336,['Business', 'Computers', 'Shopping', 'News'],['Business', 'Computers']
34424,['Society', 'Health', 'Sports', 'Business'],['Society']
34429,['Society', 'Computers', 'Business', 'Recreation'],['Society']
348,['Business', 'Shopping', 'Computers', 'Arts'],['Business', 'Shopping']
350,['News', 'Business', 'Home', 'Reference'],['Business']
34433,['Society', 'Health', 'Arts', 'Recreation'],['Society']
356,['Recreation', 'Arts', 'Business', 'Computers'],['Computers']
364,['Arts', 'Recreation', 'News', 'Business'],['Computers']
34447,['Society', 'Business', 'Computers', 'Health'],['Society']
367,['Computers', 'Business', 'Shopping', 'Reference'],['Computers']
34449,['Society', 'Arts', 'Recreation', 'Computers'],['Society']
34450,['Society', 'Recreation', 'Business', 'Shopping'],['Society']
375,['Computers', 'Business', 'Health', 'Science'],['Computers']
34457,['Society', 'News', 'Business', 'Arts'],['Society']
384,['Computers', 'Business', 'Recreation', 'Society'],['Computers']
34466,['Shopping', 'Society', 'Business', 'Arts'],['Society']
34471,['Society', 'Recreation', 'Reference', 'Arts'],['Society']
34475,['Society', 'Business', 'News', 'Computers'],['Society']
394,['Society', 'Business', 'Home', 'Recreation'],['Computers']
34476,['Society', 'Arts', 'Business', 'Shopping'],['Society']
396,['Computers', 'Business', 'Arts', 'Science'],['Computers']
34488,['Society', 'Business', 'Shopping', 'Computers'],['Society']
414,['News', 'Business', 'Computers', 'Arts'],['Computers']
34514,['Society', 'Computers', 'Business', 'Shopping'],['Society']
34518,['Business', 'News', 'Society', 'Computers'],['Society']
34520,['Society', 'Business', 'Shopping', 'Recreation'],['Society']
34526,['Society', 'Health', 'Business', 'Shopping'],['Society']
34532,['Society', 'Business', 'Health', 'Shopping'],['Society']
34536,['Society', 'Sports', 'Arts', 'Recreation'],['Society']
34537,['Society', 'Arts', 'Shopping', 'Computers'],['Society']
34538,['Society', 'Shopping', 'Business', 'Recreation'],['Society']
34548,['Society', 'Shopping', 'Business', 'Sports'],['Society']
34555,['Society', 'Shopping', 'Business', 'Arts'],['Society']
34558,['Society', 'Business', 'Shopping', 'Computers'],['Society']
34562,['Society', 'Recreation', 'Arts', 'Shopping'],['Society']
480,['Games', 'Recreation', 'Arts', 'Computers'],['Games', 'Arts']
34573,['Arts', 'Shopping', 'Society', 'Recreation'],['Society']
34574,['Society', 'Health', 'Business', 'Shopping'],['Society']
34582,['Society', 'Business', 'Computers', 'Shopping'],['Society']
500,['Business', 'Computers', 'Recreation', 'Games'],['Games']
34585,['Health', 'Society', 'Business', 'Home'],['Society']
34591,['Society', 'Shopping', 'Health', 'Business'],['Society']
509,['Games', 'Arts', 'Business', 'Recreation'],['Games']
512,['Games', 'Computers', 'Arts', 'Recreation'],['Games']
520,['Arts', 'Business', 'Computers', 'Recreation'],['Games']
526,['Games', 'Business', 'Shopping', 'Reference'],['Games']
34610,['Society', 'Arts', 'Recreation', 'Sports'],['Society']
34618,['Society', 'Shopping', 'Business', 'Recreation'],['Society']
34625,['Society', 'Shopping', 'Business', 'Recreation'],['Society']
543,['Health', 'Business', 'Reference', 'Science'],['Science', 'Health']
545,['Health', 'Science', 'Reference', 'Computers'],['Health']
546,['Health', 'Science', 'Society', 'Recreation'],['Health']
34629,['Society', 'Shopping', 'Business', 'Recreation'],['Society']
34631,['Society', 'Shopping', 'Business', 'Recreation'],['Society']
34632,['Society', 'Recreation', 'Arts', 'Reference'],['Society']
553,['Health', 'Science', 'Business', 'Society'],['Science', 'Health']
34641,['Society', 'Shopping', 'Business', 'Recreation'],['Society']
560,['Reference', 'Science', 'Computers', 'Society'],['Reference', 'Health']
571,['Health', 'Business', 'Arts', 'Reference'],['Health']
34655,['Society', 'Shopping', 'Health', 'Business'],['Society']
574,['Health', 'Home', 'Recreation', 'Arts'],['Health']
582,['Health', 'Home', 'Business', 'Recreation'],['Health']
34670,['Business', 'Society', 'Reference', 'Science'],['Society']
588,['Health', 'Arts', 'Recreation', 'Computers'],['Health']
34674,['Society', 'Business', 'Arts', 'Shopping'],['Society']
34677,['Society', 'Shopping', 'Business', 'Recreation'],['Society']
34679,['Society', 'Health', 'Recreation', 'Business'],['Society']
608,['Health', 'Home', 'Business', 'News'],['Health']
613,['Home', 'Health', 'Arts', 'Business'],['Health']
34704,['Society', 'Business', 'Science', 'Computers'],['Society']
34705,['Society', 'Sports', 'Arts', 'Recreation'],['Society']
627,['Health', 'Arts', 'Business', 'Adult'],['Health']
34712,['Society', 'Sports', 'Arts', 'Business'],['Society']
34713,['Society', 'Computers', 'Business', 'Health'],['Society']
635,['Health', 'Home', 'Business', 'News'],['Health']
34719,['Society', 'Recreation', 'Arts', 'Business'],['Society']
34724,['Society', 'Business', 'Health', 'Sports'],['Society']
642,['Health', 'Business', 'Recreation', 'Reference'],['Health']
34731,['Society', 'Recreation', 'Health', 'Sports'],['Society']
34732,['Shopping', 'Society', 'Business', 'Recreation'],['Society']
655,['Health', 'Business', 'Recreation', 'Reference'],['Health']
663,['Health', 'Business', 'Arts', 'Reference'],['Health']
664,['Health', 'Business', 'Recreation', 'Reference'],['Health']
667,['Health', 'Business', 'Society', 'Science'],['Health']
34754,['Society', 'Shopping', 'Recreation', 'Business'],['Society']
679,['Health', 'Reference', 'News', 'Science'],['Health']
34762,['Society', 'Home', 'Health', 'Business'],['Society']
681,['Computers', 'Home', 'Arts', 'Recreation'],['Home']
34771,['Society', 'Business', 'Arts', 'Sports'],['Society']
690,['Arts', 'Business', 'Computers', 'Recreation'],['Home']
34777,['Society', 'Shopping', 'Business', 'Recreation'],['Society']
34778,['Society', 'Computers', 'Business', 'Reference'],['Society']
34784,['Society', 'Business', 'Shopping', 'Recreation'],['Society']
701,['Home', 'Business', 'Shopping', 'Recreation'],['Home']
702,['Home', 'Business', 'Arts', 'Shopping'],['Home']
34790,['Society', 'Recreation', 'Business', 'Health'],['Society']
709,['Recreation', 'Computers', 'Arts', 'Business'],['Home', 'Computers']
34798,['Society', 'Sports', 'Computers', 'Health'],['Society']
34801,['Society', 'Sports', 'Recreation', 'Arts'],['Society']
34803,['Arts', 'Society', 'Business', 'Shopping'],['Society']
34808,['Sports', 'Society', 'Recreation', 'Shopping'],['Society']
34815,['Society', 'Arts', 'Business', 'Sports'],['Society']
735,['Computers', 'Shopping', 'Recreation', 'Business'],['Home']
34823,['Shopping', 'Sports', 'Recreation', 'Business'],['Society']
741,['Recreation', 'Health', 'Home', 'Business'],['Home']
746,['Home', 'Arts', 'Business', 'Recreation'],['Home']
747,['Home', 'Business', 'Arts', 'Recreation'],['Home']
34831,['Society', 'Health', 'Computers', 'Business'],['Society']
749,['Business', 'Recreation', 'Computers', 'Home'],['Home']
34842,['Arts', 'Society', 'Shopping', 'Sports'],['Society']
761,['Home', 'Business', 'Health', 'Recreation'],['Home']
765,['Society', 'Health', 'Home', 'Recreation'],['Science', 'Home']
34849,['Society', 'Arts', 'Recreation', 'Shopping'],['Society']
777,['Recreation', 'Home', 'Arts', 'Computers'],['Home']
779,['Home', 'Arts', 'Business', 'Recreation'],['Home']
34865,['Society', 'Sports', 'Recreation', 'Business'],['Society']
34873,['Arts', 'Computers', 'Business', 'Shopping'],['Society']
794,['Shopping', 'Recreation', 'Business', 'Arts'],['Home']
801,['Home', 'Recreation', 'Arts', 'Business'],['Home']
803,['Shopping', 'Recreation', 'Computers', 'Business'],['Home', 'Shopping']
804,['Business', 'Computers', 'Home', 'Recreation'],['Home']
34889,['Society', 'News', 'Adult', 'Arts'],['Society']
34890,['Computers', 'Society', 'News', 'Recreation'],['Society']
809,['Computers', 'Business', 'Recreation', 'Reference'],['Home']
812,['Home', 'Business', 'Arts', 'Shopping'],['Home']
34896,['Health', 'Home', 'Recreation', 'Computers'],['Society']
34898,['Business', 'Computers', 'Recreation', 'Shopping'],['Society']
34904,['Shopping', 'Recreation', 'Sports', 'Society'],['Society']
837,['Computers', 'Recreation', 'Arts', 'Business'],['Computers']
863,['Sports', 'Recreation', 'Business', 'News'],['Sports']
872,['Science', 'Arts', 'Reference', 'Business'],['Science']
34939,['Society', 'Business', 'Shopping', 'Computers'],['Society']
34940,['Shopping', 'Business', 'Computers', 'Recreation'],['Society']
877,['News', 'Business', 'Sports', 'Reference'],['Sports']
34942,['Society', 'Shopping', 'Recreation', 'Business'],['Society']
34943,['Society', 'Arts', 'Shopping', 'Computers'],['Society']
34944,['Society', 'Recreation', 'Reference', 'Shopping'],['Society']
883,['Recreation', 'Business', 'Science', 'Computers'],['Recreation']
34947,['Arts', 'Society', 'Shopping', 'Computers'],['Society']
886,['Society', 'Business', 'Arts', 'Computers'],['Society']
34951,['Society', 'Shopping', 'Arts', 'Business'],['Society']
892,['Science', 'Computers', 'Business', 'Recreation'],['Science']
909,['Arts', 'Recreation', 'Reference', 'Computers'],['Arts']
34967,['Society', 'Shopping', 'Business', 'Arts'],['Society']
34971,['Society', 'Shopping', 'Business', 'Computers'],['Society']
34975,['Society', 'Shopping', 'Business', 'Arts'],['Society']
933,['News', 'Arts', 'Recreation', 'Business'],['News']
935,['News', 'Business', 'Recreation', 'Arts'],['News']
34994,['Society', 'Arts', 'Science', 'Health'],['Society']
944,['News', 'Arts', 'Business', 'Sports'],['News']
34998,['Society', 'Sports', 'Recreation', 'Business'],['Society']
35001,['Society', 'Computers', 'Sports', 'Recreation'],['Society']
951,['Society', 'News', 'Arts', 'Business'],['News']
35009,['Society', 'Business', 'Computers', 'Arts'],['Society']
35011,['Society', 'Science', 'Business', 'Shopping'],['Society']
35013,['Society', 'Business', 'Recreation', 'Sports'],['Society']
969,['News', 'Arts', 'Society', 'Recreation'],['News']
970,['Health', 'Sports', 'News', 'Business'],['News']
972,['Science', 'News', 'Society', 'Recreation'],['News', 'Science']
35027,['Society', 'Arts', 'Shopping', 'Science'],['Society']
979,['Business', 'Computers', 'News', 'Home'],['News']
35036,['Computers', 'Business', 'Society', 'Games'],['Society']
35037,['Society', 'Shopping', 'Arts', 'Business'],['Society']
35038,['Society', 'Business', 'Arts', 'Home'],['Society']
35039,['Society', 'Business', 'Shopping', 'Computers'],['Society']
35043,['Society', 'Computers', 'News', 'Science'],['Society']
991,['Sports', 'News', 'Business', 'Recreation'],['News']
35050,['Society', 'Science', 'Business', 'Computers'],['Society']
35054,['Society', 'Science', 'Computers', 'Sports'],['Society']
1003,['News', 'Society', 'Recreation', 'Business'],['News']
1012,['News', 'Arts', 'Sports', 'Recreation'],['News']
1020,['Arts', 'News', 'Business', 'Recreation'],['News']
1025,['News', 'Arts', 'Business', 'Reference'],['News']
1027,['Computers', 'Business', 'Recreation', 'Shopping'],['Recreation']
35080,['Society', 'Business', 'Computers', 'Shopping'],['Society']
35082,['Society', 'Shopping', 'Business', 'Computers'],['Society']
1034,['Home', 'Recreation', 'Games', 'Business'],['Home']
35089,['Society', 'Business', 'Arts', 'Computers'],['Society']
1038,['Recreation', 'Business', 'Shopping', 'Computers'],['Recreation']
1039,['Recreation', 'Business', 'Computers', 'Shopping'],['Science']
1040,['Reference', 'Arts', 'Computers', 'Science'],['Reference']
35098,['Society', 'Computers', 'Science', 'Shopping'],['Society']
1049,['Recreation', 'Health', 'Arts', 'Business'],['Recreation']
35106,['Society', 'Sports', 'Games', 'Health'],['Society']
1056,['Recreation', 'Arts', 'News', 'Business'],['News']
1059,['Society', 'News', 'Business', 'Computers'],['News']
35116,['Society', 'Computers', 'Recreation', 'Shopping'],['Society']
1063,['News', 'Arts', 'Business', 'Home'],['News']
35118,['Society', 'Business', 'Computers', 'Reference'],['Society']
35121,['Computers', 'Society', 'Shopping', 'Business'],['Society']
1089,['Business', 'News', 'Health', 'Recreation'],['News']
35146,['Society', 'Business', 'Shopping', 'Arts'],['Society']
35150,['Society', 'Health', 'Business', 'Science'],['Society']
35151,['Society', 'Adult', 'Recreation', 'Business'],['Society']
35156,['Society', 'Recreation', 'Shopping', 'Business'],['Society']
1103,['Recreation', 'Business', 'Computers', 'Home'],['Recreation']
35158,['Society', 'Recreation', 'Business', 'Shopping'],['Society']
1119,['Recreation', 'Business', 'Shopping', 'Society'],['Recreation']
1129,['Recreation', 'Sports', 'Arts', 'Home'],['Recreation']
1130,['Recreation', 'Business', 'Shopping', 'Games'],['Recreation']
35186,['Society', 'Adult', 'Business', 'Shopping'],['Society']
1132,['Recreation', 'Home', 'Arts', 'Business'],['Recreation']
1133,['Arts', 'Recreation', 'Business', 'Shopping'],['Recreation']
35189,['Society', 'Arts', 'Recreation', 'Computers'],['Society']
1136,['Recreation', 'Arts', 'Games', 'Computers'],['Recreation']
1137,['Recreation', 'Business', 'Arts', 'Computers'],['Recreation']
1157,['Business', 'Recreation', 'Games', 'Arts'],['Recreation']
1160,['Recreation', 'Home', 'Business', 'Health'],['Recreation']
1164,['Business', 'Recreation', 'Science', 'Computers'],['Business', 'Recreation']
1165,['Recreation', 'Games', 'Business', 'Home'],['Recreation']
35226,['Society', 'Recreation', 'Arts', 'Shopping'],['Society']
35231,['Recreation', 'Sports', 'Business', 'Society'],['Society']
35238,['Recreation', 'Society', 'Shopping', 'Sports'],['Society']
35243,['Society', 'Arts', 'Sports', 'Recreation'],['Society']
35246,['Society', 'News', 'Business', 'Recreation'],['Society']
35249,['Arts', 'Society', 'Recreation', 'Sports'],['Society']
35253,['Shopping', 'Business', 'Recreation', 'Arts'],['Society']
1199,['Recreation', 'Shopping', 'Society', 'Business'],['Recreation']
1205,['Computers', 'Games', 'Reference', 'News'],['Reference']
35272,['Society', 'Health', 'Computers', 'Sports'],['Society']
1219,['Arts', 'Reference', 'Science', 'Society'],['Reference']
1220,['Reference', 'Arts', 'Health', 'News'],['Reference']
35275,['Society', 'Shopping', 'Business', 'Science'],['Society']
35280,['Society', 'News', 'Business', 'Shopping'],['Society']
35286,['Society', 'Arts', 'Adult', 'Sports'],['Society']
1232,['Business', 'Computers', 'Science', 'Arts'],['Reference', 'Computers']
1233,['Arts', 'Recreation', 'Computers', 'Reference'],['Reference']
1254,['Business', 'Health', 'Science', 'Computers'],['Reference']
35309,['Society', 'Sports', 'Recreation', 'Shopping'],['Society']
1260,['Reference', 'Science', 'Computers', 'Health'],['Reference']
35319,['Society', 'Reference', 'News', 'Arts'],['Society']
1269,['Business', 'Reference', 'Computers', 'Science'],['Reference']
1270,['Business', 'Reference', 'Computers', 'Science'],['Reference']
1271,['Reference', 'Science', 'News', 'Health'],['Reference']
1272,['Computers', 'Reference', 'Business', 'Recreation'],['Reference']
35332,['Society', 'Recreation', 'Shopping', 'Business'],['Society']
35335,['Shopping', 'Sports', 'Recreation', 'Society'],['Society']
35338,['Society', 'Shopping', 'Computers', 'Business'],['Society']
1284,['Science', 'Reference', 'Society', 'Recreation'],['Reference']
1285,['Reference', 'Health', 'Science', 'News'],['Reference']
1286,['Reference', 'Arts', 'Society', 'News'],['Reference']
35340,['Recreation', 'Sports', 'Computers', 'Society'],['Society']
1290,['Arts', 'Computers', 'Business', 'Recreation'],['Reference']
1292,['Reference', 'Science', 'Health', 'Computers'],['Reference']
35352,['Society', 'Computers', 'Home', 'Shopping'],['Society']
1298,['Arts', 'Health', 'Science', 'Business'],['Reference']
1299,['Health', 'Reference', 'Arts', 'Computers'],['Reference']
35356,['Society', 'Business', 'Recreation', 'Computers'],['Society']
1305,['Reference', 'Science', 'Business', 'Computers'],['Reference']
1310,['Reference', 'Computers', 'Arts', 'Science'],['Reference']
1316,['Science', 'Reference', 'Business', 'Computers'],['Reference']
35372,['Society', 'Shopping', 'News', 'Reference'],['Society']
1323,['Reference', 'Arts', 'Health', 'Business'],['Reference']
1324,['Computers', 'Reference', 'Science', 'Business'],['Reference']
1328,['Computers', 'Business', 'Home', 'Arts'],['Reference', 'Computers']
1333,['Reference', 'Health', 'Arts', 'Business'],['Reference']
1336,['Reference', 'Society', 'Business', 'Recreation'],['Reference']
35392,['Society', 'Sports', 'Shopping', 'Recreation'],['Society']
35401,['Society', 'Recreation', 'Shopping', 'Games'],['Society']
35403,['Arts', 'Business', 'Recreation', 'Society'],['Society']
35404,['Society', 'Computers', 'Arts', 'Business'],['Society']
1381,['Reference', 'News', 'Arts', 'Society'],['Society']
1387,['Business', 'Shopping', 'Recreation', 'Arts'],['Shopping']
35416,['Society', 'Shopping', 'Computers', 'Business'],['Society']
35417,['Recreation', 'Shopping', 'Society', 'Sports'],['Society']
1409,['Health', 'Science', 'Reference', 'Recreation'],['Science']
1437,['Science', 'Business', 'Home', 'Society'],['Science']
35448,['Computers', 'Business', 'Society', 'Games'],['Society']
35450,['Society', 'Business', 'Recreation', 'Computers'],['Society']
35458,['Business', 'Science', 'Society', 'Sports'],['Society']
35460,['Computers', 'Sports', 'Society', 'Adult'],['Society']
35462,['Business', 'Society', 'Computers', 'Shopping'],['Society']
35464,['Business', 'Arts', 'Recreation', 'Shopping'],['Society']
1455,['Business', 'Arts', 'Recreation', 'Computers'],['Science']
1469,['Health', 'Business', 'Reference', 'Computers'],['Science']
35497,['Health', 'Society', 'Arts', 'Reference'],['Society']
35499,['Business', 'Shopping', 'Recreation', 'Computers'],['Society']
1492,['Computers', 'Games', 'Recreation', 'Health'],['Shopping']
35506,['Society', 'Business', 'Home', 'Health'],['Society']
1500,['Business', 'Shopping', 'Computers', 'Arts'],['Shopping']
1506,['Shopping', 'Health', 'Business', 'Home'],['Shopping']
1508,['Shopping', 'Computers', 'Business', 'Home'],['Shopping']
1513,['Arts', 'Recreation', 'Computers', 'Home'],['Shopping']
35524,['Business', 'Science', 'Shopping', 'Society'],['Society']
1517,['Business', 'Shopping', 'Arts', 'Recreation'],['Shopping']
35530,['Health', 'Sports', 'Science', 'Recreation'],['Society']
35554,['Society', 'Shopping', 'Arts', 'Recreation'],['Society']
1544,['Business', 'Computers', 'Shopping', 'Arts'],['Shopping']
35558,['Arts', 'Society', 'Recreation', 'Business'],['Society']
1561,['Shopping', 'Business', 'Recreation', 'Arts'],['Shopping']
35576,['Society', 'Health', 'Arts', 'Business'],['Society']
35582,['Society', 'Reference', 'Computers', 'Science'],['Society']
35595,['Society', 'Science', 'Reference', 'Business'],['Society']
1595,['Arts', 'Business', 'Shopping', 'Home'],['Shopping']
1602,['Shopping', 'Business', 'Arts', 'Computers'],['Shopping']
35626,['Society', 'Sports', 'Health', 'Recreation'],['Society']
1616,['Business', 'Shopping', 'Science', 'Recreation'],['Shopping']
35630,['Society', 'Arts', 'Recreation', 'Shopping'],['Society']
1620,['Business', 'Home', 'Computers', 'Reference'],['Society']
1625,['Society', 'Shopping', 'News', 'Recreation'],['Society']
35646,['Society', 'Arts', 'Shopping', 'Business'],['Society']
1635,['Science', 'Business', 'Recreation', 'Health'],['Society']
1637,['News', 'Business', 'Recreation', 'Society'],['Society']
35651,['Society', 'Recreation', 'Shopping', 'News'],['Society']
35657,['Reference', 'Health', 'Society', 'Arts'],['Society']
1647,['Health', 'Home', 'Business', 'Society'],['Society']
1656,['Society', 'Reference', 'Science', 'Arts'],['Society']
1657,['Arts', 'Business', 'Science', 'Recreation'],['Society']
1659,['Recreation', 'Society', 'Business', 'Arts'],['Society']
1668,['News', 'Recreation', 'Arts', 'Society'],['Society']
35687,['Shopping', 'Society', 'Arts', 'Recreation'],['Society']
1675,['Society', 'Business', 'Arts', 'News'],['Society']
35690,['Business', 'Society', 'Shopping', 'Sports'],['Society']
1677,['Society', 'Recreation', 'Business', 'Computers'],['Society']
1681,['Business', 'News', 'Science', 'Reference'],['Society']
1682,['Arts', 'Recreation', 'Business', 'Science'],['Society']
1685,['Health', 'Society', 'Business', 'Science'],['Society']
35701,['Business', 'Shopping', 'Recreation', 'Computers'],['Society']
35706,['Arts', 'Society', 'Shopping', 'Business'],['Society']
1704,['Recreation', 'Arts', 'Adult', 'News'],['Society']
1710,['Recreation', 'Arts', 'Reference', 'Health'],['Society']
1715,['Arts', 'Shopping', 'Recreation', 'Business'],['Society', 'Arts']
1716,['Adult', 'Society', 'Arts', 'Business'],['Society']
1720,['Arts', 'Recreation', 'News', 'Computers'],['Society']
1725,['Sports', 'Business', 'Health', 'Recreation'],['Sports']
1726,['Shopping', 'Business', 'Arts', 'Recreation'],['Sports']
35744,['Science', 'Society', 'Reference', 'Business'],['Society']
35748,['Shopping', 'Society', 'Recreation', 'Arts'],['Society']
35749,['Recreation', 'Society', 'Arts', 'Home'],['Society']
35758,['Games', 'Society', 'Reference', 'Science'],['Society']
1746,['Sports', 'Recreation', 'Adult', 'Business'],['Sports']
35763,['Business', 'Recreation', 'Sports', 'Shopping'],['Society']
35764,['Society', 'Science', 'Reference', 'Arts'],['Society']
35770,['Society', 'Shopping', 'Home', 'Business'],['Society']
1763,['Sports', 'Arts', 'Business', 'Recreation'],['Sports']
35787,['Society', 'Arts', 'Shopping', 'Business'],['Society']
1780,['Sports', 'Business', 'Computers', 'Arts'],['Sports']
35810,['Society', 'Recreation', 'News', 'Computers'],['Society']
35826,['Society', 'Business', 'Recreation', 'Shopping'],['Society']
1813,['Sports', 'News', 'Business', 'Shopping'],['Sports']
35828,['Society', 'Health', 'Science', 'Computers'],['Society']
35833,['Society', 'Science', 'Business', 'Computers'],['Society']
1819,['Sports', 'News', 'Recreation', 'Business'],['Sports']
1838,['Recreation', 'Sports', 'Games', 'Arts'],['Sports']
35857,['Society', 'Business', 'Sports', 'Arts'],['Society']
35860,['Society', 'Business', 'Science', 'Arts'],['Society']
1846,['Sports', 'News', 'Recreation', 'Shopping'],['Sports']
1853,['Adult', 'Recreation', 'Business', 'Arts'],['Adult']
35870,['Society', 'Business', 'Health', 'Sports'],['Society']
35876,['Society', 'Arts', 'Business', 'Recreation'],['Society']
1862,['Adult', 'Recreation', 'Arts', 'Business'],['Adult']
1867,['Adult', 'Arts', 'Recreation', 'Health'],['Adult']
35885,['Society', 'Business', 'Recreation', 'Shopping'],['Society']
1873,['News', 'Arts', 'Society', 'Computers'],['Adult', 'Society']
35891,['Business', 'Society', 'Computers', 'Shopping'],['Society']
1881,['Computers', 'Recreation', 'Business', 'Arts'],['Adult']
35896,['Society', 'Health', 'Business', 'Computers'],['Society']
35904,['Society', 'Shopping', 'Business', 'Recreation'],['Society']
35907,['Society', 'Business', 'Sports', 'Science'],['Society']
35910,['Society', 'Business', 'Computers', 'Shopping'],['Society']
35916,['Science', 'Business', 'Recreation', 'Sports'],['Society']
1905,['Adult', 'Recreation', 'Business', 'Arts'],['Adult']
1914,['Adult', 'Recreation', 'Business', 'Computers'],['Adult']
