ref id,Predicted,Actual
0,['Health', 'Shopping', 'Recreation', 'Games'],['Adult']
34275,['Health', 'Shopping', 'Recreation', 'Games'],['Society']
197,['Health', 'Shopping', 'Recreation', 'Games'],['Arts']
34279,['Health', 'Shopping', 'Recreation', 'Games'],['Society']
216,['Health', 'Shopping', 'Recreation', 'Games'],['Arts']
34302,['Health', 'Shopping', 'Recreation', 'Games'],['Society']
34310,['Health', 'Shopping', 'Recreation', 'Games'],['Society']
230,['Health', 'Shopping', 'Recreation', 'Games'],['Arts']
233,['Health', 'Shopping', 'Recreation', 'Games'],['Arts']
234,['Health', 'Shopping', 'Recreation', 'Games'],['Arts']
34317,['Health', 'Shopping', 'Recreation', 'Games'],['Society']
34319,['Health', 'Shopping', 'Recreation', 'Games'],['Society']
240,['Arts', 'Reference', 'Computers', 'Recreation'],['Arts']
34324,['Health', 'Shopping', 'Recreation', 'Games'],['Society']
245,['Health', 'Shopping', 'Recreation', 'Games'],['Arts']
34330,['Health', 'Shopping', 'Recreation', 'Games'],['Society']
34332,['Health', 'Shopping', 'Recreation', 'Games'],['Society']
34334,['Health', 'Shopping', 'Recreation', 'Games'],['Society']
262,['Health', 'Shopping', 'Recreation', 'Games'],['Business', 'Home']
268,['Health', 'Shopping', 'Recreation', 'Games'],['Business']
34359,['Health', 'Shopping', 'Recreation', 'Games'],['Society']
34367,['Health', 'Shopping', 'Recreation', 'Games'],['Society']
287,['Arts', 'Reference', 'Computers', 'Recreation'],['Business']
288,['Health', 'Shopping', 'Recreation', 'Games'],['Business', 'Home']
34370,['Health', 'Shopping', 'Recreation', 'Games'],['Society']
295,['Health', 'Shopping', 'Recreation', 'Games'],['Business', 'News', 'Home']
296,['Health', 'Shopping', 'Recreation', 'Games'],['Business', 'Computers']
34385,['Health', 'Shopping', 'Recreation', 'Games'],['Society']
307,['Health', 'Shopping', 'Recreation', 'Games'],['Business']
310,['Computers', 'Business', 'Science', 'Recreation'],['Business', 'Home']
34393,['Health', 'Shopping', 'Recreation', 'Games'],['Society']
34396,['Health', 'Shopping', 'Recreation', 'Games'],['Society']
316,['Health', 'Shopping', 'Recreation', 'Games'],['Business', 'News']
34401,['Health', 'Shopping', 'Recreation', 'Games'],['Society']
34402,['Health', 'Shopping', 'Recreation', 'Games'],['Society']
321,['Health', 'Shopping', 'Recreation', 'Games'],['Business']
34405,['Health', 'Shopping', 'Recreation', 'Games'],['Society']
34408,['Health', 'Shopping', 'Recreation', 'Games'],['Society']
328,['Health', 'Shopping', 'Recreation', 'Games'],['Business']
34411,['Health', 'Shopping', 'Recreation', 'Games'],['Society']
334,['Health', 'Shopping', 'Recreation', 'Games'],['Business', 'Sports']
340,['Health', 'Shopping', 'Recreation', 'Games'],['Business']
341,['Business', 'Computers', 'Science', 'News'],['Business']
34432,['Health', 'Shopping', 'Recreation', 'Games'],['Society']
351,['Health', 'Shopping', 'Recreation', 'Games'],['Business']
34433,['Health', 'Shopping', 'Recreation', 'Games'],['Society']
34436,['Health', 'Shopping', 'Recreation', 'Games'],['Society']
34438,['Health', 'Shopping', 'Recreation', 'Games'],['Society']
362,['Health', 'Shopping', 'Recreation', 'Games'],['Computers']
366,['Health', 'Shopping', 'Recreation', 'Games'],['Reference', 'Computers']
34450,['Health', 'Shopping', 'Recreation', 'Games'],['Society']
34465,['Health', 'Shopping', 'Recreation', 'Games'],['Society']
384,['Health', 'Shopping', 'Recreation', 'Games'],['Computers']
34484,['Health', 'Shopping', 'Recreation', 'Games'],['Society']
403,['Health', 'Shopping', 'Recreation', 'Games'],['Computers']
34485,['Health', 'Shopping', 'Recreation', 'Games'],['Society']
34491,['Health', 'Shopping', 'Recreation', 'Games'],['Society']
410,['Health', 'Shopping', 'Recreation', 'Games'],['Computers']
34493,['Health', 'Shopping', 'Recreation', 'Games'],['Society']
34494,['Health', 'Shopping', 'Recreation', 'Games'],['Society']
429,['Health', 'Shopping', 'Recreation', 'Games'],['Computers']
34514,['Health', 'Shopping', 'Recreation', 'Games'],['Society']
34518,['Health', 'Shopping', 'Recreation', 'Games'],['Society']
34520,['Health', 'Shopping', 'Recreation', 'Games'],['Society']
445,['Health', 'Shopping', 'Recreation', 'Games'],['Games']
34546,['Health', 'Shopping', 'Recreation', 'Games'],['Society']
465,['Health', 'Shopping', 'Recreation', 'Games'],['Games']
468,['Health', 'Shopping', 'Recreation', 'Games'],['Games']
472,['Health', 'Shopping', 'Recreation', 'Games'],['Games']
476,['Health', 'Shopping', 'Recreation', 'Games'],['Games']
477,['Health', 'Shopping', 'Recreation', 'Games'],['Games']
480,['Health', 'Shopping', 'Recreation', 'Games'],['Arts', 'Games']
34569,['Health', 'Shopping', 'Recreation', 'Games'],['Society']
34572,['Health', 'Shopping', 'Recreation', 'Games'],['Society']
34576,['Health', 'Shopping', 'Recreation', 'Games'],['Society']
34580,['Health', 'Shopping', 'Recreation', 'Games'],['Society']
34581,['Health', 'Shopping', 'Recreation', 'Games'],['Society']
34584,['Health', 'Shopping', 'Recreation', 'Games'],['Society']
506,['Health', 'Shopping', 'Recreation', 'Games'],['Games']
34596,['Health', 'Shopping', 'Recreation', 'Games'],['Society']
34609,['Health', 'Shopping', 'Recreation', 'Games'],['Society']
527,['Health', 'Shopping', 'Recreation', 'Games'],['Games']
34611,['Health', 'Shopping', 'Recreation', 'Games'],['Society']
534,['Health', 'Shopping', 'Recreation', 'Games'],['Games']
34626,['Health', 'Shopping', 'Recreation', 'Games'],['Society']
34631,['Health', 'Shopping', 'Recreation', 'Games'],['Society']
550,['Health', 'Shopping', 'Recreation', 'Games'],['Health']
34633,['Health', 'Shopping', 'Recreation', 'Games'],['Society']
34634,['Health', 'Shopping', 'Recreation', 'Games'],['Society']
34640,['Health', 'Shopping', 'Recreation', 'Games'],['Society']
559,['Health', 'Shopping', 'Recreation', 'Games'],['Health']
34644,['Health', 'Shopping', 'Recreation', 'Games'],['Society']
566,['Health', 'Shopping', 'Recreation', 'Games'],['Health']
567,['Health', 'Shopping', 'Recreation', 'Games'],['Health']
34652,['Health', 'Shopping', 'Recreation', 'Games'],['Society']
572,['Health', 'Shopping', 'Recreation', 'Games'],['Health']
34659,['Health', 'Shopping', 'Recreation', 'Games'],['Society']
579,['Health', 'Shopping', 'Recreation', 'Games'],['Health']
34672,['Health', 'Shopping', 'Recreation', 'Games'],['Society']
34675,['Health', 'Shopping', 'Recreation', 'Games'],['Society']
34678,['Health', 'Shopping', 'Recreation', 'Games'],['Society']
34681,['Health', 'Shopping', 'Recreation', 'Games'],['Society']
601,['Health', 'Shopping', 'Recreation', 'Games'],['Health']
34685,['Health', 'Shopping', 'Recreation', 'Games'],['Society']
34687,['Health', 'Shopping', 'Recreation', 'Games'],['Society']
611,['Health', 'Shopping', 'Recreation', 'Games'],['Health']
616,['Health', 'Shopping', 'Recreation', 'Games'],['Health']
34715,['Health', 'Shopping', 'Recreation', 'Games'],['Society']
636,['Health', 'Shopping', 'Recreation', 'Games'],['Health']
34722,['Health', 'Shopping', 'Recreation', 'Games'],['Society']
643,['Health', 'Shopping', 'Recreation', 'Games'],['Health']
34726,['Health', 'Shopping', 'Recreation', 'Games'],['Society']
34731,['Health', 'Shopping', 'Recreation', 'Games'],['Society']
34736,['Health', 'Shopping', 'Recreation', 'Games'],['Society']
34737,['Health', 'Shopping', 'Recreation', 'Games'],['Society']
657,['Health', 'Shopping', 'Recreation', 'Games'],['Health']
34740,['Health', 'Shopping', 'Recreation', 'Games'],['Society']
667,['Health', 'Shopping', 'Recreation', 'Games'],['Health']
672,['Health', 'Shopping', 'Recreation', 'Games'],['Health']
34760,['Health', 'Shopping', 'Recreation', 'Games'],['Society']
678,['Health', 'Shopping', 'Recreation', 'Games'],['Health']
683,['Health', 'Shopping', 'Recreation', 'Games'],['Home']
34768,['Health', 'Shopping', 'Recreation', 'Games'],['Society']
34769,['Health', 'Shopping', 'Recreation', 'Games'],['Society']
689,['Health', 'Shopping', 'Recreation', 'Games'],['Home']
34778,['Health', 'Shopping', 'Recreation', 'Games'],['Society']
34786,['Health', 'Shopping', 'Recreation', 'Games'],['Society']
707,['Health', 'Shopping', 'Recreation', 'Games'],['Home']
710,['Health', 'Shopping', 'Recreation', 'Games'],['Home']
34800,['Health', 'Shopping', 'Recreation', 'Games'],['Society']
34801,['Health', 'Shopping', 'Recreation', 'Games'],['Society']
34805,['Health', 'Shopping', 'Recreation', 'Games'],['Society']
732,['Health', 'Shopping', 'Recreation', 'Games'],['Society', 'Home']
746,['Health', 'Shopping', 'Recreation', 'Games'],['Home']
749,['Health', 'Shopping', 'Recreation', 'Games'],['Home']
770,['Health', 'Shopping', 'Recreation', 'Games'],['Home']
34855,['Health', 'Shopping', 'Recreation', 'Games'],['Society']
773,['Health', 'Shopping', 'Recreation', 'Games'],['Home']
774,['Health', 'Shopping', 'Recreation', 'Games'],['Home']
775,['Health', 'Shopping', 'Recreation', 'Games'],['Recreation', 'Home']
34863,['Health', 'Shopping', 'Recreation', 'Games'],['Society']
34867,['Health', 'Shopping', 'Recreation', 'Games'],['Society']
34876,['Health', 'Shopping', 'Recreation', 'Games'],['Society']
34893,['Health', 'Shopping', 'Recreation', 'Games'],['Society']
810,['Health', 'Shopping', 'Recreation', 'Games'],['Recreation', 'Home']
34895,['Health', 'Shopping', 'Recreation', 'Games'],['Society']
34898,['Health', 'Shopping', 'Recreation', 'Games'],['Society']
817,['Health', 'Shopping', 'Recreation', 'Games'],['Recreation']
34909,['Health', 'Shopping', 'Recreation', 'Games'],['Society']
835,['Health', 'Shopping', 'Recreation', 'Games'],['Science']
836,['Health', 'Shopping', 'Recreation', 'Games'],['Sports']
846,['Health', 'Shopping', 'Recreation', 'Games'],['Sports']
848,['Health', 'Shopping', 'Recreation', 'Games'],['Science', 'Reference']
34923,['Health', 'Shopping', 'Recreation', 'Games'],['Society']
851,['Health', 'Shopping', 'Recreation', 'Games'],['Science']
34929,['Health', 'Shopping', 'Recreation', 'Games'],['Society']
34937,['Health', 'Shopping', 'Recreation', 'Games'],['Society']
879,['Health', 'Shopping', 'Recreation', 'Games'],['Arts']
34951,['Health', 'Shopping', 'Recreation', 'Games'],['Society']
34954,['Health', 'Shopping', 'Recreation', 'Games'],['Society']
903,['Health', 'Shopping', 'Recreation', 'Games'],['Society', 'Science']
34960,['Health', 'Shopping', 'Recreation', 'Games'],['Society']
34964,['Health', 'Shopping', 'Recreation', 'Games'],['Society']
34967,['Health', 'Shopping', 'Recreation', 'Games'],['Society']
931,['Health', 'Shopping', 'Recreation', 'Games'],['News']
935,['Health', 'Shopping', 'Recreation', 'Games'],['News']
34989,['Health', 'Shopping', 'Recreation', 'Games'],['Society']
34991,['Health', 'Shopping', 'Recreation', 'Games'],['Society']
941,['Health', 'Shopping', 'Recreation', 'Games'],['News']
954,['Health', 'Shopping', 'Recreation', 'Games'],['News']
35008,['Health', 'Shopping', 'Recreation', 'Games'],['Society']
962,['Health', 'Shopping', 'Recreation', 'Games'],['News']
35018,['Health', 'Shopping', 'Recreation', 'Games'],['Society']
35025,['Health', 'Shopping', 'Recreation', 'Games'],['Society']
975,['Computers', 'Shopping', 'Recreation', 'Games'],['News']
976,['Health', 'Shopping', 'Recreation', 'Games'],['News']
35032,['Health', 'Shopping', 'Recreation', 'Games'],['Society']
35034,['Health', 'Shopping', 'Recreation', 'Games'],['Society']
984,['Health', 'Shopping', 'Recreation', 'Games'],['Science', 'News']
985,['Health', 'Shopping', 'Recreation', 'Games'],['News']
995,['Health', 'Shopping', 'Recreation', 'Games'],['News']
35049,['Health', 'Shopping', 'Recreation', 'Games'],['Society']
1001,['Health', 'Shopping', 'Recreation', 'Games'],['News']
35062,['Health', 'Shopping', 'Recreation', 'Games'],['Society']
1010,['Health', 'Shopping', 'Recreation', 'Games'],['Society', 'Science', 'Business', 'News', 'Computers']
1013,['Health', 'Shopping', 'Recreation', 'Games'],['News']
1019,['Health', 'Shopping', 'Recreation', 'Games'],['News']
1023,['Health', 'Shopping', 'Recreation', 'Games'],['News']
1029,['Health', 'Shopping', 'Recreation', 'Games'],['Computers']
35087,['Health', 'Shopping', 'Recreation', 'Games'],['Society']
35095,['Health', 'Shopping', 'Recreation', 'Games'],['Society']
35096,['Health', 'Shopping', 'Recreation', 'Games'],['Society']
35101,['Health', 'Shopping', 'Recreation', 'Games'],['Society']
35105,['Health', 'Shopping', 'Recreation', 'Games'],['Society']
1051,['Health', 'Shopping', 'Recreation', 'Games'],['Recreation']
35108,['Health', 'Shopping', 'Recreation', 'Games'],['Society']
1055,['Health', 'Shopping', 'Recreation', 'Games'],['Shopping']
35117,['Health', 'Shopping', 'Recreation', 'Games'],['Society']
1063,['Health', 'Shopping', 'Recreation', 'Games'],['News']
35118,['Health', 'Shopping', 'Recreation', 'Games'],['Society']
35122,['Health', 'Shopping', 'Recreation', 'Games'],['Society']
1072,['Health', 'Shopping', 'Recreation', 'Games'],['News']
35140,['Health', 'Shopping', 'Recreation', 'Games'],['Society']
1090,['Health', 'Shopping', 'Recreation', 'Games'],['News']
1094,['Health', 'Shopping', 'Recreation', 'Games'],['Recreation']
35149,['Health', 'Shopping', 'Recreation', 'Games'],['Society']
1099,['Health', 'Shopping', 'Recreation', 'Games'],['Recreation']
35155,['Health', 'Shopping', 'Recreation', 'Games'],['Society']
1107,['Health', 'Shopping', 'Recreation', 'Games'],['Recreation']
35162,['Health', 'Shopping', 'Recreation', 'Games'],['Society']
1112,['Health', 'Shopping', 'Recreation', 'Games'],['Recreation']
1114,['Health', 'Shopping', 'Recreation', 'Games'],['Recreation']
35169,['Health', 'Shopping', 'Recreation', 'Games'],['Society']
35173,['Health', 'Shopping', 'Recreation', 'Games'],['Society']
1122,['Health', 'Shopping', 'Recreation', 'Games'],['Recreation']
1133,['Health', 'Shopping', 'Recreation', 'Games'],['Recreation']
35192,['Health', 'Shopping', 'Recreation', 'Games'],['Society']
35196,['Health', 'Shopping', 'Recreation', 'Games'],['Society']
35202,['Health', 'Shopping', 'Recreation', 'Games'],['Society']
1163,['Health', 'Shopping', 'Recreation', 'Games'],['Recreation']
1164,['Health', 'Shopping', 'Recreation', 'Games'],['Business', 'Recreation']
35220,['Health', 'Shopping', 'Recreation', 'Games'],['Society']
1168,['Health', 'Shopping', 'Recreation', 'Games'],['Recreation']
35223,['Health', 'Shopping', 'Recreation', 'Games'],['Society']
35225,['Health', 'Shopping', 'Recreation', 'Games'],['Society']
1172,['Health', 'Shopping', 'Recreation', 'Games'],['Recreation']
1173,['Health', 'Shopping', 'Recreation', 'Games'],['Recreation']
35227,['Health', 'Shopping', 'Recreation', 'Games'],['Society']
1175,['Health', 'Shopping', 'Recreation', 'Games'],['Recreation']
35230,['Health', 'Shopping', 'Recreation', 'Games'],['Society']
35233,['Health', 'Shopping', 'Recreation', 'Games'],['Society']
1180,['Health', 'Shopping', 'Recreation', 'Games'],['Recreation']
1186,['Health', 'Shopping', 'Recreation', 'Games'],['Recreation']
1190,['Health', 'Shopping', 'Recreation', 'Games'],['Recreation']
1194,['Health', 'Shopping', 'Recreation', 'Games'],['Recreation']
1198,['Health', 'Shopping', 'Recreation', 'Games'],['Recreation']
1202,['Health', 'Shopping', 'Recreation', 'Games'],['Reference']
35261,['Health', 'Shopping', 'Recreation', 'Games'],['Society']
35267,['Health', 'Shopping', 'Recreation', 'Games'],['Society']
1216,['Health', 'Shopping', 'Recreation', 'Games'],['Reference']
1217,['Health', 'Shopping', 'Recreation', 'Games'],['Reference']
1218,['Health', 'Shopping', 'Recreation', 'Games'],['Reference']
35275,['Health', 'Shopping', 'Recreation', 'Games'],['Society']
1222,['Health', 'Shopping', 'Recreation', 'Games'],['Reference']
35279,['Health', 'Shopping', 'Recreation', 'Games'],['Society']
1232,['Health', 'Shopping', 'Recreation', 'Games'],['Reference', 'Computers']
1234,['Health', 'Shopping', 'Recreation', 'Games'],['Reference']
35290,['Health', 'Shopping', 'Recreation', 'Games'],['Society']
35294,['Health', 'Shopping', 'Recreation', 'Games'],['Society']
35297,['Health', 'Shopping', 'Recreation', 'Games'],['Society']
1246,['Health', 'Shopping', 'Recreation', 'Games'],['Reference', 'Computers']
35304,['Health', 'Shopping', 'Recreation', 'Games'],['Society']
1250,['Health', 'Shopping', 'Recreation', 'Games'],['Reference']
35305,['Health', 'Shopping', 'Recreation', 'Games'],['Society']
1256,['Health', 'Shopping', 'Recreation', 'Games'],['Reference']
1258,['Health', 'Shopping', 'Recreation', 'Games'],['Reference']
35313,['Health', 'Shopping', 'Recreation', 'Games'],['Society']
35314,['Health', 'Shopping', 'Recreation', 'Games'],['Society']
35347,['Health', 'Shopping', 'Recreation', 'Games'],['Society']
35348,['Health', 'Shopping', 'Recreation', 'Games'],['Society']
1294,['Health', 'Shopping', 'Recreation', 'Games'],['Reference']
35350,['Health', 'Shopping', 'Recreation', 'Games'],['Society']
1298,['Health', 'Shopping', 'Recreation', 'Games'],['Reference']
1302,['Health', 'Shopping', 'Recreation', 'Games'],['Reference']
35357,['Health', 'Shopping', 'Recreation', 'Games'],['Society']
35365,['Business', 'Reference', 'Recreation', 'Society'],['Society']
35369,['Health', 'Shopping', 'Recreation', 'Games'],['Society']
1315,['Health', 'Shopping', 'Recreation', 'Games'],['Reference']
35375,['Health', 'Shopping', 'Recreation', 'Games'],['Society']
1322,['Health', 'Shopping', 'Recreation', 'Games'],['Reference']
1330,['Health', 'Shopping', 'Recreation', 'Games'],['Reference']
35392,['Health', 'Shopping', 'Recreation', 'Games'],['Society']
1341,['Health', 'Shopping', 'Recreation', 'Games'],['Reference']
35397,['Health', 'Shopping', 'Recreation', 'Games'],['Society']
35401,['Health', 'Shopping', 'Recreation', 'Games'],['Society']
1351,['Health', 'Shopping', 'Recreation', 'Games'],['Shopping']
35406,['Health', 'Shopping', 'Recreation', 'Games'],['Society']
35407,['Health', 'Shopping', 'Recreation', 'Games'],['Society']
35415,['Health', 'Shopping', 'Recreation', 'Games'],['Society']
35417,['Health', 'Shopping', 'Recreation', 'Games'],['Society']
35418,['Health', 'Shopping', 'Recreation', 'Games'],['Society']
1415,['Health', 'Shopping', 'Recreation', 'Games'],['Science']
1416,['Health', 'Shopping', 'Recreation', 'Games'],['Science']
1424,['Health', 'Shopping', 'Recreation', 'Games'],['Science']
1428,['Health', 'Shopping', 'Recreation', 'Games'],['Science']
1433,['Health', 'Shopping', 'Recreation', 'Games'],['Science']
1438,['Health', 'Shopping', 'Recreation', 'Games'],['Science', 'Reference']
1450,['Health', 'Shopping', 'Recreation', 'Games'],['Science']
35467,['Health', 'Shopping', 'Recreation', 'Games'],['Society']
1464,['Health', 'Shopping', 'Recreation', 'Games'],['Science']
35475,['Health', 'Shopping', 'Recreation', 'Games'],['Society']
1480,['Health', 'Shopping', 'Recreation', 'Games'],['Science']
35492,['Health', 'Shopping', 'Recreation', 'Games'],['Society']
1483,['Health', 'Shopping', 'Recreation', 'Games'],['Science']
1488,['Health', 'Shopping', 'Recreation', 'Games'],['Science']
1493,['Health', 'Shopping', 'Recreation', 'Games'],['Shopping']
1497,['Health', 'Shopping', 'Recreation', 'Games'],['Shopping']
35509,['Health', 'Shopping', 'Recreation', 'Games'],['Society']
35511,['Health', 'Shopping', 'Recreation', 'Games'],['Society']
35518,['Health', 'Shopping', 'Recreation', 'Games'],['Society']
35522,['Health', 'Shopping', 'Recreation', 'Games'],['Society']
1520,['Health', 'Shopping', 'Recreation', 'Games'],['Shopping']
35533,['Health', 'Shopping', 'Recreation', 'Games'],['Society']
35534,['Health', 'Shopping', 'Recreation', 'Games'],['Society']
35535,['Health', 'Shopping', 'Recreation', 'Games'],['Society']
1525,['Health', 'Shopping', 'Recreation', 'Games'],['Shopping']
1526,['Health', 'Shopping', 'Recreation', 'Games'],['Shopping']
1527,['Health', 'Shopping', 'Recreation', 'Games'],['Shopping']
35540,['Health', 'Shopping', 'Recreation', 'Games'],['Society']
1531,['Health', 'Shopping', 'Recreation', 'Games'],['Shopping']
35544,['Health', 'Shopping', 'Recreation', 'Games'],['Society']
1535,['Health', 'Shopping', 'Recreation', 'Games'],['Shopping']
35547,['Health', 'Shopping', 'Recreation', 'Games'],['Society']
35559,['Health', 'Shopping', 'Recreation', 'Games'],['Society']
35571,['Health', 'Shopping', 'Recreation', 'Games'],['Society']
1565,['Health', 'Shopping', 'Recreation', 'Games'],['Shopping']
35580,['Health', 'Shopping', 'Recreation', 'Games'],['Society']
1570,['Health', 'Shopping', 'Recreation', 'Games'],['Shopping']
35582,['Health', 'Shopping', 'Recreation', 'Games'],['Society']
35594,['Health', 'Shopping', 'Recreation', 'Games'],['Society']
35597,['Health', 'Shopping', 'Recreation', 'Games'],['Society']
35602,['Health', 'Shopping', 'Recreation', 'Games'],['Society']
1593,['Health', 'Shopping', 'Recreation', 'Games'],['Shopping']
1599,['Health', 'Shopping', 'Recreation', 'Games'],['Shopping']
1600,['Health', 'Shopping', 'Recreation', 'Games'],['Shopping']
1601,['Health', 'Shopping', 'Recreation', 'Games'],['Business', 'Shopping']
35612,['Health', 'Shopping', 'Recreation', 'Games'],['Society']
35618,['Health', 'Shopping', 'Recreation', 'Games'],['Society']
35625,['Health', 'Shopping', 'Recreation', 'Games'],['Society']
35630,['Health', 'Shopping', 'Recreation', 'Games'],['Society']
35636,['Health', 'Shopping', 'Recreation', 'Games'],['Society']
1629,['Health', 'Shopping', 'Recreation', 'Games'],['Society', 'Computers']
35649,['Health', 'Shopping', 'Recreation', 'Games'],['Society']
1641,['Health', 'Shopping', 'Recreation', 'Games'],['Society']
1643,['Health', 'Shopping', 'Recreation', 'Games'],['Society']
35660,['Health', 'Shopping', 'Recreation', 'Games'],['Society']
1648,['Health', 'Shopping', 'Recreation', 'Games'],['Society']
35665,['Health', 'Shopping', 'Recreation', 'Games'],['Society']
1658,['Health', 'Shopping', 'Recreation', 'Games'],['Society']
1659,['Health', 'Shopping', 'Recreation', 'Games'],['Society']
35673,['Health', 'Shopping', 'Recreation', 'Games'],['Society']
35685,['Health', 'Shopping', 'Recreation', 'Games'],['Society']
35694,['Health', 'Shopping', 'Recreation', 'Games'],['Society']
1681,['Health', 'Shopping', 'Recreation', 'Games'],['Society']
35695,['Health', 'Shopping', 'Recreation', 'Games'],['Society']
35701,['Health', 'Shopping', 'Recreation', 'Games'],['Society']
35702,['Health', 'Shopping', 'Recreation', 'Games'],['Society']
1693,['Health', 'Shopping', 'Recreation', 'Games'],['Society']
1695,['Health', 'Shopping', 'Recreation', 'Games'],['Society']
35717,['Health', 'Shopping', 'Recreation', 'Games'],['Society']
1707,['Health', 'Shopping', 'Recreation', 'Games'],['Society']
35725,['Health', 'Shopping', 'Recreation', 'Games'],['Society']
35728,['Health', 'Shopping', 'Recreation', 'Games'],['Society']
1716,['Health', 'Shopping', 'Recreation', 'Games'],['Society']
35735,['Health', 'Shopping', 'Recreation', 'Games'],['Society']
1723,['Health', 'Shopping', 'Recreation', 'Games'],['Society']
35742,['Health', 'Shopping', 'Recreation', 'Games'],['Society']
35747,['Health', 'Shopping', 'Recreation', 'Games'],['Society']
1738,['Health', 'Shopping', 'Recreation', 'Games'],['Sports']
1739,['Health', 'Shopping', 'Recreation', 'Games'],['Sports']
1741,['Health', 'Shopping', 'Recreation', 'Games'],['Sports']
35759,['Health', 'Shopping', 'Recreation', 'Games'],['Society']
1745,['Health', 'Shopping', 'Recreation', 'Games'],['Sports']
1757,['Health', 'Shopping', 'Recreation', 'Games'],['Sports']
35772,['Health', 'Shopping', 'Recreation', 'Games'],['Society']
1759,['Health', 'Shopping', 'Recreation', 'Games'],['Sports']
35777,['Health', 'Shopping', 'Recreation', 'Games'],['Society']
35789,['Health', 'Shopping', 'Recreation', 'Games'],['Society']
1781,['Health', 'Shopping', 'Recreation', 'Games'],['Sports']
1785,['Health', 'Shopping', 'Recreation', 'Games'],['Sports']
35802,['Health', 'Shopping', 'Recreation', 'Games'],['Society']
1788,['Health', 'Shopping', 'Recreation', 'Games'],['Sports']
1804,['Health', 'Shopping', 'Recreation', 'Games'],['Sports']
1805,['Health', 'Shopping', 'Recreation', 'Games'],['Sports']
35819,['Health', 'Shopping', 'Recreation', 'Games'],['Society']
1808,['Health', 'Shopping', 'Recreation', 'Games'],['Sports']
1812,['Health', 'Shopping', 'Recreation', 'Games'],['Sports']
35838,['Health', 'Shopping', 'Recreation', 'Games'],['Society']
1828,['Health', 'Shopping', 'Recreation', 'Games'],['Sports']
1834,['Health', 'Shopping', 'Recreation', 'Games'],['Sports']
1837,['Health', 'Shopping', 'Recreation', 'Games'],['Sports']
35853,['Health', 'Shopping', 'Recreation', 'Games'],['Society']
1840,['Health', 'Shopping', 'Recreation', 'Games'],['Sports', 'News']
35855,['Health', 'Shopping', 'Recreation', 'Games'],['Society']
35859,['Health', 'Shopping', 'Recreation', 'Games'],['Society']
1856,['Health', 'Shopping', 'Recreation', 'Games'],['Adult']
1857,['Health', 'Shopping', 'Recreation', 'Games'],['Adult']
1861,['Health', 'Shopping', 'Recreation', 'Games'],['Adult']
35884,['Health', 'Shopping', 'Recreation', 'Games'],['Society']
35891,['Health', 'Shopping', 'Recreation', 'Games'],['Society']
