ref id,Predicted,Actual
0,['Business', 'Shopping', 'Arts', 'Computers'],['Adult']
34485,['Business', 'Shopping', 'Arts', 'Computers'],['Society']
34491,['Business', 'Shopping', 'Arts', 'Computers'],['Society']
410,['Business', 'Shopping', 'Arts', 'Computers'],['Computers']
34493,['Business', 'Shopping', 'Arts', 'Computers'],['Society']
34494,['Business', 'Shopping', 'Arts', 'Computers'],['Society']
429,['Business', 'Shopping', 'Arts', 'Computers'],['Computers']
34514,['Business', 'Shopping', 'Arts', 'Computers'],['Society']
34518,['Business', 'Shopping', 'Arts', 'Computers'],['Society']
34520,['Business', 'Shopping', 'Arts', 'Computers'],['Society']
445,['Business', 'Shopping', 'Arts', 'Computers'],['Games']
34546,['Business', 'Shopping', 'Arts', 'Computers'],['Society']
465,['Business', 'Shopping', 'Arts', 'Computers'],['Games']
468,['Business', 'Shopping', 'Arts', 'Computers'],['Games']
472,['Business', 'Shopping', 'Arts', 'Computers'],['Games']
476,['Business', 'Shopping', 'Arts', 'Computers'],['Games']
477,['Business', 'Shopping', 'Arts', 'Computers'],['Games']
480,['Business', 'Shopping', 'Arts', 'Computers'],['Arts', 'Games']
34569,['Business', 'Shopping', 'Arts', 'Computers'],['Society']
34572,['Business', 'Shopping', 'Arts', 'Computers'],['Society']
34576,['Business', 'Shopping', 'Arts', 'Computers'],['Society']
34580,['Business', 'Shopping', 'Arts', 'Computers'],['Society']
34581,['Business', 'Shopping', 'Arts', 'Computers'],['Society']
34584,['Business', 'Shopping', 'Arts', 'Computers'],['Society']
506,['Business', 'Shopping', 'Arts', 'Computers'],['Games']
34596,['Business', 'Shopping', 'Arts', 'Computers'],['Society']
34609,['Business', 'Shopping', 'Arts', 'Computers'],['Society']
527,['Business', 'Shopping', 'Arts', 'Computers'],['Games']
34611,['Business', 'Shopping', 'Arts', 'Computers'],['Society']
534,['Business', 'Shopping', 'Arts', 'Computers'],['Games']
34626,['Business', 'Shopping', 'Arts', 'Computers'],['Society']
34631,['Business', 'Shopping', 'Arts', 'Computers'],['Society']
550,['Business', 'Shopping', 'Arts', 'Computers'],['Health']
34633,['Business', 'Shopping', 'Arts', 'Computers'],['Society']
34634,['Business', 'Shopping', 'Arts', 'Computers'],['Society']
34640,['Business', 'Shopping', 'Arts', 'Computers'],['Society']
559,['Business', 'Shopping', 'Arts', 'Computers'],['Health']
34644,['Business', 'Shopping', 'Arts', 'Computers'],['Society']
566,['Business', 'Shopping', 'Arts', 'Computers'],['Health']
567,['Business', 'Shopping', 'Arts', 'Computers'],['Health']
34652,['Business', 'Shopping', 'Arts', 'Computers'],['Society']
572,['Business', 'Shopping', 'Arts', 'Computers'],['Health']
34659,['Business', 'Shopping', 'Arts', 'Computers'],['Society']
579,['Business', 'Shopping', 'Arts', 'Computers'],['Health']
34672,['Business', 'Shopping', 'Arts', 'Computers'],['Society']
34675,['Business', 'Shopping', 'Arts', 'Computers'],['Society']
34678,['Business', 'Shopping', 'Arts', 'Computers'],['Society']
34681,['Business', 'Shopping', 'Arts', 'Computers'],['Society']
601,['Business', 'Shopping', 'Arts', 'Computers'],['Health']
34685,['Business', 'Shopping', 'Arts', 'Computers'],['Society']
34687,['Business', 'Shopping', 'Arts', 'Computers'],['Society']
611,['Business', 'Shopping', 'Arts', 'Computers'],['Health']
616,['Business', 'Shopping', 'Arts', 'Computers'],['Health']
34715,['Business', 'Shopping', 'Arts', 'Computers'],['Society']
636,['Business', 'Shopping', 'Arts', 'Computers'],['Health']
34722,['Business', 'Shopping', 'Arts', 'Computers'],['Society']
643,['Business', 'Shopping', 'Arts', 'Computers'],['Health']
34726,['Business', 'Shopping', 'Arts', 'Computers'],['Society']
34731,['Business', 'Shopping', 'Arts', 'Computers'],['Society']
34736,['Business', 'Shopping', 'Arts', 'Computers'],['Society']
34737,['Business', 'Shopping', 'Arts', 'Computers'],['Society']
657,['Business', 'Shopping', 'Arts', 'Computers'],['Health']
34740,['Business', 'Shopping', 'Arts', 'Computers'],['Society']
667,['Business', 'Shopping', 'Arts', 'Computers'],['Health']
672,['Business', 'Shopping', 'Arts', 'Computers'],['Health']
34760,['Business', 'Shopping', 'Arts', 'Computers'],['Society']
678,['Business', 'Shopping', 'Arts', 'Computers'],['Health']
683,['Business', 'Shopping', 'Arts', 'Computers'],['Home']
34768,['Business', 'Shopping', 'Arts', 'Computers'],['Society']
34769,['Business', 'Shopping', 'Arts', 'Computers'],['Society']
689,['Business', 'Shopping', 'Arts', 'Computers'],['Home']
34778,['Business', 'Shopping', 'Arts', 'Computers'],['Society']
34786,['Business', 'Shopping', 'Arts', 'Computers'],['Society']
707,['Business', 'Shopping', 'Arts', 'Computers'],['Home']
710,['Business', 'Shopping', 'Arts', 'Computers'],['Home']
34800,['Business', 'Shopping', 'Arts', 'Computers'],['Society']
34801,['Business', 'Shopping', 'Arts', 'Computers'],['Society']
34805,['Business', 'Shopping', 'Arts', 'Computers'],['Society']
732,['Business', 'Shopping', 'Arts', 'Computers'],['Society', 'Home']
746,['Business', 'Shopping', 'Arts', 'Computers'],['Home']
749,['Business', 'Shopping', 'Arts', 'Computers'],['Home']
770,['Business', 'Shopping', 'Arts', 'Computers'],['Home']
34855,['Business', 'Shopping', 'Arts', 'Computers'],['Society']
773,['Business', 'Shopping', 'Arts', 'Computers'],['Home']
774,['Business', 'Shopping', 'Arts', 'Computers'],['Home']
775,['Business', 'Shopping', 'Arts', 'Computers'],['Recreation', 'Home']
34863,['Business', 'Shopping', 'Arts', 'Computers'],['Society']
34867,['Business', 'Shopping', 'Arts', 'Computers'],['Society']
34876,['Business', 'Shopping', 'Arts', 'Computers'],['Society']
34893,['Business', 'Shopping', 'Arts', 'Computers'],['Society']
810,['Business', 'Shopping', 'Arts', 'Computers'],['Recreation', 'Home']
34895,['Business', 'Shopping', 'Arts', 'Computers'],['Society']
34898,['Business', 'Shopping', 'Arts', 'Computers'],['Society']
817,['Business', 'Shopping', 'Arts', 'Computers'],['Recreation']
34909,['Business', 'Shopping', 'Arts', 'Computers'],['Society']
835,['Business', 'Shopping', 'Arts', 'Computers'],['Science']
836,['Business', 'Shopping', 'Arts', 'Computers'],['Sports']
846,['Business', 'Shopping', 'Arts', 'Computers'],['Sports']
848,['Business', 'Shopping', 'Arts', 'Computers'],['Science', 'Reference']
34923,['Business', 'Shopping', 'Arts', 'Computers'],['Society']
851,['Business', 'Shopping', 'Arts', 'Computers'],['Science']
34929,['Business', 'Shopping', 'Arts', 'Computers'],['Society']
34937,['Business', 'Shopping', 'Arts', 'Computers'],['Society']
879,['Business', 'Shopping', 'Arts', 'Computers'],['Arts']
34951,['Business', 'Shopping', 'Arts', 'Computers'],['Society']
34954,['Business', 'Shopping', 'Arts', 'Computers'],['Society']
903,['Business', 'Shopping', 'Arts', 'Computers'],['Society', 'Science']
34960,['Business', 'Shopping', 'Arts', 'Computers'],['Society']
34964,['Business', 'Shopping', 'Arts', 'Computers'],['Society']
34967,['Business', 'Shopping', 'Arts', 'Computers'],['Society']
931,['Business', 'Shopping', 'Arts', 'Computers'],['News']
935,['Business', 'Shopping', 'Arts', 'Computers'],['News']
34989,['Business', 'Shopping', 'Arts', 'Computers'],['Society']
34991,['Business', 'Shopping', 'Arts', 'Computers'],['Society']
941,['Business', 'Shopping', 'Arts', 'Computers'],['News']
954,['Business', 'Shopping', 'Arts', 'Computers'],['News']
35008,['Business', 'Shopping', 'Arts', 'Computers'],['Society']
962,['Business', 'Shopping', 'Arts', 'Computers'],['News']
35018,['Business', 'Shopping', 'Arts', 'Computers'],['Society']
35025,['Business', 'Shopping', 'Arts', 'Computers'],['Society']
975,['Shopping', 'Society', 'Adult', 'Health'],['News']
976,['Business', 'Shopping', 'Arts', 'Computers'],['News']
35032,['Business', 'Shopping', 'Arts', 'Computers'],['Society']
35034,['Business', 'Shopping', 'Arts', 'Computers'],['Society']
984,['Business', 'Shopping', 'Arts', 'Computers'],['Science', 'News']
985,['Business', 'Shopping', 'Arts', 'Computers'],['News']
995,['Business', 'Shopping', 'Arts', 'Computers'],['News']
35049,['Business', 'Shopping', 'Arts', 'Computers'],['Society']
1001,['Business', 'Shopping', 'Arts', 'Computers'],['News']
35062,['Business', 'Shopping', 'Arts', 'Computers'],['Society']
1010,['Business', 'Shopping', 'Arts', 'Computers'],['Society', 'Science', 'Business', 'News', 'Computers']
1013,['Business', 'Shopping', 'Arts', 'Computers'],['News']
1019,['Business', 'Shopping', 'Arts', 'Computers'],['News']
1023,['Business', 'Shopping', 'Arts', 'Computers'],['News']
1029,['Business', 'Shopping', 'Arts', 'Computers'],['Computers']
35087,['Business', 'Shopping', 'Arts', 'Computers'],['Society']
35095,['Business', 'Shopping', 'Arts', 'Computers'],['Society']
35096,['Business', 'Shopping', 'Arts', 'Computers'],['Society']
35101,['Business', 'Shopping', 'Arts', 'Computers'],['Society']
35105,['Business', 'Shopping', 'Arts', 'Computers'],['Society']
1051,['Business', 'Shopping', 'Arts', 'Computers'],['Recreation']
35108,['Business', 'Shopping', 'Arts', 'Computers'],['Society']
1055,['Business', 'Shopping', 'Arts', 'Computers'],['Shopping']
35117,['Business', 'Shopping', 'Arts', 'Computers'],['Society']
1063,['Business', 'Shopping', 'Arts', 'Computers'],['News']
35118,['Business', 'Shopping', 'Arts', 'Computers'],['Society']
35122,['Business', 'Shopping', 'Arts', 'Computers'],['Society']
1072,['Business', 'Shopping', 'Arts', 'Computers'],['News']
35140,['Business', 'Shopping', 'Arts', 'Computers'],['Society']
1090,['Business', 'Shopping', 'Arts', 'Computers'],['News']
1094,['Business', 'Shopping', 'Arts', 'Computers'],['Recreation']
35149,['Business', 'Shopping', 'Arts', 'Computers'],['Society']
1099,['Business', 'Shopping', 'Arts', 'Computers'],['Recreation']
35155,['Business', 'Shopping', 'Arts', 'Computers'],['Society']
1107,['Business', 'Shopping', 'Arts', 'Computers'],['Recreation']
35162,['Business', 'Shopping', 'Arts', 'Computers'],['Society']
1112,['Business', 'Shopping', 'Arts', 'Computers'],['Recreation']
1114,['Business', 'Shopping', 'Arts', 'Computers'],['Recreation']
35169,['Business', 'Shopping', 'Arts', 'Computers'],['Society']
35173,['Business', 'Shopping', 'Arts', 'Computers'],['Society']
1122,['Business', 'Shopping', 'Arts', 'Computers'],['Recreation']
1133,['Business', 'Shopping', 'Arts', 'Computers'],['Recreation']
35192,['Business', 'Shopping', 'Arts', 'Computers'],['Society']
35196,['Business', 'Shopping', 'Arts', 'Computers'],['Society']
35202,['Business', 'Shopping', 'Arts', 'Computers'],['Society']
1163,['Business', 'Shopping', 'Arts', 'Computers'],['Recreation']
1164,['Business', 'Shopping', 'Arts', 'Computers'],['Business', 'Recreation']
35220,['Business', 'Shopping', 'Arts', 'Computers'],['Society']
1168,['Business', 'Shopping', 'Arts', 'Computers'],['Recreation']
35223,['Business', 'Shopping', 'Arts', 'Computers'],['Society']
35225,['Business', 'Shopping', 'Arts', 'Computers'],['Society']
1172,['Business', 'Shopping', 'Arts', 'Computers'],['Recreation']
1173,['Business', 'Shopping', 'Arts', 'Computers'],['Recreation']
35227,['Business', 'Shopping', 'Arts', 'Computers'],['Society']
1175,['Business', 'Shopping', 'Arts', 'Computers'],['Recreation']
35230,['Business', 'Shopping', 'Arts', 'Computers'],['Society']
35233,['Business', 'Shopping', 'Arts', 'Computers'],['Society']
1180,['Business', 'Shopping', 'Arts', 'Computers'],['Recreation']
1186,['Business', 'Shopping', 'Arts', 'Computers'],['Recreation']
1190,['Business', 'Shopping', 'Arts', 'Computers'],['Recreation']
1194,['Business', 'Shopping', 'Arts', 'Computers'],['Recreation']
1198,['Business', 'Shopping', 'Arts', 'Computers'],['Recreation']
1202,['Business', 'Shopping', 'Arts', 'Computers'],['Reference']
35261,['Business', 'Shopping', 'Arts', 'Computers'],['Society']
35267,['Business', 'Shopping', 'Arts', 'Computers'],['Society']
1216,['Business', 'Shopping', 'Arts', 'Computers'],['Reference']
1217,['Business', 'Shopping', 'Arts', 'Computers'],['Reference']
1218,['Business', 'Shopping', 'Arts', 'Computers'],['Reference']
35275,['Business', 'Shopping', 'Arts', 'Computers'],['Society']
1222,['Business', 'Shopping', 'Arts', 'Computers'],['Reference']
35279,['Business', 'Shopping', 'Arts', 'Computers'],['Society']
1232,['Business', 'Shopping', 'Arts', 'Computers'],['Reference', 'Computers']
1234,['Business', 'Shopping', 'Arts', 'Computers'],['Reference']
35290,['Business', 'Shopping', 'Arts', 'Computers'],['Society']
35294,['Business', 'Shopping', 'Arts', 'Computers'],['Society']
35297,['Business', 'Shopping', 'Arts', 'Computers'],['Society']
1246,['Business', 'Shopping', 'Arts', 'Computers'],['Reference', 'Computers']
35304,['Business', 'Shopping', 'Arts', 'Computers'],['Society']
1250,['Business', 'Shopping', 'Arts', 'Computers'],['Reference']
35305,['Business', 'Shopping', 'Arts', 'Computers'],['Society']
1256,['Business', 'Shopping', 'Arts', 'Computers'],['Reference']
1258,['Business', 'Shopping', 'Arts', 'Computers'],['Reference']
35313,['Business', 'Shopping', 'Arts', 'Computers'],['Society']
35314,['Business', 'Shopping', 'Arts', 'Computers'],['Society']
35347,['Business', 'Shopping', 'Arts', 'Computers'],['Society']
35348,['Business', 'Shopping', 'Arts', 'Computers'],['Society']
1294,['Business', 'Shopping', 'Arts', 'Computers'],['Reference']
35350,['Business', 'Shopping', 'Arts', 'Computers'],['Society']
1298,['Business', 'Shopping', 'Arts', 'Computers'],['Reference']
1302,['Business', 'Shopping', 'Arts', 'Computers'],['Reference']
35357,['Business', 'Shopping', 'Arts', 'Computers'],['Society']
35365,['Recreation', 'Arts', 'Computers', 'Business'],['Society']
35369,['Business', 'Shopping', 'Arts', 'Computers'],['Society']
1315,['Business', 'Shopping', 'Arts', 'Computers'],['Reference']
35375,['Business', 'Shopping', 'Arts', 'Computers'],['Society']
1322,['Business', 'Shopping', 'Arts', 'Computers'],['Reference']
1330,['Business', 'Shopping', 'Arts', 'Computers'],['Reference']
35392,['Business', 'Shopping', 'Arts', 'Computers'],['Society']
1341,['Business', 'Shopping', 'Arts', 'Computers'],['Reference']
35397,['Business', 'Shopping', 'Arts', 'Computers'],['Society']
35401,['Business', 'Shopping', 'Arts', 'Computers'],['Society']
1351,['Business', 'Shopping', 'Arts', 'Computers'],['Shopping']
35406,['Business', 'Shopping', 'Arts', 'Computers'],['Society']
35407,['Business', 'Shopping', 'Arts', 'Computers'],['Society']
35415,['Business', 'Shopping', 'Arts', 'Computers'],['Society']
35417,['Business', 'Shopping', 'Arts', 'Computers'],['Society']
35418,['Business', 'Shopping', 'Arts', 'Computers'],['Society']
1415,['Business', 'Shopping', 'Arts', 'Computers'],['Science']
1416,['Business', 'Shopping', 'Arts', 'Computers'],['Science']
1424,['Business', 'Shopping', 'Arts', 'Computers'],['Science']
1428,['Business', 'Shopping', 'Arts', 'Computers'],['Science']
1433,['Business', 'Shopping', 'Arts', 'Computers'],['Science']
1438,['Business', 'Shopping', 'Arts', 'Computers'],['Science', 'Reference']
1450,['Business', 'Shopping', 'Arts', 'Computers'],['Science']
35467,['Business', 'Shopping', 'Arts', 'Computers'],['Society']
1464,['Business', 'Shopping', 'Arts', 'Computers'],['Science']
35475,['Business', 'Shopping', 'Arts', 'Computers'],['Society']
1480,['Business', 'Shopping', 'Arts', 'Computers'],['Science']
35492,['Business', 'Shopping', 'Arts', 'Computers'],['Society']
1483,['Business', 'Shopping', 'Arts', 'Computers'],['Science']
1488,['Business', 'Shopping', 'Arts', 'Computers'],['Science']
1493,['Business', 'Shopping', 'Arts', 'Computers'],['Shopping']
1497,['Business', 'Shopping', 'Arts', 'Computers'],['Shopping']
35509,['Business', 'Shopping', 'Arts', 'Computers'],['Society']
35511,['Business', 'Shopping', 'Arts', 'Computers'],['Society']
35518,['Business', 'Shopping', 'Arts', 'Computers'],['Society']
35522,['Business', 'Shopping', 'Arts', 'Computers'],['Society']
1520,['Business', 'Shopping', 'Arts', 'Computers'],['Shopping']
35533,['Business', 'Shopping', 'Arts', 'Computers'],['Society']
35534,['Business', 'Shopping', 'Arts', 'Computers'],['Society']
35535,['Business', 'Shopping', 'Arts', 'Computers'],['Society']
1525,['Business', 'Shopping', 'Arts', 'Computers'],['Shopping']
1526,['Business', 'Shopping', 'Arts', 'Computers'],['Shopping']
1527,['Business', 'Shopping', 'Arts', 'Computers'],['Shopping']
35540,['Business', 'Shopping', 'Arts', 'Computers'],['Society']
1531,['Business', 'Shopping', 'Arts', 'Computers'],['Shopping']
35544,['Business', 'Shopping', 'Arts', 'Computers'],['Society']
1535,['Business', 'Shopping', 'Arts', 'Computers'],['Shopping']
35547,['Business', 'Shopping', 'Arts', 'Computers'],['Society']
35559,['Business', 'Shopping', 'Arts', 'Computers'],['Society']
35571,['Business', 'Shopping', 'Arts', 'Computers'],['Society']
1565,['Business', 'Shopping', 'Arts', 'Computers'],['Shopping']
35580,['Business', 'Shopping', 'Arts', 'Computers'],['Society']
1570,['Business', 'Shopping', 'Arts', 'Computers'],['Shopping']
35582,['Business', 'Shopping', 'Arts', 'Computers'],['Society']
35594,['Business', 'Shopping', 'Arts', 'Computers'],['Society']
35597,['Business', 'Shopping', 'Arts', 'Computers'],['Society']
35602,['Business', 'Shopping', 'Arts', 'Computers'],['Society']
1593,['Business', 'Shopping', 'Arts', 'Computers'],['Shopping']
1599,['Business', 'Shopping', 'Arts', 'Computers'],['Shopping']
1600,['Business', 'Shopping', 'Arts', 'Computers'],['Shopping']
1601,['Business', 'Shopping', 'Arts', 'Computers'],['Business', 'Shopping']
35612,['Business', 'Shopping', 'Arts', 'Computers'],['Society']
35618,['Business', 'Shopping', 'Arts', 'Computers'],['Society']
35625,['Business', 'Shopping', 'Arts', 'Computers'],['Society']
35630,['Business', 'Shopping', 'Arts', 'Computers'],['Society']
35636,['Business', 'Shopping', 'Arts', 'Computers'],['Society']
1629,['Business', 'Shopping', 'Arts', 'Computers'],['Society', 'Computers']
35649,['Business', 'Shopping', 'Arts', 'Computers'],['Society']
1641,['Business', 'Shopping', 'Arts', 'Computers'],['Society']
1643,['Business', 'Shopping', 'Arts', 'Computers'],['Society']
35660,['Business', 'Shopping', 'Arts', 'Computers'],['Society']
1648,['Business', 'Shopping', 'Arts', 'Computers'],['Society']
35665,['Business', 'Shopping', 'Arts', 'Computers'],['Society']
1658,['Business', 'Shopping', 'Arts', 'Computers'],['Society']
1659,['Business', 'Shopping', 'Arts', 'Computers'],['Society']
35673,['Business', 'Shopping', 'Arts', 'Computers'],['Society']
35685,['Business', 'Shopping', 'Arts', 'Computers'],['Society']
35694,['Business', 'Shopping', 'Arts', 'Computers'],['Society']
1681,['Business', 'Shopping', 'Arts', 'Computers'],['Society']
35695,['Business', 'Shopping', 'Arts', 'Computers'],['Society']
35701,['Business', 'Shopping', 'Arts', 'Computers'],['Society']
35702,['Business', 'Shopping', 'Arts', 'Computers'],['Society']
1693,['Business', 'Shopping', 'Arts', 'Computers'],['Society']
1695,['Business', 'Shopping', 'Arts', 'Computers'],['Society']
35717,['Business', 'Shopping', 'Arts', 'Computers'],['Society']
1707,['Business', 'Shopping', 'Arts', 'Computers'],['Society']
35725,['Business', 'Shopping', 'Arts', 'Computers'],['Society']
35728,['Business', 'Shopping', 'Arts', 'Computers'],['Society']
1716,['Business', 'Shopping', 'Arts', 'Computers'],['Society']
35735,['Business', 'Shopping', 'Arts', 'Computers'],['Society']
1723,['Business', 'Shopping', 'Arts', 'Computers'],['Society']
35742,['Business', 'Shopping', 'Arts', 'Computers'],['Society']
35747,['Business', 'Shopping', 'Arts', 'Computers'],['Society']
1738,['Business', 'Shopping', 'Arts', 'Computers'],['Sports']
1739,['Business', 'Shopping', 'Arts', 'Computers'],['Sports']
1741,['Business', 'Shopping', 'Arts', 'Computers'],['Sports']
35759,['Business', 'Shopping', 'Arts', 'Computers'],['Society']
1745,['Business', 'Shopping', 'Arts', 'Computers'],['Sports']
1757,['Business', 'Shopping', 'Arts', 'Computers'],['Sports']
35772,['Business', 'Shopping', 'Arts', 'Computers'],['Society']
1759,['Business', 'Shopping', 'Arts', 'Computers'],['Sports']
35777,['Business', 'Shopping', 'Arts', 'Computers'],['Society']
35789,['Business', 'Shopping', 'Arts', 'Computers'],['Society']
1781,['Business', 'Shopping', 'Arts', 'Computers'],['Sports']
1785,['Business', 'Shopping', 'Arts', 'Computers'],['Sports']
35802,['Business', 'Shopping', 'Arts', 'Computers'],['Society']
1788,['Business', 'Shopping', 'Arts', 'Computers'],['Sports']
1804,['Business', 'Shopping', 'Arts', 'Computers'],['Sports']
1805,['Business', 'Shopping', 'Arts', 'Computers'],['Sports']
35819,['Business', 'Shopping', 'Arts', 'Computers'],['Society']
1808,['Business', 'Shopping', 'Arts', 'Computers'],['Sports']
1812,['Business', 'Shopping', 'Arts', 'Computers'],['Sports']
35838,['Business', 'Shopping', 'Arts', 'Computers'],['Society']
1828,['Business', 'Shopping', 'Arts', 'Computers'],['Sports']
1834,['Business', 'Shopping', 'Arts', 'Computers'],['Sports']
1837,['Business', 'Shopping', 'Arts', 'Computers'],['Sports']
35853,['Business', 'Shopping', 'Arts', 'Computers'],['Society']
1840,['Business', 'Shopping', 'Arts', 'Computers'],['Sports', 'News']
35855,['Business', 'Shopping', 'Arts', 'Computers'],['Society']
35859,['Business', 'Shopping', 'Arts', 'Computers'],['Society']
1856,['Business', 'Shopping', 'Arts', 'Computers'],['Adult']
1857,['Business', 'Shopping', 'Arts', 'Computers'],['Adult']
1861,['Business', 'Shopping', 'Arts', 'Computers'],['Adult']
35884,['Business', 'Shopping', 'Arts', 'Computers'],['Society']
35891,['Business', 'Shopping', 'Arts', 'Computers'],['Society']
