ref id,Predicted,Actual
44778,['Society', 'Business', 'Health', 'Sports'],['Society']
36779,['Adult', 'Arts', 'Sports', 'Recreation'],['Adult']
13187,['Business', 'Recreation', 'Health', 'Games'],['Business']
41514,['Business', 'Computers', 'Arts', 'Games'],['Arts']
51002,['Sports', 'Recreation', 'Business', 'Reference'],['Society']
25738,['Reference', 'Recreation', 'Computers', 'Science'],['Science']
41519,['Arts', 'Health', 'Sports', 'Shopping'],['Adult']
15060,['Recreation', 'Computers', 'Reference', 'Arts'],['Science']
20604,['Sports', 'Games', 'Recreation', 'Society'],['Adult']
28443,['Recreation', 'Games', 'Reference', 'Health'],['Health']
21668,['Recreation', 'Arts', 'Sports', 'Society'],['Arts']
25910,['Sports', 'Shopping', 'Health', 'Society'],['Science']
44651,['Business', 'Shopping', 'Recreation', 'Society'],['Business']
16376,['Recreation', 'Computers', 'Science', 'Reference'],['Science']
5112,['Shopping', 'Society', 'Recreation', 'Arts'],['Adult']
6935,['Recreation', 'Computers', 'Games', 'Science'],['Science']
38661,['Science', 'Health', 'Business', 'Arts'],['Health']
12632,['Shopping', 'Sports', 'Business', 'Society'],['Science']
28954,['Business', 'Shopping', 'Science', 'Recreation'],['Arts', 'Business']
24013,['Arts', 'Recreation', 'Business', 'Computers'],['Arts']
44736,['Science', 'Recreation', 'Computers', 'Reference'],['Business']
15819,['Business', 'Society', 'Health', 'Recreation'],['Science']
7167,['Adult', 'Arts', 'Sports', 'Games'],['Adult']
7607,['Society', 'Sports', 'Computers', 'Business'],['Society']
29614,['Business', 'Sports', 'Shopping', 'Society'],['Adult']
3510,['Business', 'Shopping', 'Science', 'Computers'],['Science']
35394,['Computers', 'Recreation', 'Business', 'Adult'],['Adult']
29348,['Society', 'Shopping', 'Business', 'Sports'],['Adult']
25431,['Sports', 'Adult', 'Society', 'Shopping'],['Society']
53723,['Games', 'Shopping', 'Recreation', 'Arts'],['Games']
23655,['Health', 'Recreation', 'Reference', 'Games'],['Health']
54147,['Recreation', 'Reference', 'Science', 'Health'],['Health']
4967,['Business', 'Science', 'Sports', 'Arts'],['Science']
12541,['Society', 'Recreation', 'Sports', 'Shopping'],['Society']
35836,['Sports', 'Recreation', 'Arts', 'Business'],['Games']
42352,['Adult', 'Computers', 'Arts', 'Sports'],['Adult']
47686,['Business', 'Games', 'Adult', 'Recreation'],['Adult']
52399,['Sports', 'Society', 'Computers', 'Shopping'],['Adult']
10659,['Games', 'Health', 'Arts', 'Adult'],['Games']
46506,['Arts', 'Computers', 'Sports', 'Business'],['Games']
11248,['Business', 'Computers', 'Science', 'Health'],['Health']
47203,['Business', 'Arts', 'Sports', 'Science'],['Science']
12995,['Society', 'Shopping', 'Recreation', 'Sports'],['Society']
10191,['Adult', 'Sports', 'Society', 'Games'],['Adult']
12364,['Adult', 'Society', 'Sports', 'Shopping'],['Adult']
31996,['Health', 'Science', 'Arts', 'Business'],['Business']
7023,['Reference', 'Sports', 'Recreation', 'Society'],['Society']
30861,['Arts', 'Computers', 'Adult', 'Business'],['Games']
26172,['Business', 'Recreation', 'Sports', 'Society'],['Health']
57185,['Business', 'Health', 'Science', 'Shopping'],['Health']
41576,['Shopping', 'Recreation', 'Sports', 'Business'],['Adult']
46449,['Computers', 'Business', 'Society', 'Shopping'],['Games']
44791,['Recreation', 'Society', 'Shopping', 'Sports'],['Games']
54982,['Arts', 'Games', 'Recreation', 'Adult'],['Arts']
32536,['Shopping', 'Business', 'Sports', 'Society'],['Adult']
715,['Arts', 'Shopping', 'Society', 'Health'],['Arts']
52092,['Recreation', 'Arts', 'Health', 'Society'],['Science']
50012,['Health', 'Science', 'Reference', 'Business'],['Business']
47991,['Society', 'Science', 'Recreation', 'Sports'],['Science']
43428,['Sports', 'Adult', 'Society', 'Shopping'],['Adult']
3185,['Arts', 'Society', 'Science', 'Health'],['Science']
22526,['Arts', 'Society', 'Health', 'Shopping'],['Society']
44040,['Health', 'Reference', 'Recreation', 'Shopping'],['Health']
9490,['Recreation', 'Science', 'Games', 'Computers'],['Arts']
5915,['Shopping', 'Business', 'Computers', 'Science'],['Business']
42326,['Shopping', 'Recreation', 'Society', 'Business'],['Business']
45689,['Recreation', 'Games', 'Computers', 'Arts'],['Science']
50337,['Business', 'Computers', 'Recreation', 'Society'],['Adult']
53735,['Adult', 'Recreation', 'Society', 'Shopping'],['Adult']
36914,['Health', 'Recreation', 'Adult', 'Games'],['Health']
9816,['Sports', 'Recreation', 'Society', 'Games'],['Games']
31939,['Business', 'Shopping', 'Recreation', 'Computers'],['Science']
55168,['Adult', 'Recreation', 'Health', 'Games'],['Health']
54743,['Recreation', 'Science', 'Reference', 'Business'],['Health']
13261,['Shopping', 'Computers', 'Society', 'Reference'],['Science']
23675,['Society', 'Arts', 'Shopping', 'Science'],['Society']
27733,['Computers', 'Shopping', 'Business', 'Sports'],['Business']
45799,['Arts', 'Computers', 'Society', 'Shopping'],['Games']
42271,['Health', 'Business', 'Science', 'Adult'],['Health']
29690,['Sports', 'Society', 'Shopping', 'Arts'],['Society']
39422,['Recreation', 'Business', 'Arts', 'Adult'],['Business']
10306,['Business', 'Arts', 'Reference', 'Recreation'],['Health']
28448,['Health', 'Science', 'Arts', 'Computers'],['Science']
12448,['Health', 'Science', 'Computers', 'Arts'],['Business']
586,['Computers', 'Recreation', 'Arts', 'Science'],['Science']
49183,['Computers', 'Business', 'Recreation', 'Reference'],['Business']
39403,['Arts', 'Health', 'Sports', 'Society'],['Games']
8974,['Sports', 'Business', 'Arts', 'Health'],['Business']
37615,['Recreation', 'Arts', 'Health', 'Science'],['Business']
33632,['Sports', 'Society', 'Games', 'Computers'],['Society']
33300,['Computers', 'Arts', 'Health', 'Business'],['Health']
30646,['Health', 'Recreation', 'Arts', 'Society'],['Health']
152,['Business', 'Health', 'Shopping', 'Reference'],['Society']
36067,['Arts', 'Sports', 'Recreation', 'Health'],['Adult']
3460,['Shopping', 'Computers', 'Recreation', 'Arts'],['Health']
17134,['Science', 'Business', 'Health', 'Society'],['Science']
34938,['Business', 'Health', 'Sports', 'Society'],['Society']
35757,['Shopping', 'Business', 'Arts', 'Science'],['Business']
43463,['Business', 'Shopping', 'Recreation', 'Sports'],['Business']
44022,['Health', 'Recreation', 'Computers', 'Business'],['Health']
47670,['Adult', 'Computers', 'Business', 'Sports'],['Adult']
34799,['Business', 'Society', 'Health', 'Computers'],['Business']
4807,['Arts', 'Sports', 'Society', 'Recreation'],['Games']
48280,['Recreation', 'Health', 'Business', 'Arts'],['Health']
7852,['Society', 'Recreation', 'Games', 'Sports'],['Society']
40983,['Business', 'Science', 'Reference', 'Games'],['Adult']
39744,['Computers', 'Science', 'Business', 'Recreation'],['Business']
6386,['Adult', 'Society', 'Sports', 'Shopping'],['Adult']
47163,['Business', 'Shopping', 'Society', 'Recreation'],['Shopping', 'Business']
53244,['Sports', 'Society', 'Business', 'Recreation'],['Society']
9818,['Sports', 'Adult', 'Arts', 'Society'],['Society']
14591,['Shopping', 'Business', 'Society', 'Recreation'],['Adult']
44620,['Games', 'Sports', 'Computers', 'Society'],['Games']
44247,['Health', 'Arts', 'Reference', 'Recreation'],['Science']
30822,['Recreation', 'Computers', 'Adult', 'Sports'],['Adult']
44081,['Health', 'Recreation', 'Computers', 'Arts'],['Health']
35835,['Society', 'Adult', 'Shopping', 'Recreation'],['Adult']
53997,['Shopping', 'Sports', 'Health', 'Games'],['Adult']
54409,['Science', 'Recreation', 'Health', 'Business'],['Science']
10924,['Society', 'Sports', 'Recreation', 'Health'],['Society']
53026,['Arts', 'Adult', 'Sports', 'Society'],['Adult']
23248,['Shopping', 'Business', 'Recreation', 'Sports'],['Computers']
57861,['Computers', 'Science', 'Health', 'Reference'],['Health']
5049,['Health', 'Science', 'Games', 'Computers'],['Health']
21614,['Shopping', 'Business', 'Society', 'Arts'],['Adult']
38905,['Business', 'Science', 'Shopping', 'Computers'],['Business']
16253,['Arts', 'Sports', 'Shopping', 'Society'],['Adult']
32858,['Games', 'Recreation', 'Arts', 'Computers'],['Business']
58833,['Business', 'Computers', 'Reference', 'Science'],['Business']
46193,['Science', 'Recreation', 'Computers', 'Reference'],['Science']
27940,['Games', 'Health', 'Recreation', 'Arts'],['Games']
43316,['Games', 'Sports', 'Computers', 'Society'],['Games']
24871,['Shopping', 'Arts', 'Sports', 'Science'],['Adult']
16115,['Society', 'Business', 'Computers', 'Health'],['Science']
17311,['Sports', 'Society', 'Shopping', 'Science'],['Society']
16753,['Business', 'Computers', 'Society', 'Science'],['Computers']
25662,['Society', 'Computers', 'Recreation', 'Arts'],['Science']
3876,['Shopping', 'Business', 'Recreation', 'Games'],['Science']
15139,['Health', 'Recreation', 'Adult', 'Shopping'],['Health']
49430,['Recreation', 'Health', 'Games', 'Business'],['Business']
39857,['Recreation', 'Computers', 'Reference', 'Games'],['Business']
41080,['Sports', 'Shopping', 'Business', 'Health'],['Science']
7110,['Society', 'Recreation', 'Reference', 'Sports'],['Society']
50287,['Recreation', 'Shopping', 'Health', 'Computers'],['Health']
57402,['Business', 'Recreation', 'Sports', 'Health'],['Health']
13372,['Business', 'Arts', 'Recreation', 'Computers'],['Business']
29452,['Arts', 'Sports', 'Society', 'Recreation'],['Society']
37157,['Science', 'Health', 'Society', 'Recreation'],['Science']
53511,['Recreation', 'Society', 'Games', 'Arts'],['Adult']
51204,['Business', 'Health', 'Computers', 'Science'],['Health']
50382,['Arts', 'Computers', 'Business', 'Society'],['Science']
50568,['Recreation', 'Society', 'Reference', 'Health'],['Business']
34250,['Games', 'Society', 'Sports', 'Recreation'],['Games']
58041,['Recreation', 'Arts', 'Health', 'Business'],['Games']
28092,['Shopping', 'Computers', 'Business', 'Sports'],['Society']
38520,['Society', 'Health', 'Sports', 'Science'],['Society']
31914,['Science', 'Health', 'Society', 'Recreation'],['Science']
12335,['Arts', 'Health', 'Sports', 'Adult'],['Society']
1604,['Arts', 'Health', 'Sports', 'Society'],['Games']
25790,['Reference', 'Arts', 'Society', 'Science'],['Society']
10370,['Science', 'Society', 'Shopping', 'Computers'],['Society']
47028,['Arts', 'Sports', 'Society', 'Health'],['Society']
4377,['Sports', 'Shopping', 'Recreation', 'Computers'],['Games']
56615,['Society', 'Recreation', 'Health', 'Science'],['Business']
15074,['Arts', 'Recreation', 'Computers', 'Business'],['Games']
185,['Recreation', 'Computers', 'Health', 'Business'],['Health']
11283,['Adult', 'Sports', 'Society', 'Shopping'],['Adult']
20644,['Sports', 'Recreation', 'Arts', 'Games'],['Adult']
3813,['Business', 'Society', 'Shopping', 'Science'],['Business']
50732,['Shopping', 'Sports', 'Recreation', 'Society'],['Adult']
53690,['Arts', 'Sports', 'Society', 'Shopping'],['Adult']
14110,['Sports', 'Shopping', 'Business', 'Society'],['Games']
17097,['Science', 'Computers', 'Reference', 'Health'],['Science']
11087,['Science', 'Health', 'Reference', 'Computers'],['Health']
42334,['Health', 'Recreation', 'Arts', 'Shopping'],['Health']
51438,['Health', 'Science', 'Society', 'Recreation'],['Science']
58541,['Games', 'Arts', 'Sports', 'Society'],['Games']
34615,['Arts', 'Health', 'Sports', 'Society'],['Health']
19618,['Sports', 'Recreation', 'Business', 'Arts'],['Society']
25291,['Health', 'Society', 'Business', 'Sports'],['Health']
4158,['Society', 'Arts', 'Health', 'Sports'],['Adult']
36313,['Health', 'Business', 'Society', 'Sports'],['Health']
39319,['Arts', 'Computers', 'Shopping', 'Games'],['Games']
23107,['Society', 'Reference', 'Games', 'Sports'],['Society']
42422,['Computers', 'Science', 'Recreation', 'Games'],['Arts']
26246,['Computers', 'Arts', 'Science', 'Business'],['Science']
37376,['Business', 'Computers', 'Science', 'Health'],['Business']
36262,['Reference', 'Recreation', 'Health', 'Arts'],['Health']
10414,['Computers', 'Society', 'Sports', 'Games'],['Society']
58227,['Sports', 'Society', 'Business', 'Health'],['Health']
21970,['Sports', 'Games', 'Arts', 'Science'],['Society']
17754,['Recreation', 'Sports', 'Arts', 'Games'],['Games']
4645,['Science', 'Health', 'Recreation', 'Society'],['Health']
17476,['Society', 'Recreation', 'Computers', 'Business'],['Health']
52152,['Health', 'Science', 'Business', 'Shopping'],['Business']
6963,['Recreation', 'Arts', 'Society', 'Sports'],['Games']
57237,['Health', 'Recreation', 'Computers', 'Business'],['Business']
599,['Shopping', 'Sports', 'Society', 'Science'],['Society']
17264,['Science', 'Recreation', 'Society', 'Shopping'],['Science']
11187,['Society', 'Recreation', 'Health', 'Computers'],['Society']
29076,['Health', 'Computers', 'Science', 'Arts'],['Health']
44566,['Recreation', 'Arts', 'Business', 'Games'],['Games']
53634,['Arts', 'Sports', 'Society', 'Shopping'],['Arts']
43016,['Sports', 'Arts', 'Society', 'Games'],['Games']
51982,['Recreation', 'Computers', 'Arts', 'Health'],['Science']
54947,['Arts', 'Sports', 'Shopping', 'Society'],['Arts']
8022,['Science', 'Recreation', 'Computers', 'Arts'],['Science']
21736,['Shopping', 'Society', 'Science', 'Games'],['Society']
17291,['Society', 'Science', 'Recreation', 'Games'],['Health']
23619,['Business', 'Sports', 'Recreation', 'Health'],['Health']
26985,['Computers', 'Society', 'Games', 'Business'],['Science']
1210,['Health', 'Sports', 'Society', 'Shopping'],['Health']
50814,['Recreation', 'Arts', 'Society', 'Games'],['Arts']
32632,['Science', 'Health', 'Games', 'Arts'],['Science']
32853,['Reference', 'Science', 'Health', 'Arts'],['Health', 'Reference']
24524,['Business', 'Recreation', 'Computers', 'Science'],['Health']
53443,['Sports', 'Arts', 'Computers', 'Shopping'],['Health']
3627,['Business', 'Science', 'Computers', 'Games'],['Science']
58615,['Business', 'Computers', 'Sports', 'Society'],['Business']
54958,['Health', 'Society', 'Recreation', 'Sports'],['Health']
47083,['Computers', 'Recreation', 'Science', 'Games'],['Science']
51409,['Recreation', 'Health', 'Games', 'Sports'],['Arts']
45546,['Business', 'Arts', 'Computers', 'Reference'],['Business', 'Computers']
57634,['Health', 'Computers', 'Arts', 'Recreation'],['Health']
27265,['Recreation', 'Business', 'Reference', 'Computers'],['Health']
39320,['Sports', 'Recreation', 'Business', 'Society'],['Arts']
43166,['Health', 'Reference', 'Science', 'Business'],['Health']
2702,['Health', 'Society', 'Science', 'Sports'],['Health']
44324,['Health', 'Science', 'Sports', 'Society'],['Science']
4593,['Business', 'Society', 'Shopping', 'Science'],['Arts']
49406,['Recreation', 'Arts', 'Health', 'Games'],['Health']
35322,['Computers', 'Recreation', 'Health', 'Business'],['Health']
41037,['Health', 'Society', 'Recreation', 'Arts'],['Health']
34180,['Recreation', 'Games', 'Science', 'Computers'],['Science']
29754,['Health', 'Arts', 'Recreation', 'Business'],['Business']
36455,['Health', 'Business', 'Society', 'Science'],['Health']
11118,['Science', 'Recreation', 'Arts', 'Reference'],['Science']
41841,['Adult', 'Health', 'Science', 'Recreation'],['Business']
15400,['Business', 'Recreation', 'Computers', 'Health'],['Business']
32366,['Health', 'Society', 'Shopping', 'Computers'],['Health']
52483,['Sports', 'Society', 'Games', 'Computers'],['Science']
46305,['Science', 'Recreation', 'Health', 'Games'],['Science']
51296,['Shopping', 'Business', 'Sports', 'Recreation'],['Arts']
44913,['Arts', 'Sports', 'Health', 'Games'],['Health']
6751,['Society', 'Arts', 'Reference', 'Sports'],['Society']
35108,['Recreation', 'Business', 'Science', 'Health'],['Science']
34400,['Shopping', 'Society', 'Recreation', 'Health'],['Society']
16763,['Computers', 'Health', 'Society', 'Recreation'],['Health']
39657,['Sports', 'Business', 'Society', 'Shopping'],['Health']
17005,['Sports', 'Society', 'Arts', 'Business'],['Society']
3201,['Computers', 'Business', 'Arts', 'Recreation'],['Science']
33578,['Arts', 'Sports', 'Society', 'Shopping'],['Arts']
1944,['Business', 'Adult', 'Society', 'Computers'],['Arts']
27084,['Business', 'Sports', 'Society', 'Recreation'],['Arts']
4011,['Reference', 'Adult', 'Recreation', 'Games'],['Business']
40970,['Sports', 'Shopping', 'Games', 'Society'],['Health']
51442,['Business', 'Science', 'Recreation', 'Computers'],['Science']
51577,['Business', 'Arts', 'Sports', 'Health'],['Health']
14546,['Business', 'Computers', 'Shopping', 'Sports'],['Health']
54787,['Society', 'Recreation', 'Health', 'Sports'],['Arts']
11827,['Business', 'Shopping', 'Computers', 'Sports'],['Arts']
32167,['Computers', 'Health', 'Recreation', 'Society'],['Science']
2060,['Health', 'Business', 'Recreation', 'Computers'],['Health']
53127,['Recreation', 'Computers', 'Arts', 'Adult'],['Health']
4457,['Recreation', 'Health', 'Society', 'Shopping'],['Science']
45722,['Arts', 'Recreation', 'Computers', 'Sports'],['Science']
47291,['Society', 'Sports', 'Shopping', 'Reference'],['Society']
11964,['Society', 'Sports', 'Health', 'Science'],['Society']
41947,['Society', 'Health', 'Arts', 'Sports'],['Society']
45860,['Computers', 'Business', 'Arts', 'Recreation'],['Science']
1921,['Arts', 'Sports', 'Society', 'Shopping'],['Arts']
7088,['Health', 'Business', 'Arts', 'Sports'],['Health']
9451,['Reference', 'Health', 'Arts', 'Business'],['Health']
11810,['Health', 'Society', 'Recreation', 'Computers'],['Arts']
528,['Society', 'Shopping', 'Computers', 'Arts'],['Society']
14371,['Games', 'Adult', 'Reference', 'Recreation'],['Business']
37242,['Sports', 'Recreation', 'Adult', 'Shopping'],['Science']
3777,['Business', 'Science', 'Recreation', 'Computers'],['Science', 'Business']
43530,['Society', 'Shopping', 'Computers', 'Arts'],['Society']
4572,['Sports', 'Computers', 'Society', 'Shopping'],['Health']
10807,['Business', 'Science', 'Computers', 'Recreation'],['Business']
38813,['Recreation', 'Science', 'Sports', 'Games'],['Society']
6168,['Society', 'Recreation', 'Arts', 'Shopping'],['Business']
349,['Shopping', 'Recreation', 'Society', 'Health'],['Health']
16119,['Health', 'Arts', 'Games', 'Computers'],['Health']
36837,['Recreation', 'Science', 'Reference', 'Games'],['Science']
8372,['Games', 'Recreation', 'Arts', 'Science'],['Society']
1745,['Health', 'Arts', 'Business', 'Adult'],['Health']
29650,['Society', 'Sports', 'Recreation', 'Arts'],['Society']
45307,['Sports', 'Recreation', 'Business', 'Health'],['Society']
51077,['Shopping', 'Business', 'Sports', 'Society'],['Society']
13287,['Society', 'Health', 'Arts', 'Recreation'],['Health']
11369,['Recreation', 'Reference', 'Health', 'Computers'],['Reference']
46914,['Business', 'Computers', 'Science', 'Reference'],['Business']
58803,['Arts', 'Sports', 'Society', 'Shopping'],['Arts']
2227,['Shopping', 'Sports', 'Society', 'Adult'],['Health']
24697,['Society', 'Business', 'Sports', 'Shopping'],['Business']
46323,['Arts', 'Sports', 'Society', 'Shopping'],['Arts']
32629,['Business', 'Computers', 'Society', 'Sports'],['Business']
12208,['Arts', 'Sports', 'Society', 'Shopping'],['Arts']
1324,['Arts', 'Sports', 'Society', 'Shopping'],['Arts']
14498,['Arts', 'Sports', 'Recreation', 'Computers'],['Health']
45680,['Recreation', 'Arts', 'Health', 'Computers'],['Health']
12569,['Health', 'Science', 'Computers', 'Society'],['Science']
29423,['Health', 'Science', 'Business', 'Sports'],['Health']
41826,['Health', 'Reference', 'Games', 'Arts'],['Health']
5393,['Sports', 'Society', 'Computers', 'Business'],['Health']
47479,['Business', 'Recreation', 'Society', 'Arts'],['Health']
37549,['Recreation', 'Reference', 'Games', 'Business'],['Business']
57274,['Arts', 'Sports', 'Society', 'Recreation'],['Society']
35057,['Arts', 'Sports', 'Society', 'Shopping'],['Arts']
36744,['Recreation', 'Business', 'Arts', 'Society'],['Business']
31511,['Shopping', 'Society', 'Sports', 'Science'],['Society']
6888,['Arts', 'Sports', 'Society', 'Shopping'],['Arts']
52666,['Science', 'Business', 'Society', 'Reference'],['Science']
53165,['Arts', 'Recreation', 'Society', 'Health'],['Recreation']
21031,['Shopping', 'Society', 'Science', 'Reference'],['Society']
14086,['Arts', 'Sports', 'Society', 'Health'],['Arts']
10549,['Sports', 'Recreation', 'Society', 'Business'],['Science']
40109,['Science', 'Reference', 'Recreation', 'Arts'],['Science', 'Society']
47470,['Arts', 'Society', 'Recreation', 'Health'],['Society']
17122,['Health', 'Business', 'Science', 'Reference'],['Health']
48681,['Health', 'Sports', 'Society', 'Shopping'],['Health']
37215,['Business', 'Recreation', 'Health', 'Games'],['Recreation']
43615,['Arts', 'Reference', 'Business', 'Sports'],['Arts']
51504,['Recreation', 'Science', 'Health', 'Arts'],['Recreation']
28579,['Society', 'Sports', 'Health', 'Computers'],['Health']
1880,['Computers', 'Sports', 'Society', 'Arts'],['Health']
26036,['Arts', 'Business', 'Sports', 'Society'],['Society']
15340,['Business', 'Sports', 'Society', 'Games'],['Recreation']
24714,['Shopping', 'Recreation', 'Business', 'Sports'],['Society']
32557,['Sports', 'Society', 'Shopping', 'Science'],['Society']
41912,['Health', 'Sports', 'Society', 'Shopping'],['Health']
21618,['Business', 'Recreation', 'Games', 'Sports'],['Science']
54709,['Health', 'Sports', 'Society', 'Shopping'],['Health']
43061,['Adult', 'Sports', 'Business', 'Science'],['Recreation']
39507,['Computers', 'Science', 'Arts', 'Health'],['Health']
31398,['Arts', 'Sports', 'Society', 'Shopping'],['Arts']
14649,['Recreation', 'Health', 'Society', 'Adult'],['Health']
29645,['Arts', 'Business', 'Sports', 'Recreation'],['Recreation']
43319,['Computers', 'Arts', 'Recreation', 'Business'],['Arts']
25801,['Computers', 'Games', 'Recreation', 'Health'],['Recreation']
46152,['Society', 'Sports', 'Recreation', 'Health'],['Health']
39679,['Health', 'Recreation', 'Business', 'Sports'],['Health']
47797,['Shopping', 'Science', 'Sports', 'Society'],['Society']
10494,['Sports', 'Society', 'Business', 'Adult'],['Shopping']
42622,['Recreation', 'Arts', 'Health', 'Reference'],['Arts']
42081,['Health', 'Business', 'Recreation', 'Arts'],['Health']
20312,['Society', 'Sports', 'Recreation', 'Business'],['Arts']
2990,['Recreation', 'Shopping', 'Society', 'Games'],['Recreation']
11877,['Business', 'Sports', 'Recreation', 'Health'],['Business']
37642,['Recreation', 'Computers', 'Reference', 'Health'],['Science']
26422,['Science', 'Reference', 'Society', 'Recreation'],['Health']
51052,['Society', 'Shopping', 'Arts', 'Sports'],['Society']
40385,['Arts', 'Sports', 'Shopping', 'Computers'],['Arts']
54679,['Games', 'Shopping', 'Recreation', 'Science'],['Arts']
14077,['Society', 'Reference', 'Science', 'Health'],['Health']
45911,['Society', 'Shopping', 'Health', 'Science'],['Arts']
36926,['Shopping', 'Sports', 'Society', 'Business'],['Society']
40975,['Sports', 'Society', 'Computers', 'Recreation'],['Society']
43584,['Recreation', 'Games', 'Adult', 'Science'],['Science']
4064,['Sports', 'Recreation', 'Society', 'Shopping'],['Arts']
33527,['Business', 'Recreation', 'Shopping', 'Society'],['Recreation']
17280,['Health', 'Sports', 'Society', 'Shopping'],['Science']
4662,['Business', 'Health', 'Computers', 'Science'],['Business']
20599,['Business', 'Sports', 'Health', 'Society'],['Society']
47047,['Arts', 'Shopping', 'Business', 'Science'],['Arts']
47948,['Health', 'Recreation', 'Business', 'Sports'],['Health']
14181,['Arts', 'Society', 'Sports', 'Recreation'],['Society']
17181,['Health', 'Science', 'Society', 'Computers'],['Health']
58587,['Health', 'Business', 'Recreation', 'Science'],['Business']
2155,['Recreation', 'Arts', 'Science', 'Computers'],['Recreation']
38381,['Health', 'Society', 'Recreation', 'Sports'],['Health']
17828,['Recreation', 'Business', 'Games', 'Computers'],['Health']
13626,['Business', 'Recreation', 'Computers', 'Arts'],['Business']
53458,['Recreation', 'Adult', 'Society', 'Science'],['Health']
41070,['Computers', 'Recreation', 'Health', 'Science'],['Science']
28361,['Sports', 'Arts', 'Society', 'Reference'],['Arts']
37307,['Business', 'Sports', 'Society', 'Health'],['Society']
55469,['Sports', 'Health', 'Society', 'Arts'],['Arts']
58393,['Business', 'Society', 'Health', 'Science'],['Business']
6049,['Health', 'Sports', 'Recreation', 'Business'],['Health']
11380,['Recreation', 'Science', 'Health', 'Computers'],['Health']
