ref id,Predicted,Actual
44778,['Society', 'Health', 'Business', 'Reference'],['Society']
11248,['Business', 'Science', 'Health', 'Computers'],['Health']
47203,['Sports', 'Society', 'Shopping', 'Science'],['Science']
12995,['Society', 'Sports', 'Shopping', 'Adult'],['Society']
10191,['Adult', 'Recreation', 'Sports', 'Games'],['Adult']
12364,['Adult', 'Sports', 'Recreation', 'Games'],['Adult']
31996,['Society', 'Science', 'Reference', 'Sports'],['Business']
7023,['Society', 'Shopping', 'Sports', 'Adult'],['Society']
30861,['Games', 'Sports', 'Computers', 'Society'],['Games']
26172,['Health', 'Science', 'Business', 'Recreation'],['Health']
57185,['Health', 'Science', 'Business', 'Computers'],['Health']
41576,['Sports', 'Recreation', 'Adult', 'Games'],['Adult']
46449,['Games', 'Recreation', 'Sports', 'Adult'],['Games']
44791,['Games', 'Computers', 'Sports', 'Society'],['Games']
54982,['Recreation', 'Games', 'Computers', 'Reference'],['Arts']
32536,['Shopping', 'Society', 'Sports', 'Computers'],['Adult']
715,['Arts', 'Sports', 'Society', 'Shopping'],['Arts']
52092,['Recreation', 'Reference', 'Science', 'Games'],['Science']
50012,['Science', 'Reference', 'Shopping', 'Computers'],['Business']
47991,['Society', 'Health', 'Science', 'Reference'],['Science']
43428,['Adult', 'Society', 'Recreation', 'Arts'],['Adult']
3185,['Science', 'Health', 'Reference', 'Sports'],['Science']
22526,['Sports', 'Shopping', 'Arts', 'Society'],['Society']
44040,['Health', 'Science', 'Recreation', 'Reference'],['Health']
9490,['Games', 'Arts', 'Recreation', 'Adult'],['Arts']
5915,['Shopping', 'Sports', 'Society', 'Science'],['Business']
42326,['Business', 'Recreation', 'Science', 'Computers'],['Business']
45689,['Recreation', 'Games', 'Adult', 'Arts'],['Science']
50337,['Business', 'Sports', 'Society', 'Shopping'],['Adult']
53735,['Adult', 'Society', 'Business', 'Computers'],['Adult']
36914,['Health', 'Science', 'Recreation', 'Reference'],['Health']
9816,['Shopping', 'Games', 'Society', 'Adult'],['Games']
31939,['Adult', 'Science', 'Reference', 'Arts'],['Science']
55168,['Health', 'Science', 'Recreation', 'Reference'],['Health']
54743,['Recreation', 'Science', 'Health', 'Reference'],['Health']
13261,['Society', 'Health', 'Computers', 'Arts'],['Science']
23675,['Arts', 'Sports', 'Society', 'Shopping'],['Society']
27733,['Business', 'Computers', 'Shopping', 'Recreation'],['Business']
45799,['Games', 'Computers', 'Shopping', 'Society'],['Games']
42271,['Health', 'Science', 'Business', 'Sports'],['Health']
29690,['Sports', 'Adult', 'Shopping', 'Society'],['Society']
39422,['Reference', 'Recreation', 'Science', 'Health'],['Business']
10306,['Health', 'Business', 'Computers', 'Science'],['Health']
28448,['Reference', 'Science', 'Computers', 'Sports'],['Science']
12448,['Science', 'Health', 'Reference', 'Society'],['Business']
586,['Computers', 'Society', 'Games', 'Science'],['Science']
49183,['Business', 'Computers', 'Science', 'Reference'],['Business']
39403,['Society', 'Health', 'Sports', 'Shopping'],['Games']
8974,['Recreation', 'Games', 'Business', 'Computers'],['Business']
37615,['Business', 'Computers', 'Science', 'Recreation'],['Business']
33632,['Society', 'Arts', 'Sports', 'Business'],['Society']
33300,['Health', 'Recreation', 'Reference', 'Science'],['Health']
30646,['Health', 'Science', 'Reference', 'Recreation'],['Health']
152,['Business', 'Computers', 'Society', 'Health'],['Society']
36067,['Sports', 'Society', 'Adult', 'Recreation'],['Adult']
3460,['Adult', 'Recreation', 'Computers', 'Games'],['Health']
17134,['Science', 'Reference', 'Health', 'Business'],['Science']
34938,['Society', 'Business', 'Health', 'Science'],['Society']
35757,['Shopping', 'Sports', 'Society', 'Science'],['Business']
43463,['Business', 'Sports', 'Society', 'Shopping'],['Business']
44022,['Health', 'Science', 'Business', 'Reference'],['Health']
47670,['Adult', 'Shopping', 'Society', 'Recreation'],['Adult']
34799,['Business', 'Health', 'Computers', 'Recreation'],['Business']
4807,['Arts', 'Games', 'Society', 'Sports'],['Games']
48280,['Health', 'Science', 'Reference', 'Computers'],['Health']
7852,['Society', 'Science', 'Health', 'Reference'],['Society']
40983,['Society', 'Science', 'Recreation', 'Business'],['Adult']
39744,['Science', 'Reference', 'Recreation', 'Health'],['Business']
6386,['Business', 'Computers', 'Science', 'Society'],['Adult']
47163,['Business', 'Shopping', 'Sports', 'Society'],['Shopping', 'Business']
53244,['Society', 'Health', 'Business', 'Sports'],['Society']
9818,['Sports', 'Recreation', 'Society', 'Health'],['Society']
14591,['Shopping', 'Adult', 'Business', 'Society'],['Adult']
44620,['Games', 'Sports', 'Computers', 'Adult'],['Games']
44247,['Science', 'Reference', 'Health', 'Recreation'],['Science']
30822,['Shopping', 'Sports', 'Business', 'Society'],['Adult']
44081,['Health', 'Reference', 'Science', 'Recreation'],['Health']
35835,['Adult', 'Society', 'Sports', 'Shopping'],['Adult']
53997,['Shopping', 'Business', 'Society', 'Sports'],['Adult']
54409,['Science', 'Computers', 'Reference', 'Business'],['Science']
10924,['Society', 'Health', 'Sports', 'Shopping'],['Society']
53026,['Adult', 'Shopping', 'Society', 'Sports'],['Adult']
23248,['Business', 'Shopping', 'Sports', 'Society'],['Computers']
57861,['Reference', 'Science', 'Health', 'Computers'],['Health']
5049,['Health', 'Science', 'Reference', 'Sports'],['Health']
21614,['Adult', 'Sports', 'Society', 'Shopping'],['Adult']
38905,['Business', 'Science', 'Sports', 'Society'],['Business']
16253,['Society', 'Adult', 'Sports', 'Arts'],['Adult']
32858,['Recreation', 'Games', 'Science', 'Reference'],['Business']
58833,['Business', 'Computers', 'Sports', 'Society'],['Business']
46193,['Science', 'Reference', 'Computers', 'Health'],['Science']
27940,['Sports', 'Games', 'Society', 'Computers'],['Games']
43316,['Games', 'Shopping', 'Sports', 'Business'],['Games']
24871,['Shopping', 'Adult', 'Business', 'Society'],['Adult']
16115,['Science', 'Recreation', 'Computers', 'Reference'],['Science']
17311,['Business', 'Science', 'Shopping', 'Health'],['Society']
16753,['Computers', 'Business', 'Science', 'Reference'],['Computers']
25662,['Science', 'Reference', 'Sports', 'Society'],['Science']
3876,['Shopping', 'Sports', 'Society', 'Science'],['Science']
15139,['Health', 'Science', 'Recreation', 'Reference'],['Health']
49430,['Science', 'Recreation', 'Reference', 'Computers'],['Business']
39857,['Reference', 'Recreation', 'Science', 'Business'],['Business']
41080,['Reference', 'Sports', 'Society', 'Shopping'],['Science']
7110,['Society', 'Health', 'Sports', 'Computers'],['Society']
50287,['Health', 'Business', 'Science', 'Recreation'],['Health']
57402,['Health', 'Business', 'Recreation', 'Science'],['Health']
13372,['Business', 'Computers', 'Science', 'Reference'],['Business']
29452,['Society', 'Sports', 'Business', 'Health'],['Society']
37157,['Science', 'Sports', 'Society', 'Shopping'],['Science']
53511,['Sports', 'Adult', 'Society', 'Arts'],['Adult']
51204,['Reference', 'Science', 'Health', 'Business'],['Health']
50382,['Science', 'Computers', 'Reference', 'Arts'],['Science']
50568,['Business', 'Computers', 'Science', 'Reference'],['Business']
34250,['Sports', 'Games', 'Society', 'Shopping'],['Games']
58041,['Games', 'Arts', 'Recreation', 'Reference'],['Games']
28092,['Society', 'Sports', 'Shopping', 'Science'],['Society']
38520,['Society', 'Health', 'Sports', 'Science'],['Society']
31914,['Science', 'Sports', 'Society', 'Shopping'],['Science']
12335,['Society', 'Health', 'Science', 'Reference'],['Society']
1604,['Sports', 'Games', 'Computers', 'Arts'],['Games']
25790,['Reference', 'Society', 'Science', 'Health'],['Society']
10370,['Society', 'Reference', 'Science', 'Computers'],['Society']
47028,['Society', 'Sports', 'Shopping', 'Science'],['Society']
4377,['Sports', 'Games', 'Society', 'Shopping'],['Games']
56615,['Reference', 'Health', 'Science', 'Business'],['Business']
15074,['Games', 'Sports', 'Society', 'Shopping'],['Games']
185,['Science', 'Health', 'Business', 'Reference'],['Health']
11283,['Adult', 'Society', 'Health', 'Arts'],['Adult']
20644,['Sports', 'Society', 'Arts', 'Games'],['Adult']
3813,['Business', 'Sports', 'Society', 'Shopping'],['Business']
50732,['Adult', 'Shopping', 'Society', 'Sports'],['Adult']
53690,['Adult', 'Society', 'Sports', 'Shopping'],['Adult']
14110,['Games', 'Adult', 'Shopping', 'Sports'],['Games']
17097,['Reference', 'Science', 'Health', 'Computers'],['Science']
11087,['Science', 'Health', 'Reference', 'Computers'],['Health']
42334,['Health', 'Science', 'Reference', 'Sports'],['Health']
51438,['Science', 'Reference', 'Health', 'Computers'],['Science']
58541,['Games', 'Computers', 'Recreation', 'Science'],['Games']
34615,['Recreation', 'Arts', 'Computers', 'Business'],['Health']
19618,['Society', 'Sports', 'Adult', 'Arts'],['Society']
25291,['Health', 'Sports', 'Society', 'Shopping'],['Health']
4158,['Society', 'Health', 'Arts', 'Recreation'],['Adult']
36313,['Health', 'Sports', 'Society', 'Shopping'],['Health']
39319,['Games', 'Computers', 'Adult', 'Arts'],['Games']
23107,['Society', 'Health', 'Reference', 'Recreation'],['Society']
42422,['Arts', 'Sports', 'Society', 'Shopping'],['Arts']
26246,['Science', 'Business', 'Health', 'Recreation'],['Science']
37376,['Business', 'Computers', 'Science', 'Sports'],['Business']
36262,['Health', 'Science', 'Reference', 'Sports'],['Health']
10414,['Society', 'Games', 'Computers', 'Arts'],['Society']
58227,['Health', 'Society', 'Business', 'Sports'],['Health']
21970,['Society', 'Arts', 'Science', 'Reference'],['Society']
17754,['Games', 'Recreation', 'Adult', 'Sports'],['Games']
4645,['Health', 'Sports', 'Society', 'Shopping'],['Health']
17476,['Health', 'Society', 'Science', 'Business'],['Health']
52152,['Business', 'Health', 'Science', 'Computers'],['Business']
6963,['Games', 'Arts', 'Recreation', 'Computers'],['Games']
57237,['Health', 'Science', 'Business', 'Computers'],['Business']
599,['Computers', 'Reference', 'Business', 'Society'],['Society']
17264,['Science', 'Reference', 'Health', 'Computers'],['Science']
11187,['Society', 'Health', 'Business', 'Computers'],['Society']
29076,['Health', 'Science', 'Reference', 'Recreation'],['Health']
44566,['Games', 'Arts', 'Recreation', 'Adult'],['Games']
53634,['Arts', 'Sports', 'Society', 'Shopping'],['Arts']
43016,['Games', 'Computers', 'Sports', 'Recreation'],['Games']
51982,['Reference', 'Science', 'Health', 'Computers'],['Science']
54947,['Shopping', 'Sports', 'Adult', 'Society'],['Arts']
8022,['Science', 'Reference', 'Health', 'Computers'],['Science']
21736,['Society', 'Shopping', 'Sports', 'Computers'],['Society']
17291,['Society', 'Health', 'Sports', 'Science'],['Health']
23619,['Business', 'Shopping', 'Science', 'Health'],['Health']
26985,['Reference', 'Science', 'Health', 'Computers'],['Science']
1210,['Health', 'Sports', 'Society', 'Shopping'],['Health']
50814,['Society', 'Shopping', 'Sports', 'Arts'],['Arts']
32632,['Science', 'Recreation', 'Reference', 'Computers'],['Science']
32853,['Reference', 'Sports', 'Society', 'Shopping'],['Health', 'Reference']
24524,['Business', 'Computers', 'Health', 'Sports'],['Health']
53443,['Computers', 'Society', 'Reference', 'Science'],['Health']
3627,['Business', 'Sports', 'Society', 'Shopping'],['Science']
58615,['Business', 'Computers', 'Sports', 'Society'],['Business']
54958,['Health', 'Society', 'Sports', 'Shopping'],['Health']
47083,['Recreation', 'Games', 'Reference', 'Science'],['Science']
51409,['Recreation', 'Games', 'Adult', 'Sports'],['Arts']
45546,['Business', 'Computers', 'Science', 'Reference'],['Business', 'Computers']
57634,['Health', 'Adult', 'Society', 'Arts'],['Health']
27265,['Health', 'Science', 'Business', 'Reference'],['Health']
39320,['Sports', 'Society', 'Business', 'Shopping'],['Arts']
43166,['Reference', 'Health', 'Sports', 'Society'],['Health']
2702,['Health', 'Sports', 'Society', 'Shopping'],['Health']
44324,['Science', 'Health', 'Sports', 'Society'],['Science']
4593,['Business', 'Shopping', 'Sports', 'Society'],['Arts']
49406,['Adult', 'Arts', 'Recreation', 'Games'],['Health']
35322,['Health', 'Recreation', 'Reference', 'Science'],['Health']
41037,['Health', 'Society', 'Sports', 'Shopping'],['Health']
34180,['Science', 'Health', 'Reference', 'Computers'],['Science']
29754,['Health', 'Science', 'Reference', 'Recreation'],['Business']
36455,['Health', 'Sports', 'Society', 'Shopping'],['Health']
11118,['Reference', 'Science', 'Recreation', 'Health'],['Science']
41841,['Reference', 'Science', 'Health', 'Business'],['Business']
15400,['Business', 'Computers', 'Science', 'Health'],['Business']
32366,['Health', 'Society', 'Science', 'Business'],['Health']
52483,['Science', 'Reference', 'Sports', 'Society'],['Science']
46305,['Reference', 'Science', 'Health', 'Recreation'],['Science']
51296,['Business', 'Computers', 'Shopping', 'Society'],['Arts']
44913,['Business', 'Health', 'Society', 'Shopping'],['Health']
6751,['Society', 'Health', 'Science', 'Reference'],['Society']
35108,['Recreation', 'Science', 'Games', 'Reference'],['Science']
34400,['Society', 'Sports', 'Adult', 'Health'],['Society']
16763,['Health', 'Computers', 'Business', 'Science'],['Health']
39657,['Society', 'Recreation', 'Health', 'Arts'],['Health']
17005,['Society', 'Computers', 'Business', 'Health'],['Society']
3201,['Science', 'Adult', 'Computers', 'Recreation'],['Science']
33578,['Arts', 'Sports', 'Society', 'Shopping'],['Arts']
1944,['Society', 'Adult', 'Arts', 'Reference'],['Arts']
27084,['Reference', 'Sports', 'Society', 'Shopping'],['Arts']
4011,['Business', 'Computers', 'Science', 'Recreation'],['Business']
40970,['Recreation', 'Computers', 'Business', 'Health'],['Health']
51442,['Business', 'Science', 'Sports', 'Society'],['Science']
51577,['Society', 'Sports', 'Shopping', 'Arts'],['Health']
14546,['Business', 'Science', 'Computers', 'Sports'],['Health']
54787,['Society', 'Health', 'Arts', 'Science'],['Arts']
11827,['Society', 'Sports', 'Recreation', 'Business'],['Arts']
32167,['Science', 'Health', 'Recreation', 'Reference'],['Science']
2060,['Health', 'Sports', 'Society', 'Shopping'],['Health']
53127,['Sports', 'Society', 'Shopping', 'Adult'],['Health']
4457,['Science', 'Computers', 'Reference', 'Business'],['Science']
45722,['Computers', 'Business', 'Arts', 'Games'],['Science']
47291,['Society', 'Health', 'Reference', 'Science'],['Society']
11964,['Society', 'Health', 'Science', 'Business'],['Society']
41947,['Society', 'Health', 'Science', 'Reference'],['Society']
45860,['Recreation', 'Computers', 'Science', 'Games'],['Science']
1921,['Arts', 'Sports', 'Society', 'Shopping'],['Arts']
7088,['Health', 'Society', 'Business', 'Shopping'],['Health']
9451,['Reference', 'Health', 'Science', 'Sports'],['Health']
11810,['Arts', 'Society', 'Reference', 'Shopping'],['Arts']
528,['Society', 'Sports', 'Shopping', 'Science'],['Society']
14371,['Business', 'Science', 'Recreation', 'Computers'],['Business']
37242,['Business', 'Computers', 'Science', 'Health'],['Science']
3777,['Business', 'Science', 'Health', 'Computers'],['Science', 'Business']
43530,['Society', 'Sports', 'Arts', 'Adult'],['Society']
4572,['Health', 'Business', 'Shopping', 'Society'],['Health']
10807,['Science', 'Computers', 'Business', 'Reference'],['Business']
38813,['Society', 'Arts', 'Reference', 'Recreation'],['Society']
6168,['Computers', 'Science', 'Recreation', 'Games'],['Business']
349,['Shopping', 'Health', 'Society', 'Business'],['Health']
16119,['Health', 'Recreation', 'Arts', 'Business'],['Health']
36837,['Science', 'Computers', 'Business', 'Health'],['Science']
8372,['Society', 'Reference', 'Business', 'Health'],['Society']
1745,['Health', 'Business', 'Science', 'Recreation'],['Health']
29650,['Society', 'Shopping', 'Sports', 'Science'],['Society']
45307,['Sports', 'Shopping', 'Adult', 'Games'],['Society']
51077,['Sports', 'Shopping', 'Society', 'Science'],['Society']
13287,['Health', 'Society', 'Science', 'Recreation'],['Health']
11369,['Computers', 'Science', 'Reference', 'Business'],['Reference']
46914,['Science', 'Business', 'Computers', 'Reference'],['Business']
58803,['Arts', 'Sports', 'Society', 'Shopping'],['Arts']
2227,['Shopping', 'Society', 'Business', 'Sports'],['Health']
24697,['Sports', 'Business', 'Shopping', 'Society'],['Business']
46323,['Arts', 'Sports', 'Society', 'Shopping'],['Arts']
32629,['Computers', 'Business', 'Science', 'Sports'],['Business']
12208,['Arts', 'Sports', 'Society', 'Shopping'],['Arts']
1324,['Arts', 'Sports', 'Society', 'Shopping'],['Arts']
14498,['Shopping', 'Society', 'Computers', 'Sports'],['Health']
45680,['Health', 'Science', 'Recreation', 'Reference'],['Health']
12569,['Recreation', 'Games', 'Reference', 'Science'],['Science']
29423,['Health', 'Business', 'Science', 'Reference'],['Health']
41826,['Health', 'Business', 'Science', 'Computers'],['Health']
5393,['Health', 'Business', 'Society', 'Games'],['Health']
47479,['Health', 'Recreation', 'Science', 'Reference'],['Health']
37549,['Recreation', 'Reference', 'Science', 'Games'],['Business']
57274,['Society', 'Sports', 'Shopping', 'Science'],['Society']
35057,['Arts', 'Sports', 'Society', 'Shopping'],['Arts']
36744,['Recreation', 'Computers', 'Business', 'Games'],['Business']
31511,['Society', 'Shopping', 'Recreation', 'Adult'],['Society']
6888,['Arts', 'Sports', 'Society', 'Shopping'],['Arts']
52666,['Science', 'Computers', 'Sports', 'Society'],['Science']
53165,['Arts', 'Reference', 'Society', 'Recreation'],['Recreation']
21031,['Shopping', 'Society', 'Sports', 'Science'],['Society']
14086,['Arts', 'Shopping', 'Society', 'Sports'],['Arts']
10549,['Games', 'Sports', 'Recreation', 'Adult'],['Science']
40109,['Reference', 'Science', 'Health', 'Recreation'],['Science', 'Society']
47470,['Society', 'Business', 'Computers', 'Arts'],['Society']
17122,['Health', 'Science', 'Reference', 'Recreation'],['Health']
48681,['Health', 'Business', 'Sports', 'Society'],['Health']
37215,['Science', 'Business', 'Computers', 'Recreation'],['Recreation']
43615,['Arts', 'Reference', 'Sports', 'Society'],['Arts']
51504,['Recreation', 'Reference', 'Science', 'Games'],['Recreation']
28579,['Society', 'Health', 'Science', 'Reference'],['Health']
1880,['Health', 'Reference', 'Society', 'Science'],['Health']
26036,['Arts', 'Recreation', 'Games', 'Society'],['Society']
15340,['Recreation', 'Adult', 'Computers', 'Games'],['Recreation']
24714,['Shopping', 'Society', 'Sports', 'Health'],['Society']
32557,['Society', 'Health', 'Business', 'Reference'],['Society']
41912,['Health', 'Society', 'Science', 'Sports'],['Health']
21618,['Business', 'Science', 'Computers', 'Recreation'],['Science']
54709,['Health', 'Business', 'Sports', 'Society'],['Health']
43061,['Recreation', 'Business', 'Arts', 'Computers'],['Recreation']
39507,['Recreation', 'Health', 'Business', 'Arts'],['Health']
31398,['Arts', 'Sports', 'Society', 'Shopping'],['Arts']
14649,['Health', 'Science', 'Reference', 'Business'],['Health']
29645,['Recreation', 'Health', 'Arts', 'Science'],['Recreation']
43319,['Society', 'Recreation', 'Games', 'Arts'],['Arts']
25801,['Recreation', 'Games', 'Computers', 'Adult'],['Recreation']
46152,['Society', 'Health', 'Recreation', 'Reference'],['Health']
39679,['Health', 'Business', 'Recreation', 'Science'],['Health']
47797,['Society', 'Adult', 'Sports', 'Shopping'],['Society']
10494,['Arts', 'Computers', 'Games', 'Sports'],['Shopping']
42622,['Recreation', 'Reference', 'Science', 'Arts'],['Arts']
42081,['Health', 'Business', 'Science', 'Recreation'],['Health']
20312,['Recreation', 'Games', 'Sports', 'Adult'],['Arts']
2990,['Recreation', 'Sports', 'Society', 'Shopping'],['Recreation']
11877,['Business', 'Science', 'Computers', 'Sports'],['Business']
37642,['Reference', 'Science', 'Recreation', 'Health'],['Science']
26422,['Health', 'Reference', 'Science', 'Sports'],['Health']
51052,['Society', 'Sports', 'Computers', 'Health'],['Society']
40385,['Arts', 'Shopping', 'Society', 'Adult'],['Arts']
54679,['Arts', 'Shopping', 'Society', 'Adult'],['Arts']
14077,['Reference', 'Sports', 'Society', 'Shopping'],['Health']
45911,['Shopping', 'Arts', 'Society', 'Adult'],['Arts']
36926,['Shopping', 'Society', 'Sports', 'Science'],['Society']
40975,['Society', 'Sports', 'Arts', 'Health'],['Society']
43584,['Recreation', 'Science', 'Reference', 'Games'],['Science']
4064,['Shopping', 'Society', 'Arts', 'Sports'],['Arts']
33527,['Recreation', 'Sports', 'Society', 'Shopping'],['Recreation']
17280,['Sports', 'Arts', 'Science', 'Society'],['Science']
4662,['Business', 'Science', 'Reference', 'Computers'],['Business']
20599,['Society', 'Sports', 'Arts', 'Shopping'],['Society']
47047,['Arts', 'Shopping', 'Computers', 'Sports'],['Arts']
47948,['Health', 'Business', 'Sports', 'Society'],['Health']
14181,['Society', 'Arts', 'Reference', 'Health'],['Society']
17181,['Health', 'Society', 'Arts', 'Business'],['Health']
58587,['Health', 'Science', 'Reference', 'Recreation'],['Business']
2155,['Recreation', 'Business', 'Science', 'Computers'],['Recreation']
38381,['Health', 'Sports', 'Society', 'Shopping'],['Health']
17828,['Games', 'Recreation', 'Computers', 'Science'],['Health']
13626,['Science', 'Reference', 'Health', 'Computers'],['Business']
53458,['Science', 'Recreation', 'Reference', 'Health'],['Health']
41070,['Science', 'Computers', 'Reference', 'Business'],['Science']
28361,['Shopping', 'Arts', 'Adult', 'Society'],['Arts']
37307,['Society', 'Shopping', 'Sports', 'Arts'],['Society']
55469,['Health', 'Society', 'Shopping', 'Business'],['Arts']
58393,['Business', 'Science', 'Computers', 'Health'],['Business']
6049,['Health', 'Science', 'Reference', 'Business'],['Health']
11380,['Health', 'Science', 'Recreation', 'Reference'],['Health']
34351,['Computers', 'Business', 'Recreation', 'Games'],['Science']
37140,['Health', 'Science', 'Reference', 'Recreation'],['Health']
44362,['Arts', 'Recreation', 'Health', 'Reference'],['Health']
14691,['Society', 'Shopping', 'Sports', 'Arts'],['Society']
50061,['Health', 'Society', 'Business', 'Science'],['Arts']
