47238, predicted: Home, actual: Arts
52337, predicted: Business, actual: Computers
52374, predicted: Business, actual: Computers
52414, predicted: Business, actual: Computers
52457, predicted: Games, actual: Computers
52514, predicted: Arts, actual: Computers
52564, predicted: Health, actual: Computers
52650, predicted: Recreation, actual: Computers
4053, predicted: News, actual: Arts
37132, predicted: Regional, actual: Society
37301, predicted: Shopping, actual: Society
37350, predicted: Home, actual: Society
37919, predicted: Kids, actual: Society
37932, predicted: Adult, actual: Society
38674, predicted: Society, actual: Sports
38803, predicted: Society, actual: Sports
39656, predicted: Computers, actual: Sports
40472, predicted: Society, actual: Sports
41250, predicted: Shopping, actual: Sports
41486, predicted: Society, actual: Sports
41642, predicted: Shopping, actual: Sports
41643, predicted: Shopping, actual: Sports
42811, predicted: Computers, actual: Sports
42998, predicted: Games, actual: Sports
43122, predicted: Arts, actual: Sports
43170, predicted: Regional, actual: Sports
43354, predicted: Society, actual: Sports
43400, predicted: Sports, actual: Regional
43412, predicted: Science, actual: Adult
43533, predicted: Arts, actual: Adult
43681, predicted: News, actual: Business
43692, predicted: News, actual: Business
43729, predicted: Computers, actual: Business
43780, predicted: Regional, actual: Computers
43901, predicted: Games, actual: Kids
43909, predicted: Business, actual: Games
43935, predicted: Arts, actual: Games
44033, predicted: Sports, actual: Health
44105, predicted: Home, actual: Regional
44106, predicted: Computers, actual: Home
44131, predicted: Recreation, actual: Home
44136, predicted: Home, actual: Society
44138, predicted: Shopping, actual: Home
44144, predicted: Home, actual: Business
44145, predicted: Computers, actual: Home
44146, predicted: Sports, actual: Home
44161, predicted: Home, actual: Regional
44173, predicted: Business, actual: Home
44175, predicted: Sports, actual: Home
44184, predicted: Arts, actual: Home
44190, predicted: Sports, actual: Kids
44203, predicted: Regional, actual: Kids
44209, predicted: Business, actual: Kids
44244, predicted: News, actual: Kids
44250, predicted: Health, actual: News
44290, predicted: News, actual: Business
44297, predicted: Society, actual: News
44302, predicted: News, actual: Regional
44316, predicted: Regional, actual: Recreation
44318, predicted: Recreation, actual: Regional
44327, predicted: Recreation, actual: Regional
44331, predicted: Regional, actual: Recreation
44339, predicted: Computers, actual: Recreation
44340, predicted: Recreation, actual: Science
44376, predicted: Computers, actual: Recreation
44378, predicted: Arts, actual: Recreation
44399, predicted: Business, actual: Recreation
44401, predicted: Shopping, actual: Recreation
44407, predicted: Recreation, actual: Regional
44413, predicted: Regional, actual: Reference
44434, predicted: Sports, actual: Reference
44454, predicted: Health, actual: Reference
44455, predicted: Sports, actual: Reference
44457, predicted: Shopping, actual: Reference
44463, predicted: Reference, actual: Regional
44487, predicted: Science, actual: Regional
44496, predicted: Shopping, actual: Regional
44499, predicted: Shopping, actual: Regional
44506, predicted: Computers, actual: Regional
44539, predicted: Reference, actual: Science
44553, predicted: Home, actual: Science
44556, predicted: Health, actual: Science
44558, predicted: Computers, actual: Science
44583, predicted: Computers, actual: Science
44591, predicted: Arts, actual: Science
44598, predicted: Arts, actual: Science
44632, predicted: Sports, actual: Shopping
44639, predicted: Business, actual: Shopping
44681, predicted: Business, actual: Society
44807, predicted: Kids, actual: Sports
44838, predicted: Society, actual: Sports
44875, predicted: Business, actual: Adult
44934, predicted: Shopping, actual: Adult
45148, predicted: Recreation, actual: Adult
45181, predicted: Society, actual: Adult
45219, predicted: Health, actual: Adult
45222, predicted: Shopping, actual: Adult
45413, predicted: Health, actual: Adult
45528, predicted: Kids, actual: Arts
45548, predicted: Sports, actual: Arts
45559, predicted: Kids, actual: Arts
45595, predicted: Computers, actual: Arts
45605, predicted: Computers, actual: Arts
45615, predicted: Society, actual: Arts
45704, predicted: Sports, actual: Arts
45758, predicted: Health, actual: Arts
45835, predicted: Health, actual: Arts
45836, predicted: Health, actual: Arts
45896, predicted: Computers, actual: Arts
45899, predicted: Business, actual: Arts
45902, predicted: Adult, actual: Arts
45977, predicted: Shopping, actual: Arts
45987, predicted: Arts, actual: Kids
45998, predicted: Society, actual: Arts
46007, predicted: Business, actual: Arts
46032, predicted: Society, actual: Arts
46057, predicted: Sports, actual: Arts
46071, predicted: Shopping, actual: Arts
46077, predicted: Society, actual: Arts
46100, predicted: Recreation, actual: Arts
46101, predicted: Shopping, actual: Arts
46127, predicted: Shopping, actual: Arts
46171, predicted: Sports, actual: Arts
46191, predicted: Shopping, actual: Arts
46217, predicted: Society, actual: Arts
46283, predicted: Computers, actual: Arts
46300, predicted: Shopping, actual: Arts
46313, predicted: Shopping, actual: Arts
46319, predicted: Adult, actual: Arts
46358, predicted: Games, actual: Arts
46376, predicted: Recreation, actual: Arts
46407, predicted: Computers, actual: Arts
46419, predicted: News, actual: Arts
46423, predicted: Recreation, actual: Arts
46439, predicted: Business, actual: Arts
46462, predicted: Games, actual: Arts
46463, predicted: Shopping, actual: Arts
46500, predicted: Sports, actual: Arts
46506, predicted: Kids, actual: Arts
46507, predicted: Health, actual: Arts
46544, predicted: Arts, actual: Games
46549, predicted: Society, actual: Arts
46587, predicted: Shopping, actual: Arts
46620, predicted: News, actual: Arts
46684, predicted: Health, actual: Arts
46691, predicted: Kids, actual: Arts
46725, predicted: Society, actual: Arts
46745, predicted: Kids, actual: Arts
46754, predicted: Sports, actual: Arts
46765, predicted: Shopping, actual: Arts
46778, predicted: Society, actual: Arts
46781, predicted: Society, actual: Arts
46790, predicted: Society, actual: Arts
46815, predicted: Business, actual: Arts
46820, predicted: Home, actual: Arts
46839, predicted: Games, actual: Arts
46847, predicted: Computers, actual: Arts
46849, predicted: Business, actual: Arts
46894, predicted: Regional, actual: Arts
46911, predicted: Sports, actual: Arts
46918, predicted: Home, actual: Arts
46934, predicted: Society, actual: Arts
46962, predicted: Society, actual: Arts
46979, predicted: Computers, actual: Arts
46988, predicted: Sports, actual: Arts
47055, predicted: Health, actual: Arts
47077, predicted: Health, actual: Arts
47100, predicted: Arts, actual: Shopping
47160, predicted: Reference, actual: Arts
47263, predicted: Adult, actual: Arts
47319, predicted: Science, actual: Arts
47361, predicted: Sports, actual: Arts
47367, predicted: Home, actual: Arts
47375, predicted: Sports, actual: Arts
47385, predicted: Computers, actual: Arts
47392, predicted: Business, actual: Arts
47407, predicted: Health, actual: Arts
47420, predicted: Shopping, actual: Arts
47435, predicted: Reference, actual: Arts
47441, predicted: Computers, actual: Arts
47446, predicted: Reference, actual: Arts
47451, predicted: Kids, actual: Arts
47476, predicted: Sports, actual: Arts
47490, predicted: Arts, actual: Recreation
47502, predicted: Computers, actual: Arts
47507, predicted: Business, actual: Arts
47521, predicted: Society, actual: Arts
47523, predicted: Society, actual: Arts
47575, predicted: Business, actual: Arts
47592, predicted: Kids, actual: Arts
47618, predicted: Computers, actual: Business
47636, predicted: Shopping, actual: Business
47686, predicted: Business, actual: Society
47722, predicted: Shopping, actual: Business
47725, predicted: Arts, actual: Business
47731, predicted: Society, actual: Business
47743, predicted: Shopping, actual: Business
47747, predicted: Science, actual: Business
47749, predicted: Reference, actual: Business
47762, predicted: Shopping, actual: Business
47770, predicted: Recreation, actual: Business
47773, predicted: Society, actual: Business
47780, predicted: Computers, actual: Business
47784, predicted: Shopping, actual: Business
47786, predicted: Arts, actual: Business
47825, predicted: Adult, actual: Business
47860, predicted: Shopping, actual: Business
47861, predicted: Computers, actual: Business
47885, predicted: Shopping, actual: Business
47891, predicted: Sports, actual: Business
47893, predicted: Business, actual: Shopping
47963, predicted: Health, actual: Business
47965, predicted: Shopping, actual: Business
47984, predicted: Kids, actual: Business
48050, predicted: Business, actual: Society
48120, predicted: Arts, actual: Business
48128, predicted: Shopping, actual: Business
48194, predicted: Arts, actual: Business
48248, predicted: Shopping, actual: Business
48306, predicted: Arts, actual: Business
48354, predicted: Shopping, actual: Business
48365, predicted: Computers, actual: Business
48458, predicted: Home, actual: Business
48504, predicted: Health, actual: Business
48520, predicted: Arts, actual: Business
48524, predicted: Computers, actual: Business
48528, predicted: Society, actual: Business
48534, predicted: Computers, actual: Business
48540, predicted: Computers, actual: Business
48674, predicted: Business, actual: Recreation
48814, predicted: Health, actual: Business
48880, predicted: Computers, actual: Business
48997, predicted: Health, actual: Business
49071, predicted: Health, actual: Business
49127, predicted: Computers, actual: Business
49183, predicted: Shopping, actual: Business
49235, predicted: Shopping, actual: Business
49252, predicted: Adult, actual: Business
49276, predicted: Science, actual: Business
49526, predicted: Adult, actual: Business
49586, predicted: Business, actual: Computers
49643, predicted: Shopping, actual: Business
49691, predicted: Society, actual: Business
49713, predicted: Computers, actual: Business
49914, predicted: Recreation, actual: Business
49951, predicted: Shopping, actual: Business
50055, predicted: Computers, actual: Business
50088, predicted: Arts, actual: Business
50095, predicted: Shopping, actual: Business
50152, predicted: Computers, actual: Business
50380, predicted: Shopping, actual: Business
50407, predicted: Arts, actual: Business
50433, predicted: Arts, actual: Business
50435, predicted: Arts, actual: Business
50495, predicted: Computers, actual: Business
50604, predicted: Society, actual: Computers
50605, predicted: Business, actual: Computers
50614, predicted: Society, actual: Computers
50637, predicted: Arts, actual: Computers
50677, predicted: Health, actual: Computers
50680, predicted: Science, actual: Computers
50778, predicted: Sports, actual: Computers
50794, predicted: Business, actual: Computers
50818, predicted: Business, actual: Computers
50922, predicted: Arts, actual: Computers
50975, predicted: Arts, actual: Computers
51033, predicted: News, actual: Computers
51065, predicted: Business, actual: Computers
51081, predicted: Computers, actual: Science
51090, predicted: Sports, actual: Computers
51110, predicted: Arts, actual: Computers
51143, predicted: Society, actual: Computers
51186, predicted: Sports, actual: Computers
51329, predicted: Business, actual: Computers
51358, predicted: Business, actual: Computers
51361, predicted: Society, actual: Computers
51372, predicted: Arts, actual: Computers
51486, predicted: Arts, actual: Computers
57056, predicted: Reference, actual: Recreation
57087, predicted: Society, actual: Recreation
57178, predicted: Shopping, actual: Recreation
57207, predicted: Society, actual: Recreation
57857, predicted: Business, actual: Reference
57897, predicted: Society, actual: Reference
57920, predicted: Home, actual: Reference
58058, predicted: Business, actual: Regional
58120, predicted: Science, actual: Regional
58187, predicted: Business, actual: Science
13413, predicted: Business, actual: Computers
14311, predicted: Science, actual: Games
15551, predicted: Games, actual: Health
15667, predicted: Business, actual: Health
16961, predicted: News, actual: Health
17078, predicted: Science, actual: Health
17254, predicted: Recreation, actual: Health
17920, predicted: Arts, actual: Health
18011, predicted: Computers, actual: Home
18047, predicted: Home, actual: Society
18129, predicted: Recreation, actual: Home
18251, predicted: Shopping, actual: Home
18521, predicted: Kids, actual: Home
18589, predicted: Health, actual: Home
18663, predicted: Business, actual: Home
18721, predicted: Business, actual: Home
18730, predicted: News, actual: Home
19170, predicted: Arts, actual: Kids
19255, predicted: Health, actual: Kids
19361, predicted: Recreation, actual: Kids
19390, predicted: Business, actual: Kids
19409, predicted: Kids, actual: Recreation
19526, predicted: Arts, actual: Kids
19574, predicted: Business, actual: Kids
19576, predicted: Recreation, actual: Kids
19603, predicted: News, actual: Sports
19668, predicted: Sports, actual: Kids
19987, predicted: Society, actual: News
20045, predicted: Home, actual: News
20079, predicted: Reference, actual: News
20140, predicted: Recreation, actual: News
20150, predicted: Health, actual: News
20958, predicted: Business, actual: News
20976, predicted: Computers, actual: News
21035, predicted: News, actual: Society
21041, predicted: Health, actual: News
21081, predicted: Games, actual: News
21307, predicted: Regional, actual: News
21349, predicted: Science, actual: News
21362, predicted: Home, actual: News
21379, predicted: Recreation, actual: News
21385, predicted: Science, actual: News
21386, predicted: Shopping, actual: News
21402, predicted: Recreation, actual: News
21403, predicted: Reference, actual: News
21405, predicted: Business, actual: News
21440, predicted: Health, actual: News
21450, predicted: Health, actual: News
21451, predicted: Business, actual: News
21461, predicted: Games, actual: News
21480, predicted: Computers, actual: News
21502, predicted: Computers, actual: Recreation
21531, predicted: Home, actual: Recreation
21534, predicted: Shopping, actual: Recreation
21552, predicted: Reference, actual: Recreation
21573, predicted: Adult, actual: Recreation
21580, predicted: Reference, actual: Recreation
21588, predicted: Adult, actual: Recreation
21621, predicted: Science, actual: Recreation
21686, predicted: Business, actual: Recreation
21690, predicted: Arts, actual: Recreation
21701, predicted: Business, actual: Recreation
21712, predicted: Science, actual: Recreation
21763, predicted: Business, actual: Recreation
21788, predicted: Science, actual: Recreation
21804, predicted: News, actual: Recreation
21816, predicted: News, actual: Recreation
21834, predicted: Business, actual: Recreation
21842, predicted: Arts, actual: Recreation
21859, predicted: Arts, actual: Recreation
21871, predicted: Society, actual: Recreation
21913, predicted: Business, actual: Recreation
21925, predicted: Games, actual: Recreation
21937, predicted: Arts, actual: Recreation
21946, predicted: Health, actual: Recreation
21950, predicted: Shopping, actual: Recreation
21961, predicted: News, actual: Recreation
21966, predicted: Home, actual: Recreation
21991, predicted: Home, actual: Recreation
22014, predicted: Arts, actual: Recreation
22034, predicted: Arts, actual: Recreation
22038, predicted: Shopping, actual: Recreation
22042, predicted: Kids, actual: Recreation
22068, predicted: Adult, actual: Recreation
22079, predicted: Health, actual: Recreation
22084, predicted: Kids, actual: Recreation
22107, predicted: Home, actual: Recreation
22160, predicted: Arts, actual: Recreation
22230, predicted: Society, actual: Recreation
22267, predicted: Reference, actual: Recreation
22336, predicted: Science, actual: Recreation
22392, predicted: Reference, actual: Recreation
22429, predicted: Kids, actual: Recreation
22522, predicted: Shopping, actual: Recreation
22527, predicted: Reference, actual: Recreation
22539, predicted: Business, actual: Recreation
22588, predicted: Shopping, actual: Recreation
22589, predicted: Home, actual: Recreation
22594, predicted: Business, actual: Recreation
22664, predicted: Business, actual: Recreation
22683, predicted: Regional, actual: Recreation
22698, predicted: Health, actual: Recreation
22702, predicted: Health, actual: Recreation
22713, predicted: Business, actual: Recreation
22729, predicted: Business, actual: Recreation
22745, predicted: Science, actual: Recreation
22797, predicted: News, actual: Recreation
22807, predicted: Society, actual: Recreation
22835, predicted: Computers, actual: Recreation
22863, predicted: Science, actual: Recreation
22933, predicted: Adult, actual: Recreation
23002, predicted: Health, actual: Recreation
23011, predicted: Kids, actual: Recreation
23033, predicted: Games, actual: Recreation
23048, predicted: Regional, actual: Recreation
23053, predicted: Arts, actual: Recreation
23074, predicted: Games, actual: Recreation
23086, predicted: Business, actual: Recreation
23107, predicted: Computers, actual: Recreation
23138, predicted: Society, actual: Recreation
23155, predicted: News, actual: Recreation
23160, predicted: Arts, actual: Recreation
23184, predicted: Games, actual: Recreation
23196, predicted: Arts, actual: Recreation
23250, predicted: Reference, actual: Recreation
23346, predicted: Recreation, actual: Society
23373, predicted: Kids, actual: Recreation
23438, predicted: Recreation, actual: Society
23461, predicted: Arts, actual: Recreation
23512, predicted: Business, actual: Recreation
23514, predicted: Science, actual: Recreation
23518, predicted: Business, actual: Recreation
23583, predicted: Games, actual: Recreation
23600, predicted: Shopping, actual: Recreation
23619, predicted: Arts, actual: Recreation
23744, predicted: Recreation, actual: Society
23801, predicted: Shopping, actual: Recreation
23810, predicted: Arts, actual: Recreation
23834, predicted: Health, actual: Recreation
23862, predicted: Arts, actual: Recreation
23932, predicted: Business, actual: Recreation
23979, predicted: Games, actual: Recreation
23983, predicted: Business, actual: Recreation
23985, predicted: Sports, actual: Recreation
23986, predicted: Recreation, actual: Society
23995, predicted: Arts, actual: Recreation
23996, predicted: Sports, actual: Recreation
24019, predicted: Computers, actual: Recreation
24024, predicted: Home, actual: Recreation
24029, predicted: Business, actual: Recreation
24037, predicted: Shopping, actual: Recreation
24079, predicted: Arts, actual: Recreation
24089, predicted: Business, actual: Recreation
24105, predicted: Science, actual: Recreation
24113, predicted: Business, actual: Recreation
24149, predicted: News, actual: Recreation
24154, predicted: Business, actual: Recreation
24172, predicted: Kids, actual: Recreation
24203, predicted: Arts, actual: Recreation
24209, predicted: Home, actual: Recreation
24227, predicted: News, actual: Recreation
24245, predicted: Recreation, actual: Shopping
24260, predicted: Health, actual: Recreation
24266, predicted: Business, actual: Recreation
24286, predicted: Health, actual: Recreation
24290, predicted: Science, actual: Recreation
24300, predicted: Science, actual: Recreation
24316, predicted: Arts, actual: Recreation
24319, predicted: Computers, actual: Recreation
24363, predicted: Business, actual: Recreation
24391, predicted: Computers, actual: Recreation
24443, predicted: Reference, actual: Recreation
24448, predicted: Computers, actual: Recreation
24470, predicted: Sports, actual: Recreation
24516, predicted: Games, actual: Recreation
24547, predicted: Arts, actual: Recreation
24551, predicted: Regional, actual: Recreation
24565, predicted: Home, actual: Recreation
24596, predicted: Society, actual: Recreation
24635, predicted: Arts, actual: Recreation
24670, predicted: Home, actual: Recreation
24711, predicted: Kids, actual: Recreation
24715, predicted: Health, actual: Recreation
24791, predicted: Kids, actual: Recreation
24912, predicted: Reference, actual: Recreation
24987, predicted: Reference, actual: Recreation
25024, predicted: Health, actual: Recreation
25105, predicted: Kids, actual: Recreation
25150, predicted: Business, actual: Recreation
25201, predicted: Business, actual: Recreation
25224, predicted: Kids, actual: Recreation
25226, predicted: Computers, actual: Recreation
25275, predicted: News, actual: Reference
25288, predicted: Recreation, actual: Reference
25304, predicted: Reference, actual: Society
25327, predicted: Society, actual: Reference
25334, predicted: Business, actual: Reference
25382, predicted: News, actual: Reference
25427, predicted: Computers, actual: Reference
25431, predicted: Business, actual: Reference
25437, predicted: Science, actual: Reference
25460, predicted: Business, actual: Reference
25480, predicted: Recreation, actual: Reference
25486, predicted: Science, actual: Reference
25514, predicted: Recreation, actual: Reference
25536, predicted: News, actual: Reference
25571, predicted: Business, actual: Reference
25593, predicted: Business, actual: Reference
25623, predicted: Business, actual: Reference
25625, predicted: Business, actual: Reference
25628, predicted: Computers, actual: Reference
25638, predicted: Arts, actual: Reference
25668, predicted: Business, actual: Reference
25732, predicted: Kids, actual: Reference
25794, predicted: Science, actual: Reference
25846, predicted: News, actual: Reference
25854, predicted: Health, actual: Reference
25860, predicted: Arts, actual: Reference
25862, predicted: Computers, actual: Reference
25863, predicted: Computers, actual: Reference
25882, predicted: Business, actual: Reference
25905, predicted: Business, actual: Reference
25956, predicted: Arts, actual: Reference
25975, predicted: Business, actual: Reference
25984, predicted: Computers, actual: Reference
25985, predicted: Business, actual: Reference
26001, predicted: Recreation, actual: Reference
26039, predicted: Shopping, actual: Reference
26047, predicted: Business, actual: Reference
26049, predicted: Computers, actual: Reference
26069, predicted: Home, actual: Reference
26088, predicted: Society, actual: Reference
26092, predicted: Computers, actual: Reference
26129, predicted: Reference, actual: Shopping
26252, predicted: Computers, actual: Reference
26273, predicted: Computers, actual: Reference
26285, predicted: Reference, actual: Shopping
26291, predicted: Recreation, actual: Reference
26298, predicted: Society, actual: Reference
26312, predicted: Science, actual: Reference
26324, predicted: Business, actual: Reference
26327, predicted: Society, actual: Reference
26351, predicted: Science, actual: Reference
26356, predicted: Kids, actual: Reference
26369, predicted: Society, actual: Reference
26386, predicted: Shopping, actual: Reference
26405, predicted: Business, actual: Reference
26412, predicted: Business, actual: Reference
26433, predicted: Home, actual: Reference
26461, predicted: Home, actual: Reference
26468, predicted: Games, actual: Reference
26525, predicted: Computers, actual: Reference
26539, predicted: Recreation, actual: Reference
26549, predicted: Kids, actual: Reference
26573, predicted: Recreation, actual: Reference
26578, predicted: Science, actual: Reference
26596, predicted: Recreation, actual: Reference
26613, predicted: Sports, actual: Regional
26627, predicted: News, actual: Regional
26647, predicted: News, actual: Regional
26655, predicted: Business, actual: Regional
26660, predicted: Business, actual: Regional
26661, predicted: News, actual: Regional
26667, predicted: Shopping, actual: Regional
26676, predicted: Science, actual: Regional
26692, predicted: Arts, actual: Regional
26719, predicted: Health, actual: Regional
26722, predicted: Health, actual: Regional
26724, predicted: Recreation, actual: Regional
26729, predicted: Health, actual: Regional
26744, predicted: Regional, actual: Society
26749, predicted: Recreation, actual: Regional
26754, predicted: Computers, actual: Regional
26762, predicted: Arts, actual: Regional
26765, predicted: Reference, actual: Regional
26818, predicted: Recreation, actual: Regional
26830, predicted: Business, actual: Regional
26842, predicted: Business, actual: Regional
26861, predicted: Recreation, actual: Regional
26870, predicted: Science, actual: Regional
26884, predicted: Business, actual: Regional
26921, predicted: Computers, actual: Regional
26942, predicted: Kids, actual: Regional
27008, predicted: Home, actual: Science
27019, predicted: Business, actual: Science
27035, predicted: Business, actual: Science
27042, predicted: Health, actual: Science
27046, predicted: Home, actual: Science
27049, predicted: Business, actual: Science
27056, predicted: Business, actual: Science
27059, predicted: Health, actual: Science
27060, predicted: Business, actual: Science
27106, predicted: Business, actual: Science
27121, predicted: Home, actual: Science
27154, predicted: Arts, actual: Science
27161, predicted: Business, actual: Science
27168, predicted: Arts, actual: Science
27175, predicted: News, actual: Science
27180, predicted: Arts, actual: Science
27191, predicted: Home, actual: Science
27212, predicted: Arts, actual: Science
27255, predicted: Adult, actual: Science
27284, predicted: Reference, actual: Science
27301, predicted: Computers, actual: Science
27304, predicted: Business, actual: Science
27312, predicted: Kids, actual: Science
27321, predicted: Health, actual: Science
27339, predicted: Society, actual: Science
27362, predicted: Computers, actual: Science
27377, predicted: Kids, actual: Science
27413, predicted: Reference, actual: Science
27446, predicted: News, actual: Science
27464, predicted: Computers, actual: Science
27486, predicted: Business, actual: Science
27487, predicted: Health, actual: Science
27545, predicted: Arts, actual: Science
27546, predicted: Health, actual: Science
27555, predicted: Business, actual: Science
27563, predicted: Computers, actual: Science
27591, predicted: Business, actual: Science
27604, predicted: Business, actual: Science
27612, predicted: News, actual: Science
27616, predicted: Reference, actual: Science
27622, predicted: Health, actual: Science
27634, predicted: Health, actual: Science
27648, predicted: Business, actual: Science
27674, predicted: Business, actual: Science
27687, predicted: Recreation, actual: Science
27707, predicted: News, actual: Science
27755, predicted: Recreation, actual: Science
27760, predicted: News, actual: Science
27796, predicted: Business, actual: Science
27804, predicted: Kids, actual: Science
27807, predicted: News, actual: Science
27814, predicted: Health, actual: Science
27830, predicted: Society, actual: Science
27834, predicted: Society, actual: Science
27836, predicted: Society, actual: Science
27841, predicted: Reference, actual: Science
27850, predicted: Society, actual: Science
27855, predicted: Business, actual: Science
27858, predicted: Health, actual: Science
27877, predicted: Arts, actual: Science
27899, predicted: Society, actual: Science
27907, predicted: Society, actual: Science
27915, predicted: Recreation, actual: Science
27948, predicted: Kids, actual: Science
27959, predicted: Reference, actual: Science
27983, predicted: Business, actual: Science
27997, predicted: Kids, actual: Science
28077, predicted: Business, actual: Science
28083, predicted: Reference, actual: Science
28102, predicted: Business, actual: Science
28125, predicted: Business, actual: Science
28132, predicted: Business, actual: Science
28148, predicted: Business, actual: Science
28151, predicted: Home, actual: Science
28159, predicted: Recreation, actual: Science
28164, predicted: Computers, actual: Science
28191, predicted: News, actual: Science
28198, predicted: Computers, actual: Science
28199, predicted: Computers, actual: Science
28207, predicted: Business, actual: Science
28220, predicted: Business, actual: Science
28249, predicted: Recreation, actual: Science
28267, predicted: Home, actual: Science
28274, predicted: Computers, actual: Science
28284, predicted: Kids, actual: Science
28331, predicted: Health, actual: Science
28351, predicted: Reference, actual: Science
28357, predicted: Business, actual: Science
28363, predicted: Health, actual: Science
28370, predicted: Health, actual: Science
28398, predicted: News, actual: Science
28410, predicted: Health, actual: Science
28446, predicted: Arts, actual: Science
28449, predicted: Recreation, actual: Science
28458, predicted: Shopping, actual: Science
28483, predicted: Arts, actual: Science
28484, predicted: Health, actual: Science
28508, predicted: Business, actual: Science
28526, predicted: Business, actual: Science
28579, predicted: Computers, actual: Science
28587, predicted: Recreation, actual: Science
28611, predicted: Science, actual: Society
28615, predicted: Home, actual: Science
28661, predicted: Society, actual: Science
28678, predicted: Business, actual: Science
28682, predicted: Business, actual: Science
28771, predicted: Recreation, actual: Science
28800, predicted: Arts, actual: Science
28815, predicted: Health, actual: Science
28821, predicted: Business, actual: Science
28832, predicted: Business, actual: Science
28833, predicted: Business, actual: Science
28841, predicted: Shopping, actual: Science
28843, predicted: Health, actual: Science
28844, predicted: Computers, actual: Science
28861, predicted: Business, actual: Science
28868, predicted: Reference, actual: Science
28872, predicted: Recreation, actual: Science
28891, predicted: Games, actual: Science
28906, predicted: Computers, actual: Science
28919, predicted: Computers, actual: Science
28925, predicted: Computers, actual: Science
28926, predicted: Recreation, actual: Science
28939, predicted: Business, actual: Science
28958, predicted: Computers, actual: Science
28990, predicted: Business, actual: Science
29018, predicted: Reference, actual: Science
29028, predicted: Sports, actual: Science
29049, predicted: Business, actual: Science
29051, predicted: Business, actual: Science
29072, predicted: Business, actual: Science
29089, predicted: Reference, actual: Science
29092, predicted: Shopping, actual: Science
29100, predicted: Computers, actual: Science
29111, predicted: Recreation, actual: Science
29123, predicted: Computers, actual: Science
29124, predicted: Business, actual: Science
29130, predicted: Business, actual: Science
29132, predicted: Computers, actual: Science
29137, predicted: Recreation, actual: Science
29141, predicted: Recreation, actual: Science
29159, predicted: Business, actual: Science
29165, predicted: Business, actual: Science
29191, predicted: Business, actual: Science
29201, predicted: Business, actual: Science
29204, predicted: Society, actual: Science
29205, predicted: Business, actual: Science
29246, predicted: Recreation, actual: Shopping
29250, predicted: Health, actual: Shopping
29254, predicted: Business, actual: Shopping
29267, predicted: Recreation, actual: Shopping
29292, predicted: Reference, actual: Shopping
29313, predicted: Arts, actual: Shopping
29324, predicted: Business, actual: Shopping
29337, predicted: Arts, actual: Shopping
29372, predicted: Recreation, actual: Shopping
29397, predicted: Arts, actual: Shopping
