22529, predicted: ['Kids', 'Arts'], actual: Recreation
28861, predicted: ['Business', 'Health'], actual: Science
190, predicted: ['Games', 'Business'], actual: Kids
6335, predicted: ['Recreation', 'Arts'], actual: Business
30912, predicted: ['Business', 'Health'], actual: Shopping
193, predicted: ['Business', 'Regional'], actual: Arts
26818, predicted: ['Recreation', 'Business'], actual: Regional
27339, predicted: ['Recreation', 'Arts'], actual: Science
19374, predicted: ['Recreation', 'Business'], actual: Kids
47948, predicted: ['Computers', 'Shopping'], actual: Business
25975, predicted: ['Business', 'Computers'], actual: Reference
205, predicted: ['Recreation', 'Arts'], actual: Society
26830, predicted: ['News', 'Business'], actual: Regional
47311, predicted: ['Society', 'Business'], actual: Arts
55505, predicted: ['Business', 'Arts'], actual: Home
55508, predicted: ['Computers', 'Sports'], actual: Home
55513, predicted: ['Arts', 'Business'], actual: Home
26842, predicted: ['Health', 'Business'], actual: Regional
28891, predicted: ['Business', 'Health'], actual: Science
58110, predicted: ['Computers', 'Shopping'], actual: Regional
55532, predicted: ['Business', 'Sports'], actual: Home
26861, predicted: ['Business', 'Science'], actual: Regional
53746, predicted: ['Science', 'Business'], actual: Health
26866, predicted: ['Recreation', 'Business'], actual: Regional
55451, predicted: ['Home', 'Recreation'], actual: Health
16629, predicted: ['Recreation', 'Society'], actual: Health
26870, predicted: ['Business', 'Recreation'], actual: Regional
41207, predicted: ['Health', 'Recreation'], actual: Sports
33016, predicted: ['Sports', 'Business'], actual: Shopping
249, predicted: ['Arts', 'Computers'], actual: Business
2054, predicted: ['Business', 'Reference'], actual: Computers
45309, predicted: ['Arts', 'Sports'], actual: Adult
18686, predicted: ['Business', 'Arts'], actual: Home
26884, predicted: ['Recreation', 'Business'], actual: Regional
45318, predicted: ['Shopping', 'Recreation'], actual: Adult
49415, predicted: ['Society', 'Science'], actual: Business
14759, predicted: ['Science', 'Computers'], actual: Games
34867, predicted: ['Reference', 'Regional'], actual: Society
29399, predicted: ['Recreation', 'Business'], actual: Shopping
37132, predicted: ['Recreation', 'Regional'], actual: Society
58413, predicted: ['Business', 'Computers'], actual: Science
26901, predicted: ['Recreation', 'Business'], actual: Regional
54361, predicted: ['Recreation', 'Computers'], actual: Health
22807, predicted: ['Science', 'Business'], actual: Recreation
18712, predicted: ['Arts', 'Recreation'], actual: Home
47385, predicted: ['Computers', 'Business'], actual: Arts
26907, predicted: ['Recreation', 'Arts'], actual: Regional
284, predicted: ['Recreation', 'Health'], actual: Business
18717, predicted: ['Business', 'Games'], actual: Home
4383, predicted: ['Recreation', 'Arts'], actual: Reference
18721, predicted: ['Kids', 'Business'], actual: Home
45347, predicted: ['Sports', 'Recreation'], actual: Adult
47397, predicted: ['Computers', 'Sports'], actual: Arts
33064, predicted: ['Arts', 'Society'], actual: Shopping
52956, predicted: ['Society', 'Shopping'], actual: Games
22827, predicted: ['Arts', 'News'], actual: Recreation
4238, predicted: ['Games', 'Recreation'], actual: Arts
55923, predicted: ['Health', 'Shopping'], actual: Home
53555, predicted: ['Computers', 'Sports'], actual: Games
2357, predicted: ['Recreation', 'Arts'], actual: Adult
2358, predicted: ['Recreation', 'Kids'], actual: Adult
2360, predicted: ['Recreation', 'Arts'], actual: Adult
47420, predicted: ['Shopping', 'Business'], actual: Arts
56714, predicted: ['Society', 'Arts'], actual: News
26942, predicted: ['Recreation', 'Science'], actual: Regional
14657, predicted: ['Recreation', 'Computers'], actual: Games
18754, predicted: ['Computers', 'Arts'], actual: Home
45379, predicted: ['Recreation', 'Sports'], actual: Adult
324, predicted: ['Computers', 'Arts'], actual: Business
55621, predicted: ['Science', 'Business'], actual: Home
26950, predicted: ['Recreation', 'Arts'], actual: Regional
43337, predicted: ['Society', 'Health'], actual: Sports
53578, predicted: ['Computers', 'Society'], actual: Games
47435, predicted: ['Business', 'Computers'], actual: Arts
32482, predicted: ['Computers', 'Business'], actual: Shopping
45391, predicted: ['Recreation', 'Computers'], actual: Adult
37201, predicted: ['News', 'Reference'], actual: Society
16099, predicted: ['Business', 'Computers'], actual: Health
50211, predicted: ['Computers', 'Arts'], actual: Business
26966, predicted: ['Reference', 'Arts'], actual: Regional
51543, predicted: ['Business', 'Shopping'], actual: Computers
43354, predicted: ['Arts', 'Kids'], actual: Sports
47451, predicted: ['Computers', 'Kids'], actual: Arts
56000, predicted: ['Computers', 'Science'], actual: Home
41311, predicted: ['Business', 'Recreation'], actual: Sports
55696, predicted: ['Shopping', 'Business'], actual: Home
18787, predicted: ['Business', 'Computers'], actual: Home
29028, predicted: ['Sports', 'Arts'], actual: Science
19174, predicted: ['Science', 'Arts'], actual: Kids
53606, predicted: ['Shopping', 'Arts'], actual: Games
10599, predicted: ['Shopping', 'Arts'], actual: Business
362, predicted: ['Reference', 'Science'], actual: Computers
2411, predicted: ['Computers', 'Business'], actual: Adult
18797, predicted: ['Recreation', 'Business'], actual: Home
4840, predicted: ['Recreation', 'Health'], actual: Arts
11991, predicted: ['Recreation', 'Arts'], actual: Computers
46999, predicted: ['Games', 'Recreation'], actual: Arts
37238, predicted: ['Sports', 'Arts'], actual: Society
46329, predicted: ['Recreation', 'Kids'], actual: Arts
29049, predicted: ['Computers', 'Business'], actual: Science
29051, predicted: ['Business', 'Computers'], actual: Science
43388, predicted: ['Science', 'Business'], actual: Games
20885, predicted: ['Arts', 'Recreation'], actual: News
2432, predicted: ['Recreation', 'Arts'], actual: Adult
14724, predicted: ['Computers', 'Home'], actual: Games
55702, predicted: ['News', 'Recreation'], actual: Home
57150, predicted: ['Business', 'Sports'], actual: Recreation
43400, predicted: ['Society', 'Reference'], actual: Regional
49545, predicted: ['Science', 'Computers'], actual: Business
394, predicted: ['Business', 'Home'], actual: Computers
19863, predicted: ['Games', 'Business'], actual: Kids
18828, predicted: ['Business', 'Arts'], actual: Home
10637, predicted: ['Recreation', 'Arts'], actual: Computers
16782, predicted: ['Business', 'Society'], actual: Health
43407, predicted: ['Business', 'Society'], actual: Reference
49552, predicted: ['Computers', 'Arts'], actual: Business
41364, predicted: ['Computers', 'Arts'], actual: Sports
4501, predicted: ['Business', 'Recreation'], actual: Arts
45462, predicted: ['Computers', 'Business'], actual: Kids
29079, predicted: ['Business', 'Computers'], actual: Science
39323, predicted: ['Business', 'Reference'], actual: Sports
49564, predicted: ['Computers', 'Society'], actual: Business
414, predicted: ['Business', 'News'], actual: Computers
55712, predicted: ['Health', 'Sports'], actual: Home
44784, predicted: ['Business', 'Recreation'], actual: Sports
49570, predicted: ['Reference', 'Computers'], actual: Business
6563, predicted: ['Science', 'Health'], actual: Business
57909, predicted: ['Business', 'Computers'], actual: Reference
27046, predicted: ['Home', 'Shopping'], actual: Science
4519, predicted: ['Business', 'Recreation'], actual: Arts
37288, predicted: ['Business', 'Computers'], actual: Society
55798, predicted: ['Recreation', 'Arts'], actual: Home
12715, predicted: ['Recreation', 'Business'], actual: Computers
29100, predicted: ['Computers', 'Recreation'], actual: Science
21223, predicted: ['Computers', 'Shopping'], actual: News
50473, predicted: ['Home', 'Science'], actual: Business
19791, predicted: ['Recreation', 'Health'], actual: Kids
20473, predicted: ['Arts', 'Computers'], actual: News
438, predicted: ['Arts', 'Recreation'], actual: Games
1097, predicted: ['Arts', 'Computers'], actual: Recreation
45501, predicted: ['Computers', 'Business'], actual: Arts
49567, predicted: ['Computers', 'Arts'], actual: Business
444, predicted: ['Recreation', 'Arts'], actual: Games
43453, predicted: ['Arts', 'Computers'], actual: Adult
58621, predicted: ['Home', 'Business'], actual: Shopping
25024, predicted: ['Business', 'Health'], actual: Recreation
35267, predicted: ['Arts', 'Sports'], actual: Society
18885, predicted: ['Computers', 'Business'], actual: Home
25031, predicted: ['Business', 'Computers'], actual: Recreation
4552, predicted: ['Business', 'Computers'], actual: Arts
50013, predicted: ['Arts', 'Society'], actual: Business
45517, predicted: ['Society', 'Recreation'], actual: Arts
29137, predicted: ['Computers', 'Business'], actual: Science
466, predicted: ['Computers', 'Business'], actual: Games
29141, predicted: ['Computers', 'Business'], actual: Science
6614, predicted: ['Health', 'Home'], actual: Business
47575, predicted: ['Health', 'Business'], actual: Arts
1444, predicted: ['Computers', 'Business'], actual: Science
47580, predicted: ['Computers', 'Business'], actual: Arts
2525, predicted: ['Business', 'Shopping'], actual: Adult
55777, predicted: ['Shopping', 'Science'], actual: Home
43491, predicted: ['Recreation', 'Society'], actual: Adult
57829, predicted: ['Society', 'Business'], actual: Reference
37350, predicted: ['Arts', 'Shopping'], actual: Society
43496, predicted: ['Arts', 'Sports'], actual: Adult
35305, predicted: ['Shopping', 'Business'], actual: Society
47594, predicted: ['Shopping', 'Business'], actual: Arts
491, predicted: ['Business', 'Computers'], actual: Games
12781, predicted: ['Recreation', 'Business'], actual: Computers
2543, predicted: ['Business', 'Adult'], actual: Shopping
39408, predicted: ['Regional', 'Kids'], actual: Sports
2472, predicted: ['Recreation', 'Business'], actual: Adult
57844, predicted: ['Sports', 'Society'], actual: Reference
33269, predicted: ['Computers', 'Business'], actual: Shopping
31222, predicted: ['Health', 'Business'], actual: Shopping
46505, predicted: ['Games', 'Shopping'], actual: Arts
41465, predicted: ['Arts', 'News'], actual: Sports
18940, predicted: ['Recreation', 'Games'], actual: Home
21362, predicted: ['Recreation', 'Home'], actual: News
53250, predicted: ['Recreation', 'Arts'], actual: Games
37377, predicted: ['Arts', 'Kids'], actual: Society
27138, predicted: ['Health', 'Recreation'], actual: Science
47531, predicted: ['Business', 'Sports'], actual: Kids
14852, predicted: ['Arts', 'Recreation'], actual: Games
9769, predicted: ['Reference', 'Computers'], actual: Business
36609, predicted: ['Sports', 'Recreation'], actual: Society
4616, predicted: ['Computers', 'Games'], actual: Arts
55405, predicted: ['Society', 'Arts'], actual: Health
14861, predicted: ['Computers', 'Arts'], actual: Games
41486, predicted: ['Arts', 'Kids'], actual: Sports
22522, predicted: ['Health', 'Business'], actual: Recreation
30467, predicted: ['Arts', 'Sports'], actual: Shopping
29204, predicted: ['Business', 'Society'], actual: Science
23061, predicted: ['Reference', 'News'], actual: Recreation
2583, predicted: ['Shopping', 'Games'], actual: Adult
35684, predicted: ['Computers', 'Sports'], actual: Society
57882, predicted: ['Shopping', 'Business'], actual: Reference
53787, predicted: ['Recreation', 'Computers'], actual: Health
21022, predicted: ['Recreation', 'Health'], actual: News
55841, predicted: ['Sports', 'Regional'], actual: Home
23074, predicted: ['Kids', 'Arts'], actual: Recreation
43556, predicted: ['Business', 'Regional'], actual: Computers
56070, predicted: ['Shopping', 'Arts'], actual: Home
29222, predicted: ['Computers', 'Business'], actual: Science
37416, predicted: ['Home', 'Arts'], actual: Society
56866, predicted: ['Arts', 'Business'], actual: News
23086, predicted: ['Arts', 'Adult'], actual: Recreation
16944, predicted: ['Recreation', 'Business'], actual: Health
58120, predicted: ['Science', 'Sports'], actual: Regional
57906, predicted: ['Recreation', 'Business'], actual: Reference
2611, predicted: ['Shopping', 'Business'], actual: Adult
31285, predicted: ['Computers', 'Business'], actual: Shopping
29752, predicted: ['News', 'Society'], actual: Shopping
8761, predicted: ['Recreation', 'Computers'], actual: Business
45627, predicted: ['Business', 'Shopping'], actual: Arts
53821, predicted: ['Business', 'Shopping'], actual: Health
2622, predicted: ['Shopping', 'Computers'], actual: Adult
1461, predicted: ['Health', 'Business'], actual: Science
51776, predicted: ['Business', 'Health'], actual: Computers
2625, predicted: ['Recreation', 'Business'], actual: Adult
19010, predicted: ['Arts', 'Recreation'], actual: Kids
579, predicted: ['Business', 'Science'], actual: Health
21228, predicted: ['Health', 'Arts'], actual: News
6726, predicted: ['Arts', 'Computers'], actual: Business
2634, predicted: ['Arts', 'Recreation'], actual: Adult
21068, predicted: ['Arts', 'Health'], actual: News
6733, predicted: ['Shopping', 'Arts'], actual: Business
29264, predicted: ['Recreation', 'Arts'], actual: Shopping
6739, predicted: ['Computers', 'Science'], actual: Business
4693, predicted: ['Recreation', 'Games'], actual: Arts
2647, predicted: ['Health', 'Business'], actual: Adult
19032, predicted: ['Computers', 'Business'], actual: Kids
21081, predicted: ['Arts', 'Recreation'], actual: News
51804, predicted: ['Society', 'Arts'], actual: Computers
11706, predicted: ['News', 'Regional'], actual: Computers
5221, predicted: ['Computers', 'Business'], actual: Shopping
19040, predicted: ['Computers', 'Arts'], actual: Kids
4705, predicted: ['Business', 'Shopping'], actual: Arts
23138, predicted: ['Computers', 'Arts'], actual: Recreation
1467, predicted: ['Business', 'Society'], actual: Regional
45672, predicted: ['Society', 'Kids'], actual: Arts
2665, predicted: ['Recreation', 'Computers'], actual: Adult
57962, predicted: ['Business', 'Recreation'], actual: Reference
2667, predicted: ['Business', 'Recreation'], actual: Adult
21103, predicted: ['Health', 'Kids'], actual: News
14961, predicted: ['Arts', 'Business'], actual: Games
26387, predicted: ['Business', 'Recreation'], actual: Reference
57978, predicted: ['Society', 'Business'], actual: Reference
44138, predicted: ['Business', 'Shopping'], actual: Home
47743, predicted: ['Recreation', 'Computers'], actual: Business
4736, predicted: ['News', 'Recreation'], actual: Arts
53014, predicted: ['Shopping', 'Business'], actual: Games
2694, predicted: ['Recreation', 'Games'], actual: Adult
54966, predicted: ['Sports', 'Computers'], actual: Health
10889, predicted: ['Games', 'Recreation'], actual: Computers
29324, predicted: ['Business', 'Recreation'], actual: Shopping
2703, predicted: ['Arts', 'Recreation'], actual: Adult
37656, predicted: ['Arts', 'Sports'], actual: Society
53907, predicted: ['Sports', 'Business'], actual: Health
53017, predicted: ['Society', 'Shopping'], actual: Games
21150, predicted: ['Arts', 'Recreation'], actual: News
20933, predicted: ['Science', 'Business'], actual: News
51872, predicted: ['Health', 'Science'], actual: Computers
19117, predicted: ['Computers', 'Recreation'], actual: Kids
53923, predicted: ['Business', 'Arts'], actual: Health
27301, predicted: ['Recreation', 'Business'], actual: Science
12967, predicted: ['Business', 'Science'], actual: Computers
47786, predicted: ['Computers', 'Sports'], actual: Business
34930, predicted: ['Shopping', 'Kids'], actual: Society
2735, predicted: ['Recreation', 'Business'], actual: Adult
10928, predicted: ['Business', 'Arts'], actual: Computers
50487, predicted: ['Shopping', 'Computers'], actual: Business
58042, predicted: ['Computers', 'Games'], actual: Reference
1823, predicted: ['Arts', 'Business'], actual: Sports
19132, predicted: ['Sports', 'Recreation'], actual: Kids
33469, predicted: ['Computers', 'Games'], actual: Shopping
19800, predicted: ['Business', 'Recreation'], actual: Kids
4802, predicted: ['Recreation', 'Health'], actual: News
56004, predicted: ['Society', 'Health'], actual: Home
4806, predicted: ['Computers', 'Business'], actual: Arts
25288, predicted: ['News', 'Health'], actual: Reference
58058, predicted: ['Arts', 'Business'], actual: Regional
4811, predicted: ['Home', 'Health'], actual: Arts
15052, predicted: ['Computers', 'Business'], actual: Games
21197, predicted: ['Recreation', 'Computers'], actual: News
10963, predicted: ['Science', 'Business'], actual: Computers
725, predicted: ['Computers', 'Arts'], actual: Home
58257, predicted: ['Health', 'Computers'], actual: Science
10970, predicted: ['Arts', 'Shopping'], actual: Computers
40990, predicted: ['Business', 'Arts'], actual: Sports
53984, predicted: ['Kids', 'Computers'], actual: Health
27362, predicted: ['Business', 'Recreation'], actual: Science
58083, predicted: ['Business', 'Recreation'], actual: Regional
37604, predicted: ['Computers', 'Arts'], actual: Society
741, predicted: ['Recreation', 'Health'], actual: Home
29414, predicted: ['Recreation', 'Arts'], actual: Shopping
19175, predicted: ['Recreation', 'Arts'], actual: Kids
43752, predicted: ['Computers', 'Arts'], actual: Business
33513, predicted: ['Games', 'Arts'], actual: Shopping
36032, predicted: ['Health', 'Shopping'], actual: Society
39662, predicted: ['Arts', 'Society'], actual: Sports
26749, predicted: ['Business', 'Recreation'], actual: Regional
39664, predicted: ['Business', 'Society'], actual: Sports
29426, predicted: ['Business', 'News'], actual: Shopping
19190, predicted: ['Reference', 'Arts'], actual: Kids
43767, predicted: ['Computers', 'Business'], actual: Regional
56056, predicted: ['Health', 'Society'], actual: Home
19193, predicted: ['Arts', 'Computers'], actual: Kids
56059, predicted: ['Recreation', 'Sports'], actual: Home
13052, predicted: ['Science', 'Health'], actual: Computers
20266, predicted: ['Computers', 'Business'], actual: Arts
56062, predicted: ['Computers', 'Sports'], actual: Home
55765, predicted: ['Society', 'Sports'], actual: Home
43782, predicted: ['Kids', 'Arts'], actual: Computers
4871, predicted: ['Recreation', 'Health'], actual: Arts
11016, predicted: ['Business', 'Recreation'], actual: Computers
58156, predicted: ['Computers', 'Society'], actual: Science
45835, predicted: ['Health', 'News'], actual: Arts
130, predicted: ['Business', 'Computers'], actual: Arts
53037, predicted: ['Sports', 'Arts'], actual: Games
20259, predicted: ['Recreation', 'Society'], actual: Arts
41746, predicted: ['Business', 'Computers'], actual: Sports
792, predicted: ['Science', 'Reference'], actual: Home
56090, predicted: ['Arts', 'Business'], actual: Kids
23325, predicted: ['Health', 'Games'], actual: Recreation
25376, predicted: ['Health', 'Recreation'], actual: Reference
4899, predicted: ['Recreation', 'Society'], actual: Arts
804, predicted: ['Business', 'Computers'], actual: Home
25382, predicted: ['Computers', 'Recreation'], actual: Reference
6951, predicted: ['Science', 'Computers'], actual: Business
2857, predicted: ['Recreation', 'Games'], actual: Arts
23339, predicted: ['Arts', 'Science'], actual: Recreation
55027, predicted: ['Science', 'Arts'], actual: Health
58266, predicted: ['Business', 'Recreation'], actual: Science
816, predicted: ['Business', 'Computers'], actual: Kids
45875, predicted: ['Computers', 'Business'], actual: Arts
19255, predicted: ['Health', 'Science'], actual: Kids
35644, predicted: ['Recreation', 'Sports'], actual: Society
17214, predicted: ['Business', 'Society'], actual: Health
831, predicted: ['Society', 'News'], actual: Kids
832, predicted: ['Computers', 'Business'], actual: Kids
6978, predicted: ['Shopping', 'Home'], actual: Business
29508, predicted: ['Recreation', 'Arts'], actual: Shopping
56118, predicted: ['Sports', 'Arts'], actual: Kids
6982, predicted: ['Home', 'Arts'], actual: Business
58183, predicted: ['Business', 'Sports'], actual: Science
27464, predicted: ['Business', 'Computers'], actual: Science
56138, predicted: ['Arts', 'Shopping'], actual: Kids
58187, predicted: ['Computers', 'Business'], actual: Science
844, predicted: ['Science', 'Business'], actual: Kids
53016, predicted: ['Shopping', 'Arts'], actual: Games
847, predicted: ['Shopping', 'Kids'], actual: Recreation
19281, predicted: ['Health', 'Recreation'], actual: Kids
29522, predicted: ['Science', 'Business'], actual: Shopping
852, predicted: ['Arts', 'Computers'], actual: Kids
31886, predicted: ['Arts', 'Business'], actual: Shopping
36665, predicted: ['Health', 'Sports'], actual: Society
15194, predicted: ['Business', 'Recreation'], actual: Health
1167, predicted: ['Arts', 'Society'], actual: Recreation
861, predicted: ['Science', 'Health'], actual: Kids
862, predicted: ['Computers', 'Recreation'], actual: Kids
41827, predicted: ['Health', 'Shopping'], actual: Sports
13156, predicted: ['Business', 'Science'], actual: Computers
21349, predicted: ['Arts', 'Business'], actual: News
17254, predicted: ['Recreation', 'Arts'], actual: Health
2919, predicted: ['Recreation', 'Reference'], actual: Arts
29544, predicted: ['Business', 'Arts'], actual: Shopping
19260, predicted: ['Recreation', 'Health'], actual: Kids
58218, predicted: ['Recreation', 'Sports'], actual: Science
58408, predicted: ['Society', 'Business'], actual: Science
59240, predicted: ['Shopping', 'Business'], actual: Games
36328, predicted: ['Business', 'Computers'], actual: Society
39794, predicted: ['Business', 'Recreation'], actual: Sports
56202, predicted: ['Recreation', 'Arts'], actual: Kids
25460, predicted: ['Recreation', 'Home'], actual: Reference
885, predicted: ['Recreation', 'News'], actual: Science
18921, predicted: ['Games', 'Recreation'], actual: Home
51449, predicted: ['Arts', 'Recreation'], actual: Computers
56188, predicted: ['Society', 'Arts'], actual: Kids
56190, predicted: ['Computers', 'Arts'], actual: Kids
51917, predicted: ['Arts', 'News'], actual: Computers
25603, predicted: ['Computers', 'Business'], actual: Reference
43905, predicted: ['Computers', 'Business'], actual: Games
21379, predicted: ['Sports', 'Recreation'], actual: News
6007, predicted: ['Business', 'Science'], actual: News
25480, predicted: ['Computers', 'Shopping'], actual: Reference
11145, predicted: ['Science', 'Business'], actual: Computers
21386, predicted: ['Recreation', 'Society'], actual: News
43916, predicted: ['Business', 'Arts'], actual: Regional
45890, predicted: ['Sports', 'Health'], actual: Arts
23438, predicted: ['Arts', 'Reference'], actual: Society
20973, predicted: ['Arts', 'Recreation'], actual: News
913, predicted: ['Health', 'Business'], actual: Science
11154, predicted: ['Business', 'Science'], actual: Computers
1667, predicted: ['Arts', 'Business'], actual: Society
5013, predicted: ['Shopping', 'Business'], actual: Arts
17302, predicted: ['Business', 'Science'], actual: Health
43927, predicted: ['Business', 'Computers'], actual: Games
37700, predicted: ['Recreation', 'Sports'], actual: Society
27546, predicted: ['Recreation', 'News'], actual: Science
923, predicted: ['Business', 'Reference'], actual: Society
56220, predicted: ['Arts', 'Business'], actual: Kids
21406, predicted: ['Health', 'Games'], actual: News
19360, predicted: ['Recreation', 'Arts'], actual: Kids
48037, predicted: ['Science', 'Computers'], actual: Business
56235, predicted: ['Society', 'Sports'], actual: Kids
9132, predicted: ['News', 'Society'], actual: Business
48626, predicted: ['Arts', 'Computers'], actual: Business
54194, predicted: ['Business', 'Computers'], actual: Health
19058, predicted: ['Recreation', 'Games'], actual: Kids
11195, predicted: ['Business', 'Recreation'], actual: Computers
3004, predicted: ['Adult', 'Business'], actual: Arts
19390, predicted: ['Science', 'Business'], actual: Kids
11200, predicted: ['Science', 'Business'], actual: Computers
843, predicted: ['Science', 'Reference'], actual: Kids
3013, predicted: ['Kids', 'Recreation'], actual: Arts
966, predicted: ['Arts', 'Kids'], actual: News
25545, predicted: ['Business', 'Arts'], actual: Reference
19406, predicted: ['Arts', 'Health'], actual: Kids
975, predicted: ['Regional', 'Society'], actual: News
56021, predicted: ['Society', 'Sports'], actual: Home
56278, predicted: ['Business', 'Sports'], actual: Kids
23033, predicted: ['Games', 'Kids'], actual: Recreation
56281, predicted: ['Arts', 'Reference'], actual: Kids
23514, predicted: ['Reference', 'Shopping'], actual: Recreation
19420, predicted: ['Recreation', 'Health'], actual: Kids
58333, predicted: ['News', 'Computers'], actual: Science
58337, predicted: ['News', 'Arts'], actual: Science
995, predicted: ['Recreation', 'News'], actual: Regional
56292, predicted: ['Arts', 'Society'], actual: Kids
25573, predicted: ['Business', 'Computers'], actual: Reference
13286, predicted: ['Games', 'Arts'], actual: Computers
13945, predicted: ['Business', 'Computers'], actual: Games
4875, predicted: ['Computers', 'Recreation'], actual: Arts
11241, predicted: ['Reference', 'Health'], actual: Computers
1002, predicted: ['Arts', 'Business'], actual: News
