40961, predicted: ['Recreation'], actual: Sports
8452, predicted: ['Recreation'], actual: Business
49415, predicted: ['Shopping'], actual: Business
264, predicted: ['Computers'], actual: Shopping
16665, predicted: ['Recreation'], actual: Health
284, predicted: ['Recreation'], actual: Business
56140, predicted: ['Shopping'], actual: Kids
33064, predicted: ['Society'], actual: Shopping
14241, predicted: ['Recreation'], actual: Games
324, predicted: ['Recreation'], actual: Business
52976, predicted: ['Computers'], actual: Games
24903, predicted: ['News'], actual: Recreation
19170, predicted: ['Arts'], actual: Kids
24912, predicted: ['Society'], actual: Recreation
337, predicted: ['Home'], actual: Business
33116, predicted: ['Sports'], actual: Shopping
41311, predicted: ['Shopping'], actual: Sports
352, predicted: ['Computers'], actual: Sports
360, predicted: ['Business'], actual: Regional
362, predicted: ['Reference'], actual: Computers
24939, predicted: ['Shopping'], actual: Recreation
24941, predicted: ['Business'], actual: Recreation
366, predicted: ['Business'], actual: Computers
8559, predicted: ['Recreation'], actual: Business
49526, predicted: ['Society'], actual: Business
2793, predicted: ['Computers'], actual: Arts
41341, predicted: ['Shopping'], actual: Sports
49536, predicted: ['Computers'], actual: Business
12288, predicted: ['Business'], actual: Computers
24968, predicted: ['Computers'], actual: Recreation
49545, predicted: ['Science'], actual: Business
394, predicted: ['Arts'], actual: Computers
396, predicted: ['Business'], actual: Computers
16782, predicted: ['Society'], actual: Health
49552, predicted: ['Computers'], actual: Business
41364, predicted: ['Computers'], actual: Sports
405, predicted: ['Business'], actual: Computers
49559, predicted: ['Computers'], actual: Business
49564, predicted: ['Computers'], actual: Business
414, predicted: ['Business'], actual: Computers
49567, predicted: ['Computers'], actual: Business
16801, predicted: ['Science'], actual: Health
418, predicted: ['Business'], actual: Computers
49574, predicted: ['Computers'], actual: Business
16807, predicted: ['Business'], actual: Health
25001, predicted: ['Arts'], actual: Recreation
41386, predicted: ['Games'], actual: Sports
4167, predicted: ['Recreation'], actual: Arts
438, predicted: ['Arts'], actual: Games
444, predicted: ['Computers'], actual: Games
446, predicted: ['Computers'], actual: Sports
8640, predicted: ['Shopping'], actual: Business
453, predicted: ['Recreation'], actual: Games
25031, predicted: ['News'], actual: Recreation
49614, predicted: ['Shopping'], actual: Business
466, predicted: ['Computers'], actual: Games
1444, predicted: ['Business'], actual: Science
30117, predicted: ['Adult'], actual: Shopping
9836, predicted: ['Recreation'], actual: Business
57829, predicted: ['Society'], actual: Reference
491, predicted: ['Arts'], actual: Games
493, predicted: ['Arts'], actual: Games
26749, predicted: ['Business'], actual: Regional
8692, predicted: ['Recreation'], actual: Business
502, predicted: ['Arts'], actual: Games
41465, predicted: ['Society'], actual: Sports
16896, predicted: ['Business'], actual: Health
57857, predicted: ['Computers'], actual: Reference
41474, predicted: ['Society'], actual: Sports
49667, predicted: ['Shopping'], actual: Business
57860, predicted: ['Shopping'], actual: Reference
8709, predicted: ['Computers'], actual: Business
25101, predicted: ['Business'], actual: Recreation
41486, predicted: ['Arts'], actual: Sports
5549, predicted: ['Recreation'], actual: Arts
528, predicted: ['Computers'], actual: Games
16921, predicted: ['Science'], actual: Health
57882, predicted: ['Society'], actual: Reference
49691, predicted: ['Society'], actual: Business
4186, predicted: ['Recreation'], actual: Arts
16930, predicted: ['Business'], actual: Health
43782, predicted: ['Shopping'], actual: Computers
57897, predicted: ['Computers'], actual: Reference
554, predicted: ['Home'], actual: Health
16944, predicted: ['Computers'], actual: Health
25137, predicted: ['Business'], actual: Recreation
57906, predicted: ['Society'], actual: Reference
57909, predicted: ['Computers'], actual: Reference
8761, predicted: ['Computers'], actual: Business
16113, predicted: ['Business'], actual: Health
9653, predicted: ['Computers'], actual: Business
26039, predicted: ['Science'], actual: Reference
18296, predicted: ['Recreation'], actual: Home
4195, predicted: ['Science'], actual: Arts
57943, predicted: ['Computers'], actual: Reference
23311, predicted: ['Computers'], actual: Recreation
5562, predicted: ['Business'], actual: Arts
49758, predicted: ['Shopping'], actual: Business
57953, predicted: ['Recreation'], actual: Reference
43793, predicted: ['Shopping'], actual: Computers
57962, predicted: ['Recreation'], actual: Reference
41581, predicted: ['Society'], actual: Sports
624, predicted: ['Business'], actual: Health
25201, predicted: ['Business'], actual: Recreation
628, predicted: ['Business'], actual: Health
8826, predicted: ['Recreation'], actual: Business
33407, predicted: ['Computers'], actual: Shopping
644, predicted: ['Recreation'], actual: Health
49798, predicted: ['Computers'], actual: Business
25226, predicted: ['Business'], actual: Recreation
25236, predicted: ['Adult'], actual: Recreation
49818, predicted: ['News'], actual: Business
56090, predicted: ['Business'], actual: Kids
8870, predicted: ['Computers'], actual: Business
58025, predicted: ['Society'], actual: Reference
4210, predicted: ['Recreation'], actual: Arts
49838, predicted: ['Computers'], actual: Business
39709, predicted: ['Computers'], actual: Sports
688, predicted: ['Computers'], actual: Home
25268, predicted: ['Games'], actual: Recreation
49846, predicted: ['Society'], actual: Business
58042, predicted: ['Computers'], actual: Reference
25275, predicted: ['Arts'], actual: Reference
33469, predicted: ['Games'], actual: Shopping
703, predicted: ['Shopping'], actual: Regional
41668, predicted: ['Computers'], actual: Society
25288, predicted: ['Arts'], actual: Reference
713, predicted: ['Business'], actual: Home
17098, predicted: ['Science'], actual: Health
119, predicted: ['Computers'], actual: Adult
716, predicted: ['Business'], actual: Home
8913, predicted: ['Recreation'], actual: Business
8915, predicted: ['Computers'], actual: Society
25300, predicted: ['Society'], actual: Reference
33493, predicted: ['Games'], actual: Shopping
41687, predicted: ['Society'], actual: Sports
730, predicted: ['Business'], actual: Home
58075, predicted: ['Business'], actual: Regional
58083, predicted: ['Sports'], actual: Regional
741, predicted: ['Recreation'], actual: Home
41704, predicted: ['Computers'], actual: Sports
33513, predicted: ['Games'], actual: Shopping
754, predicted: ['Shopping'], actual: Home
25334, predicted: ['Science'], actual: Reference
49914, predicted: ['Shopping'], actual: Business
58110, predicted: ['Computers'], actual: Regional
767, predicted: ['Society'], actual: Recreation
771, predicted: ['Computers'], actual: Recreation
58120, predicted: ['Computers'], actual: Regional
777, predicted: ['Science'], actual: Home
49932, predicted: ['Kids'], actual: Business
49937, predicted: ['Society'], actual: Business
41746, predicted: ['Business'], actual: Sports
790, predicted: ['Computers'], actual: Home
792, predicted: ['Science'], actual: Home
795, predicted: ['Recreation'], actual: Home
797, predicted: ['Recreation'], actual: Home
49951, predicted: ['Shopping'], actual: Business
25376, predicted: ['Business'], actual: Reference
35761, predicted: ['Shopping'], actual: Society
58147, predicted: ['Business'], actual: Science
804, predicted: ['Computers'], actual: Home
25382, predicted: ['Recreation'], actual: Reference
25387, predicted: ['Recreation'], actual: Reference
58156, predicted: ['Computers'], actual: Science
814, predicted: ['Business'], actual: Sports
33583, predicted: ['Games'], actual: Shopping
816, predicted: ['Business'], actual: Kids
824, predicted: ['Arts'], actual: Kids
827, predicted: ['Arts'], actual: Kids
17214, predicted: ['Business'], actual: Health
831, predicted: ['Science'], actual: Kids
832, predicted: ['Computers'], actual: Kids
25410, predicted: ['Business'], actual: Reference
835, predicted: ['Computers'], actual: Kids
56118, predicted: ['Arts'], actual: Kids
839, predicted: ['Games'], actual: Computers
9032, predicted: ['Computers'], actual: Business
58187, predicted: ['Shopping'], actual: Science
844, predicted: ['Science'], actual: Kids
25427, predicted: ['Arts'], actual: Reference
9050, predicted: ['Computers'], actual: Business
861, predicted: ['Recreation'], actual: Kids
862, predicted: ['Computers'], actual: Kids
9056, predicted: ['Computers'], actual: Business
41827, predicted: ['Shopping'], actual: Sports
50020, predicted: ['Shopping'], actual: Business
17254, predicted: ['Business'], actual: Health
9064, predicted: ['Computers'], actual: Business
35644, predicted: ['Recreation'], actual: Society
58222, predicted: ['Computers'], actual: Science
26088, predicted: ['Recreation'], actual: Reference
25460, predicted: ['Recreation'], actual: Reference
885, predicted: ['News'], actual: Science
58230, predicted: ['Society'], actual: Science
889, predicted: ['Recreation'], actual: Kids
58235, predicted: ['Computers'], actual: Science
41852, predicted: ['Shopping'], actual: Sports
58245, predicted: ['Society'], actual: Science
41862, predicted: ['Arts'], actual: Sports
50055, predicted: ['Computers'], actual: Business
17291, predicted: ['Business'], actual: Health
33677, predicted: ['Recreation'], actual: Shopping
25486, predicted: ['Computers'], actual: Reference
41873, predicted: ['Shopping'], actual: Sports
41876, predicted: ['Shopping'], actual: Sports
17302, predicted: ['Business'], actual: Health
41880, predicted: ['Shopping'], actual: Sports
50074, predicted: ['Society'], actual: Business
923, predicted: ['Business'], actual: Society
50079, predicted: ['Shopping'], actual: Business
51016, predicted: ['Business'], actual: Computers
50088, predicted: ['Shopping'], actual: Business
25514, predicted: ['Science'], actual: Reference
20490, predicted: ['Shopping'], actual: News
58293, predicted: ['Computers'], actual: Science
50109, predicted: ['Arts'], actual: Business
25536, predicted: ['Arts'], actual: Reference
966, predicted: ['Arts'], actual: News
58311, predicted: ['Shopping'], actual: Science
25545, predicted: ['Business'], actual: Reference
9719, predicted: ['Shopping'], actual: Business
973, predicted: ['Arts'], actual: Regional
975, predicted: ['Sports'], actual: News
976, predicted: ['Business'], actual: News
977, predicted: ['Business'], actual: Regional
44496, predicted: ['Computers'], actual: Regional
58332, predicted: ['Computers'], actual: Science
989, predicted: ['Business'], actual: News
9183, predicted: ['Recreation'], actual: Business
58337, predicted: ['Society'], actual: Science
25570, predicted: ['Business'], actual: Reference
5627, predicted: ['News'], actual: Arts
25573, predicted: ['Computers'], actual: Reference
35665, predicted: ['Shopping'], actual: Society
50155, predicted: ['Shopping'], actual: Business
58348, predicted: ['Society'], actual: Science
1010, predicted: ['Reference'], actual: News
1011, predicted: ['Arts'], actual: News
58359, predicted: ['Society'], actual: Science
25593, predicted: ['Business'], actual: Reference
58218, predicted: ['Reference'], actual: Science
50174, predicted: ['Computers'], actual: Business
34304, predicted: ['Kids'], actual: Society
1026, predicted: ['Science'], actual: News
25603, predicted: ['Computers'], actual: Reference
41989, predicted: ['Shopping'], actual: Sports
51590, predicted: ['Society'], actual: Computers
58375, predicted: ['Computers'], actual: Science
25609, predicted: ['Recreation'], actual: Reference
1034, predicted: ['Recreation'], actual: Home
1037, predicted: ['Computers'], actual: Recreation
25618, predicted: ['Business'], actual: Reference
9236, predicted: ['Recreation'], actual: Business
25623, predicted: ['Recreation'], actual: Reference
58392, predicted: ['Society'], actual: Science
25625, predicted: ['Business'], actual: Reference
42011, predicted: ['Shopping'], actual: Sports
25628, predicted: ['Computers'], actual: Reference
1058, predicted: ['Business'], actual: News
50211, predicted: ['Computers'], actual: Business
58408, predicted: ['Computers'], actual: Science
50217, predicted: ['Society'], actual: Business
9260, predicted: ['Recreation'], actual: Business
58413, predicted: ['Business'], actual: Science
9264, predicted: ['Computers'], actual: Business
1073, predicted: ['Recreation'], actual: News
1074, predicted: ['Business'], actual: News
58425, predicted: ['Computers'], actual: Science
58426, predicted: ['Shopping'], actual: Science
1083, predicted: ['Recreation'], actual: News
58431, predicted: ['Shopping'], actual: Science
58434, predicted: ['Society'], actual: Science
58439, predicted: ['Recreation'], actual: Science
9289, predicted: ['Business'], actual: Recreation
58444, predicted: ['Arts'], actual: Shopping
9302, predicted: ['Shopping'], actual: Recreation
17496, predicted: ['Business'], actual: Health
1115, predicted: ['Business'], actual: Recreation
25695, predicted: ['Computers'], actual: Reference
1121, predicted: ['Computers'], actual: Recreation
1122, predicted: ['Business'], actual: Regional
4283, predicted: ['Recreation'], actual: Arts
1124, predicted: ['Business'], actual: Recreation
17937, predicted: ['Computers'], actual: Health
20668, predicted: ['Business'], actual: Health
1131, predicted: ['Society'], actual: Recreation
1138, predicted: ['Business'], actual: Recreation
1143, predicted: ['Regional'], actual: Recreation
1149, predicted: ['Business'], actual: Recreation
20672, predicted: ['Science'], actual: Health
33924, predicted: ['Arts'], actual: Shopping
1167, predicted: ['Arts'], actual: Recreation
58512, predicted: ['Society'], actual: Shopping
50322, predicted: ['Computers'], actual: Business
50325, predicted: ['Arts'], actual: Business
1180, predicted: ['Business'], actual: Recreation
50335, predicted: ['Computers'], actual: Business
50338, predicted: ['Computers'], actual: Business
1187, predicted: ['Regional'], actual: Recreation
17574, predicted: ['Business'], actual: Health
9387, predicted: ['Recreation'], actual: Business
1196, predicted: ['Science'], actual: Recreation
5663, predicted: ['Business'], actual: Arts
1213, predicted: ['Arts'], actual: Reference
1215, predicted: ['Health'], actual: Reference
25793, predicted: ['Arts'], actual: Reference
25794, predicted: ['Recreation'], actual: Reference
25796, predicted: ['News'], actual: Reference
17605, predicted: ['Recreation'], actual: Health
58567, predicted: ['Society'], actual: Shopping
1228, predicted: ['Recreation'], actual: Reference
1231, predicted: ['Computers'], actual: Reference
1232, predicted: ['Business'], actual: Computers
50386, predicted: ['Shopping'], actual: Business
25820, predicted: ['Recreation'], actual: Reference
1245, predicted: ['Science'], actual: Reference
25826, predicted: ['Computers'], actual: Reference
1254, predicted: ['Business'], actual: Reference
1256, predicted: ['Computers'], actual: Reference
17959, predicted: ['Computers'], actual: Health
35709, predicted: ['Sports'], actual: Society
1267, predicted: ['News'], actual: Business
22683, predicted: ['Science'], actual: Recreation
25846, predicted: ['Computers'], actual: Reference
25847, predicted: ['Computers'], actual: Reference
59236, predicted: ['Society'], actual: Computers
39323, predicted: ['Shopping'], actual: Sports
25853, predicted: ['Games'], actual: Reference
50431, predicted: ['Computers'], actual: Business
1280, predicted: ['Arts'], actual: Reference
50433, predicted: ['Society'], actual: Business
25862, predicted: ['Computers'], actual: Reference
25863, predicted: ['Business'], actual: Reference
1288, predicted: ['Computers'], actual: Reference
34057, predicted: ['Business'], actual: Shopping
1290, predicted: ['Recreation'], actual: Reference
1291, predicted: ['Science'], actual: Reference
25868, predicted: ['Science'], actual: Reference
1295, predicted: ['Arts'], actual: Reference
1300, predicted: ['Arts'], actual: Reference
5678, predicted: ['Computers'], actual: Arts
49369, predicted: ['Computers'], actual: Business
25882, predicted: ['Recreation'], actual: Reference
50459, predicted: ['Shopping'], actual: Business
17693, predicted: ['Computers'], actual: Health
50466, predicted: ['Society'], actual: Business
1320, predicted: ['Recreation'], actual: Society
25905, predicted: ['Business'], actual: Reference
25909, predicted: ['Recreation'], actual: Reference
1334, predicted: ['Science'], actual: Reference
2953, predicted: ['Recreation'], actual: Arts
50489, predicted: ['Shopping'], actual: Business
1339, predicted: ['Science'], actual: Reference
17725, predicted: ['Computers'], actual: Health
50495, predicted: ['Shopping'], actual: Business
43916, predicted: ['Business'], actual: Regional
17742, predicted: ['News'], actual: Health
25935, predicted: ['Business'], actual: Reference
1361, predicted: ['Business'], actual: Regional
1362, predicted: ['Arts'], actual: Regional
1363, predicted: ['Recreation'], actual: News
1366, predicted: ['Business'], actual: Regional
25944, predicted: ['Recreation'], actual: Reference
17755, predicted: ['News'], actual: Health
58717, predicted: ['Sports'], actual: Shopping
1374, predicted: ['Computers'], actual: Regional
17761, predicted: ['Recreation'], actual: Health
1379, predicted: ['Business'], actual: Regional
42340, predicted: ['Society'], actual: Sports
1381, predicted: ['Reference'], actual: Society
17766, predicted: ['Science'], actual: Health
1383, predicted: ['News'], actual: Regional
9580, predicted: ['Health'], actual: Business
9582, predicted: ['News'], actual: Business
9585, predicted: ['Arts'], actual: Business
1398, predicted: ['Arts'], actual: Regional
25975, predicted: ['Business'], actual: Reference
34171, predicted: ['Society'], actual: Shopping
12522, predicted: ['Business'], actual: Computers
17790, predicted: ['Science'], actual: Health
25985, predicted: ['Society'], actual: Reference
1412, predicted: ['Computers'], actual: Science
19350, predicted: ['Reference'], actual: Kids
1422, predicted: ['Health'], actual: Science
9615, predicted: ['Recreation'], actual: Science
2969, predicted: ['Recreation'], actual: Arts
1433, predicted: ['Recreation'], actual: Science
19354, predicted: ['Business'], actual: Kids
43693, predicted: ['Home'], actual: Business
34212, predicted: ['Computers'], actual: Society
1446, predicted: ['Recreation'], actual: Science
56220, predicted: ['Computers'], actual: Kids
50604, predicted: ['Sports'], actual: Computers
50607, predicted: ['Business'], actual: Computers
1461, predicted: ['Business'], actual: Science
50614, predicted: ['Society'], actual: Computers
50615, predicted: ['Shopping'], actual: Computers
1467, predicted: ['Business'], actual: Regional
1468, predicted: ['Recreation'], actual: Society
26047, predicted: ['Recreation'], actual: Reference
26049, predicted: ['Science'], actual: Reference
42438, predicted: ['Computers'], actual: Sports
1612, predicted: ['Business'], actual: Shopping
41207, predicted: ['Shopping'], actual: Sports
9676, predicted: ['Arts'], actual: Business
50637, predicted: ['Business'], actual: Computers
17870, predicted: ['Computers'], actual: Health
17874, predicted: ['Computers'], actual: Health
43939, predicted: ['Arts'], actual: Games
34262, predicted: ['Shopping'], actual: Society
26077, predicted: ['Business'], actual: Reference
17888, predicted: ['Kids'], actual: Health
1510, predicted: ['Business'], actual: Shopping
1513, predicted: ['Arts'], actual: Shopping
9709, predicted: ['Shopping'], actual: Business
50671, predicted: ['Society'], actual: Computers
34290, predicted: ['Kids'], actual: Society
26100, predicted: ['Recreation'], actual: Reference
1527, predicted: ['Recreation'], actual: Regional
42492, predicted: ['Shopping'], actual: Sports
9725, predicted: ['Recreation'], actual: Business
17920, predicted: ['Recreation'], actual: Health
17927, predicted: ['Home'], actual: Health
9739, predicted: ['Shopping'], actual: Business
34316, predicted: ['Computers'], actual: Society
9744, predicted: ['Recreation'], actual: Business
26129, predicted: ['Arts'], actual: Shopping
870, predicted: ['Reference'], actual: Society
50712, predicted: ['Society'], actual: Computers
1626, predicted: ['Recreation'], actual: Society
1571, predicted: ['Games'], actual: Shopping
17957, predicted: ['Arts'], actual: Health
9767, predicted: ['Health'], actual: Business
1576, predicted: ['Business'], actual: Shopping
9769, predicted: ['Computers'], actual: Business
26158, predicted: ['Recreation'], actual: Reference
1584, predicted: ['Business'], actual: Shopping
34355, predicted: ['Business'], actual: Society
17974, predicted: ['Recreation'], actual: Health
1592, predicted: ['Sports'], actual: Shopping
26173, predicted: ['Computers'], actual: Reference
26174, predicted: ['Computers'], actual: Reference
17983, predicted: ['Recreation'], actual: Health
34375, predicted: ['Games'], actual: Society
1610, predicted: ['Business'], actual: Shopping
17996, predicted: ['Computers'], actual: Health
1619, predicted: ['Business'], actual: Society
1621, predicted: ['News'], actual: Society
1623, predicted: ['News'], actual: Society
50778, predicted: ['Society'], actual: Computers
18011, predicted: ['Recreation'], actual: Home
50780, predicted: ['Business'], actual: Computers
54885, predicted: ['Shopping'], actual: Health
1632, predicted: ['Arts'], actual: Society
1633, predicted: ['Business'], actual: Society
1635, predicted: ['Business'], actual: Society
1638, predicted: ['Business'], actual: Regional
18023, predicted: ['Recreation'], actual: Home
50796, predicted: ['Business'], actual: Computers
49701, predicted: ['Shopping'], actual: Business
18031, predicted: ['Health'], actual: Science
1649, predicted: ['Games'], actual: Society
9843, predicted: ['Recreation'], actual: Business
1657, predicted: ['Business'], actual: Society
56255, predicted: ['Games'], actual: Kids
34429, predicted: ['Computers'], actual: Society
18047, predicted: ['Business'], actual: Society
1666, predicted: ['Shopping'], actual: Society
1667, predicted: ['Sports'], actual: Society
34412, predicted: ['Recreation'], actual: Society
11195, predicted: ['Recreation'], actual: Computers
1680, predicted: ['Health'], actual: Society
26259, predicted: ['Arts'], actual: Reference
26243, predicted: ['Recreation'], actual: Reference
26261, predicted: ['Arts'], actual: Reference
1686, predicted: ['Health'], actual: Society
36609, predicted: ['Recreation'], actual: Society
1693, predicted: ['Adult'], actual: Society
56261, predicted: ['Shopping'], actual: Kids
7967, predicted: ['Computers'], actual: Business
26273, predicted: ['Society'], actual: Reference
1699, predicted: ['Computers'], actual: Society
26280, predicted: ['Recreation'], actual: Reference
34477, predicted: ['Shopping'], actual: Society
1711, predicted: ['Arts'], actual: Society
1717, predicted: ['Business'], actual: Society
34486, predicted: ['Shopping'], actual: Society
9911, predicted: ['Shopping'], actual: Business
1721, predicted: ['News'], actual: Society
26298, predicted: ['Arts'], actual: Reference
53535, predicted: ['Society'], actual: Games
18109, predicted: ['Recreation'], actual: Home
18110, predicted: ['Business'], actual: Home
9845, predicted: ['Computers'], actual: Business
1728, predicted: ['Arts'], actual: Sports
26312, predicted: ['Kids'], actual: Reference
45347, predicted: ['Computers'], actual: Adult
26324, predicted: ['Recreation'], actual: Reference
26327, predicted: ['Recreation'], actual: Reference
7119, predicted: ['Computers'], actual: Business
26332, predicted: ['Arts'], actual: Society
18141, predicted: ['Business'], actual: Home
9957, predicted: ['Computers'], actual: Business
1769, predicted: ['Business'], actual: Sports
50922, predicted: ['Business'], actual: Computers
1771, predicted: ['Arts'], actual: Sports
9964, predicted: ['Recreation'], actual: Business
34542, predicted: ['Shopping'], actual: Society
9967, predicted: ['Recreation'], actual: Business
8488, predicted: ['Health'], actual: Business
36653, predicted: ['Sports'], actual: Society
1781, predicted: ['Recreation'], actual: Sports
1782, predicted: ['Arts'], actual: Sports
59130, predicted: ['Arts'], actual: Society
59131, predicted: ['Business'], actual: Society
18174, predicted: ['Recreation'], actual: Home
26369, predicted: ['Arts'], actual: Reference
18178, predicted: ['Recreation'], actual: Home
26371, predicted: ['Arts'], actual: Reference
9991, predicted: ['Arts'], actual: Business
1807, predicted: ['Arts'], actual: Sports
1809, predicted: ['Arts'], actual: Sports
26386, predicted: ['Recreation'], actual: Reference
26387, predicted: ['Recreation'], actual: Reference
59158, predicted: ['Shopping'], actual: Sports
34584, predicted: ['Shopping'], actual: Society
34587, predicted: ['Business'], actual: Society
56282, predicted: ['Arts'], actual: Kids
18206, predicted: ['Computers'], actual: Home
1823, predicted: ['News'], actual: Sports
18210, predicted: ['Computers'], actual: Home
26405, predicted: ['Recreation'], actual: Reference
26412, predicted: ['Recreation'], actual: Reference
59182, predicted: ['Computers'], actual: Adult
18223, predicted: ['Games'], actual: Home
45343, predicted: ['Society'], actual: Health
4403, predicted: ['Recreation'], actual: Arts
34613, predicted: ['Adult'], actual: Society
18057, predicted: ['Computers'], actual: Shopping
59193, predicted: ['Sports'], actual: Arts
59200, predicted: ['Computers'], actual: Arts
26433, predicted: ['Business'], actual: Reference
51014, predicted: ['Business'], actual: Computers
59208, predicted: ['Shopping'], actual: Business
18251, predicted: ['Kids'], actual: Home
1868, predicted: ['Arts'], actual: Adult
10062, predicted: ['Recreation'], actual: Business
1875, predicted: ['Computers'], actual: Adult
26455, predicted: ['Recreation'], actual: Reference
51033, predicted: ['Shopping'], actual: Computers
1885, predicted: ['Arts'], actual: Adult
18272, predicted: ['Arts'], actual: Home
34448, predicted: ['Computers'], actual: Society
26468, predicted: ['Games'], actual: Reference
51046, predicted: ['Business'], actual: Computers
59240, predicted: ['Shopping'], actual: Games
18283, predicted: ['Recreation'], actual: Home
1900, predicted: ['Recreation'], actual: Adult
26478, predicted: ['Recreation'], actual: Reference
10095, predicted: ['Shopping'], actual: Business
1906, predicted: ['Computers'], actual: Adult
4414, predicted: ['Computers'], actual: Arts
18294, predicted: ['Health'], actual: Home
34680, predicted: ['Business'], actual: Society
51065, predicted: ['Business'], actual: Computers
26497, predicted: ['Computers'], actual: Reference
51081, predicted: ['Society'], actual: Science
18319, predicted: ['Recreation'], actual: Home
51090, predicted: ['Business'], actual: Computers
1939, predicted: ['Recreation'], actual: Adult
26516, predicted: ['Recreation'], actual: Reference
46745, predicted: ['Sports'], actual: Arts
45892, predicted: ['Computers'], actual: Arts
34713, predicted: ['Computers'], actual: Society
26539, predicted: ['Recreation'], actual: Reference
51118, predicted: ['Business'], actual: Computers
26543, predicted: ['Recreation'], actual: Reference
34738, predicted: ['Arts'], actual: Society
18356, predicted: ['Business'], actual: Home
1976, predicted: ['Arts'], actual: Adult
884, predicted: ['Games'], actual: Kids
42938, predicted: ['Shopping'], actual: Sports
33891, predicted: ['Arts'], actual: Shopping
18378, predicted: ['Computers'], actual: Home
26573, predicted: ['Recreation'], actual: Reference
26576, predicted: ['Recreation'], actual: Reference
26578, predicted: ['Recreation'], actual: Reference
34774, predicted: ['Computers'], actual: Society
10204, predicted: ['Arts'], actual: Business
26589, predicted: ['Arts'], actual: Reference
34785, predicted: ['Computers'], actual: Society
26595, predicted: ['Recreation'], actual: Reference
26596, predicted: ['Recreation'], actual: Reference
51176, predicted: ['Business'], actual: Computers
26603, predicted: ['Recreation'], actual: Reference
26604, predicted: ['Recreation'], actual: Reference
51186, predicted: ['Recreation'], actual: Computers
2036, predicted: ['Recreation'], actual: Adult
886, predicted: ['Business'], actual: Kids
34807, predicted: ['Computers'], actual: Society
51192, predicted: ['Sports'], actual: Computers
10233, predicted: ['Computers'], actual: Business
18427, predicted: ['Business'], actual: Science
26620, predicted: ['News'], actual: Regional
10240, predicted: ['Recreation'], actual: Business
34818, predicted: ['Arts'], actual: Society
51203, predicted: ['Science'], actual: Computers
34821, predicted: ['News'], actual: Society
2054, predicted: ['Business'], actual: Computers
