49773, predicted: ['Business', 'Computers', 'Society'], actual: Business
46510, predicted: ['Society', 'Arts', 'Sports'], actual: Arts
46567, predicted: ['Arts', 'Shopping', 'News'], actual: Arts
46887, predicted: ['Arts', 'Computers', 'Recreation'], actual: Arts
47118, predicted: ['Recreation', 'Sports', 'Arts'], actual: Arts
48141, predicted: ['Business', 'Computers', 'Science'], actual: Business
48168, predicted: ['Business', 'Computers', 'Science'], actual: Business
48187, predicted: ['Shopping', 'Sports', 'Business'], actual: Business
48223, predicted: ['Business', 'Arts', 'Recreation'], actual: Business
48252, predicted: ['Shopping', 'Computers', 'Business'], actual: Business
48282, predicted: ['Health', 'Business', 'Home'], actual: Business
48323, predicted: ['Business', 'Computers', 'Society'], actual: Business
48330, predicted: ['Business', 'Computers', 'Shopping'], actual: Business
48366, predicted: ['Business', 'Computers', 'Society'], actual: Business
48368, predicted: ['Business', 'Shopping', 'Computers'], actual: Business
48432, predicted: ['Business', 'Computers', 'Science'], actual: Business
48440, predicted: ['Business', 'Computers', 'Shopping'], actual: Business
48445, predicted: ['Business', 'Computers', 'Sports'], actual: Business
48473, predicted: ['Shopping', 'Computers', 'Business'], actual: Business
48506, predicted: ['Shopping', 'Computers', 'Business'], actual: Business
48507, predicted: ['Shopping', 'Computers', 'Business'], actual: Business
48519, predicted: ['Business', 'Computers', 'Shopping'], actual: Business
48532, predicted: ['Business', 'Computers', 'Shopping'], actual: Business
48536, predicted: ['Business', 'Computers', 'Science'], actual: Business
48557, predicted: ['Business', 'Computers', 'Shopping'], actual: Business
48566, predicted: ['Business', 'Society', 'Computers'], actual: Business
48585, predicted: ['Computers', 'Business', 'Science'], actual: Business
48589, predicted: ['Business', 'Computers', 'Science'], actual: Business
48591, predicted: ['Shopping', 'Business', 'Computers'], actual: Shopping
48597, predicted: ['Business', 'Computers', 'Shopping'], actual: Business
48613, predicted: ['Computers', 'Business', 'Society'], actual: Business
48630, predicted: ['Computers', 'Business', 'Shopping'], actual: Business
48657, predicted: ['Business', 'Computers', 'Science'], actual: Business
48664, predicted: ['Business', 'Computers', 'Shopping'], actual: Business
48717, predicted: ['Business', 'Science', 'Computers'], actual: Business
48724, predicted: ['Business', 'Computers', 'Shopping'], actual: Business
48731, predicted: ['Business', 'Computers', 'Arts'], actual: Business
48753, predicted: ['Computers', 'Business', 'Shopping'], actual: Business
48772, predicted: ['Business', 'Computers', 'Society'], actual: Business
48789, predicted: ['Business', 'Computers', 'Science'], actual: Business
48792, predicted: ['Business', 'Computers', 'Science'], actual: Business
48851, predicted: ['Business', 'Computers', 'Society'], actual: Business
48871, predicted: ['Shopping', 'Business', 'Society'], actual: Business
48872, predicted: ['Shopping', 'Computers', 'Business'], actual: Business
48877, predicted: ['Shopping', 'Computers', 'Business'], actual: Business
48915, predicted: ['Business', 'Society', 'Computers'], actual: Business
48960, predicted: ['Business', 'Computers', 'Science'], actual: Business
49006, predicted: ['Shopping', 'Computers', 'Business'], actual: Business
49022, predicted: ['Business', 'Computers', 'Regional'], actual: Business
49024, predicted: ['Business', 'Computers', 'Science'], actual: Business
49037, predicted: ['Business', 'Computers', 'Science'], actual: Business
49043, predicted: ['Business', 'Health', 'Society'], actual: Business
49075, predicted: ['Business', 'Computers', 'Regional'], actual: Business
49091, predicted: ['Business', 'Computers', 'Shopping'], actual: Business
49128, predicted: ['Shopping', 'Business', 'Recreation'], actual: Business
49151, predicted: ['Business', 'Recreation', 'Arts'], actual: Business
49213, predicted: ['Computers', 'Business', 'Society'], actual: Business
49229, predicted: ['Computers', 'Business', 'Society'], actual: Business
49230, predicted: ['Shopping', 'Business', 'Computers'], actual: Business
49253, predicted: ['Business', 'Recreation', 'Arts'], actual: Business
49260, predicted: ['Shopping', 'Business', 'Computers'], actual: Business
49271, predicted: ['Shopping', 'Computers', 'Business'], actual: Business
49346, predicted: ['Society', 'Science', 'Business'], actual: Business
49358, predicted: ['Shopping', 'Computers', 'Business'], actual: Business
49362, predicted: ['Business', 'Computers', 'Shopping'], actual: Business
49368, predicted: ['Business', 'Society', 'Computers'], actual: Business
49390, predicted: ['Business', 'Computers', 'Society'], actual: Business
49408, predicted: ['Computers', 'Business', 'Shopping'], actual: Business
49422, predicted: ['Arts', 'Business', 'Computers'], actual: Business
49435, predicted: ['Business', 'Computers', 'Society'], actual: Business
49444, predicted: ['Shopping', 'Computers', 'Business'], actual: Business
49490, predicted: ['Business', 'Computers', 'Shopping'], actual: Business
49515, predicted: ['Business', 'Shopping', 'Computers'], actual: Business
51543, predicted: ['Shopping', 'Computers', 'Sports'], actual: Computers
51555, predicted: ['Shopping', 'Business', 'Computers'], actual: Computers
51590, predicted: ['Shopping', 'Computers', 'Sports'], actual: Computers
51614, predicted: ['Computers', 'Society', 'Science'], actual: Computers
51647, predicted: ['Computers', 'Sports', 'Business'], actual: Computers
51665, predicted: ['Business', 'Computers', 'Recreation'], actual: Computers
51691, predicted: ['Computers', 'Business', 'Shopping'], actual: Computers
51699, predicted: ['Business', 'Computers', 'Society'], actual: Computers
51743, predicted: ['Computers', 'Shopping', 'Business'], actual: Computers
51795, predicted: ['Sports', 'Computers', 'Business'], actual: Computers
51828, predicted: ['Shopping', 'Computers', 'Arts'], actual: Computers
51829, predicted: ['Computers', 'Business', 'Shopping'], actual: Computers
51923, predicted: ['Shopping', 'Computers', 'Sports'], actual: Computers
51947, predicted: ['Computers', 'Business', 'Shopping'], actual: Computers
51959, predicted: ['Sports', 'Computers', 'Recreation'], actual: Computers
52060, predicted: ['Computers', 'Society', 'Business'], actual: Computers
52125, predicted: ['Shopping', 'Computers', 'Sports'], actual: Computers
52147, predicted: ['Shopping', 'Computers', 'Sports'], actual: Computers
52169, predicted: ['Shopping', 'Sports', 'Computers'], actual: Computers
52250, predicted: ['Computers', 'Shopping', 'Business'], actual: Computers
52280, predicted: ['Shopping', 'Computers', 'Business'], actual: Computers
52334, predicted: ['Computers', 'Business', 'Shopping'], actual: Computers
52337, predicted: ['Business', 'Computers', 'Society'], actual: Computers
52374, predicted: ['Business', 'Shopping', 'Computers'], actual: Computers
52405, predicted: ['Business', 'Computers', 'Science'], actual: Computers
52414, predicted: ['Computers', 'Business', 'Shopping'], actual: Computers
52427, predicted: ['Shopping', 'Computers', 'Sports'], actual: Computers
52449, predicted: ['Sports', 'Shopping', 'Computers'], actual: Computers
52457, predicted: ['Shopping', 'Computers', 'Sports'], actual: Computers
52514, predicted: ['Shopping', 'Computers', 'Sports'], actual: Computers
52534, predicted: ['Sports', 'Computers', 'Shopping'], actual: Computers
52564, predicted: ['Business', 'Health', 'Computers'], actual: Computers
52580, predicted: ['Computers', 'Society', 'Business'], actual: Computers
52593, predicted: ['Computers', 'Shopping', 'Society'], actual: Computers
52650, predicted: ['Computers', 'Sports', 'Shopping'], actual: Computers
4053, predicted: ['Arts', 'Home', 'Recreation'], actual: Arts
37301, predicted: ['Sports', 'Society', 'Recreation'], actual: Society
37517, predicted: ['Society', 'Kids', 'Arts'], actual: Society
37919, predicted: ['Society', 'Computers', 'Shopping'], actual: Society
37932, predicted: ['Business', 'Society', 'Health'], actual: Society
38254, predicted: ['Sports', 'Shopping', 'Business'], actual: Sports
38304, predicted: ['Sports', 'Kids', 'Games'], actual: Sports
38330, predicted: ['Sports', 'Business', 'Arts'], actual: Sports
38405, predicted: ['Sports', 'Kids', 'Business'], actual: Sports
38436, predicted: ['Sports', 'Shopping', 'Society'], actual: Sports
38447, predicted: ['Sports', 'Games', 'Kids'], actual: Sports
38466, predicted: ['Sports', 'Shopping', 'Regional'], actual: Sports
38496, predicted: ['Sports', 'Business', 'Regional'], actual: Sports
38674, predicted: ['Sports', 'Recreation', 'Shopping'], actual: Sports
38803, predicted: ['Sports', 'Business', 'Kids'], actual: Sports
38868, predicted: ['Sports', 'Recreation', 'News'], actual: Sports
39085, predicted: ['Sports', 'Kids', 'Shopping'], actual: Sports
39604, predicted: ['Sports', 'Shopping', 'Business'], actual: Sports
39656, predicted: ['Shopping', 'Computers', 'Sports'], actual: Sports
39729, predicted: ['Sports', 'Business', 'Kids'], actual: Sports
39869, predicted: ['Sports', 'Business', 'Society'], actual: Sports
40260, predicted: ['Sports', 'News', 'Regional'], actual: Sports
40426, predicted: ['Sports', 'News', 'Recreation'], actual: Sports
40429, predicted: ['Sports', 'News', 'Regional'], actual: Sports
40472, predicted: ['Sports', 'Shopping', 'Business'], actual: Sports
40625, predicted: ['Sports', 'News', 'Recreation'], actual: Sports
40724, predicted: ['Sports', 'News', 'Regional'], actual: Sports
40732, predicted: ['Sports', 'Recreation', 'Kids'], actual: Sports
40765, predicted: ['Sports', 'Recreation', 'Arts'], actual: Sports
40784, predicted: ['Sports', 'News', 'Kids'], actual: Sports
40792, predicted: ['Sports', 'Shopping', 'Business'], actual: Sports
41219, predicted: ['Sports', 'Kids', 'Games'], actual: Sports
41250, predicted: ['Sports', 'Shopping', 'Games'], actual: Sports
41486, predicted: ['Arts', 'Sports', 'Kids'], actual: Sports
41642, predicted: ['Shopping', 'Sports', 'Recreation'], actual: Sports
41643, predicted: ['Sports', 'Shopping', 'Health'], actual: Sports
42022, predicted: ['Sports', 'Recreation', 'Kids'], actual: Sports
42036, predicted: ['Sports', 'News', 'Regional'], actual: Sports
42195, predicted: ['Sports', 'Shopping', 'Kids'], actual: Sports
42553, predicted: ['Sports', 'Shopping', 'Kids'], actual: Sports
42583, predicted: ['Sports', 'News', 'Kids'], actual: Sports
42657, predicted: ['Sports', 'Business', 'Kids'], actual: Sports
42707, predicted: ['Sports', 'Recreation', 'News'], actual: Sports
42760, predicted: ['Sports', 'News', 'Regional'], actual: Sports
42811, predicted: ['Sports', 'News', 'Regional'], actual: Sports
42869, predicted: ['Sports', 'Recreation', 'Kids'], actual: Sports
42914, predicted: ['Sports', 'Kids', 'Recreation'], actual: Sports
42998, predicted: ['Sports', 'Recreation', 'Business'], actual: Sports
43122, predicted: ['Sports', 'Recreation', 'Business'], actual: Sports
43142, predicted: ['Shopping', 'Sports', 'Computers'], actual: Sports
43170, predicted: ['Sports', 'Shopping', 'Business'], actual: Sports
43354, predicted: ['Arts', 'Sports', 'Kids'], actual: Sports
43412, predicted: ['Adult', 'Sports', 'Society'], actual: Adult
43533, predicted: ['Adult', 'Shopping', 'Society'], actual: Adult
43681, predicted: ['Shopping', 'Business', 'Society'], actual: Business
43692, predicted: ['Shopping', 'Computers', 'Business'], actual: Business
43780, predicted: ['Business', 'Home', 'Computers'], actual: Computers
43935, predicted: ['Arts', 'Computers', 'Games'], actual: Games
44037, predicted: ['Health', 'Society', 'Business'], actual: Health
44085, predicted: ['Health', 'Business', 'Kids'], actual: Health
44144, predicted: ['Business', 'Computers', 'Society'], actual: Business
44190, predicted: ['Sports', 'Games', 'Kids'], actual: Kids
44209, predicted: ['Games', 'Kids', 'Shopping'], actual: Kids
44273, predicted: ['Sports', 'News', 'Business'], actual: News
44290, predicted: ['Business', 'Computers', 'Society'], actual: Business
44331, predicted: ['Business', 'Recreation', 'Arts'], actual: Recreation
44413, predicted: ['Society', 'Business', 'Reference'], actual: Reference
44441, predicted: ['Health', 'Reference', 'Arts'], actual: Reference
44454, predicted: ['Reference', 'Health', 'Arts'], actual: Reference
44455, predicted: ['Society', 'Reference', 'Health'], actual: Reference
44561, predicted: ['Science', 'Society', 'Business'], actual: Science
44632, predicted: ['Shopping', 'Computers', 'Sports'], actual: Shopping
44639, predicted: ['Shopping', 'Business', 'Arts'], actual: Shopping
44681, predicted: ['Society', 'News', 'Business'], actual: Society
44784, predicted: ['Shopping', 'Sports', 'Recreation'], actual: Sports
44785, predicted: ['Sports', 'Shopping', 'Business'], actual: Sports
44789, predicted: ['Sports', 'Shopping', 'Business'], actual: Sports
44807, predicted: ['Sports', 'Business', 'News'], actual: Sports
44835, predicted: ['Sports', 'Business', 'Arts'], actual: Sports
44838, predicted: ['Computers', 'Sports', 'Business'], actual: Sports
44875, predicted: ['Adult', 'Arts', 'Business'], actual: Adult
44934, predicted: ['Adult', 'Shopping', 'Sports'], actual: Adult
44990, predicted: ['Adult', 'Sports', 'Home'], actual: Adult
45081, predicted: ['Adult', 'Computers', 'News'], actual: Adult
45219, predicted: ['Adult', 'Sports', 'Society'], actual: Adult
45222, predicted: ['Adult', 'Shopping', 'Kids'], actual: Adult
45351, predicted: ['Adult', 'Computers', 'Society'], actual: Adult
45403, predicted: ['Adult', 'Society', 'Shopping'], actual: Adult
45497, predicted: ['Arts', 'Computers', 'Kids'], actual: Arts
45548, predicted: ['Computers', 'Business', 'Arts'], actual: Arts
45559, predicted: ['Arts', 'Kids', 'Computers'], actual: Arts
45615, predicted: ['Society', 'Arts', 'Recreation'], actual: Arts
45647, predicted: ['Arts', 'Reference', 'Kids'], actual: Arts
45668, predicted: ['Arts', 'Kids', 'Computers'], actual: Arts
45680, predicted: ['Arts', 'Kids', 'Computers'], actual: Arts
45704, predicted: ['Arts', 'Reference', 'Kids'], actual: Arts
45896, predicted: ['Society', 'Computers', 'Arts'], actual: Arts
45926, predicted: ['Society', 'Reference', 'Arts'], actual: Arts
45977, predicted: ['Shopping', 'Arts', 'Computers'], actual: Arts
46007, predicted: ['Shopping', 'Business', 'Arts'], actual: Arts
46057, predicted: ['Computers', 'Arts', 'Business'], actual: Arts
46071, predicted: ['Shopping', 'Arts', 'Business'], actual: Arts
46100, predicted: ['Shopping', 'Arts', 'Computers'], actual: Arts
46191, predicted: ['Business', 'Shopping', 'Arts'], actual: Arts
46203, predicted: ['Shopping', 'Arts', 'Society'], actual: Arts
46220, predicted: ['Shopping', 'Business', 'Arts'], actual: Arts
46264, predicted: ['Arts', 'Computers', 'Kids'], actual: Arts
46313, predicted: ['Shopping', 'Arts', 'Computers'], actual: Arts
46319, predicted: ['Shopping', 'Arts', 'Sports'], actual: Arts
46327, predicted: ['Arts', 'Shopping', 'Reference'], actual: Arts
46451, predicted: ['Computers', 'News', 'Arts'], actual: Arts
46506, predicted: ['Computers', 'Shopping', 'Arts'], actual: Arts
46549, predicted: ['Society', 'Computers', 'Arts'], actual: Arts
46566, predicted: ['Arts', 'Shopping', 'Society'], actual: Arts
46620, predicted: ['Arts', 'Computers', 'News'], actual: Arts
46640, predicted: ['Shopping', 'Arts', 'Computers'], actual: Arts
46774, predicted: ['Arts', 'Society', 'Computers'], actual: Arts
46781, predicted: ['Arts', 'Society', 'Recreation'], actual: Arts
46790, predicted: ['Shopping', 'Arts', 'Society'], actual: Arts
46796, predicted: ['Arts', 'Society', 'Computers'], actual: Arts
46820, predicted: ['Shopping', 'Arts', 'Business'], actual: Arts
46898, predicted: ['Computers', 'Games', 'Arts'], actual: Arts
46924, predicted: ['Arts', 'News', 'Shopping'], actual: Arts
46964, predicted: ['Reference', 'Computers', 'Arts'], actual: Arts
47042, predicted: ['Shopping', 'Arts', 'Reference'], actual: Arts
47047, predicted: ['Arts', 'Shopping', 'Society'], actual: Arts
47055, predicted: ['Arts', 'Society', 'Reference'], actual: Arts
47092, predicted: ['Arts', 'Kids', 'Sports'], actual: Arts
47093, predicted: ['Arts', 'Kids', 'Sports'], actual: Arts
47100, predicted: ['Sports', 'Recreation', 'Shopping'], actual: Shopping
47213, predicted: ['Arts', 'Computers', 'Recreation'], actual: Arts
47223, predicted: ['Arts', 'Shopping', 'Society'], actual: Arts
47297, predicted: ['Arts', 'Computers', 'Business'], actual: Arts
47318, predicted: ['Arts', 'Computers', 'Business'], actual: Arts
47367, predicted: ['Shopping', 'Arts', 'Sports'], actual: Arts
47392, predicted: ['Shopping', 'Arts', 'Business'], actual: Arts
47446, predicted: ['Arts', 'Shopping', 'Reference'], actual: Arts
47474, predicted: ['Arts', 'Shopping', 'Sports'], actual: Arts
47506, predicted: ['Shopping', 'Arts', 'Society'], actual: Arts
47507, predicted: ['Arts', 'Business', 'Recreation'], actual: Arts
47517, predicted: ['Shopping', 'Arts', 'Society'], actual: Arts
47592, predicted: ['Society', 'Arts', 'Science'], actual: Arts
47618, predicted: ['Shopping', 'Computers', 'Business'], actual: Business
47636, predicted: ['Business', 'Society', 'Science'], actual: Business
47664, predicted: ['Business', 'Computers', 'Society'], actual: Business
47678, predicted: ['Business', 'Society', 'Computers'], actual: Business
47686, predicted: ['Society', 'Computers', 'Science'], actual: Society
47722, predicted: ['Shopping', 'Business', 'Sports'], actual: Business
47725, predicted: ['Computers', 'Business', 'Recreation'], actual: Business
47743, predicted: ['Computers', 'Shopping', 'Business'], actual: Business
47747, predicted: ['Shopping', 'Computers', 'Business'], actual: Business
47749, predicted: ['Business', 'Computers', 'Science'], actual: Business
47762, predicted: ['Shopping', 'Business', 'Regional'], actual: Business
47770, predicted: ['Shopping', 'Business', 'Computers'], actual: Business
47773, predicted: ['Shopping', 'Computers', 'Business'], actual: Business
47784, predicted: ['Shopping', 'Computers', 'Business'], actual: Business
47802, predicted: ['Computers', 'Business', 'Society'], actual: Business
47810, predicted: ['Business', 'Computers', 'Society'], actual: Business
47825, predicted: ['Shopping', 'Sports', 'Business'], actual: Business
47861, predicted: ['Shopping', 'Computers', 'Business'], actual: Business
47885, predicted: ['Shopping', 'Computers', 'Business'], actual: Business
47890, predicted: ['Business', 'Computers', 'Regional'], actual: Business
47891, predicted: ['Business', 'Shopping', 'Recreation'], actual: Business
47893, predicted: ['Shopping', 'Business', 'Recreation'], actual: Shopping
47906, predicted: ['Shopping', 'Business', 'Computers'], actual: Business
47916, predicted: ['Computers', 'Business', 'Society'], actual: Business
47965, predicted: ['Business', 'Computers', 'Recreation'], actual: Business
47984, predicted: ['Business', 'Society', 'Computers'], actual: Business
48029, predicted: ['Shopping', 'Computers', 'Business'], actual: Business
48037, predicted: ['Society', 'Science', 'Business'], actual: Business
48057, predicted: ['Business', 'Computers', 'Science'], actual: Business
48081, predicted: ['Health', 'Society', 'Business'], actual: Business
48108, predicted: ['Business', 'Shopping', 'Computers'], actual: Business
48111, predicted: ['Computers', 'Business', 'Science'], actual: Business
48128, predicted: ['Shopping', 'Business', 'Recreation'], actual: Business
48194, predicted: ['Shopping', 'Business', 'Computers'], actual: Business
48199, predicted: ['Business', 'Computers', 'Science'], actual: Business
48246, predicted: ['Shopping', 'Business', 'Regional'], actual: Business
48278, predicted: ['Shopping', 'Computers', 'Business'], actual: Business
48306, predicted: ['Computers', 'Business', 'Recreation'], actual: Business
48354, predicted: ['Computers', 'Business', 'Shopping'], actual: Business
48359, predicted: ['Shopping', 'Computers', 'Business'], actual: Business
48365, predicted: ['Shopping', 'Computers', 'Business'], actual: Business
48504, predicted: ['Shopping', 'Business', 'Computers'], actual: Business
48520, predicted: ['Computers', 'Shopping', 'Business'], actual: Business
48534, predicted: ['Shopping', 'Business', 'Computers'], actual: Business
48540, predicted: ['Business', 'Shopping', 'Computers'], actual: Business
48674, predicted: ['Recreation', 'Sports', 'Shopping'], actual: Recreation
48840, predicted: ['Shopping', 'Business', 'Computers'], actual: Business
48880, predicted: ['Business', 'Society', 'Health'], actual: Business
48891, predicted: ['Business', 'Computers', 'Shopping'], actual: Business
48934, predicted: ['Business', 'Computers', 'Shopping'], actual: Business
48988, predicted: ['Shopping', 'Business', 'Home'], actual: Business
48997, predicted: ['Shopping', 'Home', 'Business'], actual: Business
49046, predicted: ['Shopping', 'Business', 'Health'], actual: Business
49068, predicted: ['Computers', 'Business', 'Shopping'], actual: Business
49071, predicted: ['Health', 'Business', 'Shopping'], actual: Business
49078, predicted: ['Computers', 'Business', 'Health'], actual: Business
49127, predicted: ['Business', 'Computers', 'Shopping'], actual: Business
49211, predicted: ['Computers', 'Shopping', 'Business'], actual: Business
49223, predicted: ['Computers', 'Business', 'Society'], actual: Business
49235, predicted: ['Business', 'Computers', 'Society'], actual: Business
49252, predicted: ['Shopping', 'Computers', 'Business'], actual: Business
49276, predicted: ['Computers', 'Business', 'Society'], actual: Business
49526, predicted: ['Society', 'Computers', 'Business'], actual: Business
49572, predicted: ['Business', 'Shopping', 'Computers'], actual: Business
49586, predicted: ['Computers', 'Business', 'Shopping'], actual: Computers
49643, predicted: ['Business', 'Shopping', 'Society'], actual: Business
49713, predicted: ['Computers', 'Business', 'Society'], actual: Business
49727, predicted: ['Business', 'Society', 'Regional'], actual: Business
49734, predicted: ['Business', 'Computers', 'Shopping'], actual: Business
49751, predicted: ['Business', 'Computers', 'Recreation'], actual: Business
49806, predicted: ['Business', 'Society', 'Computers'], actual: Business
49951, predicted: ['Shopping', 'Computers', 'Business'], actual: Business
50038, predicted: ['Shopping', 'Health', 'Business'], actual: Business
50109, predicted: ['Computers', 'Shopping', 'Business'], actual: Business
50152, predicted: ['Business', 'Computers', 'Society'], actual: Business
50183, predicted: ['Business', 'Shopping', 'Computers'], actual: Business
50196, predicted: ['Business', 'Computers', 'Society'], actual: Business
50317, predicted: ['Business', 'Regional', 'Shopping'], actual: Business
50358, predicted: ['Shopping', 'Business', 'Recreation'], actual: Business
50359, predicted: ['Business', 'Shopping', 'Computers'], actual: Business
50380, predicted: ['Shopping', 'Health', 'Business'], actual: Business
50407, predicted: ['Business', 'Computers', 'Sports'], actual: Business
50435, predicted: ['Business', 'Computers', 'Shopping'], actual: Business
50495, predicted: ['Computers', 'Business', 'Shopping'], actual: Business
50604, predicted: ['Adult', 'Society', 'Computers'], actual: Computers
50605, predicted: ['Business', 'Computers', 'Shopping'], actual: Computers
50614, predicted: ['Computers', 'Sports', 'Society'], actual: Computers
50637, predicted: ['Business', 'Computers', 'Shopping'], actual: Computers
50662, predicted: ['Computers', 'Shopping', 'Sports'], actual: Computers
50677, predicted: ['Shopping', 'Computers', 'Sports'], actual: Computers
50680, predicted: ['Shopping', 'Business', 'Computers'], actual: Computers
50694, predicted: ['Shopping', 'Computers', 'Sports'], actual: Computers
50696, predicted: ['Shopping', 'Computers', 'Society'], actual: Computers
50778, predicted: ['Shopping', 'Computers', 'Business'], actual: Computers
50794, predicted: ['Shopping', 'Computers', 'Business'], actual: Computers
50801, predicted: ['Shopping', 'Computers', 'Business'], actual: Computers
50818, predicted: ['Computers', 'Shopping', 'Business'], actual: Computers
50829, predicted: ['Society', 'Computers', 'Sports'], actual: Computers
50863, predicted: ['Shopping', 'Sports', 'Computers'], actual: Computers
50902, predicted: ['Computers', 'Shopping', 'Business'], actual: Computers
50922, predicted: ['Shopping', 'Computers', 'Business'], actual: Computers
50975, predicted: ['Sports', 'Computers', 'Society'], actual: Computers
51014, predicted: ['Business', 'Computers', 'Sports'], actual: Computers
51016, predicted: ['Business', 'Computers', 'Science'], actual: Computers
51033, predicted: ['Shopping', 'Sports', 'Computers'], actual: Computers
51046, predicted: ['Business', 'Shopping', 'Computers'], actual: Computers
51065, predicted: ['Computers', 'Shopping', 'Business'], actual: Computers
51110, predicted: ['Shopping', 'Computers', 'Sports'], actual: Computers
51143, predicted: ['Shopping', 'Computers', 'Sports'], actual: Computers
51186, predicted: ['Shopping', 'Computers', 'Sports'], actual: Computers
51193, predicted: ['Sports', 'Computers', 'Business'], actual: Computers
51246, predicted: ['Computers', 'Shopping', 'Business'], actual: Computers
51251, predicted: ['Shopping', 'Computers', 'Sports'], actual: Computers
51295, predicted: ['Shopping', 'Business', 'Computers'], actual: Computers
51305, predicted: ['Shopping', 'Business', 'Computers'], actual: Computers
51329, predicted: ['Computers', 'Shopping', 'Business'], actual: Computers
51358, predicted: ['Shopping', 'Recreation', 'Computers'], actual: Computers
51361, predicted: ['Computers', 'Shopping', 'Society'], actual: Computers
51383, predicted: ['Society', 'Computers', 'Sports'], actual: Computers
51486, predicted: ['Shopping', 'Computers', 'Sports'], actual: Computers
57111, predicted: ['Sports', 'Shopping', 'Recreation'], actual: Recreation
3553, predicted: ['Society', 'Home', 'Arts'], actual: Arts
16961, predicted: ['Health', 'Business', 'Arts'], actual: Health
17076, predicted: ['Health', 'Arts', 'Recreation'], actual: Health
17338, predicted: ['Health', 'Business', 'Computers'], actual: Health
17611, predicted: ['Health', 'Science', 'Recreation'], actual: Health
17651, predicted: ['Health', 'Business', 'Kids'], actual: Health
17897, predicted: ['Health', 'Arts', 'Recreation'], actual: Health
17957, predicted: ['Arts', 'Business', 'Health'], actual: Health
18129, predicted: ['Home', 'Kids', 'Business'], actual: Home
18251, predicted: ['Computers', 'Games', 'Home'], actual: Home
18589, predicted: ['Home', 'Business', 'Shopping'], actual: Home
19145, predicted: ['Arts', 'Kids', 'Adult'], actual: Kids
19170, predicted: ['Arts', 'Kids', 'Computers'], actual: Kids
19361, predicted: ['Recreation', 'Health', 'Kids'], actual: Kids
19409, predicted: ['Recreation', 'Kids', 'Home'], actual: Recreation
19684, predicted: ['Home', 'Kids', 'Business'], actual: Kids
19820, predicted: ['Kids', 'Health', 'Adult'], actual: Kids
20045, predicted: ['Recreation', 'Arts', 'News'], actual: News
20079, predicted: ['News', 'Arts', 'Business'], actual: News
20521, predicted: ['Business', 'Computers', 'Arts'], actual: Business
20770, predicted: ['News', 'Arts', 'Kids'], actual: News
20818, predicted: ['News', 'Sports', 'Recreation'], actual: News
20976, predicted: ['News', 'Regional', 'Business'], actual: News
21041, predicted: ['Health', 'Business', 'News'], actual: News
21289, predicted: ['Arts', 'News', 'Business'], actual: News
21314, predicted: ['News', 'Arts', 'Sports'], actual: News
21376, predicted: ['News', 'Arts', 'Regional'], actual: News
21402, predicted: ['Recreation', 'News', 'Games'], actual: News
21451, predicted: ['News', 'Arts', 'Business'], actual: News
21502, predicted: ['Recreation', 'Business', 'Shopping'], actual: Recreation
21505, predicted: ['Recreation', 'Business', 'Science'], actual: Recreation
21512, predicted: ['Recreation', 'Computers', 'Business'], actual: Recreation
