12288, predicted: ['Business'], actual: Computers
4303, predicted: ['Business'], actual: Arts
20688, predicted: ['Arts'], actual: Home
37073, predicted: ['News'], actual: Society
19920, predicted: ['Business'], actual: News
2084, predicted: ['Computers'], actual: Adult
28891, predicted: ['Business'], actual: Science
45281, predicted: ['Shopping'], actual: Adult
20711, predicted: ['Business'], actual: Home
45835, predicted: ['Health'], actual: Arts
53481, predicted: ['Computers'], actual: Games
28906, predicted: ['Computers'], actual: Science
235, predicted: ['News'], actual: Arts
56201, predicted: ['Computers'], actual: Kids
10963, predicted: ['Science'], actual: Computers
16629, predicted: ['Arts'], actual: Health
41207, predicted: ['Business'], actual: Sports
33016, predicted: ['Sports'], actual: Shopping
249, predicted: ['Arts'], actual: Business
12538, predicted: ['Home'], actual: Computers
28925, predicted: ['Computers'], actual: Science
45316, predicted: ['Shopping'], actual: Adult
45318, predicted: ['Shopping'], actual: Adult
49415, predicted: ['Science'], actual: Business
53512, predicted: ['Sports'], actual: Games
34867, predicted: ['Shopping'], actual: Society
29399, predicted: ['Recreation'], actual: Shopping
37132, predicted: ['Regional'], actual: Society
56202, predicted: ['Recreation'], actual: Kids
20525, predicted: ['Computers'], actual: Business
37138, predicted: ['Arts'], actual: Society
16661, predicted: ['Business'], actual: Health
16665, predicted: ['Recreation'], actual: Health
284, predicted: ['Recreation'], actual: Business
28958, predicted: ['Business'], actual: Science
4383, predicted: ['Recreation'], actual: Reference
19377, predicted: ['News'], actual: Society
45347, predicted: ['Sports'], actual: Adult
33064, predicted: ['Arts'], actual: Shopping
10, predicted: ['Arts'], actual: Adult
53555, predicted: ['Shopping'], actual: Games
53560, predicted: ['Sports'], actual: Games
8244, predicted: ['Computers'], actual: Business
56714, predicted: ['Sports'], actual: News
45379, predicted: ['Recreation'], actual: Adult
324, predicted: ['Computers'], actual: Business
53578, predicted: ['Computers'], actual: Games
27362, predicted: ['Business'], actual: Science
16718, predicted: ['Science'], actual: Health
45391, predicted: ['Recreation'], actual: Adult
37201, predicted: ['News'], actual: Society
29018, predicted: ['Recreation'], actual: Science
37212, predicted: ['Shopping'], actual: Society
37213, predicted: ['Health'], actual: Society
41311, predicted: ['Shopping'], actual: Sports
26683, predicted: ['Business'], actual: Regional
29028, predicted: ['Sports'], actual: Science
45413, predicted: ['Society'], actual: Adult
53606, predicted: ['Shopping'], actual: Games
53608, predicted: ['Sports'], actual: Games
362, predicted: ['Reference'], actual: Computers
45419, predicted: ['Sports'], actual: Adult
4461, predicted: ['Recreation'], actual: Arts
37232, predicted: ['Shopping'], actual: Society
31464, predicted: ['Society'], actual: Shopping
37238, predicted: ['Sports'], actual: Society
33513, predicted: ['Society'], actual: Shopping
54137, predicted: ['Shopping'], actual: Health
29049, predicted: ['Computers'], actual: Science
29051, predicted: ['Business'], actual: Science
4476, predicted: ['Shopping'], actual: Arts
4481, predicted: ['Shopping'], actual: Arts
19179, predicted: ['Reference'], actual: Kids
49545, predicted: ['Science'], actual: Business
394, predicted: ['Home'], actual: Computers
19863, predicted: ['Business'], actual: Kids
16782, predicted: ['Business'], actual: Health
49552, predicted: ['Computers'], actual: Business
17515, predicted: ['Business'], actual: Health
12691, predicted: ['Business'], actual: Computers
41364, predicted: ['Computers'], actual: Sports
20885, predicted: ['Arts'], actual: News
45462, predicted: ['Computers'], actual: Kids
4503, predicted: ['Recreation'], actual: Arts
12698, predicted: ['News'], actual: Computers
49564, predicted: ['Computers'], actual: Business
414, predicted: ['Business'], actual: Computers
49567, predicted: ['Arts'], actual: Business
49568, predicted: ['Computers'], actual: Business
29089, predicted: ['Computers'], actual: Science
418, predicted: ['Business'], actual: Computers
49574, predicted: ['Computers'], actual: Business
4519, predicted: ['Business'], actual: Arts
37288, predicted: ['Business'], actual: Society
55798, predicted: ['Recreation'], actual: Home
12715, predicted: ['Recreation'], actual: Computers
29100, predicted: ['Reference'], actual: Science
4525, predicted: ['Business'], actual: Arts
431, predicted: ['Kids'], actual: Games
287, predicted: ['Computers'], actual: Business
19791, predicted: ['Recreation'], actual: Kids
20915, predicted: ['Business'], actual: News
438, predicted: ['Arts'], actual: Games
29111, predicted: ['Computers'], actual: Science
444, predicted: ['Recreation'], actual: Games
45501, predicted: ['Computers'], actual: Arts
25024, predicted: ['Health'], actual: Recreation
48544, predicted: ['Shopping'], actual: Business
29123, predicted: ['Computers'], actual: Science
25334, predicted: ['Science'], actual: Reference
25031, predicted: ['Business'], actual: Recreation
4552, predicted: ['Business'], actual: Arts
29129, predicted: ['Business'], actual: Science
29132, predicted: ['Computers'], actual: Science
45517, predicted: ['Society'], actual: Arts
49614, predicted: ['Shopping'], actual: Business
53711, predicted: ['Society'], actual: Health
25969, predicted: ['Business'], actual: Reference
29137, predicted: ['Computers'], actual: Science
466, predicted: ['Computers'], actual: Games
49619, predicted: ['Arts'], actual: Business
29141, predicted: ['Computers'], actual: Science
55923, predicted: ['Health'], actual: Home
45528, predicted: ['Shopping'], actual: Arts
36261, predicted: ['Recreation'], actual: Society
57829, predicted: ['Society'], actual: Reference
37350, predicted: ['Arts'], actual: Society
29159, predicted: ['Computers'], actual: Science
491, predicted: ['Business'], actual: Games
12781, predicted: ['Business'], actual: Computers
20978, predicted: ['Arts'], actual: News
12788, predicted: ['Games'], actual: Computers
33269, predicted: ['Recreation'], actual: Shopping
41465, predicted: ['Arts'], actual: Sports
57860, predicted: ['Society'], actual: Reference
37377, predicted: ['Arts'], actual: Society
41474, predicted: ['Society'], actual: Sports
37379, predicted: ['Shopping'], actual: Society
33284, predicted: ['Business'], actual: Shopping
16901, predicted: ['Recreation'], actual: Health
4616, predicted: ['Computers'], actual: Arts
2573, predicted: ['Arts'], actual: Adult
41486, predicted: ['Arts'], actual: Sports
54701, predicted: ['Business'], actual: Health
29201, predicted: ['Business'], actual: Science
29204, predicted: ['Business'], actual: Science
57882, predicted: ['Shopping'], actual: Reference
45595, predicted: ['Shopping'], actual: Arts
21022, predicted: ['Recreation'], actual: News
58117, predicted: ['Society'], actual: Regional
58257, predicted: ['Computers'], actual: Science
55187, predicted: ['Arts'], actual: Home
56070, predicted: ['Shopping'], actual: Home
29222, predicted: ['Computers'], actual: Science
37416, predicted: ['Arts'], actual: Society
16944, predicted: ['Recreation'], actual: Health
21041, predicted: ['Health'], actual: News
49714, predicted: ['Computers'], actual: Business
28766, predicted: ['Computers'], actual: Science
41526, predicted: ['Society'], actual: Sports
4664, predicted: ['Business'], actual: Arts
8761, predicted: ['Computers'], actual: Business
45627, predicted: ['Business'], actual: Arts
53821, predicted: ['Business'], actual: Health
9653, predicted: ['Computers'], actual: Business
51296, predicted: ['Society'], actual: Computers
578, predicted: ['Home'], actual: Health
579, predicted: ['Home'], actual: Health
49932, predicted: ['Kids'], actual: Business
21068, predicted: ['Arts'], actual: News
18530, predicted: ['Business'], actual: Home
29264, predicted: ['Recreation'], actual: Shopping
29267, predicted: ['Recreation'], actual: Shopping
4693, predicted: ['Recreation'], actual: Arts
57943, predicted: ['Computers'], actual: Reference
21081, predicted: ['Arts'], actual: News
4698, predicted: ['Kids'], actual: Arts
4699, predicted: ['Shopping'], actual: Arts
21946, predicted: ['Home'], actual: Recreation
4705, predicted: ['Business'], actual: Arts
53862, predicted: ['Science'], actual: Health
43793, predicted: ['Shopping'], actual: Computers
42438, predicted: ['Computers'], actual: Sports
4714, predicted: ['News'], actual: Arts
21099, predicted: ['Games'], actual: News
25387, predicted: ['Recreation'], actual: Reference
4718, predicted: ['Recreation'], actual: Arts
21103, predicted: ['Health'], actual: News
25201, predicted: ['Business'], actual: Recreation
25935, predicted: ['Computers'], actual: Reference
628, predicted: ['Business'], actual: Health
57978, predicted: ['Society'], actual: Reference
5567, predicted: ['Recreation'], actual: Arts
4732, predicted: ['Sports'], actual: Arts
4733, predicted: ['Sports'], actual: Arts
4736, predicted: ['Business'], actual: Arts
56760, predicted: ['Society'], actual: News
644, predicted: ['Science'], actual: Health
49798, predicted: ['Society'], actual: Business
25226, predicted: ['Business'], actual: Recreation
21131, predicted: ['Arts'], actual: News
29324, predicted: ['Business'], actual: Shopping
55405, predicted: ['Society'], actual: Health
19662, predicted: ['Arts'], actual: Kids
37656, predicted: ['Arts'], actual: Society
53907, predicted: ['Shopping'], actual: Health
25236, predicted: ['Adult'], actual: Recreation
4759, predicted: ['Business'], actual: Arts
56772, predicted: ['Shopping'], actual: News
49818, predicted: ['Regional'], actual: Business
56090, predicted: ['Arts'], actual: Kids
21150, predicted: ['Arts'], actual: News
21152, predicted: ['Arts'], actual: News
21153, predicted: ['Arts'], actual: News
53923, predicted: ['Business'], actual: Health
21157, predicted: ['Computers'], actual: News
12967, predicted: ['Business'], actual: Computers
58025, predicted: ['Society'], actual: Reference
4210, predicted: ['Recreation'], actual: Arts
49838, predicted: ['Society'], actual: Business
53936, predicted: ['Shopping'], actual: Health
49841, predicted: ['Regional'], actual: Business
32629, predicted: ['Business'], actual: Shopping
49846, predicted: ['Arts'], actual: Business
48585, predicted: ['Computers'], actual: Business
58042, predicted: ['Computers'], actual: Reference
33469, predicted: ['Computers'], actual: Shopping
4800, predicted: ['Adult'], actual: Arts
4802, predicted: ['Recreation'], actual: News
709, predicted: ['Recreation'], actual: Computers
4806, predicted: ['Computers'], actual: Arts
25288, predicted: ['News'], actual: Reference
58058, predicted: ['Arts'], actual: Regional
4811, predicted: ['Home'], actual: Arts
716, predicted: ['Business'], actual: Home
21197, predicted: ['Computers'], actual: News
10360, predicted: ['Computers'], actual: Business
33493, predicted: ['Games'], actual: Shopping
4825, predicted: ['Recreation'], actual: Arts
730, predicted: ['Business'], actual: Home
58075, predicted: ['Sports'], actual: Regional
53984, predicted: ['Kids'], actual: Health
13025, predicted: ['Business'], actual: Computers
58083, predicted: ['Business'], actual: Regional
37604, predicted: ['Computers'], actual: Society
741, predicted: ['Recreation'], actual: Home
29414, predicted: ['Recreation'], actual: Shopping
21223, predicted: ['Computers'], actual: News
4840, predicted: ['Recreation'], actual: Arts
124, predicted: ['Kids'], actual: Regional
843, predicted: ['Science'], actual: Kids
23335, predicted: ['Arts'], actual: Recreation
21228, predicted: ['Health'], actual: News
56218, predicted: ['Computers'], actual: Kids
4847, predicted: ['Recreation'], actual: Arts
21232, predicted: ['Business'], actual: News
29426, predicted: ['Business'], actual: Shopping
33524, predicted: ['Sports'], actual: Shopping
4854, predicted: ['Recreation'], actual: Arts
55423, predicted: ['Society'], actual: Health
13052, predicted: ['Science'], actual: Computers
58110, predicted: ['Computers'], actual: Regional
29445, predicted: ['Recreation'], actual: Shopping
37638, predicted: ['Arts'], actual: Society
4871, predicted: ['Recreation'], actual: Arts
58120, predicted: ['Shopping'], actual: Regional
58156, predicted: ['Computers'], actual: Science
4875, predicted: ['Computers'], actual: Arts
29452, predicted: ['Recreation'], actual: Shopping
17165, predicted: ['Recreation'], actual: Health
37647, predicted: ['Adult'], actual: Society
42456, predicted: ['Society'], actual: Sports
41746, predicted: ['Business'], actual: Sports
37652, predicted: ['Shopping'], actual: Society
792, predicted: ['Science'], actual: Home
49951, predicted: ['Computers'], actual: Business
25376, predicted: ['Recreation'], actual: Reference
13089, predicted: ['Business'], actual: Computers
4899, predicted: ['Recreation'], actual: Arts
25382, predicted: ['Computers'], actual: Reference
37673, predicted: ['Sports'], actual: Society
56220, predicted: ['Arts'], actual: Kids
29483, predicted: ['Recreation'], actual: Shopping
4908, predicted: ['Health'], actual: Arts
58266, predicted: ['Shopping'], actual: Science
816, predicted: ['Business'], actual: Kids
45875, predicted: ['Computers'], actual: Arts
54071, predicted: ['Shopping'], actual: Health
29502, predicted: ['Business'], actual: Shopping
26351, predicted: ['Recreation'], actual: Reference
832, predicted: ['Computers'], actual: Kids
25410, predicted: ['Society'], actual: Reference
29079, predicted: ['Business'], actual: Science
56118, predicted: ['Sports'], actual: Kids
839, predicted: ['Games'], actual: Computers
59236, predicted: ['Society'], actual: Computers
58187, predicted: ['Shopping'], actual: Science
844, predicted: ['Science'], actual: Kids
45902, predicted: ['Society'], actual: Arts
847, predicted: ['Shopping'], actual: Recreation
29522, predicted: ['Business'], actual: Shopping
21332, predicted: ['Arts'], actual: News
4238, predicted: ['Recreation'], actual: Arts
25431, predicted: ['Home'], actual: Reference
56804, predicted: ['Sports'], actual: News
54107, predicted: ['Computers'], actual: Health
13148, predicted: ['Business'], actual: Computers
861, predicted: ['Science'], actual: Kids
862, predicted: ['Computers'], actual: Kids
37809, predicted: ['Computers'], actual: Society
41827, predicted: ['Shopping'], actual: Sports
13156, predicted: ['Science'], actual: Computers
21349, predicted: ['Arts'], actual: News
17254, predicted: ['Recreation'], actual: Health
29544, predicted: ['Business'], actual: Shopping
19260, predicted: ['Recreation'], actual: Kids
24365, predicted: ['Computers'], actual: Recreation
21362, predicted: ['Recreation'], actual: News
25460, predicted: ['Recreation'], actual: Reference
17214, predicted: ['Business'], actual: Health
831, predicted: ['Society'], actual: Kids
41852, predicted: ['Shopping'], actual: Sports
45949, predicted: ['Society'], actual: Arts
45951, predicted: ['Society'], actual: Arts
21379, predicted: ['Sports'], actual: News
46812, predicted: ['Shopping'], actual: Arts
58245, predicted: ['Society'], actual: Science
21383, predicted: ['Sports'], actual: News
25480, predicted: ['Computers'], actual: Reference
21386, predicted: ['Recreation'], actual: News
17291, predicted: ['Recreation'], actual: Health
33677, predicted: ['Business'], actual: Shopping
25486, predicted: ['Computers'], actual: Reference
13200, predicted: ['Business'], actual: Computers
913, predicted: ['Health'], actual: Science
1667, predicted: ['Arts'], actual: Society
5013, predicted: ['Shopping'], actual: Arts
36504, predicted: ['Shopping'], actual: Society
37700, predicted: ['Recreation'], actual: Society
21402, predicted: ['Recreation'], actual: News
21403, predicted: ['Science'], actual: News
6298, predicted: ['News'], actual: Business
21406, predicted: ['Arts'], actual: News
50079, predicted: ['Shopping'], actual: Business
29601, predicted: ['Business'], actual: Shopping
45987, predicted: ['Home'], actual: Kids
50088, predicted: ['Computers'], actual: Business
25514, predicted: ['Health'], actual: Reference
29511, predicted: ['Recreation'], actual: Shopping
9132, predicted: ['Society'], actual: Business
13810, predicted: ['Recreation'], actual: Games
54191, predicted: ['Shopping'], actual: Health
29617, predicted: ['Business'], actual: Shopping
54194, predicted: ['Shopping'], actual: Health
58293, predicted: ['Shopping'], actual: Science
13239, predicted: ['Science'], actual: Computers
46014, predicted: ['Society'], actual: Arts
21440, predicted: ['Computers'], actual: News
4939, predicted: ['Recreation'], actual: Arts
13252, predicted: ['Science'], actual: Computers
54213, predicted: ['Business'], actual: Health
966, predicted: ['Arts'], actual: News
25545, predicted: ['Business'], actual: Reference
975, predicted: ['Business'], actual: News
58320, predicted: ['Society'], actual: Science
21461, predicted: ['Recreation'], actual: News
46041, predicted: ['Society'], actual: Arts
58333, predicted: ['News'], actual: Science
9183, predicted: ['Arts'], actual: Business
58337, predicted: ['News'], actual: Science
25571, predicted: ['Business'], actual: Reference
33765, predicted: ['Business'], actual: Shopping
13286, predicted: ['Games'], actual: Computers
23377, predicted: ['Arts'], actual: Recreation
21480, predicted: ['Arts'], actual: News
54249, predicted: ['Society'], actual: Health
1002, predicted: ['Arts'], actual: News
50155, predicted: ['Arts'], actual: Business
58348, predicted: ['Society'], actual: Science
852, predicted: ['Arts'], actual: Kids
25593, predicted: ['Business'], actual: Reference
50174, predicted: ['Computers'], actual: Business
1026, predicted: ['Business'], actual: News
25603, predicted: ['Business'], actual: Reference
885, predicted: ['Recreation'], actual: Science
50183, predicted: ['Shopping'], actual: Business
13320, predicted: ['Arts'], actual: Computers
307, predicted: ['Arts'], actual: Business
1034, predicted: ['Recreation'], actual: Home
13324, predicted: ['Shopping'], actual: Computers
54289, predicted: ['Society'], actual: Health
9236, predicted: ['Science'], actual: Business
20654, predicted: ['Recreation'], actual: Health
25623, predicted: ['Recreation'], actual: Reference
13336, predicted: ['Recreation'], actual: Computers
25625, predicted: ['Regional'], actual: Reference
29724, predicted: ['Business'], actual: Shopping
45343, predicted: ['Computers'], actual: Health
21534, predicted: ['Shopping'], actual: Recreation
50211, predicted: ['Computers'], actual: Business
29736, predicted: ['Recreation'], actual: Shopping
21545, predicted: ['Arts'], actual: Recreation
6173, predicted: ['Recreation'], actual: Society
58413, predicted: ['Business'], actual: Science
46127, predicted: ['Society'], actual: Arts
9264, predicted: ['Computers'], actual: Business
4126, predicted: ['Business'], actual: Arts
29752, predicted: ['News'], actual: Shopping
58425, predicted: ['Computers'], actual: Science
58426, predicted: ['Shopping'], actual: Science
1085, predicted: ['Arts'], actual: Society
56050, predicted: ['Recreation'], actual: Home
33856, predicted: ['Business'], actual: Shopping
54836, predicted: ['Shopping'], actual: Health
29762, predicted: ['Recreation'], actual: Shopping
54343, predicted: ['Society'], actual: Health
9289, predicted: ['Business'], actual: Recreation
8375, predicted: ['Health'], actual: Business
58444, predicted: ['Arts'], actual: Shopping
42061, predicted: ['Business'], actual: Sports
13390, predicted: ['Science'], actual: Computers
33874, predicted: ['Arts'], actual: Shopping
25443, predicted: ['Business'], actual: Reference
13397, predicted: ['Recreation'], actual: Computers
54359, predicted: ['Society'], actual: Health
25688, predicted: ['Arts'], actual: Reference
54361, predicted: ['Recreation'], actual: Health
50266, predicted: ['Regional'], actual: Business
1115, predicted: ['Business'], actual: Recreation
9309, predicted: ['Home'], actual: Recreation
1121, predicted: ['Arts'], actual: Recreation
33891, predicted: ['Arts'], actual: Shopping
870, predicted: ['Reference'], actual: Society
37991, predicted: ['Business'], actual: Society
20668, predicted: ['Business'], actual: Health
1131, predicted: ['Games'], actual: Recreation
9064, predicted: ['Computers'], actual: Business
54387, predicted: ['Arts'], actual: Health
21621, predicted: ['Computers'], actual: Recreation
13844, predicted: ['Shopping'], actual: Games
13436, predicted: ['Recreation'], actual: Computers
58218, predicted: ['Recreation'], actual: Science
19989, predicted: ['Society'], actual: News
50305, predicted: ['Computers'], actual: Business
33924, predicted: ['Arts'], actual: Shopping
4403, predicted: ['Computers'], actual: Arts
13451, predicted: ['Health'], actual: Computers
13452, predicted: ['Recreation'], actual: Computers
29838, predicted: ['Business'], actual: Shopping
1167, predicted: ['Arts'], actual: Recreation
58512, predicted: ['Recreation'], actual: Shopping
56856, predicted: ['Society'], actual: News
50325, predicted: ['Shopping'], actual: Business
5270, predicted: ['Health'], actual: Arts
1175, predicted: ['Computers'], actual: Recreation
1180, predicted: ['Business'], actual: Recreation
54430, predicted: ['Society'], actual: Health
50335, predicted: ['Computers'], actual: Business
50338, predicted: ['Computers'], actual: Business
1187, predicted: ['Home'], actual: Recreation
1190, predicted: ['Business'], actual: Recreation
35015, predicted: ['Arts'], actual: Society
38062, predicted: ['Business'], actual: Society
54460, predicted: ['Society'], actual: Health
54453, predicted: ['Business'], actual: Health
21686, predicted: ['Business'], actual: Recreation
18633, predicted: ['Arts'], actual: Home
17268, predicted: ['Computers'], actual: Health
42170, predicted: ['Shopping'], actual: Sports
5223, predicted: ['Shopping'], actual: Arts
1213, predicted: ['Arts'], actual: Reference
54462, predicted: ['News'], actual: Health
17599, predicted: ['Business'], actual: Health
54464, predicted: ['Shopping'], actual: Health
9409, predicted: ['Health'], actual: Business
25794, predicted: ['Science'], actual: Reference
25796, predicted: ['Recreation'], actual: Reference
1221, predicted: ['Business'], actual: Shopping
46283, predicted: ['Computers'], actual: Arts
9420, predicted: ['Science'], actual: Business
56866, predicted: ['Arts'], actual: News
13518, predicted: ['Arts'], actual: Computers
16589, predicted: ['Arts'], actual: Health
21712, predicted: ['Regional'], actual: Recreation
1571, predicted: ['Kids'], actual: Shopping
58233, predicted: ['Shopping'], actual: Science
14635, predicted: ['Shopping'], actual: Games
10447, predicted: ['Reference'], actual: Business
25820, predicted: ['Recreation'], actual: Reference
13536, predicted: ['Business'], actual: Computers
25826, predicted: ['Recreation'], actual: Reference
58235, predicted: ['Shopping'], actual: Science
1254, predicted: ['Business'], actual: Reference
4305, predicted: ['Recreation'], actual: Arts
1256, predicted: ['Business'], actual: Reference
26638, predicted: ['News'], actual: Regional
44583, predicted: ['Computers'], actual: Science
54508, predicted: ['Society'], actual: Health
46319, predicted: ['Society'], actual: Arts
1267, predicted: ['News'], actual: Business
25846, predicted: ['Computers'], actual: Reference
34345, predicted: ['Arts'], actual: Society
46329, predicted: ['Society'], actual: Arts
25853, predicted: ['Arts'], actual: Reference
25854, predicted: ['News'], actual: Reference
5375, predicted: ['Recreation'], actual: Arts
46337, predicted: ['Sports'], actual: Arts
25862, predicted: ['Computers'], actual: Reference
25863, predicted: ['Business'], actual: Reference
1288, predicted: ['Business'], actual: Reference
1290, predicted: ['Arts'], actual: Reference
1291, predicted: ['Science'], actual: Reference
25868, predicted: ['Computers'], actual: Reference
1295, predicted: ['Arts'], actual: Reference
725, predicted: ['Computers'], actual: Home
5678, predicted: ['Business'], actual: Arts
46358, predicted: ['Society'], actual: Arts
5401, predicted: ['Computers'], actual: Arts
45672, predicted: ['Society'], actual: Arts
50459, predicted: ['Shopping'], actual: Business
14554, predicted: ['Recreation'], actual: Games
50466, predicted: ['Recreation'], actual: Business
42276, predicted: ['Health'], actual: Sports
29989, predicted: ['Computers'], actual: Shopping
21801, predicted: ['Sports'], actual: Recreation
5418, predicted: ['Shopping'], actual: Arts
29997, predicted: ['Computers'], actual: Shopping
5422, predicted: ['Recreation'], actual: Arts
54576, predicted: ['Sports'], actual: Health
56883, predicted: ['Society'], actual: News
25909, predicted: ['Home'], actual: Reference
1334, predicted: ['Science'], actual: Reference
50487, predicted: ['Shopping'], actual: Business
50740, predicted: ['Shopping'], actual: Computers
5434, predicted: ['Computers'], actual: Arts
1339, predicted: ['Computers'], actual: Reference
5436, predicted: ['Recreation'], actual: Arts
1343, predicted: ['Computers'], actual: Reference
38209, predicted: ['Science'], actual: Sports
42307, predicted: ['Shopping'], actual: Sports
25732, predicted: ['Recreation'], actual: Reference
15926, predicted: ['Computers'], actual: Health
54601, predicted: ['Games'], actual: Health
24941, predicted: ['Business'], actual: Recreation
5454, predicted: ['Recreation'], actual: Arts
9551, predicted: ['Home'], actual: Business
1362, predicted: ['News'], actual: Regional
47400, predicted: ['Shopping'], actual: Arts
48014, predicted: ['Arts'], actual: Society
5462, predicted: ['Shopping'], actual: Arts
46423, predicted: ['Business'], actual: Arts
13656, predicted: ['Recreation'], actual: Games
46425, predicted: ['Business'], actual: Arts
58717, predicted: ['Recreation'], actual: Shopping
1374, predicted: ['Shopping'], actual: Regional
1379, predicted: ['Business'], actual: Regional
25956, predicted: ['Business'], actual: Reference
1383, predicted: ['News'], actual: Regional
40508, predicted: ['Computers'], actual: Sports
9580, predicted: ['Recreation'], actual: Business
57194, predicted: ['Arts'], actual: Recreation
9582, predicted: ['News'], actual: Business
55027, predicted: ['Science'], actual: Health
9585, predicted: ['News'], actual: Business
46451, predicted: ['Society'], actual: Arts
25975, predicted: ['Business'], actual: Reference
22551, predicted: ['Games'], actual: Recreation
58260, predicted: ['Shopping'], actual: Science
34171, predicted: ['Society'], actual: Shopping
12522, predicted: ['Business'], actual: Computers
13413, predicted: ['Shopping'], actual: Computers
25985, predicted: ['Society'], actual: Reference
1412, predicted: ['Computers'], actual: Science
5509, predicted: ['News'], actual: Arts
17798, predicted: ['Reference'], actual: Health
5512, predicted: ['Recreation'], actual: Arts
30093, predicted: ['Business'], actual: Shopping
5520, predicted: ['News'], actual: Arts
26001, predicted: ['Arts'], actual: Reference
54677, predicted: ['Business'], actual: Health
19353, predicted: ['Arts'], actual: Kids
29508, predicted: ['Recreation'], actual: Shopping
1433, predicted: ['Recreation'], actual: Science
54682, predicted: ['Computers'], actual: Health
54684, predicted: ['Shopping'], actual: Health
19354, predicted: ['Home'], actual: Kids
30112, predicted: ['Computers'], actual: Shopping
5539, predicted: ['Recreation'], actual: Arts
46500, predicted: ['Society'], actual: Arts
1446, predicted: ['Arts'], actual: Science
46505, predicted: ['Games'], actual: Arts
50604, predicted: ['Adult'], actual: Computers
5549, predicted: ['Recreation'], actual: Arts
22771, predicted: ['Shopping'], actual: Recreation
1461, predicted: ['Health'], actual: Science
50614, predicted: ['Society'], actual: Computers
26039, predicted: ['Computers'], actual: Reference
5562, predicted: ['Business'], actual: Arts
1467, predicted: ['Business'], actual: Regional
1468, predicted: ['Business'], actual: Society
13758, predicted: ['Computers'], actual: Games
26047, predicted: ['Arts'], actual: Reference
19360, predicted: ['Recreation'], actual: Kids
54722, predicted: ['Society'], actual: Health
55542, predicted: ['Computers'], actual: Home
