52866, predicted: Society, actual: Games
52514, predicted: Society, actual: News
52593, predicted: Arts, actual: News
52650, predicted: Kids, actual: News
58230, predicted: Computers, actual: Business
4053, predicted: Arts, actual: News
37290, predicted: Business, actual: News
37517, predicted: Health, actual: News
37919, predicted: Arts, actual: News
38254, predicted: Shopping, actual: News
38330, predicted: Arts, actual: News
38405, predicted: Recreation, actual: News
38447, predicted: Recreation, actual: News
38466, predicted: Recreation, actual: News
38674, predicted: Science, actual: News
38803, predicted: Science, actual: News
38868, predicted: Recreation, actual: News
39085, predicted: Recreation, actual: News
39604, predicted: Computers, actual: News
39656, predicted: Arts, actual: News
40426, predicted: Shopping, actual: Recreation
40732, predicted: Shopping, actual: Recreation
41643, predicted: Arts, actual: Recreation
42022, predicted: Business, actual: Recreation
42195, predicted: Business, actual: Recreation
43354, predicted: Business, actual: Recreation
43400, predicted: Computers, actual: Recreation
43935, predicted: Arts, actual: Recreation
44203, predicted: Sports, actual: Recreation
44297, predicted: Sports, actual: Recreation
44302, predicted: Computers, actual: Recreation
44327, predicted: Arts, actual: Recreation
44455, predicted: Reference, actual: Recreation
44457, predicted: Reference, actual: Recreation
44487, predicted: Business, actual: Recreation
44496, predicted: Computers, actual: Recreation
44553, predicted: Health, actual: Recreation
44556, predicted: Science, actual: Recreation
44558, predicted: Health, actual: Recreation
44561, predicted: Health, actual: Recreation
44632, predicted: Arts, actual: Recreation
44681, predicted: Business, actual: Recreation
44725, predicted: Arts, actual: Recreation
44990, predicted: Games, actual: Recreation
45081, predicted: Arts, actual: Recreation
45148, predicted: Games, actual: Recreation
45181, predicted: Arts, actual: Recreation
45219, predicted: Arts, actual: Recreation
45222, predicted: Arts, actual: Recreation
45237, predicted: Computers, actual: Recreation
45250, predicted: Computers, actual: Recreation
45351, predicted: Arts, actual: Recreation
45548, predicted: Games, actual: Recreation
45595, predicted: Society, actual: Recreation
45615, predicted: Recreation, actual: Society
45704, predicted: Recreation, actual: Society
45836, predicted: Reference, actual: Recreation
45892, predicted: Shopping, actual: Recreation
45896, predicted: Shopping, actual: Recreation
45902, predicted: Business, actual: Recreation
45935, predicted: Recreation, actual: Society
46073, predicted: Arts, actual: Recreation
46191, predicted: Recreation, actual: Society
46313, predicted: Business, actual: Recreation
46419, predicted: Shopping, actual: Recreation
46423, predicted: Society, actual: Recreation
46506, predicted: Health, actual: Recreation
46549, predicted: Recreation, actual: Shopping
46640, predicted: Arts, actual: Recreation
46684, predicted: Arts, actual: Recreation
46715, predicted: Computers, actual: Recreation
46764, predicted: Computers, actual: Recreation
46765, predicted: Computers, actual: Recreation
46774, predicted: Sports, actual: Recreation
46778, predicted: Business, actual: Recreation
46796, predicted: Business, actual: Recreation
46815, predicted: Health, actual: Recreation
46820, predicted: Business, actual: Recreation
46877, predicted: Business, actual: Recreation
46924, predicted: Sports, actual: Recreation
46988, predicted: Society, actual: Recreation
47077, predicted: Health, actual: Recreation
47297, predicted: Business, actual: Recreation
47318, predicted: Business, actual: Recreation
47361, predicted: Society, actual: Reference
47367, predicted: News, actual: Reference
47385, predicted: Computers, actual: Reference
47392, predicted: Reference, actual: Society
47407, predicted: Science, actual: Reference
47420, predicted: Business, actual: Reference
47435, predicted: Health, actual: Reference
47441, predicted: Society, actual: Reference
47451, predicted: Science, actual: Reference
47474, predicted: Recreation, actual: Reference
47476, predicted: Computers, actual: Reference
47490, predicted: Computers, actual: Reference
47502, predicted: Science, actual: Reference
47506, predicted: Arts, actual: Reference
47517, predicted: Business, actual: Reference
47521, predicted: Business, actual: Reference
47529, predicted: Computers, actual: Reference
47530, predicted: Recreation, actual: Reference
47559, predicted: Business, actual: Reference
47575, predicted: Society, actual: Reference
47636, predicted: Health, actual: Reference
47664, predicted: Recreation, actual: Reference
47678, predicted: Society, actual: Reference
47686, predicted: Health, actual: Reference
47731, predicted: Computers, actual: Reference
47743, predicted: Computers, actual: Reference
47747, predicted: Computers, actual: Reference
47749, predicted: Computers, actual: Reference
47762, predicted: Business, actual: Reference
47770, predicted: Arts, actual: Reference
47773, predicted: Business, actual: Reference
47780, predicted: Business, actual: Reference
47784, predicted: Business, actual: Reference
47802, predicted: Business, actual: Reference
47810, predicted: Arts, actual: Reference
47818, predicted: Computers, actual: Reference
47825, predicted: Health, actual: Reference
47860, predicted: Science, actual: Reference
47861, predicted: Health, actual: Reference
47891, predicted: Health, actual: Reference
47893, predicted: Health, actual: Reference
47963, predicted: Reference, actual: Shopping
47984, predicted: Computers, actual: Reference
48037, predicted: Arts, actual: Shopping
48050, predicted: Arts, actual: Reference
48057, predicted: Recreation, actual: Reference
48081, predicted: Arts, actual: Reference
48108, predicted: Arts, actual: Reference
48111, predicted: Recreation, actual: Reference
48120, predicted: Recreation, actual: Reference
48128, predicted: Arts, actual: Reference
48194, predicted: Arts, actual: Reference
48199, predicted: Arts, actual: Reference
49773, predicted: Health, actual: Reference
52866, predicted: Computers, actual: Reference
47238, predicted: Health, actual: Reference
47293, predicted: Arts, actual: Reference
47311, predicted: Society, actual: Reference
47365, predicted: Recreation, actual: Reference
47459, predicted: Arts, actual: Reference
47549, predicted: Arts, actual: Reference
49552, predicted: Arts, actual: Reference
49559, predicted: Society, actual: Reference
49568, predicted: Recreation, actual: Reference
49574, predicted: Science, actual: Reference
49587, predicted: Society, actual: Reference
49600, predicted: Science, actual: Reference
49619, predicted: Sports, actual: Regional
49667, predicted: News, actual: Regional
49697, predicted: Business, actual: Regional
49701, predicted: Business, actual: Regional
49714, predicted: Business, actual: Regional
49740, predicted: Business, actual: Regional
52669, predicted: Shopping, actual: Regional
52707, predicted: Recreation, actual: Regional
52729, predicted: Business, actual: Regional
52749, predicted: Health, actual: Regional
52780, predicted: Health, actual: Society
52789, predicted: Business, actual: Regional
52830, predicted: Business, actual: Regional
52837, predicted: Computers, actual: Regional
52846, predicted: Society, actual: Regional
52858, predicted: Business, actual: Regional
58235, predicted: Recreation, actual: Regional
45276, predicted: Business, actual: Regional
45409, predicted: Health, actual: Regional
45541, predicted: Science, actual: Regional
45627, predicted: Reference, actual: Regional
45832, predicted: Recreation, actual: Regional
45949, predicted: Science, actual: Regional
45951, predicted: Science, actual: Regional
46041, predicted: Recreation, actual: Regional
46221, predicted: Recreation, actual: Regional
46320, predicted: Science, actual: Regional
46510, predicted: Health, actual: Science
46887, predicted: Business, actual: Science
46930, predicted: Business, actual: Science
47118, predicted: Recreation, actual: Science
48141, predicted: Home, actual: Science
48234, predicted: Health, actual: Science
48252, predicted: Business, actual: Science
48519, predicted: Recreation, actual: Science
48532, predicted: Recreation, actual: Science
48585, predicted: Recreation, actual: Science
48589, predicted: Health, actual: Science
48591, predicted: Reference, actual: Science
48613, predicted: Health, actual: Science
48657, predicted: Business, actual: Science
48717, predicted: Business, actual: Science
48753, predicted: Shopping, actual: Science
48792, predicted: Business, actual: Science
48851, predicted: Shopping, actual: Science
48915, predicted: Business, actual: Science
49006, predicted: News, actual: Science
49024, predicted: Society, actual: Science
49037, predicted: Health, actual: Science
49091, predicted: Recreation, actual: Science
49128, predicted: Recreation, actual: Science
49229, predicted: Computers, actual: Science
49230, predicted: Business, actual: Science
49253, predicted: Arts, actual: Science
49346, predicted: Business, actual: Science
49358, predicted: Business, actual: Science
49362, predicted: Society, actual: Science
49368, predicted: Business, actual: Science
49390, predicted: Society, actual: Science
49435, predicted: Business, actual: Science
49444, predicted: Health, actual: Science
51590, predicted: Business, actual: Science
51665, predicted: Shopping, actual: Science
51691, predicted: Business, actual: Science
51694, predicted: Computers, actual: Science
51699, predicted: Business, actual: Science
51743, predicted: Health, actual: Science
51828, predicted: Business, actual: Science
51947, predicted: Shopping, actual: Science
52060, predicted: Computers, actual: Science
52125, predicted: Business, actual: Science
52337, predicted: Computers, actual: Science
52405, predicted: Computers, actual: Science
52427, predicted: Business, actual: Science
52449, predicted: Arts, actual: Science
52564, predicted: Computers, actual: Science
52593, predicted: Business, actual: Science
37132, predicted: Health, actual: Science
38254, predicted: Society, actual: Science
38330, predicted: Health, actual: Science
38405, predicted: Arts, actual: Science
38447, predicted: Arts, actual: Science
38466, predicted: News, actual: Science
38496, predicted: News, actual: Science
38674, predicted: Computers, actual: Science
38868, predicted: Computers, actual: Science
39085, predicted: Health, actual: Science
39656, predicted: Arts, actual: Science
39729, predicted: Computers, actual: Science
39869, predicted: Health, actual: Science
40260, predicted: Science, actual: Society
40426, predicted: Computers, actual: Science
40625, predicted: Arts, actual: Science
41219, predicted: Business, actual: Science
41486, predicted: Computers, actual: Science
41643, predicted: Computers, actual: Science
42022, predicted: Health, actual: Science
42553, predicted: Business, actual: Science
42583, predicted: Business, actual: Science
42811, predicted: Business, actual: Science
42998, predicted: Business, actual: Science
43122, predicted: Computers, actual: Science
43170, predicted: Computers, actual: Science
43400, predicted: Computers, actual: Science
43412, predicted: Business, actual: Science
43533, predicted: Arts, actual: Science
43681, predicted: Arts, actual: Science
43729, predicted: Sports, actual: Science
43780, predicted: Computers, actual: Science
43901, predicted: Business, actual: Science
43909, predicted: Computers, actual: Science
43935, predicted: Computers, actual: Science
44033, predicted: Business, actual: Science
44037, predicted: Computers, actual: Science
44106, predicted: Computers, actual: Science
44131, predicted: Computers, actual: Science
44136, predicted: Computers, actual: Science
44138, predicted: Business, actual: Science
44145, predicted: Computers, actual: Science
44146, predicted: Business, actual: Science
44161, predicted: Computers, actual: Science
44171, predicted: Computers, actual: Science
44173, predicted: Computers, actual: Science
44175, predicted: Computers, actual: Science
44190, predicted: Business, actual: Science
44203, predicted: Business, actual: Science
44209, predicted: Society, actual: Science
44244, predicted: Business, actual: Science
44250, predicted: Computers, actual: Science
44315, predicted: Recreation, actual: Shopping
44318, predicted: Society, actual: Shopping
44327, predicted: Business, actual: Shopping
44331, predicted: Recreation, actual: Shopping
44376, predicted: Recreation, actual: Shopping
44378, predicted: Recreation, actual: Shopping
44399, predicted: Arts, actual: Shopping
44407, predicted: Recreation, actual: Shopping
44413, predicted: Recreation, actual: Shopping
44434, predicted: Arts, actual: Shopping
44463, predicted: Recreation, actual: Shopping
44487, predicted: Recreation, actual: Shopping
44496, predicted: Recreation, actual: Shopping
44499, predicted: Recreation, actual: Shopping
44506, predicted: Arts, actual: Shopping
44835, predicted: Business, actual: Shopping
44838, predicted: Recreation, actual: Shopping
44875, predicted: Recreation, actual: Shopping
44934, predicted: Business, actual: Shopping
44990, predicted: Business, actual: Shopping
45081, predicted: Recreation, actual: Shopping
45181, predicted: Recreation, actual: Shopping
45219, predicted: Recreation, actual: Shopping
45250, predicted: Recreation, actual: Shopping
45351, predicted: Business, actual: Shopping
45758, predicted: Computers, actual: Shopping
45830, predicted: Computers, actual: Shopping
45896, predicted: Computers, actual: Shopping
45926, predicted: Recreation, actual: Shopping
45987, predicted: Computers, actual: Shopping
45998, predicted: Computers, actual: Shopping
46203, predicted: Business, actual: Shopping
46300, predicted: Society, actual: Shopping
46327, predicted: Business, actual: Shopping
46352, predicted: Business, actual: Shopping
46358, predicted: Arts, actual: Shopping
46506, predicted: Society, actual: Shopping
46507, predicted: Arts, actual: Shopping
46691, predicted: Adult, actual: Shopping
46877, predicted: Society, actual: Shopping
46979, predicted: Business, actual: Shopping
47092, predicted: Health, actual: Shopping
47129, predicted: Home, actual: Shopping
47248, predicted: Sports, actual: Shopping
47521, predicted: Health, actual: Shopping
47523, predicted: Business, actual: Shopping
47529, predicted: Health, actual: Shopping
47530, predicted: Business, actual: Shopping
47575, predicted: Computers, actual: Shopping
47664, predicted: Society, actual: Shopping
47780, predicted: Business, actual: Shopping
47784, predicted: Business, actual: Shopping
47786, predicted: Business, actual: Shopping
47860, predicted: Business, actual: Shopping
47311, predicted: Society, actual: Shopping
47365, predicted: Arts, actual: Shopping
49568, predicted: Recreation, actual: Shopping
49600, predicted: Arts, actual: Shopping
49667, predicted: Arts, actual: Shopping
49697, predicted: Arts, actual: Shopping
52720, predicted: Business, actual: Shopping
52749, predicted: Society, actual: Shopping
52837, predicted: Arts, actual: Shopping
52846, predicted: Recreation, actual: Shopping
45211, predicted: Business, actual: Shopping
45276, predicted: Business, actual: Shopping
45949, predicted: Recreation, actual: Shopping
45951, predicted: Science, actual: Shopping
46320, predicted: Business, actual: Shopping
46930, predicted: Home, actual: Shopping
48208, predicted: Health, actual: Shopping
48252, predicted: Science, actual: Shopping
48432, predicted: Reference, actual: Shopping
48445, predicted: Recreation, actual: Shopping
48507, predicted: Business, actual: Shopping
48519, predicted: Business, actual: Shopping
48589, predicted: Business, actual: Shopping
48591, predicted: Business, actual: Shopping
48597, predicted: Computers, actual: Shopping
48613, predicted: Computers, actual: Shopping
48630, predicted: Recreation, actual: Shopping
48664, predicted: Arts, actual: Shopping
48772, predicted: Health, actual: Shopping
48789, predicted: Arts, actual: Shopping
48851, predicted: Business, actual: Shopping
49021, predicted: Business, actual: Shopping
49101, predicted: Business, actual: Shopping
49213, predicted: Business, actual: Shopping
49230, predicted: Business, actual: Shopping
49346, predicted: Sports, actual: Shopping
49362, predicted: Sports, actual: Shopping
49422, predicted: Sports, actual: Shopping
49435, predicted: Sports, actual: Shopping
49515, predicted: Recreation, actual: Shopping
51543, predicted: Recreation, actual: Shopping
51555, predicted: Recreation, actual: Shopping
51694, predicted: Business, actual: Shopping
51699, predicted: Computers, actual: Shopping
52280, predicted: Business, actual: Shopping
52457, predicted: Computers, actual: Shopping
52514, predicted: Games, actual: Shopping
4053, predicted: Games, actual: Shopping
37132, predicted: Games, actual: Shopping
38254, predicted: Games, actual: Shopping
38304, predicted: Games, actual: Shopping
38674, predicted: Health, actual: Shopping
39085, predicted: Society, actual: Shopping
40784, predicted: Business, actual: Shopping
41250, predicted: Arts, actual: Shopping
41643, predicted: Arts, actual: Shopping
43681, predicted: Society, actual: Shopping
44033, predicted: News, actual: Society
44106, predicted: Business, actual: Society
44302, predicted: Shopping, actual: Society
44331, predicted: Sports, actual: Society
44413, predicted: Arts, actual: Society
44457, predicted: Recreation, actual: Society
44463, predicted: Health, actual: Society
44496, predicted: Arts, actual: Society
44499, predicted: Arts, actual: Society
44499, predicted: Business, actual: Society
44583, predicted: Arts, actual: Society
44598, predicted: Shopping, actual: Society
44632, predicted: Computers, actual: Society
44725, predicted: Computers, actual: Society
45222, predicted: Health, actual: Society
45351, predicted: Arts, actual: Society
45389, predicted: Computers, actual: Society
45413, predicted: Recreation, actual: Society
45497, predicted: Computers, actual: Society
45595, predicted: Games, actual: Society
45704, predicted: Business, actual: Society
45899, predicted: Arts, actual: Society
45926, predicted: Reference, actual: Society
45998, predicted: Reference, actual: Society
46057, predicted: Arts, actual: Society
46073, predicted: Reference, actual: Society
46077, predicted: Arts, actual: Society
46100, predicted: Arts, actual: Society
46220, predicted: Home, actual: Society
46313, predicted: Science, actual: Society
46376, predicted: Health, actual: Society
46423, predicted: Business, actual: Society
46462, predicted: Business, actual: Society
46500, predicted: Health, actual: Society
46529, predicted: Health, actual: Society
46566, predicted: Business, actual: Society
46620, predicted: Health, actual: Society
46684, predicted: Health, actual: Society
46754, predicted: Home, actual: Society
46877, predicted: Recreation, actual: Society
46918, predicted: Arts, actual: Society
46924, predicted: Recreation, actual: Society
46934, predicted: Sports, actual: Society
46962, predicted: Business, actual: Society
46964, predicted: Business, actual: Society
46988, predicted: Sports, actual: Society
47042, predicted: Business, actual: Society
47047, predicted: Business, actual: Society
47093, predicted: Computers, actual: Society
47318, predicted: Recreation, actual: Society
47361, predicted: Arts, actual: Society
47385, predicted: Health, actual: Society
47407, predicted: Sports, actual: Society
47441, predicted: Business, actual: Society
47451, predicted: Arts, actual: Society
47472, predicted: Arts, actual: Society
47476, predicted: Arts, actual: Society
47490, predicted: Sports, actual: Society
47502, predicted: Arts, actual: Society
47507, predicted: Arts, actual: Society
47517, predicted: News, actual: Society
47521, predicted: Health, actual: Society
47523, predicted: Sports, actual: Society
47529, predicted: Arts, actual: Society
47559, predicted: Business, actual: Society
47575, predicted: Health, actual: Society
47592, predicted: Health, actual: Society
47619, predicted: Sports, actual: Society
47678, predicted: Health, actual: Society
47762, predicted: Health, actual: Society
47784, predicted: Health, actual: Society
47810, predicted: Reference, actual: Society
47818, predicted: Reference, actual: Society
47825, predicted: Health, actual: Society
47890, predicted: Reference, actual: Society
47891, predicted: Arts, actual: Society
47906, predicted: Arts, actual: Society
47916, predicted: Reference, actual: Society
47984, predicted: Computers, actual: Society
48050, predicted: News, actual: Society
48128, predicted: News, actual: Society
49773, predicted: Shopping, actual: Society
52866, predicted: Shopping, actual: Society
47238, predicted: Shopping, actual: Society
47365, predicted: Shopping, actual: Society
47459, predicted: Sports, actual: Society
49568, predicted: Arts, actual: Society
49574, predicted: Business, actual: Society
49667, predicted: Health, actual: Society
49697, predicted: Arts, actual: Society
52720, predicted: Health, actual: Society
52780, predicted: Business, actual: Society
52846, predicted: Health, actual: Society
52858, predicted: Arts, actual: Society
58235, predicted: Computers, actual: Society
45541, predicted: Sports, actual: Society
45949, predicted: Recreation, actual: Society
46567, predicted: Sports, actual: Society
46930, predicted: Arts, actual: Society
48368, predicted: Business, actual: Society
48440, predicted: Health, actual: Society
48473, predicted: Business, actual: Society
48507, predicted: Business, actual: Society
48519, predicted: Business, actual: Society
48532, predicted: Health, actual: Society
48536, predicted: Science, actual: Society
48557, predicted: Business, actual: Society
48566, predicted: Business, actual: Society
48613, predicted: Recreation, actual: Sports
48731, predicted: Science, actual: Sports
49260, predicted: Society, actual: Sports
49271, predicted: Shopping, actual: Sports
52534, predicted: Business, actual: Sports
37932, predicted: Reference, actual: Sports
38330, predicted: Society, actual: Sports
38405, predicted: Recreation, actual: Sports
38447, predicted: Health, actual: Sports
39085, predicted: News, actual: Sports
40260, predicted: Recreation, actual: Sports
40732, predicted: Recreation, actual: Sports
40792, predicted: Recreation, actual: Sports
41642, predicted: Business, actual: Sports
42036, predicted: Recreation, actual: Sports
43354, predicted: Recreation, actual: Sports
44190, predicted: Reference, actual: Sports
44244, predicted: Science, actual: Sports
44441, predicted: Recreation, actual: Sports
44487, predicted: Recreation, actual: Sports
44499, predicted: Computers, actual: Sports
45595, predicted: Arts, actual: Sports
45647, predicted: Recreation, actual: Sports
45892, predicted: Society, actual: Sports
45899, predicted: Recreation, actual: Sports
46077, predicted: Recreation, actual: Sports
46127, predicted: Computers, actual: Sports
46172, predicted: Health, actual: Sports
46191, predicted: Computers, actual: Sports
46283, predicted: News, actual: Sports
46313, predicted: Regional, actual: Sports
46327, predicted: Health, actual: Sports
46463, predicted: Science, actual: Sports
46544, predicted: Business, actual: Sports
46566, predicted: Business, actual: Sports
46590, predicted: Business, actual: Sports
46684, predicted: Arts, actual: Sports
46691, predicted: Shopping, actual: Sports
46715, predicted: Society, actual: Sports
47093, predicted: Health, actual: Sports
47100, predicted: Health, actual: Sports
47129, predicted: Health, actual: Sports
47160, predicted: Adult, actual: Sports
47319, predicted: Recreation, actual: Sports
47361, predicted: Shopping, actual: Sports
47722, predicted: Recreation, actual: Sports
47725, predicted: Health, actual: Sports
47747, predicted: Recreation, actual: Sports
47762, predicted: Health, actual: Sports
47770, predicted: Recreation, actual: Sports
47773, predicted: Recreation, actual: Sports
47780, predicted: Recreation, actual: Sports
47784, predicted: Recreation, actual: Sports
