2, predicted: ['Computers', 'Recreation', 'Kids'], actual: Adult
2411, predicted: ['Computers', 'Business', 'Arts'], actual: Adult
55429, predicted: ['Arts', 'Shopping', 'Business'], actual: Health
22664, predicted: ['Kids', 'Health', 'News'], actual: Recreation
26762, predicted: ['Society', 'Arts', 'Recreation'], actual: Regional
4235, predicted: ['Recreation', 'Games', 'Computers'], actual: Arts
30863, predicted: ['Computers', 'Business', 'Sports'], actual: Shopping
30866, predicted: ['Health', 'Society', 'Sports'], actual: Shopping
58393, predicted: ['Health', 'Adult', 'Home'], actual: Science
8344, predicted: ['Science', 'Regional', 'Recreation'], actual: Business
2202, predicted: ['Computers', 'Games', 'Business'], actual: Adult
45211, predicted: ['Shopping', 'Business', 'Arts'], actual: Adult
51361, predicted: ['Health', 'Society', 'Business'], actual: Computers
25969, predicted: ['Business', 'Computers', 'Health'], actual: Reference
29724, predicted: ['Business', 'Recreation', 'Home'], actual: Shopping
22698, predicted: ['Science', 'Health', 'Business'], actual: Recreation
22702, predicted: ['Health', 'Science', 'Business'], actual: Recreation
44401, predicted: ['Computers', 'Society', 'Business'], actual: Recreation
45237, predicted: ['Recreation', 'Arts', 'Business'], actual: Adult
54767, predicted: ['Society', 'Kids', 'Business'], actual: Health
4283, predicted: ['Computers', 'Business', 'Science'], actual: Arts
28861, predicted: ['Business', 'Health', 'Computers'], actual: Science
190, predicted: ['Games', 'Business', 'Computers'], actual: Kids
30912, predicted: ['Business', 'Health', 'Arts'], actual: Shopping
193, predicted: ['Business', 'Regional', 'Shopping'], actual: Arts
51395, predicted: ['Games', 'Shopping', 'Sports'], actual: Computers
53447, predicted: ['Arts', 'Society', 'Reference'], actual: Games
205, predicted: ['Recreation', 'Arts', 'News'], actual: Society
26830, predicted: ['News', 'Business', 'Arts'], actual: Regional
51917, predicted: ['Arts', 'News', 'Science'], actual: Computers
55505, predicted: ['Business', 'Arts', 'Computers'], actual: Home
55508, predicted: ['Computers', 'Sports', 'Shopping'], actual: Home
55513, predicted: ['Arts', 'Business', 'Sports'], actual: Home
14554, predicted: ['Recreation', 'Health', 'Arts'], actual: Games
28891, predicted: ['Business', 'Health', 'Computers'], actual: Science
55532, predicted: ['Business', 'Sports', 'Arts'], actual: Home
26861, predicted: ['Business', 'Science', 'Recreation'], actual: Regional
56883, predicted: ['Society', 'Arts', 'Recreation'], actual: News
26866, predicted: ['Recreation', 'Business', 'Arts'], actual: Regional
22771, predicted: ['Business', 'Shopping', 'Science'], actual: Recreation
55451, predicted: ['Home', 'Recreation', 'Society'], actual: Health
16629, predicted: ['Recreation', 'Society', 'Business'], actual: Health
26870, predicted: ['Business', 'Recreation', 'Arts'], actual: Regional
41207, predicted: ['Health', 'Recreation', 'Society'], actual: Sports
2296, predicted: ['Health', 'Business', 'Home'], actual: Adult
249, predicted: ['Arts', 'Computers', 'News'], actual: Business
45309, predicted: ['Arts', 'Sports', 'Recreation'], actual: Adult
18686, predicted: ['Business', 'Arts', 'Regional'], actual: Home
18688, predicted: ['News', 'Arts', 'Business'], actual: Home
45318, predicted: ['Shopping', 'Recreation', 'Health'], actual: Adult
44, predicted: ['Health', 'Kids', 'Business'], actual: Adult
29399, predicted: ['Recreation', 'Business', 'Arts'], actual: Shopping
37132, predicted: ['Recreation', 'Regional', 'Sports'], actual: Society
56202, predicted: ['Recreation', 'Arts', 'Computers'], actual: Kids
26903, predicted: ['Reference', 'Business', 'News'], actual: Regional
18712, predicted: ['Arts', 'Recreation', 'Business'], actual: Home
47385, predicted: ['Computers', 'Business', 'Shopping'], actual: Arts
26907, predicted: ['Recreation', 'Arts', 'Reference'], actual: Regional
284, predicted: ['Recreation', 'Health', 'Computers'], actual: Business
18717, predicted: ['Business', 'Games', 'Recreation'], actual: Home
4383, predicted: ['Recreation', 'Arts', 'Kids'], actual: Reference
18721, predicted: ['Kids', 'Business', 'Adult'], actual: Home
45347, predicted: ['Sports', 'Recreation', 'Arts'], actual: Adult
47397, predicted: ['Computers', 'Sports', 'Business'], actual: Arts
33064, predicted: ['Arts', 'Society', 'Sports'], actual: Shopping
52956, predicted: ['Society', 'Shopping', 'Recreation'], actual: Games
307, predicted: ['Arts', 'News', 'Recreation'], actual: Business
2357, predicted: ['Recreation', 'Arts', 'Business'], actual: Adult
2358, predicted: ['Recreation', 'Kids', 'Arts'], actual: Adult
2360, predicted: ['Recreation', 'Arts', 'Business'], actual: Adult
47420, predicted: ['Shopping', 'Business', 'Computers'], actual: Arts
26942, predicted: ['Recreation', 'Science', 'Business'], actual: Regional
18754, predicted: ['Computers', 'Arts', 'Business'], actual: Home
45379, predicted: ['Recreation', 'Sports', 'Shopping'], actual: Adult
26950, predicted: ['Recreation', 'Arts', 'Computers'], actual: Regional
53578, predicted: ['Computers', 'Society', 'Sports'], actual: Games
47435, predicted: ['Business', 'Computers', 'Recreation'], actual: Arts
57909, predicted: ['Business', 'Computers', 'Shopping'], actual: Reference
45391, predicted: ['Recreation', 'Computers', 'Arts'], actual: Adult
37201, predicted: ['News', 'Reference', 'Arts'], actual: Society
26966, predicted: ['Reference', 'Arts', 'Computers'], actual: Regional
47451, predicted: ['Computers', 'Kids', 'Business'], actual: Arts
41311, predicted: ['Business', 'Recreation', 'Shopping'], actual: Sports
18787, predicted: ['Business', 'Computers', 'Science'], actual: Home
29028, predicted: ['Sports', 'Arts', 'Business'], actual: Science
53606, predicted: ['Shopping', 'Arts', 'Recreation'], actual: Games
362, predicted: ['Reference', 'Science', 'Kids'], actual: Computers
45799, predicted: ['Shopping', 'Health', 'Recreation'], actual: Arts
18797, predicted: ['Recreation', 'Business', 'Science'], actual: Home
19175, predicted: ['Recreation', 'Arts', 'Games'], actual: Kids
58088, predicted: ['Sports', 'Society', 'Business'], actual: Regional
37238, predicted: ['Sports', 'Arts', 'Recreation'], actual: Society
29049, predicted: ['Computers', 'Business', 'Arts'], actual: Science
29051, predicted: ['Business', 'Computers', 'Recreation'], actual: Science
43388, predicted: ['Science', 'Business', 'Kids'], actual: Games
56725, predicted: ['Reference', 'Society', 'Computers'], actual: News
14724, predicted: ['Computers', 'Home', 'Arts'], actual: Games
57150, predicted: ['Business', 'Sports', 'Shopping'], actual: Recreation
43400, predicted: ['Society', 'Reference', 'Business'], actual: Regional
49545, predicted: ['Science', 'Computers', 'Health'], actual: Business
394, predicted: ['Business', 'Home', 'Recreation'], actual: Computers
16782, predicted: ['Business', 'Society', 'Science'], actual: Health
43407, predicted: ['Business', 'Society', 'Arts'], actual: Reference
55696, predicted: ['Shopping', 'Business', 'Society'], actual: Home
45462, predicted: ['Computers', 'Business', 'Arts'], actual: Kids
49564, predicted: ['Computers', 'Society', 'Science'], actual: Business
49567, predicted: ['Computers', 'Arts', 'Recreation'], actual: Business
49570, predicted: ['Reference', 'Computers', 'Arts'], actual: Business
14759, predicted: ['Science', 'Computers', 'Recreation'], actual: Games
37288, predicted: ['Business', 'Computers', 'Arts'], actual: Society
55798, predicted: ['Recreation', 'Arts', 'Computers'], actual: Home
47531, predicted: ['Business', 'Sports', 'Computers'], actual: Kids
29100, predicted: ['Computers', 'Recreation', 'Business'], actual: Science
19791, predicted: ['Recreation', 'Health', 'Games'], actual: Kids
20915, predicted: ['Business', 'Reference', 'Science'], actual: News
438, predicted: ['Arts', 'Recreation', 'Kids'], actual: Games
43453, predicted: ['Arts', 'Computers', 'Recreation'], actual: Adult
53323, predicted: ['Recreation', 'Arts', 'Computers'], actual: Games
18885, predicted: ['Computers', 'Business', 'Reference'], actual: Home
25031, predicted: ['Business', 'Computers', 'Regional'], actual: Recreation
4552, predicted: ['Business', 'Computers', 'Science'], actual: Arts
45517, predicted: ['Society', 'Recreation', 'Shopping'], actual: Arts
29137, predicted: ['Computers', 'Business', 'Health'], actual: Science
466, predicted: ['Computers', 'Business', 'Arts'], actual: Games
55765, predicted: ['Society', 'Sports', 'Arts'], actual: Home
47575, predicted: ['Health', 'Business', 'Sports'], actual: Arts
47580, predicted: ['Computers', 'Business', 'Society'], actual: Arts
2525, predicted: ['Business', 'Shopping', 'Recreation'], actual: Adult
55777, predicted: ['Shopping', 'Science', 'Health'], actual: Home
43491, predicted: ['Recreation', 'Society', 'Computers'], actual: Adult
57829, predicted: ['Society', 'Business', 'Shopping'], actual: Reference
37350, predicted: ['Arts', 'Shopping', 'Recreation'], actual: Society
43496, predicted: ['Arts', 'Sports', 'Computers'], actual: Adult
18921, predicted: ['Games', 'Recreation', 'Science'], actual: Home
12781, predicted: ['Recreation', 'Business', 'Health'], actual: Computers
2543, predicted: ['Business', 'Adult', 'Recreation'], actual: Shopping
39408, predicted: ['Regional', 'Kids', 'Arts'], actual: Sports
20904, predicted: ['Business', 'Home', 'Recreation'], actual: News
53746, predicted: ['Science', 'Business', 'Computers'], actual: Health
57844, predicted: ['Sports', 'Society', 'Recreation'], actual: Reference
33269, predicted: ['Computers', 'Business', 'Recreation'], actual: Shopping
31222, predicted: ['Health', 'Business', 'Society'], actual: Shopping
44457, predicted: ['Business', 'Arts', 'Society'], actual: Reference
23033, predicted: ['Games', 'Kids', 'Arts'], actual: Recreation
18940, predicted: ['Recreation', 'Games', 'Health'], actual: Home
37377, predicted: ['Arts', 'Kids', 'Games'], actual: Society
27138, predicted: ['Health', 'Recreation', 'Business'], actual: Science
20996, predicted: ['Recreation', 'Arts', 'Regional'], actual: News
4616, predicted: ['Computers', 'Games', 'Kids'], actual: Arts
14861, predicted: ['Computers', 'Arts', 'Recreation'], actual: Games
30467, predicted: ['Arts', 'Sports', 'Recreation'], actual: Shopping
29204, predicted: ['Business', 'Society', 'News'], actual: Science
23061, predicted: ['Reference', 'News', 'Society'], actual: Recreation
2583, predicted: ['Shopping', 'Games', 'Business'], actual: Adult
53787, predicted: ['Recreation', 'Computers', 'Business'], actual: Health
21022, predicted: ['Recreation', 'Health', 'Science'], actual: News
55841, predicted: ['Sports', 'Regional', 'Recreation'], actual: Home
23074, predicted: ['Kids', 'Arts', 'Shopping'], actual: Recreation
2596, predicted: ['Recreation', 'Computers', 'Business'], actual: Adult
56070, predicted: ['Shopping', 'Arts', 'Business'], actual: Home
16944, predicted: ['Recreation', 'Business', 'Arts'], actual: Health
58120, predicted: ['Science', 'Sports', 'Recreation'], actual: Regional
57906, predicted: ['Recreation', 'Business', 'Society'], actual: Reference
22622, predicted: ['Business', 'Shopping', 'Arts'], actual: Recreation
19001, predicted: ['Recreation', 'Arts', 'Health'], actual: Kids
25695, predicted: ['Computers', 'News', 'Business'], actual: Reference
53821, predicted: ['Business', 'Shopping', 'Society'], actual: Health
2622, predicted: ['Shopping', 'Computers', 'Business'], actual: Adult
51776, predicted: ['Business', 'Health', 'Arts'], actual: Computers
2625, predicted: ['Recreation', 'Business', 'Arts'], actual: Adult
27205, predicted: ['Reference', 'Recreation', 'Arts'], actual: Society
6726, predicted: ['Arts', 'Computers', 'Kids'], actual: Business
2634, predicted: ['Arts', 'Recreation', 'Health'], actual: Adult
21068, predicted: ['Arts', 'Health', 'Business'], actual: News
29264, predicted: ['Recreation', 'Arts', 'Business'], actual: Shopping
21073, predicted: ['Society', 'Arts', 'Science'], actual: News
25593, predicted: ['Business', 'Shopping', 'Regional'], actual: Reference
4693, predicted: ['Recreation', 'Games', 'Business'], actual: Arts
2647, predicted: ['Health', 'Business', 'Recreation'], actual: Adult
19032, predicted: ['Computers', 'Business', 'Health'], actual: Kids
21081, predicted: ['Arts', 'Recreation', 'Games'], actual: News
51804, predicted: ['Society', 'Arts', 'Shopping'], actual: Computers
5221, predicted: ['Computers', 'Business', 'Reference'], actual: Shopping
19040, predicted: ['Computers', 'Arts', 'Games'], actual: Kids
57953, predicted: ['Computers', 'Business', 'Society'], actual: Reference
1467, predicted: ['Business', 'Society', 'Science'], actual: Regional
2665, predicted: ['Recreation', 'Computers', 'Business'], actual: Adult
57962, predicted: ['Business', 'Recreation', 'Health'], actual: Reference
2667, predicted: ['Business', 'Recreation', 'Shopping'], actual: Adult
21103, predicted: ['Health', 'Kids', 'Home'], actual: News
53145, predicted: ['Computers', 'Business', 'Society'], actual: Games
21105, predicted: ['Health', 'Business', 'Arts'], actual: News
19058, predicted: ['Recreation', 'Games', 'Business'], actual: Kids
55923, predicted: ['Health', 'Shopping', 'Business'], actual: Home
57978, predicted: ['Society', 'Business', 'Shopping'], actual: Reference
44138, predicted: ['Business', 'Shopping', 'Arts'], actual: Home
4736, predicted: ['News', 'Recreation', 'Adult'], actual: Arts
10889, predicted: ['Games', 'Recreation', 'Shopping'], actual: Computers
27555, predicted: ['Business', 'Shopping', 'Arts'], actual: Science
2703, predicted: ['Arts', 'Recreation', 'Business'], actual: Adult
53016, predicted: ['Shopping', 'Arts', 'Sports'], actual: Games
53907, predicted: ['Sports', 'Business', 'Arts'], actual: Health
19094, predicted: ['Games', 'Recreation', 'Computers'], actual: Kids
53017, predicted: ['Society', 'Shopping', 'Arts'], actual: Games
36643, predicted: ['Arts', 'Adult', 'Shopping'], actual: Society
20933, predicted: ['Science', 'Business', 'Computers'], actual: News
21153, predicted: ['Arts', 'Business', 'Kids'], actual: News
53923, predicted: ['Business', 'Arts', 'Computers'], actual: Health
27301, predicted: ['Recreation', 'Business', 'Arts'], actual: Science
34930, predicted: ['Shopping', 'Kids', 'Arts'], actual: Society
2735, predicted: ['Recreation', 'Business', 'Arts'], actual: Adult
51893, predicted: ['Shopping', 'Business', 'Arts'], actual: Computers
49846, predicted: ['News', 'Computers', 'Arts'], actual: Business
58042, predicted: ['Computers', 'Games', 'Arts'], actual: Reference
19132, predicted: ['Sports', 'Recreation', 'Arts'], actual: Kids
33469, predicted: ['Computers', 'Games', 'Kids'], actual: Shopping
56000, predicted: ['Computers', 'Science', 'Business'], actual: Home
4802, predicted: ['Recreation', 'Health', 'Arts'], actual: News
56004, predicted: ['Society', 'Health', 'Arts'], actual: Home
4806, predicted: ['Computers', 'Business', 'Recreation'], actual: Arts
25288, predicted: ['News', 'Health', 'Arts'], actual: Reference
58058, predicted: ['Arts', 'Business', 'Recreation'], actual: Regional
27339, predicted: ['Recreation', 'Arts', 'News'], actual: Science
15052, predicted: ['Computers', 'Business', 'Recreation'], actual: Games
21197, predicted: ['Recreation', 'Computers', 'Arts'], actual: News
56021, predicted: ['Society', 'Sports', 'Recreation'], actual: Home
58075, predicted: ['Sports', 'Business', 'Recreation'], actual: Regional
53984, predicted: ['Kids', 'Computers', 'Arts'], actual: Health
27362, predicted: ['Business', 'Recreation', 'Reference'], actual: Science
58083, predicted: ['Business', 'Recreation', 'Arts'], actual: Regional
741, predicted: ['Recreation', 'Health', 'Business'], actual: Home
29414, predicted: ['Recreation', 'Arts', 'Business'], actual: Shopping
21223, predicted: ['Computers', 'Shopping', 'Arts'], actual: News
4840, predicted: ['Recreation', 'Health', 'Games'], actual: Arts
33513, predicted: ['Games', 'Arts', 'Society'], actual: Shopping
21228, predicted: ['Health', 'Arts', 'Business'], actual: News
39662, predicted: ['Arts', 'Society', 'Recreation'], actual: Sports
26749, predicted: ['Business', 'Recreation', 'Computers'], actual: Regional
29426, predicted: ['Business', 'News', 'Recreation'], actual: Shopping
19190, predicted: ['Reference', 'Arts', 'Recreation'], actual: Kids
56056, predicted: ['Health', 'Society', 'Recreation'], actual: Home
19193, predicted: ['Arts', 'Computers', 'Recreation'], actual: Kids
56059, predicted: ['Recreation', 'Sports', 'Society'], actual: Home
56062, predicted: ['Computers', 'Sports', 'Business'], actual: Home
43782, predicted: ['Kids', 'Arts', 'Recreation'], actual: Computers
4871, predicted: ['Recreation', 'Health', 'Games'], actual: Arts
11016, predicted: ['Business', 'Recreation', 'Arts'], actual: Computers
45835, predicted: ['Health', 'News', 'Kids'], actual: Arts
130, predicted: ['Business', 'Computers', 'News'], actual: Arts
53037, predicted: ['Sports', 'Arts', 'Society'], actual: Games
41746, predicted: ['Business', 'Computers', 'Science'], actual: Sports
792, predicted: ['Science', 'Reference', 'Computers'], actual: Home
56090, predicted: ['Arts', 'Business', 'Computers'], actual: Kids
25376, predicted: ['Health', 'Recreation', 'Business'], actual: Reference
25382, predicted: ['Computers', 'Recreation', 'Business'], actual: Reference
2857, predicted: ['Recreation', 'Games', 'Computers'], actual: Arts
55027, predicted: ['Science', 'Arts', 'Computers'], actual: Health
58266, predicted: ['Business', 'Recreation', 'Regional'], actual: Science
816, predicted: ['Business', 'Computers', 'Arts'], actual: Kids
45875, predicted: ['Computers', 'Business', 'Health'], actual: Arts
19255, predicted: ['Health', 'Science', 'Recreation'], actual: Kids
19260, predicted: ['Recreation', 'Health', 'Arts'], actual: Kids
17214, predicted: ['Business', 'Society', 'Arts'], actual: Health
832, predicted: ['Computers', 'Business', 'Arts'], actual: Kids
45890, predicted: ['Sports', 'Health', 'Computers'], actual: Arts
29508, predicted: ['Recreation', 'Arts', 'Business'], actual: Shopping
56118, predicted: ['Sports', 'Arts', 'Health'], actual: Kids
29511, predicted: ['Recreation', 'Business', 'Home'], actual: Shopping
27464, predicted: ['Business', 'Computers', 'Shopping'], actual: Science
56138, predicted: ['Arts', 'Shopping', 'Computers'], actual: Kids
58187, predicted: ['Computers', 'Business', 'Shopping'], actual: Science
844, predicted: ['Science', 'Business', 'Health'], actual: Kids
847, predicted: ['Shopping', 'Kids', 'Computers'], actual: Recreation
19281, predicted: ['Health', 'Recreation', 'Games'], actual: Kids
29522, predicted: ['Science', 'Business', 'Arts'], actual: Shopping
852, predicted: ['Arts', 'Computers', 'Business'], actual: Kids
4238, predicted: ['Games', 'Recreation', 'Computers'], actual: Arts
36665, predicted: ['Health', 'Sports', 'Recreation'], actual: Society
50013, predicted: ['Arts', 'Society', 'News'], actual: Business
862, predicted: ['Computers', 'Recreation', 'Science'], actual: Kids
27546, predicted: ['Recreation', 'News', 'Business'], actual: Science
25443, predicted: ['Business', 'Computers', 'Regional'], actual: Reference
35684, predicted: ['Computers', 'Sports', 'Shopping'], actual: Society
29544, predicted: ['Business', 'Arts', 'Games'], actual: Shopping
58218, predicted: ['Recreation', 'Sports', 'Business'], actual: Science
36328, predicted: ['Business', 'Computers', 'Arts'], actual: Society
21362, predicted: ['Recreation', 'Home', 'Science'], actual: News
25460, predicted: ['Recreation', 'Home', 'Science'], actual: Reference
885, predicted: ['Recreation', 'News', 'Arts'], actual: Science
58233, predicted: ['Shopping', 'Arts', 'Recreation'], actual: Science
58235, predicted: ['Shopping', 'Kids', 'Computers'], actual: Science
56188, predicted: ['Society', 'Arts', 'Business'], actual: Kids
56190, predicted: ['Computers', 'Arts', 'Business'], actual: Kids
491, predicted: ['Business', 'Computers', 'Sports'], actual: Games
58245, predicted: ['Society', 'Sports', 'Health'], actual: Science
25480, predicted: ['Computers', 'Shopping', 'Science'], actual: Reference
21386, predicted: ['Recreation', 'Society', 'Arts'], actual: News
43916, predicted: ['Business', 'Arts', 'Kids'], actual: Regional
23438, predicted: ['Arts', 'Reference', 'Recreation'], actual: Society
55405, predicted: ['Society', 'Arts', 'Business'], actual: Health
58257, predicted: ['Health', 'Computers', 'Sports'], actual: Science
58260, predicted: ['Business', 'Sports', 'Shopping'], actual: Science
17302, predicted: ['Business', 'Science', 'Society'], actual: Health
43927, predicted: ['Business', 'Computers', 'Arts'], actual: Games
19353, predicted: ['Business', 'Arts', 'Science'], actual: Kids
19354, predicted: ['Recreation', 'Business', 'Home'], actual: Kids
923, predicted: ['Business', 'Reference', 'Regional'], actual: Society
56220, predicted: ['Arts', 'Business', 'Health'], actual: Kids
25514, predicted: ['Health', 'Science', 'Computers'], actual: Reference
56235, predicted: ['Society', 'Sports', 'Arts'], actual: Kids
21420, predicted: ['Recreation', 'Arts', 'Computers'], actual: News
19374, predicted: ['Recreation', 'Business', 'Health'], actual: Kids
19377, predicted: ['Reference', 'News', 'Recreation'], actual: Society
54194, predicted: ['Business', 'Computers', 'Arts'], actual: Health
58293, predicted: ['Business', 'Shopping', 'Computers'], actual: Science
11195, predicted: ['Business', 'Recreation', 'Science'], actual: Computers
19390, predicted: ['Science', 'Business', 'Health'], actual: Kids
11200, predicted: ['Science', 'Business', 'Reference'], actual: Computers
843, predicted: ['Science', 'Reference', 'Regional'], actual: Kids
3013, predicted: ['Kids', 'Recreation', 'Reference'], actual: Arts
966, predicted: ['Arts', 'Kids', 'Recreation'], actual: News
56140, predicted: ['Society', 'Shopping', 'Computers'], actual: Kids
975, predicted: ['Regional', 'Society', 'Business'], actual: News
56278, predicted: ['Business', 'Sports', 'Shopping'], actual: Kids
56281, predicted: ['Arts', 'Reference', 'Society'], actual: Kids
19420, predicted: ['Recreation', 'Health', 'Business'], actual: Kids
58333, predicted: ['News', 'Computers', 'Business'], actual: Science
43337, predicted: ['Society', 'Health', 'Computers'], actual: Sports
58337, predicted: ['News', 'Arts', 'Shopping'], actual: Science
995, predicted: ['Recreation', 'News', 'Arts'], actual: Regional
56292, predicted: ['Arts', 'Society', 'Sports'], actual: Kids
25573, predicted: ['Business', 'Computers', 'Recreation'], actual: Reference
21480, predicted: ['Arts', 'Science', 'Computers'], actual: News
11241, predicted: ['Reference', 'Health', 'Recreation'], actual: Computers
1002, predicted: ['Arts', 'Business', 'Sports'], actual: News
58361, predicted: ['Arts', 'Shopping', 'Business'], actual: Science
19455, predicted: ['Recreation', 'Arts', 'Health'], actual: Kids
27648, predicted: ['Health', 'Home', 'Recreation'], actual: Science
1026, predicted: ['Business', 'Home', 'Recreation'], actual: News
25603, predicted: ['Computers', 'Business', 'Recreation'], actual: Reference
52228, predicted: ['Society', 'Business', 'Shopping'], actual: Computers
57857, predicted: ['Health', 'Computers', 'Shopping'], actual: Reference
17418, predicted: ['Arts', 'Sports', 'Business'], actual: Health
35856, predicted: ['Science', 'Recreation', 'Sports'], actual: Society
56340, predicted: ['Health', 'Sports', 'Shopping'], actual: Kids
174, predicted: ['Business', 'Health', 'Arts'], actual: Regional
3094, predicted: ['Recreation', 'Arts', 'Games'], actual: Kids
13336, predicted: ['Recreation', 'Business', 'Sports'], actual: Computers
57860, predicted: ['Society', 'Arts', 'Shopping'], actual: Reference
25628, predicted: ['Business', 'Recreation', 'Computers'], actual: Reference
27687, predicted: ['Kids', 'Games', 'Arts'], actual: Science
29736, predicted: ['Recreation', 'Business', 'Science'], actual: Shopping
21545, predicted: ['Arts', 'Health', 'Reference'], actual: Recreation
46127, predicted: ['Society', 'Shopping', 'Business'], actual: Arts
47818, predicted: ['Health', 'Society', 'Arts'], actual: Business
44084, predicted: ['Business', 'Arts', 'Recreation'], actual: Health
27486, predicted: ['Shopping', 'Computers', 'Recreation'], actual: Science
29752, predicted: ['News', 'Society', 'Home'], actual: Shopping
58425, predicted: ['Computers', 'Reference', 'Business'], actual: Science
58426, predicted: ['Sports', 'Shopping', 'Business'], actual: Science
58431, predicted: ['Shopping', 'Business', 'Computers'], actual: Science
15424, predicted: ['Business', 'Home', 'Science'], actual: Health
58434, predicted: ['Society', 'Home', 'News'], actual: Science
54343, predicted: ['Business', 'Society', 'Arts'], actual: Health
44105, predicted: ['Society', 'Home', 'Kids'], actual: Regional
44106, predicted: ['Computers', 'Arts', 'Business'], actual: Home
2573, predicted: ['Arts', 'Recreation', 'Business'], actual: Adult
48208, predicted: ['Sports', 'Shopping', 'Arts'], actual: Business
19537, predicted: ['Reference', 'Business', 'Arts'], actual: Kids
41827, predicted: ['Health', 'Shopping', 'Computers'], actual: Sports
54359, predicted: ['Computers', 'Arts', 'Business'], actual: Health
25688, predicted: ['Recreation', 'Arts', 'Games'], actual: Reference
11109, predicted: ['Health', 'Arts', 'Games'], actual: Computers
19554, predicted: ['Science', 'News', 'Business'], actual: Kids
44131, predicted: ['Business', 'Recreation', 'Games'], actual: Home
13413, predicted: ['Shopping', 'Business', 'Recreation'], actual: Computers
5223, predicted: ['Shopping', 'Business', 'Computers'], actual: Arts
19565, predicted: ['Recreation', 'Arts', 'Regional'], actual: Kids
19645, predicted: ['Recreation', 'Business', 'Games'], actual: Sports
44145, predicted: ['Business', 'Computers', 'Society'], actual: Home
54387, predicted: ['Arts', 'Business', 'Shopping'], actual: Health
56852, predicted: ['Society', 'Recreation', 'Sports'], actual: News
13436, predicted: ['Recreation', 'Reference', 'Arts'], actual: Computers
55829, predicted: ['Society', 'Shopping', 'Health'], actual: Home
25732, predicted: ['Recreation', 'Arts', 'Regional'], actual: Reference
56709, predicted: ['Arts', 'Sports', 'Computers'], actual: News
4403, predicted: ['Business', 'Recreation', 'Computers'], actual: Arts
13451, predicted: ['Health', 'Science', 'Recreation'], actual: Computers
44173, predicted: ['Business', 'Arts', 'Society'], actual: Home
31886, predicted: ['Arts', 'Business', 'Sports'], actual: Shopping
44175, predicted: ['Recreation', 'Business', 'Arts'], actual: Home
