67, predicted: ['Adult', 'Health', 'Business'], actual: Society
5756, predicted: ['Arts', 'Regional', 'Business'], actual: Reference
26289, predicted: ['Reference', 'Recreation', 'Kids'], actual: Science
16066, predicted: ['Health', 'Business', 'Science'], actual: Sports
22817, predicted: ['Recreation', 'Health', 'Arts'], actual: Shopping
20216, predicted: ['Science', 'Business', 'Recreation'], actual: Society
5926, predicted: ['Arts', 'Recreation', 'Business'], actual: Kids
3043, predicted: ['Arts', 'Reference', 'Business'], actual: Kids
8030, predicted: ['Business', 'Society', 'Computers'], actual: Regional
18348, predicted: ['Home', 'Society', 'Business'], actual: Kids
8110, predicted: ['Business', 'Arts', 'Recreation'], actual: Home
16375, predicted: ['Kids', 'Science', 'Society'], actual: Health
14329, predicted: ['Games', 'Recreation', 'Kids'], actual: Society
